Bureau of Justice Statistics,,,,,,,,,,,,,,,,,
Filename: jeee16t05.csv,,,,,,,,,,,,,,,,,
"Table 5. Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2016",,,,,,,,,,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2016 - Final NCJ 300061",,,,,,,,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,
Date of version: 07/07/2021,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Table 5. Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2016",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
State and type of government,Total full-time equivalent employment/a,Total justice system total number of employees,Total justice system number of full-time employees only,Total justice system number of full-time equivalent employees,Total justice system full-time equivalent employees as a percent of total ,Police protection total number of employees,Police protection full-time employees only,Police protection number of full-time equivalent employees,Police protection full-time equivalent employees as a percent of total justice system,Judicial and legal total number of employees,Judicial and legal full-time employees only,Judicial and legal full-time equivalent employees,Judicial and legal full-time equivalent employees as a percent of total justice system,Corrections total number of employees,Corrections full-time employees only,Corrections full-time equivalent employees ,Corrections full-time equivalent employees as a percent of total justice system 
Alaska - Total,"52,704","5,846","5,622","5,723",10.9,"1,987","1,857","1,904",33.3,1512,"1,469","1,489",26,"2,347","2,296","2,330",40.7
Alaska - State,"25,073","4,360","4,228","4,287",17.1,683,640,650,15.2,1406,"1,366","1,382",32.2,"2,271","2,222","2,255",52.6
"Alaska - Local, total","27,631","1,486","1,394","1,436",5.2,"1,304","1,217","1,254",87.3,106,103,107,7.5,76,74,75,5.2
Alaska - Boroughs,"11,228",157,149,153,1.4,112,104,107,69.9,33,33,34,22.2,12,12,12,7.8
Alaska - Municipalities,"15,778","1,329","1,245","1,283",8.1,"1,192","1,113","1,147",89.4,73,70,73,5.7,64,62,63,4.9
Arizona - Total,"281,548","46,393","45,406","45,886",16.3,"19,829","19,513","19,659",42.8,11307,"10,805","11,051",24.1,"15,257","15,088","15,176",33.1
Arizona - State,"72,316","14,079","13,952","14,009",19.4,"1,963","1,919","1,932",13.8,2416,"2,346","2,383",17,"9,700","9,687","9,694",69.2
"Arizona - Local, total","209,232","32,314","31,454","31,877",15.2,"17,866","17,594","17,727",55.6,8891,"8,459","8,668",27.2,"5,557","5,401","5,482",17.2
Arizona - Counties,"32,446","18,551","17,986","18,274",56.3,"5,820","5,732","5,769",31.6,7268,"6,946","7,117",38.9,"5,463","5,308","5,388",29.5
Arizona - Municipalities,"45,035","13,763","13,468","13,603",30.2,"12,046","11,862","11,958",87.9,1623,"1,513","1,551",11.4,94,93,94,0.7
Arkansas - Total,"170,174","21,452","19,879","20,465",12,"9,289","8,552","8,822",43.1,3864,"3,220","3,446",16.8,"8,299","8,107","8,197",40.1
Arkansas - State,"62,476","8,453","8,292","8,372",13.4,"1,223","1,207","1,214",14.5,1667,"1,528","1,599",19.1,"5,563","5,557","5,559",66.4
"Arkansas - Local, total","107,698","12,999","11,587","12,093",11.2,"8,066","7,345","7,608",62.9,2197,"1,692","1,847",15.3,"2,736","2,550","2,638",21.8
Arkansas - Counties,"13,959","6,865","5,881","6,184",44.3,"2,593","2,194","2,293",37.1,1613,"1,206","1,325",21.4,"2,659","2,481","2,566",41.5
Arkansas - Municipalities,"20,791","6,134","5,706","5,909",28.4,"5,473","5,151","5,315",89.9,584,486,522,8.8,77,69,72,1.2
California - Total,"1,814,756","240,421","228,561","234,667",12.9,"104,146","97,476","100,558",42.9,45355,"43,235","44,365",18.9,"90,920","87,850","89,744",38.2
California - State,"414,679","75,822","73,341","74,779",18,"11,444","11,176","11,216",15,6569,"6,127","6,329",8.5,"57,809","56,038","57,234",76.5
"California - Local, total","1,400,077","164,599","155,220","159,888",11.4,"92,702","86,300","89,342",55.9,38786,"37,108","38,036",23.8,"33,111","31,812","32,510",20.3
California - Counties,"390,353","107,999","103,303","105,887",27.1,"41,627","39,653","40,761",38.5,34962,"33,435","34,283",32.4,"31,410","30,215","30,843",29.1
California - Municipalities,"224,950","56,600","51,917","54,001",24,"51,075","46,647","48,581",90,3824,"3,673","3,753",6.9,"1,701","1,597","1,667",3.1
Colorado - Total,"293,546","35,674","33,843","34,805",11.9,"15,992","15,272","15,580",44.8,8151,"7,296","7,809",22.4,"11,531","11,275","11,416",32.8
Colorado - State,"87,844","13,878","13,317","13,770",15.7,"1,274","1,257","1,265",9.2,5191,"4,702","5,096",37,"7,413","7,358","7,409",53.8
"Colorado - Local, total","205,702","21,796","20,526","21,035",10.2,"14,718","14,015","14,315",68.1,2960,"2,594","2,713",12.9,"4,118","3,917","4,007",19
Colorado - Counties,"29,578","9,618","8,989","9,206",31.1,"4,930","4,651","4,736",51.4,1583,"1,432","1,479",16.1,"3,105","2,906","2,991",32.5
Colorado - Municipalities,"48,244","12,178","11,537","11,829",24.5,"9,788","9,364","9,579",81,1377,"1,162","1,234",10.4,"1,013","1,011","1,016",8.6
Connecticut - Total,"193,152","23,233","21,499","22,038",11.4,"10,989","9,667","10,072",45.7,6410,"6,067","6,167",28,"5,834","5,765","5,799",26.3
Connecticut - State,"62,863","14,197","13,574","13,725",21.8,"2,142","1,905","1,938",14.1,6221,"5,904","5,988",43.6,"5,834","5,765","5,799",42.3
"Connecticut - Local, total","130,289","9,036","7,925","8,313",6.4,"8,847","7,762","8,134",97.8,189,163,179,2.2,0,0,0,0
Connecticut - Municipalities,"58,660","5,170","4,633","4,872",8.3,"5,026","4,501","4,731",97.1,144,132,141,2.9,0,0,0,0
Delaware - Total,"49,282","7,584","7,283","7,461",15.1,"2,692","2,491","2,606",34.9,1948,"1,888","1,925",25.8,"2,944","2,904","2,930",39.3
Delaware - State,"25,881","5,879","5,778","5,843",22.6,"1,100","1,088","1,095",18.7,1835,"1,786","1,818",31.1,"2,944","2,904","2,930",50.1
"Delaware - Local, total","23,401","1,705","1,505","1,618",6.9,"1,592","1,403","1,511",93.4,113,102,107,6.6,0,0,0,0
Delaware - Counties,"2,644",685,530,624,23.6,608,457,549,88,77,73,75,12,0,0,0,0
Delaware - Municipalities,"2,787","1,014",975,994,35.7,978,946,962,96.8,36,29,32,3.2,0,0,0,0
District of Columbia - Total,"47,698","7,734","7,651","7,726",16.2,"4,350","4,349","4,350",56.3,2025,"1,967","2,018",26.1,"1,359","1,335","1,358",17.6
"District of Columbia - Local, total","47,698","7,734","7,651","7,726",16.2,"4,350","4,349","4,350",56.3,2025,"1,967","2,018",26.1,"1,359","1,335","1,358",17.6
District of Columbia - Municipality,"35,531","7,734","7,651","7,726",21.7,"4,350","4,349","4,350",56.3,2025,"1,967","2,018",26.1,"1,359","1,335","1,358",17.6
Florida - Total ,"885,649","136,966","129,968","132,892",15,"64,500","59,159","61,250",46.1,31773,"30,590","31,194",23.5,"40,693","40,219","40,448",30.4
Florida - State,"178,571","48,022","46,826","47,381",26.5,"4,410","4,098","4,206",8.9,19872,"19,181","19,544",41.2,"23,740","23,547","23,631",49.9
"Florida - Local, total","707,078","88,944","83,142","85,511",12.1,"60,090","55,061","57,044",66.7,11901,"11,409","11,650",13.6,"16,953","16,672","16,817",19.7
Florida - Counties,"173,201","64,355","60,108","61,713",35.6,"36,941","33,420","34,677",56.2,11374,"10,910","11,127",18,"16,040","15,778","15,909",25.8
Florida - Municipalities,"90,649","24,589","23,034","23,798",26.3,"23,149","21,641","22,367",94,527,499,523,2.2,913,894,908,3.8
Georgia - Total,"513,462","71,333","66,003","68,331",13.3,"28,451","26,706","27,461",40.2,15760,"13,300","14,311",20.9,"27,122","25,997","26,559",38.9
Georgia - State,"128,151","22,783","21,832","22,298",17.4,"2,625","2,559","2,593",11.6,3571,"3,481","3,521",15.8,"16,587","15,792","16,184",72.6
"Georgia - Local, total","385,311","48,550","44,171","46,033",11.9,"25,826","24,147","24,868",54,12189,"9,819","10,790",23.4,"10,535","10,205","10,375",22.5
Georgia - Counties,"66,801","31,107","28,058","29,337",43.9,"11,907","11,146","11,449",39,10292,"8,319","9,140",31.2,"8,908","8,593","8,748",29.8
Georgia - Municipalities,"50,280","17,443","16,113","16,696",33.2,"13,919","13,001","13,419",80.4,1897,"1,500","1,650",9.9,"1,627","1,612","1,627",9.7
Hawaii - Total,"75,694","9,957","9,735","9,800",12.9,"4,182","4,047","4,076",41.6,3414,"3,336","3,368",34.4,"2,361","2,352","2,356",24
Hawaii - State,"58,777","5,062","4,991","5,019",8.5,0,0,0,0,2701,"2,639","2,663",53.1,"2,361","2,352","2,356",46.9
"Hawaii - Local, total","16,917","4,895","4,744","4,781",28.3,"4,182","4,047","4,076",85.3,713,697,705,14.7,0,0,0,0
Hawaii - Counties,"6,300","1,595","1,518","1,538",24.4,"1,323","1,252","1,270",82.6,272,266,268,17.4,0,0,0,0
Hawaii - Municipalities,"10,426","3,300","3,226","3,243",31.1,"2,859","2,795","2,806",86.5,441,431,437,13.5,0,0,0,0
Idaho - Total,"82,134","10,845","10,085","10,373",12.6,"4,238","3,961","4,048",39,2339,"2,119","2,212",21.3,"4,268","4,005","4,113",39.7
Idaho - State,"24,025","3,502","3,411","3,450",14.4,500,482,490,14.2,586,533,553,16,"2,416","2,396","2,407",69.8
"Idaho - Local, total","58,109","7,343","6,674","6,923",11.9,"3,738","3,479","3,558",51.4,1753,"1,586","1,659",24,"1,852","1,609","1,706",24.6
Idaho - Counties,"9,477","4,986","4,446","4,655",49.1,"1,531","1,382","1,427",30.7,1604,"1,455","1,522",32.7,"1,851","1,609","1,706",36.6
Idaho - Municipalities,"9,199","2,357","2,228","2,268",24.7,"2,207","2,097","2,131",94,149,131,137,6,1,0,0,0
Illinois - Total,"630,595","82,305","74,406","77,392",12.3,"45,273","38,456","40,984",53,14165,"13,387","13,694",17.7,"22,867","22,563","22,714",29.3
Illinois - State,"123,611","17,929","17,879","17,904",14.5,"3,071","3,050","3,059",17.1,2534,"2,505","2,521",14.1,"12,324","12,324","12,324",68.8
"Illinois - Local, total","506,984","64,376","56,527","59,488",11.7,"42,202","35,406","37,925",63.8,11631,"10,882","11,173",18.8,"10,543","10,239","10,390",17.5
Illinois - Counties,"55,951","27,207","25,277","25,961",46.4,"5,880","4,879","5,156",19.9,10802,"10,163","10,425",40.2,"10,525","10,235","10,380",40
Illinois - Municipalities,"104,762","37,169","31,250","33,527",32,"36,322","30,527","32,769",97.7,829,719,748,2.2,18,4,10,0
Indiana - Total,"321,390","37,503","33,923","35,255",11,"16,961","15,093","15,662",44.4,8118,"7,215","7,557",21.4,"12,424","11,615","12,036",34.1
Indiana - State,"89,278","9,317","9,236","9,270",10.4,"1,844","1,844","1,844",19.9,1528,"1,458","1,484",16,"5,945","5,934","5,942",64.1
"Indiana - Local, total","232,112","28,186","24,687","25,985",11.2,"15,117","13,249","13,818",53.2,6590,"5,757","6,073",23.4,"6,479","5,681","6,094",23.5
Indiana - Counties,"42,674","13,855","11,916","12,727",29.8,"3,885","3,307","3,473",27.3,4485,"3,908","4,148",32.6,"5,485","4,701","5,106",40.1
Indiana - Municipalities,"51,260","14,306","12,747","13,233",25.8,"11,232","9,942","10,345",78.2,2080,"1,825","1,900",14.4,994,980,988,7.5
Iowa - Total,"184,309","15,681","14,172","14,743",8,"7,832","6,935","7,186",48.7,3277,"3,058","3,180",21.6,"4,572","4,179","4,377",29.7
Iowa - State,"51,005","5,997","5,789","5,929",11.6,884,878,881,14.9,2287,"2,209","2,263",38.2,"2,826","2,702","2,785",47
"Iowa - Local, total","133,304","9,684","8,383","8,814",6.6,"6,948","6,057","6,305",71.5,990,849,917,10.4,"1,746","1,477","1,592",18.1
Iowa - Counties,"23,038","4,774","4,132","4,384",19,"2,141","1,904","1,978",45.1,887,751,814,18.6,"1,746","1,477","1,592",36.3
Iowa - Municipalities,"23,563","4,910","4,251","4,430",18.8,"4,807","4,153","4,327",97.7,103,98,103,2.3,0,0,0,0
Kansas - Total,"198,259","20,470","18,728","19,291",9.7,"9,712","8,775","9,095",47.1,4270,"3,700","3,852",20,"6,488","6,253","6,344",32.9
Kansas - State,"52,118","6,688","6,508","6,588",12.6,"1,084","1,015","1,047",15.9,2167,"2,073","2,112",32.1,"3,437","3,420","3,429",52
"Kansas - Local, total","146,141","13,782","12,220","12,703",8.7,"8,628","7,760","8,048",63.4,2103,"1,627","1,740",13.7,"3,051","2,833","2,915",22.9
Kansas - Counties,"21,899","6,513","5,866","6,079",27.8,"2,538","2,276","2,358",38.8,1216,"1,044","1,097",18,"2,759","2,546","2,624",43.2
Kansas - Municipalities,"26,370","7,257","6,347","6,617",25.1,"6,081","5,478","5,684",85.9,884,582,642,9.7,292,287,291,4.4
Kentucky - Total,"244,888","26,011","23,630","24,822",10.1,"10,240","9,329","9,744",39.3,7565,"6,658","7,124",28.7,"8,206","7,643","7,954",32
Kentucky - State,"85,606","12,008","11,769","11,896",13.9,"2,069","2,061","2,064",17.4,5861,"5,637","5,758",48.4,"4,078","4,071","4,074",34.2
"Kentucky - Local, total","159,282","14,003","11,861","12,926",8.1,"8,171","7,268","7,680",59.4,1704,"1,021","1,366",10.6,"4,128","3,572","3,880",30
Kentucky - Counties,"15,166","5,061","3,697","4,306",28.4,"1,645","1,317","1,452",33.7,817,329,528,12.3,"2,599","2,051","2,326",54
Kentucky - Municipalities,"31,706","8,942","8,164","8,620",27.2,"6,526","5,951","6,228",72.3,887,692,838,9.7,"1,529","1,521","1,554",18
Louisiana - Total,"258,291","38,860","35,434","37,139",14.4,"18,710","16,772","17,658",47.5,7703,"6,902","7,214",19.4,"12,447","11,760","12,267",33
Louisiana - State,"73,796","9,240","9,029","9,140",12.4,"1,805","1,748","1,791",19.6,1676,"1,636","1,647",18,"5,759","5,645","5,702",62.4
"Louisiana - Local, total","184,495","29,620","26,405","27,999",15.2,"16,905","15,024","15,867",56.7,6027,"5,266","5,567",19.9,"6,688","6,115","6,565",23.4
Louisiana - Parishes,"45,857","16,804","14,704","15,646",34.1,"8,188","7,005","7,437",47.5,3950,"3,470","3,646",23.3,"4,666","4,229","4,563",29.2
Louisiana - Municipalities,"35,625","12,566","11,459","12,102",34,"8,717","8,019","8,430",69.7,2077,"1,796","1,921",15.9,"1,772","1,644","1,751",14.5
Maine - Total,"69,428","6,169","5,282","5,679",8.2,"3,164","2,662","2,841",50,1081,865,970,17.1,"1,924","1,755","1,868",32.9
Maine - State,"20,647","2,425","2,205","2,351",11.4,430,428,429,18.2,795,672,747,31.8,"1,200","1,105","1,175",50
"Maine - Local, total","48,781","3,744","3,077","3,328",6.8,"2,734","2,234","2,412",72.5,286,193,223,6.7,724,650,693,20.8
Maine - Counties,"1,869","1,381","1,147","1,245",66.6,385,316,342,27.5,272,181,210,16.9,724,650,693,55.7
Maine - Municipalities,"17,910","1,302","1,176","1,242",6.9,"1,288","1,164","1,229",99,14,12,13,1,0,0,0,0
Maryland - Total,"304,023","44,225","41,282","43,051",14.2,"19,875","18,315","19,050",44.2,8793,"7,982","8,530",19.8,"15,557","14,985","15,471",35.9
Maryland - State,"85,928","19,505","18,570","19,344",22.5,"2,229","2,229","2,229",11.5,5320,"4,891","5,233",27.1,"11,956","11,450","11,882",61.4
"Maryland - Local, total","218,095","24,720","22,712","23,707",10.9,"17,646","16,086","16,821",71,3473,"3,091","3,297",13.9,"3,601","3,535","3,589",15.1
Maryland - Counties,"184,889","18,618","17,144","17,872",9.7,"12,211","11,175","11,648",65.2,2806,"2,434","2,635",14.7,"3,601","3,535","3,589",20.1
Maryland - Municipalities,"31,972","6,102","5,568","5,835",18.3,"5,435","4,911","5,173",88.7,667,657,662,11.3,0,0,0,0
Massachusetts - Total,"336,065","44,046","40,849","41,879",12.5,"22,070","19,366","20,230",48.3,9758,"9,432","9,550",22.8,"12,218","12,051","12,099",28.9
Massachusetts - State,"99,315","24,595","24,142","24,300",24.5,"2,941","2,911","2,926",12,9443,"9,180","9,275",38.2,"12,211","12,051","12,099",49.8
"Massachusetts - Local, total","236,750","19,451","16,707","17,579",7.4,"19,129","16,455","17,304",98.4,315,252,275,1.6,7,0,0,0
Massachusetts - Counties,"1,304",17,17,18,1.4,16,16,17,94.4,1,1,1,5.6,0,0,0,0
Massachusetts - Municipalities,"163,577","15,375","13,566","14,229",8.7,"15,071","13,322","13,963",98.1,304,244,266,1.9,0,0,0,0
Michigan - Total,"438,841","52,387","46,951","49,339",11.2,"22,801","19,437","20,707",42,11298,"10,154","10,717",21.7,"18,288","17,360","17,915",36.3
Michigan - State,"144,350","16,828","16,607","16,756",11.6,"2,740","2,716","2,729",16.3,1478,"1,424","1,459",8.7,"12,610","12,467","12,568",75
"Michigan - Local, total","294,491","35,559","30,344","32,583",11.1,"20,061","16,721","17,978",55.2,9820,"8,730","9,258",28.4,"5,678","4,893","5,347",16.4
Michigan - Counties,"52,253","18,836","16,284","17,406",33.3,"5,499","4,408","4,754",27.3,7710,"7,021","7,351",42.2,"5,627","4,855","5,301",30.5
Michigan - Municipalities,"51,574","15,108","12,748","13,771",26.7,"13,069","11,083","11,917",86.5,1992,"1,631","1,813",13.2,47,34,41,0.3
Minnesota - Total,"291,552","30,201","27,073","28,661",9.8,"13,299","11,878","12,437",43.4,6681,"5,828","6,312",22,"10,221","9,367","9,912",34.6
Minnesota - State,"82,697","9,339","8,707","9,141",11.1,962,934,951,10.4,4018,"3,564","3,841",42,"4,359","4,209","4,349",47.6
"Minnesota - Local, total","208,855","20,862","18,366","19,520",9.3,"12,337","10,944","11,486",58.8,2663,"2,264","2,471",12.7,"5,862","5,158","5,563",28.5
Minnesota - Counties,"36,661","11,167","9,811","10,463",28.5,"3,523","3,100","3,236",30.9,2341,"1,967","2,165",20.7,"5,303","4,744","5,062",48.4
Minnesota - Municipalities,"37,885","9,071","8,114","8,524",22.5,"8,749","7,817","8,218",96.4,322,297,306,3.6,0,0,0,0
Mississippi - Total,"190,903","18,680","16,363","17,239",9,"10,540","9,121","9,674",56.1,3080,"2,485","2,665",15.5,"5,060","4,757","4,900",28.4
Mississippi - State,"56,841","4,375","4,358","4,373",7.7,"1,242","1,240","1,242",28.4,470,470,470,10.7,"2,663","2,648","2,661",60.9
"Mississippi - Local, total","134,062","14,305","12,005","12,866",9.6,"9,298","7,881","8,432",65.5,2610,"2,015","2,195",17.1,"2,397","2,109","2,239",17.4
Mississippi - Counties,"27,140","7,877","6,456","6,975",25.7,"3,626","2,970","3,221",46.2,1925,"1,445","1,584",22.7,"2,326","2,041","2,170",31.1
Mississippi - Municipalities,"25,655","6,428","5,549","5,891",23,"5,672","4,911","5,211",88.5,685,570,611,10.4,71,68,69,1.2
Missouri - Total,"315,244","43,182","40,103","41,333",13.1,"19,430","17,952","18,511",44.8,8420,"7,251","7,758",18.8,"15,332","14,900","15,064",36.4
Missouri - State,"87,140","19,045","18,444","18,758",21.5,"2,574","2,443","2,510",13.4,4302,"3,966","4,162",22.2,"12,169","12,035","12,086",64.4
"Missouri - Local, total","228,104","24,137","21,659","22,575",9.9,"16,856","15,509","16,001",70.9,4118,"3,285","3,596",15.9,"3,163","2,865","2,978",13.2
Missouri - Counties,"20,948","8,915","7,740","8,144",38.9,"3,953","3,514","3,634",44.6,2416,"1,948","2,141",26.3,"2,546","2,278","2,369",29.1
Missouri - Municipalities,"50,989","15,223","13,919","14,431",28.3,"12,904","11,995","12,367",85.7,1702,"1,337","1,455",10.1,617,587,609,4.2
Montana - Total,"57,691","6,601","5,910","6,210",10.8,"2,778","2,546","2,643",42.6,1847,"1,515","1,658",26.7,"1,976","1,849","1,909",30.7
Montana - State,"20,392","2,549","2,368","2,459",12.1,503,486,495,20.1,776,704,746,30.3,"1,270","1,178","1,218",49.5
"Montana - Local, total","37,299","4,052","3,542","3,751",10.1,"2,275","2,060","2,148",57.3,1071,811,912,24.3,706,671,691,18.4
Montana - Counties,"6,972","2,528","2,223","2,351",33.7,"1,039",934,974,41.4,791,626,694,29.5,698,663,683,29.1
Montana - Municipalities,"5,434","1,524","1,319","1,400",25.8,"1,236","1,126","1,174",83.9,280,185,218,15.6,8,8,8,0.6
Nebraska - Total,"119,484","12,038","11,159","11,554",9.7,"5,251","4,769","4,976",43.1,2229,"1,999","2,108",18.2,"4,558","4,391","4,470",38.7
Nebraska - State,"31,924","4,484","4,388","4,433",13.9,759,733,744,16.8,798,777,784,17.7,"2,927","2,878","2,905",65.5
"Nebraska - Local, total","87,560","7,554","6,771","7,121",8.1,"4,492","4,036","4,232",59.4,1431,"1,222","1,324",18.6,"1,631","1,513","1,565",22
Nebraska - Counties,"13,644","4,263","3,806","4,018",29.4,"1,310","1,166","1,227",30.5,1322,"1,127","1,226",30.5,"1,631","1,513","1,565",38.9
Nebraska - Municipalities,"13,623","3,291","2,965","3,103",22.8,"3,182","2,870","3,005",96.8,109,95,98,3.2,0,0,0,0
Nevada - Total,"113,355","18,190","17,402","17,710",15.6,"7,990","7,643","7,768",43.9,4480,"4,165","4,301",24.3,"5,720","5,594","5,641",31.9
Nevada - State,"28,314","5,262","5,204","5,221",18.4,834,826,830,15.9,714,702,705,13.5,"3,714","3,676","3,686",70.6
"Nevada - Local, total","85,041","12,928","12,198","12,489",14.7,"7,156","6,817","6,938",55.6,3766,"3,463","3,596",28.8,"2,006","1,918","1,955",15.7
Nevada - Counties,"26,185","9,932","9,410","9,602",36.7,"5,302","5,116","5,163",53.8,3145,"2,884","2,998",31.2,"1,485","1,410","1,441",15
Nevada - Municipalities,"9,556","2,996","2,788","2,887",30.2,"1,854","1,701","1,775",61.5,621,579,598,20.7,521,508,514,17.8
New Hampshire - Total,"70,473","7,588","6,141","6,754",9.6,"4,387","3,492","3,848",57,1324,907,"1,081",16,"1,877","1,742","1,825",27
New Hampshire - State,"19,092","2,530","2,153","2,334",12.2,552,489,517,22.2,913,659,765,32.8,"1,065","1,005","1,052",45.1
"New Hampshire - Local, total","51,381","5,058","3,988","4,420",8.6,"3,835","3,003","3,331",75.4,411,248,316,7.1,812,737,773,17.5
New Hampshire - Counties,"4,183","1,680","1,201","1,353",32.3,524,273,330,24.4,348,194,254,18.8,808,734,769,56.8
New Hampshire - Municipalities,"16,696","1,686","1,426","1,563",9.4,"1,634","1,381","1,511",96.7,48,42,48,3.1,4,3,4,0.3
New Jersey - Total,"478,391","73,529","64,626","68,018",14.2,"38,716","31,578","34,347",50.5,20210,"18,553","19,113",28.1,"14,603","14,495","14,558",21.4
New Jersey - State,"139,043","25,192","24,978","25,084",18,"3,925","3,878","3,900",15.5,12785,"12,630","12,707",50.7,"8,482","8,470","8,477",33.8
"New Jersey - Local, total","339,348","48,337","39,648","42,934",12.7,"34,791","27,700","30,447",70.9,7425,"5,923","6,406",14.9,"6,121","6,025","6,081",14.2
New Jersey - Counties,"93,369","18,046","17,017","17,584",18.8,"7,180","6,586","6,841",38.9,4761,"4,408","4,670",26.6,"6,105","6,023","6,073",34.5
New Jersey - Municipalities,"73,821","18,329","13,656","15,321",20.8,"16,761","12,661","14,216",92.8,1568,995,"1,105",7.2,0,0,0,0
New Mexico - Total,"125,978","16,422","15,817","16,095",12.8,"6,426","6,059","6,214",38.6,3763,"3,597","3,670",22.8,"6,233","6,161","6,211",38.6
New Mexico - State,"45,775","7,697","7,594","7,649",16.7,665,665,665,8.7,3238,"3,161","3,198",41.8,"3,794","3,768","3,786",49.5
"New Mexico - Local, total","80,203","8,725","8,223","8,446",10.5,"5,761","5,394","5,549",65.7,525,436,472,5.6,"2,439","2,393","2,425",28.7
New Mexico - Counties,"10,430","4,243","4,121","4,185",40.1,"1,649","1,580","1,610",38.5,187,165,177,4.2,"2,407","2,376","2,398",57.3
New Mexico - Municipalities,"18,381","4,482","4,102","4,261",23.2,"4,112","3,814","3,939",92.4,338,271,295,6.9,32,17,27,0.6
New York - Total,"1,183,581","179,546","164,548","170,840",14.4,"91,513","82,384","86,477",50.6,34398,"29,640","31,236",18.3,"53,635","52,524","53,127",31.1
New York - State,"242,184","53,582","52,787","53,298",22,"5,979","5,855","5,927",11.1,18871,"18,454","18,757",35.2,"28,732","28,478","28,614",53.7
"New York - Local, total","941,397","125,964","111,761","117,542",12.5,"85,534","76,529","80,550",68.5,15527,"11,186","12,479",10.6,"24,903","24,046","24,513",20.9
New York - Counties,"105,936","30,740","25,682","27,460",25.9,"13,305","10,937","11,897",43.3,5748,"3,735","4,232",15.4,"11,687","11,010","11,331",41.3
New York - Municipalities,"712,822","90,458","82,971","86,614",12.2,"68,882","63,009","65,832",76,8372,"6,928","7,605",8.8,"13,204","13,034","13,177",15.2
