Bureau of Justice Statistics,,,,,,,,
Filename: jeee16t18.csv,,,,,,,,
Table 18. Supplemental data for state governments,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2016 - Final NCJ 300061",,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,
Date of version: 07/07/2021,,,,,,,,
,,,,,,,,
Table 18. Supplemental data for state governments,,,,,,,,
,,,,,,,,
State,Estimated population as of 7/1/2016 (thousands),"Personal income, calendar year 2016, amount (millions of dollars)/a","Personal income, calendar year 2016, per capita/a","Expenditures, fiscal 2016 (thousands of dollars), all functions, total (direct and intergovernmental)","Expenditures, fiscal 2016 (thousands of dollars), all functions, direct expenditure only","Expenditures, fiscal 2016 (thousands of dollars), all functions, total general expenditure/b","Full-time equivalent employment, 3/1/2016, all functions","Full-time equivalent employment, 3/1/2016, general functions only/c"
South Carolina,"4,958","200,333","40,406","31,336,271","25,142,432","26,345,446","79,917","78,123"
South Dakota,863,"41,960","48,621","5,078,806","4,309,666","4,540,237","14,106","14,106"
Tennessee,"6,646","290,560","43,720","31,907,326","24,639,139","29,288,255","78,599","78,599"
Texas,"27,914","1,274,395","45,654","144,881,577","112,946,189","126,884,857","309,862","309,862"
Utah,"3,042","128,929","42,383","19,641,412","16,060,993","17,579,252","57,733","57,347"
Vermont,624,"31,679","50,768","6,840,342","5,075,338","6,376,381","14,388","14,336"
Virginia,"8,410","450,870","53,611","52,321,827","40,788,028","46,340,968","126,741","124,680"
Washington,"7,295","407,654","55,881","52,736,997","40,288,703","45,450,599","126,970","126,870"
West Virginia,"1,831","67,618","36,930","15,101,059","12,482,644","13,338,162","41,422","41,340"
Wisconsin,"5,773","274,505","47,550","40,442,259","29,367,226","34,910,105","72,676","72,676"
Wyoming,584,"31,908","54,637","6,272,333","4,772,514","5,304,847","13,502","13,464"
"Note: Population figures are from the Bureau of the Census, Table 1. Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2019 (NST-EST2019-01), December 2019.",,,,,,,,
"a/""Personal income"" is from the U.S. Department of Commerce, Survey of Current Business, September 2018.",,,,,,,,
"b/""Total general expenditure"" excludes utilities, state-operated liquor stores, and insurance trust benefits.",,,,,,,,
"c/""General functions only"" FTE excludes utilities and state-operated liquor stores.",,,,,,,,
