Bureau of Justice Statistics,,,,,,
Filename: jeee16t19.csv,,,,,,
Table 19. Supplemental data for 106 large county governments,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2016 - Final NCJ 300061",,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,
Date of version: 07/07/2021,,,,,,
,,,,,,
Table 19. Supplemental data for 106 large county governments,,,,,,
,,,,,,
County,Population 2016/a,"Expenditures, fiscal 2016 (thousands of dollars), all functions, total (direct and intergovernmental)","Expenditures, fiscal 2016 (thousands of dollars), all functions, direct expenditure only","Expenditures, fiscal 2016 (thousands of dollars), all functions, total general expenditure/b","Full-time equivalent employment, March 2016, all functions","Full-time equivalent employment, March 2016, general functions only/c"
"Polk, FL","666,236","612,491","612,491","532,407","4,411","4,247"
"Prince Georges, MD","907,939","4,220,137","4,145,430","3,922,547","31,122","30,868"
"Riverside, CA","2,382,570","4,442,185","4,406,694","4,442,185","23,066","23,066"
"Sacramento, CA","1,511,510","3,355,783","3,279,384","2,887,455","12,442","11,995"
"Salt Lake, UT","1,120,684","873,172","872,595","873,172","5,196","5,196"
"San Bernardino, CA","2,134,174","4,111,579","3,926,652","3,639,227","19,958","19,957"
"San Diego, CA","3,310,280","4,965,926","4,677,338","4,336,901","19,685","19,685"
"San Joaquin, CA","732,185","1,622,976","1,568,457","1,432,987","7,230","7,230"
"San Mateo, CA","768,204","1,859,645","1,771,689","1,676,510","5,593","5,582"
"Santa Clara, CA","1,929,581","5,755,031","5,654,930","5,755,031","19,332","19,332"
"Shelby, TN","936,759","3,007,066","2,363,802","2,923,533","23,824","23,824"
"Snohomish, WA","787,695","545,982","538,593","545,982","2,650","2,650"
"St. Louis, MO","998,025","914,431","775,548","720,247","3,999","3,999"
"Stanislaus, CA","539,542","1,173,450","1,110,180","1,060,998","4,881","4,881"
"Suffolk, NY","1,486,804","3,541,663","3,287,347","3,244,648","12,358","11,795"
"Summit, OH","541,095","477,428","477,179","477,428","3,588","3,588"
"Tarrant, TX","2,024,925","1,759,331","1,759,330","1,759,331","11,168","11,168"
"Travis, TX","1,206,383","1,134,419","1,134,419","1,134,419","7,634","7,634"
"Tulsa, OK","646,396","315,162","314,802","296,997","2,201","2,201"
"Union, NJ","553,343","603,957","568,727","603,957","3,681","3,681"
"Utah, UT","590,082","238,816","238,816","238,816","1,424","1,422"
"Ventura, CA","848,921","2,432,668","2,326,283","2,153,110","9,335","9,284"
"Wake, NC","1,048,381","2,684,056","2,573,756","2,605,637","23,774","23,774"
"Washington, OR","584,835","606,387","606,387","606,387","1,821","1,821"
"Wayne, MI","1,760,095","1,898,591","1,645,015","1,832,148","3,631","3,631"
"Westchester, NY","970,556","3,936,791","3,459,191","3,760,729","9,405","9,374"
"Will, IL","688,648","334,533","334,533","334,533","2,236","2,236"
"a/Population figures are from the Bureau of the Census, Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2017 (September 2018).",,,,,,
"b/""Total general expenditure"" excludes utilities, county-operated liquor stores, and insurance trust benefits.",,,,,,
"c/""General functions only"" FTE excludes utilities and county-operated liquor stores.",,,,,,
