Bureau of Justice Statistics,,,,,,,,,,,,,,,,,
Filename:  cjee0615.csv,,,,,,,,,,,,,,,,,
"Table #:  15 Justice system expenditure of 49 large city governments by activity and character and object, fiscal year 2006",,,,,,,,,,,,,,,,,
"Series title:  Justice Expenditure and Employment Statistical Extracts 2006, NCJ 224394",,,,,,,,,,,,,,,,,
Data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,,,,,,,,
Author:  Steven W. Perry,,,,,,,,,,,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,
Date of version:  08/29/2008,,,,,,,,,,,,,,,,,


"Table 15.  Justice system expenditure of 49 large city governments by activity and character and object, fiscal year 2006",,,,,,,,,,,,,,,,,

(Thousands of dollars.),,,,,,,,,,,,,,,,,


,,Total justice system,,,,,Police Protection,,,,,Judicial and Legal,,,,,Corrections
City,Fiscal year ends in month of_,Total,Direct expenditure Total,Direct current,Capital outlay,Intergovernmental expenditure Total,Total,Direct expenditure Total,Direct current,Capital outlay,Intergovernmental expenditure Total,Total,Direct expenditure Total,Direct current,Capital outlay,Intergovernmental expenditure Total,Total,Direct expenditure Total,Direct current,Capital outlay,Construction only,Intergovernmental expenditure Total,City
"Cleveland, OH",12,"$214,640 ","$214,412 ","$214,196 ",$216 ,$228 ,"$167,387 ","$167,387 ","$167,171 ",$216 ,$0 ,"$40,531 ","$40,531 ","$40,531 ",$0 ,$0 ,"$6,722 ","$6,494 ","$6,494 ",$0 ,$0 ,$228 ,"Cleveland, OH"
"Columbus, OH",12,"$248,073 ","$239,998 ","$237,688 ","$2,310 ","$8,075 ","$211,907 ","$211,907 ","$210,082 ","$1,825 ",$0 ,"$26,084 ","$26,084 ","$25,599 ",$485 ,$0 ,"$10,082 ","$2,007 ","$2,007 ",$0 ,$0 ,"$8,075 ","Columbus, OH"

"Dallas, TX",9,"$297,389 ","$291,036 ","$272,375 ","$18,661 ","$6,353 ","$267,785 ","$267,785 ","$249,856 ","$17,929 ",$0 ,"$21,110 ","$21,110 ","$20,395 ",$715 ,$0 ,"$8,494 ","$2,141 ","$2,124 ",$17 ,$7 ,"$6,353 ","Dallas, TX"
"Denver, CO",12,"$288,896 ","$288,896 ","$288,896 ",$0 ,$0 ,"$165,189 ","$165,189 ","$165,189 ",$0 ,$0 ,"$48,699 ","$48,699 ","$48,699 ",$0 ,$0 ,"$75,008 ","$75,008 ","$75,008 ",$0 ,$0 ,$0 ,"Denver, CO"
"Detroit, MI",6,"$517,279 ","$517,279 ","$500,735 ","$16,544 ",$0 ,"$446,946 ","$446,946 ","$431,107 ","$15,839 ",$0 ,"$70,333 ","$70,333 ","$69,628 ",$705 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"Detroit, MI"
"El Paso, TX",8,"$90,618 ","$90,618 ","$90,220 ",$398 ,$0 ,"$80,782 ","$80,782 ","$80,384 ",$398 ,$0 ,"$9,836 ","$9,836 ","$9,836 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"El Paso, TX"
"Fort Worth, TX",9,"$174,473 ","$174,473 ","$169,125 ","$5,348 ",$0 ,"$160,699 ","$160,699 ","$155,351 ","$5,348 ",$0 ,"$13,774 ","$13,774 ","$13,774 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"Fort Worth, TX"
"Honolulu, HI",6,"$201,517 ","$201,517 ","$195,650 ","$5,867 ",$0 ,"$180,209 ","$180,209 ","$174,382 ","$5,827 ",$0 ,"$21,308 ","$21,308 ","$21,268 ",$40 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"Honolulu, HI"

"Houston, TX",6,"$632,020 ","$632,020 ","$587,382 ","$44,638 ",$0 ,"$570,754 ","$570,754 ","$528,909 ","$41,845 ",$0 ,"$41,321 ","$41,321 ","$38,901 ","$2,420 ",$0 ,"$19,945 ","$19,945 ","$19,572 ",$373 ,$0 ,$0 ,"Houston, TX"
"Indianapolis, IN",12,"$314,017 ","$314,017 ","$291,425 ","$22,592 ",$0 ,"$188,183 ","$188,183 ","$177,977 ","$10,206 ",$0 ,"$50,755 ","$50,755 ","$50,447 ",$308 ,$0 ,"$75,079 ","$75,079 ","$63,001 ","$12,078 ",$0 ,$0 ,"Indianapolis, IN"
"Jacksonville, FL",9,"$299,030 ","$298,527 ","$294,804 ","$3,723 ",$503 ,"$205,504 ","$205,504 ","$205,023 ",$481 ,$0 ,"$31,349 ","$30,846 ","$27,604 ","$3,242 ",$503 ,"$62,177 ","$62,177 ","$62,177 ",$0 ,$0 ,$0 ,"Jacksonville, FL"
"Kansas City, MO",4,"$159,993 ","$159,993 ","$159,993 ",$0 ,$0 ,"$147,872 ","$147,872 ","$147,872 ",$0 ,$0 ,"$12,121 ","$12,121 ","$12,121 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"Kansas City, MO"
"Long Beach, CA",6,"$180,338 ","$180,338 ","$180,106 ",$232 ,$0 ,"$170,300 ","$170,300 ","$170,068 ",$232 ,$0 ,"$10,038 ","$10,038 ","$10,038 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"Long Beach, CA"
"Los Angeles, CA",6,"$1,658,829 ","$1,658,829 ","$1,637,395 ","$21,434 ",$0 ,"$1,658,829 ","$1,658,829 ","$1,637,395 ","$21,434 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"Los Angeles, CA"

"Memphis, TN",6,"$194,889 ","$194,889 ","$193,500 ","$1,389 ",$0 ,"$180,155 ","$180,155 ","$178,766 ","$1,389 ",$0 ,"$14,734 ","$14,734 ","$14,734 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"Memphis, TN"
"Miami, FL",9,"$135,830 ","$135,830 ","$124,689 ","$11,141 ",$0 ,"$130,644 ","$130,644 ","$119,536 ","$11,108 ",$0 ,"$5,186 ","$5,186 ","$5,153 ",$33 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"Miami, FL"
"Milwaukee, WI",12,"$232,748 ","$232,748 ","$229,228 ","$3,520 ",$0 ,"$218,058 ","$218,058 ","$214,538 ","$3,520 ",$0 ,"$14,690 ","$14,690 ","$14,690 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"Milwaukee, WI"
"Minneapolis, MN",12,"$104,524 ","$104,524 ","$104,524 ",$0 ,$0 ,"$98,783 ","$98,783 ","$98,783 ",$0 ,$0 ,"$5,055 ","$5,055 ","$5,055 ",$0 ,$0 ,$686 ,$686 ,$686 ,$0 ,$0 ,$0 ,"Minneapolis, MN"
"Nashville, TN",6,"$269,030 ","$269,030 ","$267,865 ","$1,165 ",$0 ,"$158,357 ","$158,357 ","$157,192 ","$1,165 ",$0 ,"$58,621 ","$58,621 ","$58,621 ",$0 ,$0 ,"$52,052 ","$52,052 ","$52,052 ",$0 ,$0 ,$0 ,"Nashville, TN"
"Newark, NJ",12,"$151,427 ","$151,427 ","$151,085 ",$342 ,$0 ,"$140,702 ","$140,702 ","$140,404 ",$298 ,$0 ,"$10,725 ","$10,725 ","$10,681 ",$44 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"Newark, NJ"

"New Orleans, LA",12,"$256,133 ","$256,133 ","$252,961 ","$3,172 ",$0 ,"$151,464 ","$151,464 ","$151,356 ",$108 ,$0 ,"$40,882 ","$40,882 ","$40,318 ",$564 ,$0 ,"$63,787 ","$63,787 ","$61,287 ","$2,500 ",$334 ,$0 ,"New Orleans, LA"
"New York, NY",6,"$5,813,704 ","$5,776,512 ","$5,621,194 ","$155,318 ","$37,192 ","$3,970,678 ","$3,970,678 ","$3,872,293 ","$98,385 ",$0 ,"$529,269 ","$529,269 ","$527,154 ","$2,115 ",$0 ,"$1,313,757 ","$1,276,565 ","$1,221,747 ","$54,818 ","$47,818 ","$37,192 ","New York, NY"
"Oakland, CA",6,"$177,998 ","$177,998 ","$177,892 ",$106 ,$0 ,"$167,607 ","$167,607 ","$167,501 ",$106 ,$0 ,"$10,391 ","$10,391 ","$10,391 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"Oakland, CA"
"Oklahoma City, OK",6,"$147,797 ","$147,797 ","$133,086 ","$14,711 ",$0 ,"$124,544 ","$124,544 ","$120,755 ","$3,789 ",$0 ,"$23,253 ","$23,253 ","$12,331 ","$10,922 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"Oklahoma City, OK"
"Omaha, NE",7,"$97,602 ","$97,602 ","$97,602 ",$0 ,$0 ,"$89,003 ","$89,003 ","$89,003 ",$0 ,$0 ,"$8,599 ","$8,599 ","$8,599 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"Omaha, NE"
"Philadelphia, PA",6,"$1,093,635 ","$1,093,635 ","$1,085,612 ","$8,023 ",$0 ,"$509,737 ","$509,737 ","$505,650 ","$4,087 ",$0 ,"$233,556 ","$233,556 ","$232,121 ","$1,435 ",$0 ,"$350,342 ","$350,342 ","$347,841 ","$2,501 ","$1,819 ",$0 ,"Philadelphia, PA"

"Phoenix, AZ",6,"$429,985 ","$417,132 ","$390,748 ","$26,384 ","$12,853 ","$367,384 ","$367,384 ","$341,409 ","$25,975 ",$0 ,"$49,748 ","$49,748 ","$49,339 ",$409 ,$0 ,"$12,853 ",$0 ,$0 ,$0 ,$0 ,"$12,853 ","Phoenix, AZ"
"Pittsburgh, PA",12,"$60,213 ","$60,213 ","$60,213 ",$0 ,$0 ,"$57,618 ","$57,618 ","$57,618 ",$0 ,$0 ,"$2,595 ","$2,595 ","$2,595 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"Pittsburgh, PA"
"Portland, OR",6,"$143,604 ","$143,604 ","$143,204 ",$400 ,$0 ,"$137,168 ","$137,168 ","$136,768 ",$400 ,$0 ,"$6,436 ","$6,436 ","$6,436 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"Portland, OR"
"St.Louis, MO",4,"$230,836 ","$230,836 ","$226,614 ","$4,222 ",$0 ,"$148,938 ","$148,938 ","$144,716 ","$4,222 ",$0 ,"$39,290 ","$39,290 ","$39,290 ",$0 ,$0 ,"$42,608 ","$42,608 ","$42,608 ",$0 ,$0 ,$0 ,"St.Louis, MO"
"San Antonio, TX",9,"$260,750 ","$260,750 ","$256,938 ","$3,812 ",$0 ,"$241,955 ","$241,955 ","$238,200 ","$3,755 ",$0 ,"$18,795 ","$18,795 ","$18,738 ",$57 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"San Antonio, TX"
"San Diego, CA",6,"$379,595 ","$370,659 ","$370,659 ",$0 ,"$8,936 ","$336,477 ","$336,477 ","$336,477 ",$0 ,$0 ,"$34,182 ","$34,182 ","$34,182 ",$0 ,$0 ,"$8,936 ",$0 ,$0 ,$0 ,$0 ,"$8,936 ","San Diego, CA"

"San Francisco, CA",6,"$564,553 ","$564,553 ","$559,532 ","$5,021 ",$0 ,"$317,082 ","$317,082 ","$313,216 ","$3,866 ",$0 ,"$77,097 ","$77,097 ","$76,630 ",$467 ,$0 ,"$170,374 ","$170,374 ","$169,686 ",$688 ,$678 ,$0 ,"San Francisco, CA"
"San Jose, CA",6,"$226,989 ","$226,989 ","$215,391 ","$11,598 ",$0 ,"$226,989 ","$226,989 ","$215,391 ","$11,598 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"San Jose, CA"
"Seattle, WA",12,"$224,670 ","$212,777 ","$207,188 ","$5,589 ","$11,893 ","$190,171 ","$190,149 ","$185,141 ","$5,008 ",$22 ,"$21,309 ","$21,209 ","$20,628 ",$581 ,$100 ,"$13,190 ","$1,419 ","$1,419 ",$0 ,$0 ,"$11,771 ","Seattle, WA"
"Toledo, OH",12,"$86,306 ","$77,824 ","$77,824 ",$0 ,"$8,482 ","$61,363 ","$60,139 ","$60,139 ",$0 ,"$1,224 ","$15,237 ","$15,237 ","$15,237 ",$0 ,$0 ,"$9,706 ","$2,448 ","$2,448 ",$0 ,$0 ,"$7,258 ","Toledo, OH"
"Tucson, AZ",6,"$149,645 ","$149,645 ","$149,645 ",$0 ,$0 ,"$134,285 ","$134,285 ","$134,285 ",$0 ,$0 ,"$15,360 ","$15,360 ","$15,360 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"Tucson, AZ"
"Tulsa, OK",6,"$77,880 ","$77,880 ","$77,880 ",$0 ,$0 ,"$73,023 ","$73,023 ","$73,023 ",$0 ,$0 ,"$4,857 ","$4,857 ","$4,857 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"Tulsa, OK"
"Washington, DC",9,"$770,689 ","$770,689 ","$749,884 ","$20,805 ",$0 ,"$493,234 ","$493,234 ","$474,701 ","$18,533 ",$0 ,"$71,897 ","$71,897 ","$71,819 ",$78 ,$0 ,"$205,558 ","$205,558 ","$203,364 ","$2,194 ","$2,194 ",$0 ,"Washington, DC"

"Notes:  Fiscal years end in months between July 2005 and June 2006, except for Washington DC, whose fiscal year ended on September 30, 2006.  ",,,,,,,,,,,,,,,,,,,,,,,
Jurisdictions without data did not report for 2006.,,,,,,,,,,,,,,,,,,,,,,,
