Bureau of Justice Statistics,,,,,,,,,,
Filename:  cjee0614.csv,,,,,,,,,,
"Table #:  14 Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment of 68 large county governments, March 2006",,,,,,,,,,
"Series title:  Justice Expenditure and Employment Statistical Extracts 2006, NCJ 224394",,,,,,,,,,
Data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,
Author:  Steven W. Perry,,,,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,
Date of version:  08/29/2008,,,,,,,,,,

"Table 14.  Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment of 68 large county governments, March 2006",,,,,,,,,,


(Payroll amounts in thousands of dollars),,,,,,,,,,


,No. employees,,Full-time equiv. employment,,,,,No. employees,,Full-time equiv. employment
County,Total,Full-time only,Number,Percent of total police protection full-time equiv.,,March pay-rolls,Average earnings of full-time employees($),Total,Full-time only,Number,Percent of total police protection full-time equiv.,,March pay-rolls
"Pinellas, FL",770,770,770,43.6,,"$4,093 ","$5,315 ","1,178",954,995,56.4,,"$3,758 "
"Prince Georges, MD","1,369","1,369","1,369",61.1,,"$8,965 ","$6,549 ",904,789,873,38.9,,"$4,502 "
"Riverside, CA","1,699","1,683","1,691",83.1,,"$11,999 ","$7,105 ",345,345,345,16.9,,"$1,803 "
"Sacramento, CA",862,853,859,55.9,,"$7,803 ","$9,118 ",677,677,677,44.1,,"$5,387 "
"St. Louis, MO",757,757,757,78.8,,"$3,383 ","$4,469 ",212,195,204,21.2,,$797 
"Salt Lake, UT",264,264,264,56.5,,"$1,091 ","$4,134 ",278,140,203,43.5,,$570 
"San Bernadino, CA","1,371","1,341","1,351",58.3,,"$9,178 ","$6,814 ",988,943,965,41.7,,"$4,322 "

"San Diego, CA","1,843","1,827","1,835",55.7,,"$11,883 ","$6,465 ","1,495","1,428","1,462",44.3,,"$6,677 "
"San Mateo, CA",319,304,318,64.2,,"$3,174 ","$10,269 ",179,151,177,35.8,,$736 
"Santa Clara, CA",449,449,449,63.9,,"$3,674 ","$8,183 ",277,224,254,36.1,,"$1,268 "
"Shelby, TN",348,348,348,59.1,,"$1,860 ","$5,343 ",296,238,241,40.9,,$839 
"Suffolk, NY","2,925","2,911","2,918",76.8,,"$23,222 ","$7,966 ","1,103",704,883,23.2,,"$3,351 "
"Summit, OH",114,114,114,54.3,,$467 ,"$4,098 ",96,96,96,45.7,,$278 

"Tarrant, TX",376,365,373,58.6,,"$1,707 ","$4,633 ",264,264,264,41.4,,"$1,126 "
"Travis, TX",563,563,563,97.6,,"$2,490 ","$4,424 ",15,12,14,2.4,,$39 
"Union, NJ",96,96,96,57.5,,$271 ,"$2,818 ",74,71,71,42.5,,$317 
"Ventura, CA",532,514,523,70,,"$4,303 ","$8,323 ",240,214,224,30,,"$1,271 "
"Wayne, MI",409,409,409,76.3,,"$1,951 ","$4,769 ",127,127,127,23.7,,$490 
"Westchester, NY",263,263,263,60.2,,"$2,400 ","$9,124 ",176,174,174,39.8,,$840 

Notes: Payroll data shown here may not sum to equal police protection March payroll data in table 13 due to rounding.
Jurisdictions without data did not report for 2006
