State,"85,223","9,719","9,613","9,642",11.3,,"1,432","1,432","1,432",14.9,,"3,429","3,334","3,356",34.8,,"4,858","4,847","4,854",50.3,,State
"Local, total","188,349","18,567","16,373","17,166",9.1,,"13,056","11,759","12,305",71.7,,"2,196","1,576","1,714",10,,"3,315","3,038","3,147",18.3,,"Local, total"
Counties,"19,514","6,951","6,492","6,725",34.5,,"3,149","2,956","3,043",45.2,,978,906,944,14,,"2,824","2,630","2,738",40.7,,Counties
Municipalities,"38,062","11,616","9,881","10,441",27.4,,"9,907","8,803","9,262",88.7,,"1,218",670,770,7.4,,491,408,409,3.9,,Municipalities

Alaska,"52,318","5,086","4,778","4,881",9.3,,"1,819","1,639","1,682",34.5,,"1,446","1,365","1,398",28.6,,"1,821","1,774","1,801",36.9,,Alaska
State,"25,151","3,589","3,412","3,478",13.8,,499,434,444,12.8,,"1,344","1,269","1,301",37.4,,"1,746","1,709","1,733",49.8,,State
"Local, total","27,167","1,497","1,366","1,403",5.2,,"1,320","1,205","1,238",88.2,,102,96,97,6.9,,75,65,68,4.8,,"Local, total"
Boroughs,"9,714",107,99,104,1.1,,73,67,71,68.3,,26,24,25,24,,8,8,8,7.7,,Boroughs
Municipalities,"17,120","1,390","1,267","1,299",7.6,,"1,247","1,138","1,167",89.8,,76,72,72,5.5,,67,57,60,4.6,,Municipalities

Arizona,"279,428","47,432","46,207","46,769",16.7,,"20,883","20,515","20,662",44.2,,"11,320","10,713","10,994",23.5,,"15,229","14,979","15,113",32.3,,Arizona
State,"66,858","14,127","13,899","14,015",21,,"2,037","1,999","2,013",14.4,,"2,347","2,229","2,292",16.4,,"9,743","9,671","9,710",69.3,,State
"Local, total","212,570","33,305","32,308","32,754",15.4,,"18,846","18,516","18,649",56.9,,"8,973","8,484","8,702",26.6,,"5,486","5,308","5,403",16.5,,"Local, total"
Counties,"31,308","17,446","16,922","17,176",54.9,,"5,253","5,190","5,215",30.4,,"6,755","6,472","6,606",38.5,,"5,438","5,260","5,355",31.2,,Counties
Municipalities,"53,865","15,859","15,386","15,578",28.9,,"13,593","13,326","13,434",86.2,,"2,218","2,012","2,096",13.5,,48,48,48,0.3,,Municipalities

Arkansas,"164,077","19,813","18,001","18,466",11.3,,"9,208","8,272","8,493",46,,"3,520","2,842","3,041",16.5,,"7,085","6,887","6,932",37.5,,Arkansas
State,"58,147","7,479","7,400","7,446",12.8,,"1,178","1,174","1,178",15.8,,"1,355","1,281","1,322",17.8,,"4,946","4,945","4,946",66.4,,State
"Local, total","105,930","12,334","10,601","11,020",10.4,,"8,030","7,098","7,315",66.4,,"2,165","1,561","1,719",15.6,,"2,139","1,942","1,986",18,,"Local, total"
Counties,"12,615","5,558","4,863","5,030",39.9,,"2,279","2,045","2,096",41.7,,"1,251",986,"1,058",21,,"2,028","1,832","1,876",37.3,,Counties
Municipalities,"19,809","6,776","5,738","5,990",30.2,,"5,751","5,053","5,219",87.1,,914,575,661,11,,111,110,110,1.8,,Municipalities

California,"1,777,885","241,550","227,112","234,270",13.2,,"105,497","97,815","101,004",43.1,,"52,198","49,414","50,846",21.7,,"83,855","79,883","82,420",35.2,,California
State,"393,609","69,307","65,615","67,523",17.2,,"13,563","12,316","12,600",18.7,,"4,696","4,244","4,432",6.6,,"51,048","49,055","50,491",74.8,,State
"Local, total","1,384,276","172,243","161,497","166,747",12,,"91,934","85,499","88,404",53,,"47,502","45,170","46,414",27.8,,"32,807","30,828","31,929",19.1,,"Local, total"
Counties,"350,256","107,784","102,033","105,013",30,,"32,320","30,788","31,462",30,,"43,889","41,649","42,854",40.8,,"31,575","29,596","30,697",29.2,,Counties
Municipalities,"244,877","64,459","59,464","61,734",25.2,,"59,614","54,711","56,942",92.2,,"3,613","3,521","3,560",5.8,,"1,232","1,232","1,232",2,,Municipalities

Colorado,"251,484","31,505","29,683","30,608",12.2,,"14,016","13,638","13,874",45.3,,"6,968","5,736","6,304",20.6,,"10,521","10,309","10,430",34.1,,Colorado
State,"67,451","11,767","10,863","11,412",16.9,,"1,179","1,160","1,170",10.3,,"4,000","3,182","3,673",32.2,,"6,588","6,521","6,569",57.6,,State
"Local, total","184,033","19,738","18,820","19,196",10.4,,"12,837","12,478","12,704",66.2,,"2,968","2,554","2,631",13.7,,"3,933","3,788","3,861",20.1,,"Local, total"
Counties,"26,622","7,827","7,555","7,682",28.9,,"3,784","3,699","3,735",48.6,,"1,117","1,066","1,089",14.2,,"2,926","2,790","2,858",37.2,,Counties
Municipalities,"45,079","11,911","11,265","11,514",25.5,,"9,053","8,779","8,969",77.9,,"1,851","1,488","1,542",13.4,,"1,007",998,"1,003",8.7,,Municipalities

Connecticut,"187,363","25,575","22,835","23,628",12.6,,"12,575","10,296","10,949",46.3,,"5,147","4,834","4,893",20.7,,"7,853","7,705","7,786",33,,Connecticut
State,"61,971","14,890","14,410","14,566",23.5,,"2,091","2,040","2,069",14.2,,"4,946","4,665","4,711",32.3,,"7,853","7,705","7,786",53.5,,State
"Local, total","125,392","10,685","8,425","9,062",7.2,,"10,484","8,256","8,880",98,,201,169,182,2,, -   , -   , -   ,0,,"Local, total"
Municipalities,"115,722","10,685","8,425","9,062",7.8,,"10,484","8,256","8,880",98,,201,169,182,2,, -   , -   , -   ,0,,Municipalities

Delaware,"48,182","7,310","6,924","7,113",14.8,,"2,673","2,421","2,531",35.6,,"1,791","1,725","1,761",24.8,,"2,846","2,778","2,821",39.7,,Delaware
State,"25,614","5,499","5,367","5,446",21.3,,975,960,967,17.8,,"1,678","1,629","1,658",30.4,,"2,846","2,778","2,821",51.8,,State
"Local, total","22,568","1,811","1,557","1,667",7.4,,"1,698","1,461","1,564",93.8,,113,96,103,6.2,, -   , -   , -   ,0,,"Local, total"
Counties,"2,518",688,515,608,24.1,,615,447,538,88.5,,73,68,70,11.5,, -   , -   , -   ,0,,Counties
Municipalities,"3,227","1,123","1,042","1,059",32.8,,"1,083","1,014","1,026",96.9,,40,28,33,3.1,, -   , -   , -   ,0,,Municipalities

District of Columbia,"45,951","6,961","6,793","6,872",15,,"4,434","4,310","4,363",63.5,,"1,701","1,659","1,684",24.5,,826,824,825,12,,District of Columbia
"Local, total","45,951","6,961","6,793","6,872",15,,"4,434","4,310","4,363",63.5,,"1,701","1,659","1,684",24.5,,826,824,825,12,,"Local, total"
Municipality,"36,172","6,961","6,793","6,872",19,,"4,434","4,310","4,363",63.5,,"1,701","1,659","1,684",24.5,,826,824,825,12,,Municipality

Florida,"848,544","147,109","139,245","142,412",16.8,,"68,835","62,541","64,887",45.6,,"34,212","32,849","33,575",23.6,,"44,062","43,855","43,950",30.9,,Florida
State,"191,215","53,667","52,971","53,344",27.9,,"4,477","4,450","4,461",8.4,,"20,387","19,744","20,093",37.7,,"28,803","28,777","28,790",54,,State
"Local, total","657,329","93,442","86,274","89,068",13.5,,"64,358","58,091","60,426",67.8,,"13,825","13,105","13,482",15.1,,"15,259","15,078","15,160",17,,"Local, total"
Counties,"164,948","62,009","57,774","59,401",36,,"34,024","30,556","31,842",53.6,,"13,160","12,574","12,833",21.6,,"14,825","14,644","14,726",24.8,,Counties
Municipalities,"112,697","31,433","28,500","29,667",26.3,,"30,334","27,535","28,584",96.3,,665,531,649,2.2,,434,434,434,1.5,,Municipalities

Georgia,"502,299","71,455","65,664","68,029",13.5,,"27,310","24,917","25,781",37.9,,"14,808","12,386","13,300",19.6,,"29,337","28,361","28,948",42.6,,Georgia
State,"124,361","25,472","24,830","25,186",20.3,,"2,030","2,002","2,018",8,,"3,473","3,435","3,446",13.7,,"19,969","19,393","19,722",78.3,,State
"Local, total","377,938","45,983","40,834","42,843",11.3,,"25,280","22,915","23,763",55.5,,"11,335","8,951","9,854",23,,"9,368","8,968","9,226",21.5,,"Local, total"
Counties,"64,961","29,765","26,474","27,868",42.9,,"11,746","10,861","11,239",40.3,,"9,697","7,665","8,432",30.3,,"8,322","7,948","8,197",29.4,,Counties
Municipalities,"43,790","16,218","14,360","14,975",34.2,,"13,534","12,054","12,524",83.6,,"1,638","1,286","1,422",9.5,,"1,046","1,020","1,029",6.9,,Municipalities

Hawaii,"69,302","9,111","8,851","8,935",12.9,,"3,809","3,635","3,676",41.1,,"2,984","2,909","2,947",33,,"2,318","2,307","2,312",25.9,,Hawaii
State,"54,958","4,730","4,656","4,692",8.5,, -   , -   , -   ,0,,"2,412","2,349","2,380",50.7,,"2,318","2,307","2,312",49.3,,State
"Local, total","14,344","4,381","4,195","4,243",29.6,,"3,809","3,635","3,676",86.6,,572,560,567,13.4,, -   , -   , -   ,0,,"Local, total"
Counties,"5,441","1,433","1,348","1,371",25.2,,"1,179","1,098","1,119",81.6,,254,250,252,18.4,, -   , -   , -   ,0,,Counties
Municipalities,"9,061","2,948","2,847","2,872",31.7,,"2,630","2,537","2,557",89,,318,310,315,11,, -   , -   , -   ,0,,Municipalities

Idaho,"76,527","9,238","8,467","8,675",11.3,,"4,206","3,806","3,876",44.7,,"1,838","1,704","1,750",20.2,,"3,194","2,957","3,049",35.1,,Idaho
State,"22,259","2,852","2,815","2,837",12.7,,499,496,498,17.6,,464,464,464,16.4,,"1,889","1,855","1,875",66.1,,State
"Local, total","54,268","6,386","5,652","5,838",10.8,,"3,707","3,310","3,378",57.9,,"1,374","1,240","1,286",22,,"1,305","1,102","1,174",20.1,,"Local, total"
Counties,"11,994","4,497","3,911","4,066",33.9,,"1,916","1,661","1,703",41.9,,"1,276","1,148","1,189",29.2,,"1,305","1,102","1,174",28.9,,Counties
Municipalities,"7,008","1,889","1,741","1,772",25.3,,"1,791","1,649","1,675",94.5,,98,92,97,5.5,, -   , -   , -   ,0,,Municipalities

Illinois,"636,238","93,957","86,048","88,942",14,,"52,158","45,385","47,828",53.8,,"17,547","16,781","17,079",19.2,,"24,252","23,882","24,035",27,,Illinois
State,"131,859","20,680","20,554","20,609",15.6,,"3,887","3,864","3,880",18.8,,"3,148","3,052","3,087",15,,"13,645","13,638","13,642",66.2,,State
"Local, total","504,379","73,277","65,494","68,333",13.5,,"48,271","41,521","43,948",64.3,,"14,399","13,729","13,992",20.5,,"10,607","10,244","10,393",15.2,,"Local, total"
Counties,"59,091","30,186","28,879","29,468",49.9,,"6,029","5,645","5,896",20,,"13,551","12,991","13,180",44.7,,"10,606","10,243","10,392",35.3,,Counties
Municipalities,"107,313","43,091","36,615","38,865",36.2,,"42,242","35,876","38,052",97.9,,848,738,812,2.1,,1,1,1,0,,Municipalities

Indiana,"329,626","41,819","37,186","38,723",11.7,,"19,592","16,735","17,421",45,,"8,346","7,472","7,863",20.3,,"13,881","12,979","13,439",34.7,,Indiana
State,"89,799","10,683","10,631","10,661",11.9,,"1,947","1,947","1,947",18.3,,"1,321","1,279","1,303",12.2,,"7,415","7,405","7,411",69.5,,State
"Local, total","239,827","31,136","26,555","28,062",11.7,,"17,645","14,788","15,474",55.1,,"7,025","6,193","6,560",23.4,,"6,466","5,574","6,028",21.5,,"Local, total"
Counties,"47,990","14,127","12,264","13,036",27.2,,"4,188","3,683","3,807",29.2,,"4,628","4,112","4,326",33.2,,"5,311","4,469","4,903",37.6,,Counties
Municipalities,"51,569","17,009","14,291","15,026",29.1,,"13,457","11,105","11,667",77.6,,"2,397","2,081","2,234",14.9,,"1,155","1,105","1,125",7.5,,Municipalities

Iowa,"186,186","16,837","15,048","15,744",8.5,,"8,225","7,455","7,649",48.6,,"3,866","3,380","3,628",23,,"4,746","4,213","4,467",28.4,,Iowa
State,"53,258","6,576","6,179","6,417",12,,906,880,888,13.8,,"2,377","2,207","2,315",36.1,,"3,293","3,092","3,214",50.1,,State
"Local, total","132,928","10,261","8,869","9,327",7,,"7,319","6,575","6,761",72.5,,"1,489","1,173","1,313",14.1,,"1,453","1,121","1,253",13.4,,"Local, total"
Counties,"28,119","5,722","4,872","5,217",18.6,,"2,870","2,652","2,728",52.3,,"1,402","1,101","1,238",23.7,,"1,450","1,119","1,251",24,,Counties
Municipalities,"21,667","4,539","3,997","4,110",19,,"4,449","3,923","4,033",98.1,,87,72,75,1.8,,3,2,2,0,,Municipalities

Kansas,"181,671","21,148","18,964","19,578",10.8,,"9,965","9,074","9,399",48,,"4,508","3,518","3,720",19,,"6,675","6,372","6,459",33,,Kansas
State,"44,393","7,185","6,961","7,040",15.9,,"1,145","1,132","1,138",16.2,,"2,236","2,054","2,119",30.1,,"3,804","3,775","3,783",53.7,,State
"Local, total","137,278","13,963","12,003","12,538",9.1,,"8,820","7,942","8,261",65.9,,"2,272","1,464","1,601",12.8,,"2,871","2,597","2,676",21.3,,"Local, total"
Counties,"24,382","6,764","6,065","6,367",26.1,,"2,989","2,751","2,885",45.3,,"1,110",922,"1,011",15.9,,"2,665","2,392","2,471",38.8,,Counties
Municipalities,"24,758","7,199","5,938","6,171",24.9,,"5,831","5,191","5,376",87.1,,"1,162",542,590,9.6,,206,205,205,3.3,,Municipalities

Kentucky,"238,456","28,679","24,505","26,516",11.1,,"12,089","10,665","11,261",42.5,,"7,558","5,876","6,817",25.7,,"9,032","7,964","8,438",31.8,,Kentucky
State,"79,266","12,071","11,111","11,744",14.8,,"2,380","2,380","2,380",20.3,,"5,412","4,617","5,235",44.6,,"4,279","4,114","4,129",35.2,,State
"Local, total","159,190","16,608","13,394","14,772",9.3,,"9,709","8,285","8,881",60.1,,"2,146","1,259","1,582",10.7,,"4,753","3,850","4,309",29.2,,"Local, total"
Counties,"20,949","8,374","5,974","7,062",33.7,,"3,308","2,623","2,953",41.8,,"1,439",622,924,13.1,,"3,627","2,729","3,185",45.1,,Counties
Municipalities,"25,973","8,234","7,420","7,710",29.7,,"6,401","5,662","5,928",76.9,,707,637,658,8.5,,"1,126","1,121","1,124",14.6,,Municipalities

Louisiana,"275,758","39,491","35,803","37,165",13.5,,"18,126","16,099","16,711",45,,"8,072","6,944","7,354",19.8,,"13,293","12,760","13,100",35.2,,Louisiana
State,"83,358","10,558","10,311","10,438",12.5,,"1,691","1,685","1,687",16.2,,"1,505","1,433","1,461",14,,"7,362","7,193","7,290",69.8,,State
"Local, total","192,400","28,933","25,492","26,727",13.9,,"16,435","14,414","15,024",56.2,,"6,567","5,511","5,893",22,,"5,931","5,567","5,810",21.7,,"Local, total"
Parishes,"43,948","14,680","13,150","13,819",31.4,,"6,648","5,902","6,219",45,,"4,307","3,727","3,932",28.5,,"3,725","3,521","3,668",26.5,,Parishes
Municipalities,"38,745","14,253","12,342","12,908",33.3,,"9,787","8,512","8,805",68.2,,"2,260","1,784","1,961",15.2,,"2,206","2,046","2,142",16.6,,Municipalities

Maine,"76,548","6,811","5,784","6,153",8,,"3,530","2,815","3,054",49.6,,"1,127",928,988,16.1,,"2,154","2,041","2,111",34.3,,Maine
State,"21,680","2,668","2,549","2,612",12,,555,555,555,21.2,,765,700,732,28,,"1,348","1,294","1,325",50.7,,State
"Local, total","54,868","4,143","3,235","3,541",6.5,,"2,975","2,260","2,499",70.6,,362,228,256,7.2,,806,747,786,22.2,,"Local, total"
Counties,"2,014","1,587","1,416","1,503",74.6,,517,461,482,32.1,,264,208,235,15.6,,806,747,786,52.3,,Counties
Municipalities,"31,794","2,556","1,819","2,038",6.4,,"2,458","1,799","2,017",99,,98,20,21,1,, -   , -   , -   ,0,,Municipalities

Maryland,"278,217","41,244","38,551","40,049",14.4,,"17,880","16,370","17,029",42.5,,"8,208","7,357","7,924",19.8,,"15,156","14,824","15,096",37.7,,Maryland
State,"90,262","19,235","18,464","19,074",21.1,,"2,498","2,462","2,491",13.1,,"4,914","4,442","4,798",25.2,,"11,823","11,560","11,785",61.8,,State
"Local, total","187,955","22,009","20,087","20,975",11.2,,"15,382","13,908","14,538",69.3,,"3,294","2,915","3,126",14.9,,"3,333","3,264","3,311",15.8,,"Local, total"
Counties,"167,754","15,894","14,517","15,193",9.1,,"10,119","9,180","9,602",63.2,,"2,442","2,073","2,280",15,,"3,333","3,264","3,311",21.8,,Counties
Municipalities,"31,563","6,115","5,570","5,782",18.3,,"5,263","4,728","4,936",85.4,,852,842,846,14.6,, -   , -   , -   ,0,,Municipalities

Massachusetts,"324,718","47,532","41,771","43,527",13.4,,"27,580","22,560","23,982",55.1,,"10,371","9,857","10,105",23.2,,"9,581","9,354","9,440",21.7,,Massachusetts
State,"90,989","22,654","21,967","22,273",24.5,,"5,977","5,900","5,927",26.6,,"10,079","9,617","9,846",44.2,,"6,598","6,450","6,500",29.2,,State
"Local, total","233,729","24,878","19,804","21,254",9.1,,"21,603","16,660","18,055",84.9,,292,240,259,1.2,,"2,983","2,904","2,940",13.8,,"Local, total"
Counties,"2,515","1,914","1,835","1,871",74.4,,14,14,14,0.7,,1,1,1,0.1,,"1,899","1,820","1,856",99.2,,Counties
Municipalities,"204,219","22,964","17,969","19,383",9.5,,"21,589","16,646","18,041",93.1,,291,239,258,1.3,,"1,084","1,084","1,084",5.6,,Municipalities

Michigan,"498,694","61,832","55,676","58,363",11.7,,"26,141","22,248","23,651",40.5,,"12,340","11,102","11,800",20.2,,"23,351","22,326","22,912",39.3,,Michigan
State,"134,918","21,758","21,446","21,657",16.1,,"2,846","2,786","2,810",13,,"1,578","1,514","1,553",7.2,,"17,334","17,146","17,294",79.9,,State
"Local, total","363,776","40,074","34,230","36,706",10.1,,"23,295","19,462","20,841",56.8,,"10,762","9,588","10,247",27.9,,"6,017","5,180","5,618",15.3,,"Local, total"
Counties,"51,838","20,282","17,979","19,221",37.1,,"5,780","5,068","5,428",28.2,,"8,612","7,830","8,285",43.1,,"5,890","5,081","5,508",28.7,,Counties
Municipalities,"67,432","19,792","16,251","17,485",25.9,,"17,515","14,394","15,413",88.1,,"2,150","1,758","1,962",11.2,,127,99,110,0.6,,Municipalities

Minnesota,"271,790","28,195","24,839","26,684",9.8,,"11,794","10,372","10,919",40.9,,"6,731","5,803","6,469",24.2,,"9,670","8,664","9,296",34.8,,Minnesota
State,"76,795","8,431","7,756","8,285",10.8,,983,942,967,11.7,,"3,392","2,907","3,300",39.8,,"4,056","3,907","4,018",48.5,,State
"Local, total","194,995","19,764","17,083","18,399",9.4,,"10,811","9,430","9,952",54.1,,"3,339","2,896","3,169",17.2,,"5,614","4,757","5,278",28.7,,"Local, total"
Counties,"41,211","12,544","10,714","11,716",28.4,,"3,852","3,310","3,533",30.2,,"3,078","2,647","2,905",24.8,,"5,614","4,757","5,278",45,,Counties
Municipalities,"36,367","7,220","6,369","6,683",18.4,,"6,959","6,120","6,419",96,,261,249,264,4,, -   , -   , -   ,0,,Municipalities

Mississippi,"187,175","19,475","16,316","17,320",9.3,,"10,050","8,181","8,864",51.2,,"3,728","2,738","2,935",16.9,,"5,697","5,397","5,521",31.9,,Mississippi
State,"55,036","5,383","5,313","5,344",9.7,,"1,167","1,167","1,167",21.8,,696,644,660,12.4,,"3,520","3,502","3,517",65.8,,State
"Local, total","132,139","14,092","11,003","11,976",9.1,,"8,883","7,014","7,697",64.3,,"3,032","2,094","2,275",19,,"2,177","1,895","2,004",16.7,,"Local, total"
Counties,"29,174","6,952","5,837","6,239",21.4,,"2,945","2,399","2,622",42,,"1,901","1,612","1,682",27,,"2,106","1,826","1,935",31,,Counties
Municipalities,"22,466","7,140","5,166","5,737",25.5,,"5,938","4,615","5,075",88.5,,"1,131",482,593,10.3,,71,69,69,1.2,,Municipalities

Missouri,"316,799","44,940","41,340","42,488",13.4,,"19,373","17,754","18,232",42.9,,"9,256","7,900","8,354",19.7,,"16,311","15,686","15,902",37.4,,Missouri
State,"90,228","19,324","18,712","18,985",21,,"2,423","2,319","2,365",12.5,,"4,169","3,958","4,067",21.4,,"12,732","12,435","12,553",66.1,,State
"Local, total","226,571","25,616","22,628","23,503",10.4,,"16,950","15,435","15,867",67.5,,"5,087","3,942","4,287",18.2,,"3,579","3,251","3,349",14.2,,"Local, total"
Counties,"23,735","11,078","9,565","9,928",41.8,,"4,775","4,088","4,206",42.4,,"3,441","2,935","3,085",31.1,,"2,862","2,542","2,637",26.6,,Counties
Municipalities,"45,828","14,538","13,063","13,575",29.6,,"12,175","11,347","11,661",85.9,,"1,646","1,007","1,202",8.9,,717,709,712,5.2,,Municipalities

Montana,"54,879","6,255","5,369","5,666",10.3,,"2,733","2,432","2,535",44.7,,"1,657","1,169","1,327",23.4,,"1,865","1,768","1,804",31.8,,Montana
State,"18,933","2,189","2,042","2,116",11.2,,441,429,437,20.7,,535,434,486,23,,"1,213","1,179","1,193",56.4,,State
"Local, total","35,946","4,066","3,327","3,550",9.9,,"2,292","2,003","2,098",59.1,,"1,122",735,841,23.7,,652,589,611,17.2,,"Local, total"
Counties,"6,271","2,601","2,057","2,244",35.8,,"1,150",911,990,44.1,,824,582,668,29.8,,627,564,586,26.1,,Counties
Municipalities,"4,974","1,465","1,270","1,306",26.3,,"1,142","1,092","1,108",84.8,,298,153,173,13.2,,25,25,25,1.9,,Municipalities

Nebraska,"112,018","11,742","10,658","11,166",10,,"5,249","4,774","5,004",44.8,,"2,301","1,945","2,092",18.7,,"4,192","3,939","4,070",36.4,,Nebraska
State,"32,904","4,411","4,240","4,317",13.1,,726,724,725,16.8,,791,719,746,17.3,,"2,894","2,797","2,846",65.9,,State
"Local, total","79,114","7,331","6,418","6,849",8.7,,"4,523","4,050","4,279",62.5,,"1,510","1,226","1,346",19.7,,"1,298","1,142","1,224",17.9,,"Local, total"
Counties,"13,093","4,274","3,708","3,951",30.2,,"1,562","1,411","1,457",36.9,,"1,414","1,155","1,270",32.1,,"1,298","1,142","1,224",31,,Counties
Municipalities,"12,944","3,057","2,710","2,898",22.4,,"2,961","2,639","2,822",97.4,,96,71,76,2.6,, -   , -   , -   ,0,,Municipalities

Nevada,"100,501","17,583","16,158","16,649",16.6,,"7,805","6,911","7,179",43.1,,"3,613","3,310","3,452",20.7,,"6,165","5,937","6,018",36.1,,Nevada
State,"25,859","5,034","4,939","4,965",19.2,,844,844,844,17,,658,628,635,12.8,,"3,532","3,467","3,486",70.2,,State
"Local, total","74,642","12,549","11,219","11,684",15.7,,"6,961","6,067","6,335",54.2,,"2,955","2,682","2,817",24.1,,"2,633","2,470","2,532",21.7,,"Local, total"
Counties,"23,520","9,172","8,179","8,491",36.1,,"4,867","4,231","4,395",51.8,,"2,280","2,081","2,169",25.5,,"2,025","1,867","1,927",22.7,,Counties
Municipalities,"10,543","3,377","3,040","3,193",30.3,,"2,094","1,836","1,940",60.8,,675,601,648,20.3,,608,603,605,18.9,,Municipalities

New Hampshire,"68,785","7,990","6,531","7,055",10.3,,"4,654","3,458","3,818",54.1,,"1,294","1,134","1,240",17.6,,"2,042","1,939","1,997",28.3,,New Hampshire
State,"19,076","2,726","2,649","2,687",14.1,,430,415,416,15.5,,919,918,919,34.2,,"1,377","1,316","1,352",50.3,,State
"Local, total","49,709","5,264","3,882","4,368",8.8,,"4,224","3,043","3,402",77.9,,375,216,321,7.3,,665,623,645,14.8,,"Local, total"
Counties,"3,913","1,299","1,006","1,170",29.9,,321,219,259,22.1,,313,164,266,22.7,,665,623,645,55.1,,Counties
Municipalities,"18,671","3,965","2,876","3,198",17.1,,"3,903","2,824","3,143",98.3,,62,52,55,1.7,, -   , -   , -   ,0,,Municipalities

New Jersey,"504,306","85,161","72,817","77,159",15.3,,"43,224","34,187","37,288",48.3,,"25,009","21,827","23,004",29.8,,"16,928","16,803","16,867",21.9,,New Jersey
State,"156,768","30,016","29,689","29,852",19,,"4,661","4,635","4,648",15.6,,"15,097","14,816","14,958",50.1,,"10,258","10,238","10,246",34.3,,State
"Local, total","347,538","55,145","43,128","47,307",13.6,,"38,563","29,552","32,640",69,,"9,912","7,011","8,046",17,,"6,670","6,565","6,621",14,,"Local, total"
Counties,"62,415","13,852","13,587","13,715",22,,"2,797","2,710","2,744",20,,"4,386","4,313","4,351",31.7,,"6,669","6,564","6,620",48.3,,Counties
Municipalities,"106,671","41,293","29,541","33,592",31.5,,"35,766","26,842","29,896",89,,"5,526","2,698","3,695",11,,1,1,1,0,,Municipalities

New Mexico,"128,677","15,697","14,596","15,096",11.7,,"6,296","5,670","5,924",39.2,,"3,526","3,220","3,342",22.1,,"5,875","5,706","5,830",38.6,,New Mexico
State,"50,783","7,790","7,534","7,699",15.2,,757,757,757,9.8,,"3,033","2,880","2,967",38.5,,"4,000","3,897","3,975",51.6,,State
"Local, total","77,894","7,907","7,062","7,397",9.5,,"5,539","4,913","5,167",69.9,,493,340,375,5.1,,"1,875","1,809","1,855",25.1,,"Local, total"
Counties,"8,412","3,101","2,785","2,950",35.1,,"1,647","1,443","1,542",52.3,,106,48,78,2.6,,"1,348","1,294","1,330",45.1,,Counties
Municipalities,"17,851","4,806","4,277","4,447",24.9,,"3,892","3,470","3,625",81.5,,387,292,297,6.7,,527,515,525,11.8,,Municipalities

New York,"1,187,961","194,445","172,598","181,697",15.3,,"98,962","84,266","90,519",49.8,,"35,534","29,718","31,817",17.5,,"59,949","58,614","59,361",32.7,,New York
State,"249,208","60,689","59,327","60,292",24.2,,"6,440","6,283","6,418",10.6,,"20,175","19,424","19,983",33.1,,"34,074","33,620","33,891",56.2,,State
"Local, total","938,753","133,756","113,271","121,405",12.9,,"92,522","77,983","84,101",69.3,,"15,359","10,294","11,834",9.7,,"25,875","24,994","25,470",21,,"Local, total"
