Illinois,"$1,139,669 ","$949,879 ","$942,327 ","$5,436 ","$2,116 ",83.3,,"$189,790 ","$188,051 ","$1,739 ",16.7
Indiana,"$599,867 ","$548,151 ","$535,120 ","$10,188 ","$2,843 ",91.4,,"$51,716 ","$50,978 ",$738 ,8.6
Iowa,"$237,279 ","$224,159 ","$222,117 ",$715 ,"$1,327 ",94.5,,"$13,120 ","$11,562 ","$1,558 ",5.5

Kansas,"$268,636 ","$239,714 ","$236,181 ","$2,309 ","$1,224 ",89.2,,"$28,922 ","$28,758 ",$164 ,10.8
Kentucky,"$438,238 ","$396,198 ","$380,011 ","$11,520 ","$4,667 ",90.4,,"$42,040 ","$40,997 ","$1,043 ",9.6
Louisiana,"$499,385 ","$387,801 ","$366,959 ","$19,554 ","$1,288 ",77.7,,"$111,584 ","$111,075 ",$509 ,22.3
Maine,"$126,673 ","$90,804 ","$90,225 ",$17 ,$562 ,71.7,,"$35,869 ","$35,436 ",$433 ,28.3
Maryland,"$1,157,766 ","$903,448 ","$863,301 ","$32,874 ","$7,273 ",78,,"$254,318 ","$253,740 ",$578 ,22

Massachusetts,"$878,056 ","$575,259 ","$556,313 ","$11,798 ","$7,148 ",65.5,,"$302,797 ","$276,751 ","$26,046 ",34.5
Michigan,"$1,685,004 ","$1,449,217 ","$1,448,527 ",$255 ,$435 ,86,,"$235,787 ","$235,282 ",$505 ,14
Minnesota,"$379,616 ","$241,510 ","$232,239 ","$4,752 ","$4,519 ",63.6,,"$138,106 ","$135,577 ","$2,529 ",36.4
Mississippi,"$283,252 ","$256,822 ","$254,708 ",$47 ,"$2,067 ",90.7,,"$26,430 ","$25,758 ",$672 ,9.3
Missouri,"$601,655 ","$534,254 ","$517,331 ","$9,437 ","$7,486 ",88.8,,"$67,401 ","$61,229 ","$6,172 ",11.2

Montana,"$143,466 ","$108,469 ","$107,331 ",$466 ,$672 ,75.6,,"$34,997 ","$34,482 ",$515 ,24.4
Nebraska,"$198,847 ","$84,506 ","$83,268 ","$1,071 ",$167 ,42.5,,"$114,341 ","$112,507 ","$1,834 ",57.5
Nevada,"$261,167 ","$212,224 ","$203,963 ","$5,359 ","$2,902 ",81.3,,"$48,943 ","$46,895 ","$2,048 ",18.7
New Hampshire,"$112,857 ","$84,917 ","$72,991 ","$10,718 ","$1,208 ",75.2,,"$27,940 ","$27,627 ",$313 ,24.8
New Jersey,"$1,336,092 ","$1,001,180 ","$992,851 ","$5,140 ","$3,189 ",74.9,,"$334,912 ","$326,561 ","$8,351 ",25.1

New Mexico,"$291,164 ","$216,904 ","$214,442 ","$1,337 ","$1,125 ",74.5,,"$74,260 ","$73,505 ",$755 ,25.5
New York,"$2,591,379 ","$2,248,745 ","$2,012,411 ","$206,846 ","$29,488 ",86.8,,"$342,634 ","$335,328 ","$7,306 ",13.2
North Carolina,"$1,147,569 ","$976,023 ","$924,063 ","$41,631 ","$10,329 ",85.1,,"$171,546 ","$167,606 ","$3,940 ",14.9
North Dakota,"$55,565 ","$53,765 ","$51,992 ","$1,417 ",$356 ,96.8,,"$1,800 ","$1,799 ",$1 ,3.2
Ohio,"$1,450,522 ","$1,130,270 ","$1,073,955 ","$49,704 ","$6,611 ",77.9,,"$320,252 ","$301,237 ","$19,015 ",22.1

Oklahoma,"$541,284 ","$410,561 ","$404,997 ","$2,690 ","$2,874 ",75.8,,"$130,723 ","$120,989 ","$9,734 ",24.2
Oregon,"$542,474 ","$423,545 ","$361,322 ","$60,948 ","$1,275 ",78.1,,"$118,929 ","$117,315 ","$1,614 ",21.9
Pennsylvania,"$1,514,846 ","$1,432,708 ","$1,321,007 ","$108,364 ","$3,337 ",94.6,,"$82,138 ","$81,204 ",$934 ,5.4
Rhode Island,"$172,162 ","$158,460 ","$150,429 ","$7,526 ",$505 ,92,,"$13,702 ","$13,608 ",$94 ,8
South Carolina,"$436,117 ","$385,621 ","$373,687 ","$7,415 ","$4,519 ",88.4,,"$50,496 ","$49,481 ","$1,015 ",11.6

South Dakota,"$106,073 ","$90,000 ","$88,664 ",$893 ,$443 ,84.8,,"$16,073 ","$11,441 ","$4,632 ",15.2
Tennessee,"$509,065 ","$424,011 ","$387,265 ","$36,483 ",$263 ,83.3,,"$85,054 ","$84,681 ",$373 ,16.7
Texas,"$3,043,667 ","$2,758,708 ","$2,691,824 ","$14,216 ","$52,668 ",90.6,,"$284,959 ","$284,089 ",$870 ,9.4
Utah,"$301,100 ","$244,891 ","$240,605 ",$13 ,"$4,273 ",81.3,,"$56,209 ","$54,389 ","$1,820 ",18.7
Vermont,"$101,302 ","$48,559 ","$48,320 ",$21 ,$218 ,47.9,,"$52,743 ","$52,511 ",$232 ,52.1

Virginia,"$1,079,101 ","$784,070 ","$771,265 ","$2,553 ","$10,252 ",72.7,,"$295,031 ","$288,739 ","$6,292 ",27.3
Washington,"$952,978 ","$669,741 ","$572,528 ","$91,616 ","$5,597 ",70.3,,"$283,237 ","$279,217 ","$4,020 ",29.7
West Virginia,"$213,974 ","$193,654 ","$191,805 ",$375 ,"$1,474 ",90.5,,"$20,320 ","$18,506 ","$1,814 ",9.5
Wisconsin,"$851,641 ","$699,998 ","$675,441 ","$15,586 ","$8,971 ",82.2,,"$151,643 ","$149,943 ","$1,700 ",17.8
Wyoming,"$126,169 ","$96,701 ","$70,040 ","$25,419 ","$1,242 ",76.6,,"$29,468 ","$29,403 ",$65 ,23.4
