"Los Angeles, CA","3,849,378","$12,314,958 ","$12,314,958 ","$7,252,485 ","52,104","44,217"

"Memphis, TN","670,902","$3,507,811 ","$3,479,144 ","$1,815,315 ","25,482","22,307"
"Miami, FL","404,048","$825,261 ","$825,261 ","$700,270 ","4,030","4,030"
"Milwaukee, WI","573,358","$1,301,584 ","$1,274,407 ","$1,026,207 ","7,909","7,581"
"Minneapolis, MN","372,833","$1,198,508 ","$1,153,628 ","$933,976 ","5,526","5,262"
"Nashville, TN","552,120","$3,269,977 ","$3,268,737 ","$2,046,205 ","21,167","19,646"
"Newark, NJ","281,402","$784,492 ","$733,166 ","$764,933 ","6,219","6,059"

"New Orleans, LA","223,388","$1,458,528 ","$1,458,528 ","$1,320,139 ","9,510","8,737"
"New York, NY","8,214,426","$82,454,013 ","$77,456,286 ","$66,237,218 ","416,581","367,553"
"Oakland, CA","397,067","$1,240,505 ","$1,240,505 ","$1,168,186 ","5,746","5,746"
"Oklahoma City, OK","537,734","$1,114,567 ","$1,114,567 ","$959,812 ","4,555","4,208"
"Omaha, NE","419,545","$486,490 ","$486,490 ","$436,150 ","2,748","2,748"
"Philadelphia, PA","1,448,394","$6,745,188 ","$6,659,695 ","$5,077,394 ","29,978","27,058"

"Phoenix, AZ","1,512,986","$3,361,634 ","$3,348,606 ","$2,592,443 ","14,679","13,316"
"Pittsburgh, PA","312,819","$570,847 ","$566,807 ","$494,741 ","3,269","3,269"
"Portland, OR","537,081","$1,209,864 ","$1,209,864 ","$1,059,009 ","5,443","5,000"
"St.Louis, MO","347,181","$1,042,273 ","$1,012,609 ","$891,362 ","6,467","6,087"
"San Antonio, TX","1,296,682","$3,624,822 ","$3,624,822 ","$1,545,594 ","16,184","11,068"
"San Diego, CA","1,256,951","$2,430,643 ","$2,418,307 ","$1,803,037 ","10,864","9,960"

"San Francisco, CA","744,041","$6,907,812 ","$6,907,763 ","$5,304,579 ","27,689","22,777"
"San Jose, CA","929,936","$1,894,270 ","$1,866,086 ","$1,702,924 ","6,509","6,468"
"Seattle, WA","582,454","$2,424,244 ","$2,310,945 ","$1,399,882 ","12,261","9,471"
"Toledo, OH","298,446","$494,287 ","$480,719 ","$448,619 ","2,888","2,584"
"Tucson, AZ","518,956","$874,142 ","$874,142 ","$693,534 ","6,091","5,544"
"Tulsa, OK","382,872","$650,548 ","$650,004 ","$534,462 ","4,215","3,726"
"Washington, DC","581,530","$8,542,746 ","$8,290,565 ","$8,255,853 ","36,172","35,691"

Note: Jurisdictions without data did not report for 2006.,,,,,,
"a/ Population data are from the Bureau of the Census, July 1, 2007 Population Estimates for Places and Minor Civil Divisions.",,,,,,
"b/ ""Total general expenditure"" excludes utilities, city-operated liquor stores, and insurance benefits.",,,,,,
"c/ ""General functions only"" FTE excludes utilities and city-operated liquor stores.",,,,,,
