Bureau of Justice Statistics,,,,,,,,,,,,
Arkansas,"$445,828 ","$48,839 ",11,,"$24,163 ",49.5,,"$8,234 ",16.9,,"$16,442 ",33.7
State,"$177,771 ","$20,029 ",11.3,,"$3,734 ",18.6,,"$3,953 ",19.7,,"$12,342 ",61.6
"Local, total","$268,057 ","$28,810 ",10.7,,"$20,429 ",70.9,,"$4,281 ",14.9,,"$4,100 ",14.2
Counties,"$28,030 ","$11,288 ",40.3,,"$5,143 ",45.6,,"$2,306 ",20.4,,"$3,839 ",34
Municipalities,"$56,733 ","$17,522 ",30.9,,"$15,286 ",87.2,,"$1,975 ",11.3,,$261 ,1.5

California,"$8,580,510 ","$1,392,267 ",16.2,,"$647,786 ",46.5,,"$299,262 ",21.5,,"$445,218 ",32
State,"$2,051,087 ","$375,505 ",18.3,,"$66,771 ",17.8,,"$24,768 ",6.6,,"$283,966 ",75.6
"Local, total","$6,529,424 ","$1,016,762 ",15.6,,"$581,015 ",57.1,,"$274,494 ",27,,"$161,253 ",15.9
Counties,"$1,720,446 ","$597,223 ",34.7,,"$197,174 ",33,,"$247,039 ",41.4,,"$153,010 ",25.6
Municipalities,"$1,420,552 ","$419,539 ",29.5,,"$383,840 ",91.5,,"$27,455 ",6.5,,"$8,243 ",2

Colorado,"$953,593 ","$136,186 ",14.3,,"$66,576 ",48.9,,"$27,825 ",20.4,,"$41,786 ",30.7
State,"$290,900 ","$49,126 ",16.9,,"$6,370 ",13,,"$16,626 ",33.8,,"$26,130 ",53.2
"Local, total","$662,693 ","$87,060 ",13.1,,"$60,206 ",69.2,,"$11,199 ",12.9,,"$15,655 ",18
Counties,"$97,819 ","$32,338 ",33.1,,"$15,952 ",49.3,,"$5,073 ",15.7,,"$11,313 ",35
Municipalities,"$192,705 ","$54,722 ",28.4,,"$44,254 ",80.9,,"$6,126 ",11.2,,"$4,342 ",7.9

Connecticut,"$844,202 ","$115,969 ",13.7,,"$57,100 ",49.2,,"$21,871 ",18.9,,"$36,997 ",31.9
State,"$305,528 ","$68,466 ",22.4,,"$10,524 ",15.4,,"$20,944 ",30.6,,"$36,997 ",54
"Local, total","$538,674 ","$47,503 ",8.8,,"$46,576 ",98,,$927 ,2,,$0 ,0
Municipalities,"$504,944 ","$47,503 ",9.4,,"$46,576 ",98,,$927 ,2,,$0 ,0

Delaware,"$181,965 ","$30,627 ",16.8,,"$12,355 ",40.3,,"$7,531 ",24.6,,"$10,741 ",35.1
State,"$98,775 ","$23,177 ",23.5,,"$5,360 ",23.1,,"$7,076 ",30.5,,"$10,741 ",46.3
"Local, total","$83,190 ","$7,450 ",9,,"$6,995 ",93.9,,$455 ,6.1,,$0 ,0
Counties,"$10,581 ","$2,981 ",28.2,,"$2,678 ",89.8,,$304 ,10.2,,$0 ,0
Municipalities,"$12,025 ","$4,468 ",37.2,,"$4,317 ",96.6,,$152 ,3.4,,$0 ,0

District of Columbia,"$213,448 ","$41,024 ",19.2,,"$26,640 ",64.9,,"$10,247 ",25,,"$4,137 ",10.1
"Local, total","$213,448 ","$41,024 ",19.2,,"$26,640 ",64.9,,"$10,247 ",25,,"$4,137 ",10.1
Municipality,"$173,794 ","$41,024 ",23.6,,"$26,640 ",64.9,,"$10,247 ",25,,"$4,137 ",10.1

Florida,"$2,875,581 ","$552,576 ",19.2,,"$280,427 ",50.7,,"$126,512 ",22.9,,"$145,637 ",26.4
State,"$657,006 ","$178,204 ",27.1,,"$16,146 ",9.1,,"$77,402 ",43.4,,"$84,656 ",47.5
"Local, total","$2,218,575 ","$374,372 ",16.9,,"$264,281 ",70.6,,"$49,110 ",13.1,,"$60,981 ",16.3
Counties,"$650,767 ","$239,491 ",36.8,,"$134,781 ",56.3,,"$45,598 ",19,,"$59,111 ",24.7
Municipalities,"$443,629 ","$134,881 ",30.4,,"$129,500 ",96,,"$3,512 ",2.6,,"$1,869 ",1.4

Georgia,"$1,562,879 ","$215,318 ",13.8,,"$85,240 ",39.6,,"$51,196 ",23.8,,"$78,882 ",36.6
State,"$420,648 ","$72,608 ",17.3,,"$6,958 ",9.6,,"$15,847 ",21.8,,"$49,803 ",68.6
"Local, total","$1,142,231 ","$142,710 ",12.5,,"$78,283 ",54.9,,"$35,349 ",24.8,,"$29,078 ",20.4
Counties,"$210,264 ","$94,470 ",44.9,,"$38,115 ",40.3,,"$30,568 ",32.4,,"$25,787 ",27.3
Municipalities,"$132,695 ","$48,240 ",36.4,,"$40,167 ",83.3,,"$4,781 ",9.9,,"$3,291 ",6.8

Hawaii,"$264,590 ","$39,669 ",15,,"$17,805 ",44.9,,"$12,497 ",31.5,,"$9,366 ",23.6
State,"$207,276 ","$19,318 ",9.3,,$0 ,0,,"$9,951 ",51.5,,"$9,366 ",48.5
"Local, total","$57,314 ","$20,351 ",35.5,,"$17,805 ",87.5,,"$2,546 ",12.5,,$0 ,0
Counties,"$22,320 ","$6,928 ",31,,"$5,784 ",83.5,,"$1,143 ",16.5,,$0 ,0
Municipalities,"$38,524 ","$13,423 ",34.8,,"$12,020 ",89.5,,"$1,403 ",10.5,,$0 ,0

Idaho,"$228,817 ","$29,477 ",12.9,,"$14,424 ",48.9,,"$6,624 ",22.5,,"$8,429 ",28.6
State,"$74,489 ","$9,570 ",12.8,,"$1,851 ",19.3,,"$2,494 ",26.1,,"$5,225 ",54.6
"Local, total","$154,328 ","$19,907 ",12.9,,"$12,574 ",63.2,,"$4,129 ",20.7,,"$3,204 ",16.1
Counties,"$36,909 ","$12,717 ",34.5,,"$5,818 ",45.7,,"$3,695 ",29.1,,"$3,204 ",25.2
Municipalities,"$24,443 ","$7,190 ",29.4,,"$6,756 ",94,,$434 ,6,,$0 ,0

Illinois,"$2,412,457 ","$383,491 ",15.9,,"$206,206 ",53.8,,"$75,417 ",19.7,,"$101,868 ",26.6
State,"$537,281 ","$102,414 ",19.1,,"$20,251 ",19.8,,"$21,557 ",21,,"$60,607 ",59.2
"Local, total","$1,875,176 ","$281,077 ",15,,"$185,955 ",66.2,,"$53,860 ",19.2,,"$41,261 ",14.7
Counties,"$236,353 ","$115,460 ",48.9,,"$24,131 ",20.9,,"$50,072 ",43.4,,"$41,257 ",35.7
Municipalities,"$463,300 ","$165,617 ",35.7,,"$161,824 ",97.7,,"$3,788 ",2.3,,$5 ,0

Indiana,"$1,053,613 ","$124,666 ",11.8,,"$61,715 ",49.5,,"$25,897 ",20.8,,"$37,054 ",29.7
State,"$303,669 ","$36,078 ",11.9,,"$7,995 ",22.2,,"$7,023 ",19.5,,"$21,060 ",58.4
"Local, total","$749,944 ","$88,588 ",11.8,,"$53,720 ",60.6,,"$18,874 ",21.3,,"$15,995 ",18.1
Counties,"$147,786 ","$37,060 ",25.1,,"$12,137 ",32.7,,"$12,045 ",32.5,,"$12,878 ",34.7
Municipalities,"$175,627 ","$51,528 ",29.3,,"$41,583 ",80.7,,"$6,829 ",13.3,,"$3,116 ",6

Iowa,"$608,213 ","$62,344 ",10.3,,"$30,068 ",48.2,,"$15,474 ",24.8,,"$16,802 ",27
State,"$230,027 ","$27,636 ",12,,"$4,061 ",14.7,,"$10,527 ",38.1,,"$13,048 ",47.2
"Local, total","$378,186 ","$34,708 ",9.2,,"$26,006 ",74.9,,"$4,947 ",14.3,,"$3,754 ",10.8
Counties,"$86,313 ","$18,092 ",21,,"$9,833 ",54.4,,"$4,513 ",24.9,,"$3,747 ",20.7
Municipalities,"$77,650 ","$16,615 ",21.4,,"$16,173 ",97.3,,$435 ,2.6,,$8 ,0

Kansas,"$548,951 ","$67,023 ",12.2,,"$34,822 ",52,,"$13,334 ",19.9,,"$18,867 ",28.1
State,"$153,820 ","$22,611 ",14.7,,"$4,496 ",19.9,,"$7,638 ",33.8,,"$10,477 ",46.3
"Local, total","$395,131 ","$44,412 ",11.2,,"$30,327 ",68.3,,"$5,695 ",12.8,,"$8,390 ",18.9
Counties,"$70,003 ","$19,595 ",28,,"$8,420 ",43,,"$3,467 ",17.7,,"$7,708 ",39.3
Municipalities,"$88,554 ","$24,817 ",28,,"$21,907 ",88.3,,"$2,229 ",9,,$682 ,2.7

Kentucky,"$706,737 ","$83,872 ",11.9,,"$38,604 ",46,,"$23,169 ",27.6,,"$22,098 ",26.3
State,"$270,759 ","$36,410 ",13.4,,"$8,518 ",23.4,,"$17,061 ",46.9,,"$10,831 ",29.7
"Local, total","$435,978 ","$47,462 ",10.9,,"$30,087 ",63.4,,"$6,108 ",12.9,,"$11,267 ",23.7
Counties,"$60,979 ","$20,721 ",34,,"$9,220 ",44.5,,"$3,415 ",16.5,,"$8,087 ",39
Municipalities,"$82,364 ","$26,741 ",32.5,,"$20,867 ",78,,"$2,693 ",10.1,,"$3,180 ",11.9

Louisiana,"$786,413 ","$110,231 ",14,,"$50,738 ",46,,"$20,105 ",18.2,,"$39,388 ",35.7
State,"$284,080 ","$34,081 ",12,,"$6,531 ",19.2,,"$5,065 ",14.9,,"$22,485 ",66
"Local, total","$502,332 ","$76,150 ",15.2,,"$44,206 ",58.1,,"$15,040 ",19.8,,"$16,903 ",22.2
Parishes,"$129,442 ","$38,234 ",29.5,,"$19,210 ",50.2,,"$10,074 ",26.3,,"$8,950 ",23.4
Municipalities,"$107,325 ","$37,915 ",35.3,,"$24,996 ",65.9,,"$4,966 ",13.1,,"$7,953 ",21

Maine,"$232,616 ","$22,544 ",9.7,,"$11,393 ",50.5,,"$3,847 ",17.1,,"$7,304 ",32.4
State,"$78,753 ","$10,557 ",13.4,,"$2,553 ",24.2,,"$3,140 ",29.7,,"$4,864 ",46.1
"Local, total","$153,863 ","$11,987 ",7.8,,"$8,840 ",73.7,,$707 ,5.9,,"$2,440 ",20.4
Counties,"$6,038 ","$4,625 ",76.6,,"$1,590 ",34.4,,$596 ,12.9,,"$2,440 ",52.8
Municipalities,"$95,886 ","$7,361 ",7.7,,"$7,250 ",98.5,,$111 ,1.5,,$0 ,0

Maryland,"$1,173,715 ","$179,841 ",15.3,,"$85,094 ",47.3,,"$36,429 ",20.3,,"$58,317 ",32.4
State,"$379,811 ","$79,075 ",20.8,,"$11,768 ",14.9,,"$22,913 ",29,,"$44,394 ",56.1
"Local, total","$793,904 ","$100,765 ",12.7,,"$73,326 ",72.8,,"$13,517 ",13.4,,"$13,923 ",13.8
Counties,"$724,202 ","$73,240 ",10.1,,"$49,360 ",67.4,,"$9,957 ",13.6,,"$13,923 ",19
Municipalities,"$127,676 ","$27,526 ",21.6,,"$23,966 ",87.1,,"$3,559 ",12.9,,$0 ,0

Massachusetts,"$1,351,203 ","$213,007 ",15.8,,"$122,308 ",57.4,,"$48,319 ",22.7,,"$42,380 ",19.9
State,"$414,930 ","$108,163 ",26.1,,"$32,092 ",29.7,,"$47,052 ",43.5,,"$29,019 ",26.8
"Local, total","$936,274 ","$104,844 ",11.2,,"$90,217 ",86,,"$1,267 ",1.2,,"$13,360 ",12.7
Counties,"$11,412 ","$8,687 ",76.1,,$55 ,0.6,,$4 ,0,,"$8,629 ",99.3
Municipalities,"$826,416 ","$96,157 ",11.6,,"$90,162 ",93.8,,"$1,263 ",1.3,,"$4,732 ",4.9

Michigan,"$1,904,200 ","$250,957 ",13.2,,"$102,957 ",41,,"$51,211 ",20.4,,"$96,789 ",38.6
State,"$560,347 ","$96,504 ",17.2,,"$10,898 ",11.3,,"$10,260 ",10.6,,"$75,346 ",78.1
"Local, total","$1,343,853 ","$154,453 ",11.5,,"$92,059 ",59.6,,"$40,951 ",26.5,,"$21,443 ",13.9
Counties,"$193,155 ","$77,036 ",39.9,,"$22,833 ",29.6,,"$33,171 ",43.1,,"$21,032 ",27.3
Municipalities,"$261,524 ","$77,417 ",29.6,,"$69,226 ",89.4,,"$7,780 ",10,,$411 ,0.5

Minnesota,"$1,046,743 ","$120,077 ",11.5,,"$52,127 ",43.4,,"$31,229 ",26,,"$36,722 ",30.6
State,"$338,202 ","$35,761 ",10.6,,"$4,063 ",11.4,,"$16,064 ",44.9,,"$15,634 ",43.7
"Local, total","$708,541 ","$84,316 ",11.9,,"$48,064 ",57,,"$15,165 ",18,,"$21,088 ",25
Counties,"$166,083 ","$50,404 ",30.3,,"$15,591 ",30.9,,"$13,726 ",27.2,,"$21,088 ",41.8
Municipalities,"$152,519 ","$33,912 ",22.2,,"$32,473 ",95.8,,"$1,439 ",4.2,,$0 ,0

Mississippi,"$514,302 ","$46,507 ",9,,"$23,717 ",51,,"$9,481 ",20.4,,"$13,309 ",28.6
State,"$169,490 ","$16,349 ",9.6,,"$3,480 ",21.3,,"$3,650 ",22.3,,"$9,220 ",56.4
"Local, total","$344,812 ","$30,158 ",8.7,,"$20,236 ",67.1,,"$5,832 ",19.3,,"$4,089 ",13.6
Counties,"$81,318 ","$15,189 ",18.7,,"$6,936 ",45.7,,"$4,290 ",28.2,,"$3,963 ",26.1
Municipalities,"$62,398 ","$14,969 ",24,,"$13,300 ",88.9,,"$1,542 ",10.3,,$127 ,0.8

Missouri,"$933,471 ","$133,530 ",14.3,,"$64,434 ",48.3,,"$29,707 ",22.2,,"$39,390 ",29.5
State,"$271,949 ","$54,894 ",20.2,,"$7,824 ",14.3,,"$16,202 ",29.5,,"$30,868 ",56.2
"Local, total","$661,522 ","$78,637 ",11.9,,"$56,610 ",72,,"$13,505 ",17.2,,"$8,522 ",10.8
Counties,"$68,583 ","$28,928 ",42.2,,"$13,116 ",45.3,,"$9,466 ",32.7,,"$6,346 ",21.9
Municipalities,"$159,011 ","$49,709 ",31.3,,"$43,494 ",87.5,,"$4,038 ",8.1,,"$2,176 ",4.4

Montana,"$162,428 ","$17,908 ",11,,"$8,301 ",46.4,,"$4,499 ",25.1,,"$5,108 ",28.5
State,"$64,204 ","$7,109 ",11.1,,"$1,500 ",21.1,,"$1,942 ",27.3,,"$3,667 ",51.6
"Local, total","$98,224 ","$10,798 ",11,,"$6,801 ",63,,"$2,556 ",23.7,,"$1,441 ",13.3
Counties,"$16,563 ","$6,241 ",37.7,,"$2,954 ",47.3,,"$1,914 ",30.7,,"$1,372 ",22
Municipalities,"$16,029 ","$4,558 ",28.4,,"$3,847 ",84.4,,$642 ,14.1,,$68 ,1.5

Nebraska,"$362,075 ","$38,581 ",10.7,,"$19,287 ",50,,"$7,827 ",20.3,,"$11,468 ",29.7
State,"$101,815 ","$13,538 ",13.3,,"$2,598 ",19.2,,"$3,124 ",23.1,,"$7,815 ",57.7
"Local, total","$260,260 ","$25,043 ",9.6,,"$16,689 ",66.6,,"$4,702 ",18.8,,"$3,652 ",14.6
Counties,"$39,341 ","$12,912 ",32.8,,"$5,005 ",38.8,,"$4,255 ",33,,"$3,652 ",28.3
Municipalities,"$46,442 ","$12,131 ",26.1,,"$11,684 ",96.3,,$447 ,3.7,,$0 ,0

Nevada,"$411,595 ","$88,280 ",21.4,,"$40,826 ",46.2,,"$18,759 ",21.2,,"$28,695 ",32.5
State,"$104,493 ","$23,523 ",22.5,,"$4,526 ",19.2,,"$3,830 ",16.3,,"$15,168 ",64.5
"Local, total","$307,102 ","$64,756 ",21.1,,"$36,301 ",56.1,,"$14,929 ",23.1,,"$13,526 ",20.9
Counties,"$121,087 ","$46,660 ",38.5,,"$25,499 ",54.6,,"$11,507 ",24.7,,"$9,654 ",20.7
Municipalities,"$56,721 ","$18,096 ",31.9,,"$10,801 ",59.7,,"$3,423 ",18.9,,"$3,872 ",21.4

New Hampshire,"$225,290 ","$28,025 ",12.4,,"$16,099 ",57.4,,"$4,626 ",16.5,,"$7,300 ",26
State,"$70,437 ","$10,366 ",14.7,,"$1,834 ",17.7,,"$3,435 ",33.1,,"$5,096 ",49.2
"Local, total","$154,854 ","$17,660 ",11.4,,"$14,264 ",80.8,,"$1,192 ",6.7,,"$2,204 ",12.5
Counties,"$12,204 ","$4,100 ",33.6,,"$1,003 ",24.5,,$893 ,21.8,,"$2,204 ",53.8
Municipalities,"$66,850 ","$13,560 ",20.3,,"$13,261 ",97.8,,$299 ,2.2,,$0 ,0

New Jersey,"$2,320,354 ","$419,873 ",18.1,,"$220,397 ",52.5,,"$113,541 ",27,,"$85,934 ",20.5
State,"$767,469 ","$154,623 ",20.1,,"$28,218 ",18.2,,"$74,051 ",47.9,,"$52,354 ",33.9
"Local, total","$1,552,885 ","$265,250 ",17.1,,"$192,179 ",72.5,,"$39,490 ",14.9,,"$33,580 ",12.7
Counties,"$270,250 ","$72,255 ",26.7,,"$13,408 ",18.6,,"$25,269 ",35,,"$33,579 ",46.5
Municipalities,"$510,607 ","$192,995 ",37.8,,"$178,772 ",92.6,,"$14,221 ",7.4,,$2 ,0

New Mexico,"$377,083 ","$51,986 ",13.8,,"$22,494 ",43.3,,"$11,976 ",23,,"$17,516 ",33.7
State,"$162,801 ","$26,706 ",16.4,,"$4,000 ",15,,"$10,702 ",40.1,,"$12,004 ",45
"Local, total","$214,281 ","$25,280 ",11.8,,"$18,494 ",73.2,,"$1,275 ",5,,"$5,512 ",21.8
Counties,"$25,519 ","$9,753 ",38.2,,"$5,585 ",57.3,,$322 ,3.3,,"$3,846 ",39.4
Municipalities,"$54,809 ","$15,528 ",28.3,,"$12,909 ",83.1,,$952 ,6.1,,"$1,666 ",10.7

New York,"$5,336,905 ","$930,320 ",17.4,,"$501,468 ",53.9,,"$169,001 ",18.2,,"$259,851 ",27.9
State,"$1,183,812 ","$306,049 ",25.9,,"$42,606 ",13.9,,"$115,498 ",37.7,,"$147,945 ",48.3
"Local, total","$4,153,092 ","$624,271 ",15,,"$458,862 ",73.5,,"$53,503 ",8.6,,"$111,906 ",17.9
Counties,"$465,034 ","$162,957 ",35,,"$98,126 ",60.2,,"$19,805 ",12.2,,"$45,026 ",27.6
Municipalities,"$2,429,386 ","$461,314 ",19,,"$360,736 ",78.2,,"$33,698 ",7.3,,"$66,880 ",14.5

North Carolina,"$1,589,221 ","$185,459 ",11.7,,"$85,802 ",46.3,,"$26,602 ",14.3,,"$73,055 ",39.4
State,"$495,396 ","$95,206 ",19.2,,"$13,054 ",13.7,,"$23,619 ",24.8,,"$58,532 ",61.5
"Local, total","$1,093,825 ","$90,253 ",8.3,,"$72,748 ",80.6,,"$2,983 ",3.3,,"$14,522 ",16.1
Counties,"$943,302 ","$39,779 ",4.2,,"$23,938 ",60.2,,"$2,251 ",5.7,,"$13,590 ",34.2
Municipalities,"$173,200 ","$50,474 ",29.1,,"$48,810 ",96.7,,$732 ,1.5,,$932 ,1.8

North Dakota,"$131,045 ","$10,470 ",8,,"$4,727 ",45.1,,"$3,005 ",28.7,,"$2,739 ",26.2
State,"$57,555 ","$4,470 ",7.8,,$606 ,13.6,,"$1,956 ",43.8,,"$1,907 ",42.7
"Local, total","$73,490 ","$6,000 ",8.2,,"$4,120 ",68.7,,"$1,049 ",17.5,,$831 ,13.9
Counties,"$10,858 ","$3,145 ",29,,"$1,468 ",46.7,,$847 ,26.9,,$831 ,26.4
Municipalities,"$11,985 ","$2,855 ",23.8,,"$2,652 ",92.9,,$203 ,7.1,,$0 ,0

Ohio,"$2,166,019 ","$297,002 ",13.7,,"$137,282 ",46.2,,"$70,317 ",23.7,,"$89,402 ",30.1
State,"$520,517 ","$88,590 ",17,,"$12,356 ",13.9,,"$12,951 ",14.6,,"$63,283 ",71.4
"Local, total","$1,645,502 ","$208,412 ",12.7,,"$124,926 ",59.9,,"$57,367 ",27.5,,"$26,119 ",12.5
Counties,"$325,331 ","$94,922 ",29.2,,"$27,783 ",29.3,,"$42,912 ",45.2,,"$24,227 ",25.5
Municipalities,"$371,089 ","$113,490 ",30.6,,"$97,143 ",85.6,,"$14,455 ",12.7,,"$1,892 ",1.7

Oklahoma,"$573,484 ","$71,367 ",12.4,,"$37,446 ",52.5,,"$15,142 ",21.2,,"$18,779 ",26.3
State,"$217,838 ","$34,029 ",15.6,,"$7,135 ",21,,"$10,420 ",30.6,,"$16,474 ",48.4
"Local, total","$355,646 ","$37,338 ",10.5,,"$30,311 ",81.2,,"$4,722 ",12.6,,"$2,306 ",6.2
Counties,"$44,970 ","$10,161 ",22.6,,"$5,420 ",53.3,,"$2,636 ",25.9,,"$2,105 ",20.7
Municipalities,"$102,895 ","$27,177 ",26.4,,"$24,891 ",91.6,,"$2,086 ",7.7,,$200 ,0.7

Oregon,"$663,664 ","$93,245 ",14.1,,"$41,746 ",44.8,,"$18,228 ",19.5,,"$33,271 ",35.7
State,"$219,188 ","$34,978 ",16,,"$5,038 ",14.4,,"$11,497 ",32.9,,"$18,442 ",52.7
"Local, total","$444,476 ","$58,267 ",13.1,,"$36,707 ",63,,"$6,731 ",11.6,,"$14,829 ",25.5
Counties,"$81,526 ","$32,077 ",39.3,,"$11,921 ",37.2,,"$5,327 ",16.6,,"$14,829 ",46.2
Municipalities,"$93,343 ","$26,191 ",28.1,,"$24,786 ",94.6,,"$1,404 ",5.4,,$0 ,0

Pennsylvania,"$2,148,112 ","$315,181 ",14.7,,"$145,878 ",46.3,,"$63,390 ",20.1,,"$105,912 ",33.6
State,"$622,471 ","$108,250 ",17.4,,"$30,364 ",28.1,,"$15,143 ",14,,"$62,743 ",58
"Local, total","$1,525,640 ","$206,931 ",13.6,,"$115,514 ",55.8,,"$48,247 ",23.3,,"$43,169 ",20.9
Counties,"$176,059 ","$76,955 ",43.7,,"$9,016 ",11.7,,"$34,722 ",45.1,,"$33,218 ",43.2
Municipalities,"$295,356 ","$129,975 ",44,,"$106,498 ",81.9,,"$13,525 ",10.4,,"$9,952 ",7.7

Rhode Island,"$222,710 ","$30,517 ",13.7,,"$14,545 ",47.7,,"$6,304 ",20.7,,"$9,668 ",31.7
State,"$93,252 ","$17,453 ",18.7,,"$1,791 ",10.3,,"$5,994 ",34.3,,"$9,668 ",55.4
"Local, total","$129,458 ","$13,064 ",10.1,,"$12,754 ",97.6,,$310 ,2.4,,$0 ,0
Municipalities,"$124,813 ","$13,064 ",10.5,,"$12,754 ",97.6,,$310 ,2.4,,$0 ,0

South Carolina,"$728,665 ","$82,241 ",11.3,,"$40,395 ",49.1,,"$13,607 ",16.5,,"$28,239 ",34.3
State,"$245,776 ","$29,958 ",12.2,,"$6,820 ",22.8,,"$3,209 ",10.7,,"$19,929 ",66.5
"Local, total","$482,888 ","$52,283 ",10.8,,"$33,575 ",64.2,,"$10,397 ",19.9,,"$8,310 ",15.9
Counties,"$91,060 ","$34,111 ",37.5,,"$16,835 ",49.4,,"$9,055 ",26.5,,"$8,221 ",24.1
Municipalities,"$59,290 ","$18,172 ",30.6,,"$16,740 ",92.1,,"$1,343 ",7.4,,$89 ,0.5

South Dakota,"$128,853 ","$13,320 ",10.3,,"$6,418 ",48.2,,"$3,098 ",23.3,,"$3,805 ",28.6
State,"$44,180 ","$5,458 ",12.4,,"$1,054 ",19.3,,"$2,066 ",37.9,,"$2,338 ",42.8
"Local, total","$84,673 ","$7,862 ",9.3,,"$5,363 ",68.2,,"$1,032 ",13.1,,"$1,467 ",18.7
Counties,"$10,271 ","$4,219 ",41.1,,"$1,840 ",43.6,,$946 ,22.4,,"$1,433 ",34
Municipalities,"$18,573 ","$3,643 ",19.6,,"$3,523 ",96.7,,$86 ,2.4,,$34 ,0.9

Tennessee,"$969,537 ","$120,136 ",12.4,,"$55,985 ",46.6,,"$25,030 ",20.8,,"$39,121 ",32.6
State,"$269,447 ","$38,015 ",14.1,,"$6,611 ",17.4,,"$10,350 ",27.2,,"$21,054 ",55.4
"Local, total","$700,089 ","$82,121 ",11.7,,"$49,375 ",60.1,,"$14,679 ",17.9,,"$18,067 ",22
Counties,"$407,893 ","$41,536 ",10.2,,"$14,924 ",35.9,,"$10,279 ",24.7,,"$16,334 ",39.3
Municipalities,"$296,750 ","$40,585 ",13.7,,"$34,451 ",84.9,,"$4,401 ",10.8,,"$1,733 ",4.3

Texas,"$4,032,624 ","$536,971 ",13.3,,"$248,237 ",46.2,,"$93,943 ",17.5,,"$194,790 ",36.3
State,"$1,008,152 ","$159,777 ",15.8,,"$14,931 ",9.3,,"$24,862 ",15.6,,"$119,984 ",75.1
"Local, total","$3,024,471 ","$377,194 ",12.5,,"$233,307 ",61.9,,"$69,081 ",18.3,,"$74,806 ",19.8
