Bureau of Justice Statistics,,,,,,,,,,,,,,,,
Filename:  cjee0613.csv,,,,,,,,,,,,,,,,
"Table #:  13 Justice system employment and payrolls of 68 large county governments by activity, March 2006",,,,,,,,,,,,,,,,
"Series title:  Justice Expenditure and Employment Statistical Extracts 2006, NCJ 224394",,,,,,,,,,,,,,,,
Data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,,,,,,,
Author:  Steven W. Perry,,,,,,,,,,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,
Date of version:  08/29/2008,,,,,,,,,,,,,,,,


"Table 13.  Justice system employment and payrolls of 68 large county governments by activity, March 2006",,,,,,,,,,,,,,,,

(Payroll amounts in thousands of dollars),,,,,,,,,,,,,,,,


,Total justice system,,,,,Police Protection,,,,,Judicial and Legal,,,,,Corrections
,Employment,,,,,Employment,,,,,Employment,,,,,Employment,,,,,
"Hennepin, MN","2,962","2,612","2,869","$13,572 ","$4,854 ",490,464,475,"$2,365 ","$5,004 ",963,860,929,"$4,759 ","$5,147 ","1,509","1,288","1,465","$6,448 ","$4,605 ","Hennepin, MN"
"Hillsborough, FL","4,007","3,643","3,731","$15,560 ","$4,224 ","1,934","1,658","1,738","$7,215 ","$4,261 ","1,127","1,039","1,047","$4,265 ","$4,084 ",946,946,946,"$4,080 ","$4,313 ","Hillsborough, FL"
"Hudson, NJ","1,292","1,292","1,292","$5,123 ","$3,965 ",282,282,282,"$1,034 ","$3,665 ",326,326,326,"$1,535 ","$4,709 ",684,684,684,"$2,555 ","$3,735 ","Hudson, NJ"
"Jackson, MO","1,221","1,200","1,207","$3,642 ","$3,017 ",136,125,125,$422 ,"$3,367 ",805,795,802,"$2,520 ","$3,144 ",280,280,280,$700 ,"$2,500 ","Jackson, MO"
"Jefferson, AL","1,012",999,"1,005","$4,512 ","$4,502 ",428,420,423,"$2,103 ","$4,989 ",209,208,208,$796 ,"$3,828 ",375,371,374,"$1,613 ","$4,329 ","Jefferson, AL"

"King, WA","3,393","3,343","3,364","$18,597 ","$5,543 ","1,049","1,042","1,047","$6,780 ","$6,489 ","1,440","1,400","1,415","$6,799 ","$4,825 ",904,901,902,"$5,018 ","$5,566 ","King, WA"
"Lake, IN","1,221","1,120","1,182","$3,463 ","$2,965 ",358,355,357,$980 ,"$2,747 ",629,547,593,"$1,834 ","$3,156 ",234,218,232,$649 ,"$2,839 ","Lake, IN"
"Los Angeles, CA","32,358","30,933","31,432","$188,250 ","$6,022 ","8,662","8,250","8,315","$52,536 ","$6,334 ","16,444","15,676","16,026","$98,846 ","$6,220 ","7,252","7,007","7,091","$36,869 ","$5,212 ","Los Angeles, CA"
"Macomb, MI","1,118","1,085","1,105","$4,963 ","$4,525 ",258,256,258,"$1,332 ","$5,185 ",451,435,446,"$1,965 ","$4,454 ",409,394,401,"$1,666 ","$4,174 ","Macomb, MI"
"Maricopa, AZ","9,079","8,893","8,984","$34,754 ","$3,872 ","3,246","3,207","3,219","$12,297 ","$3,826 ","3,715","3,617","3,666","$15,201 ","$4,137 ","2,118","2,069","2,099","$7,255 ","$3,481 ","Maricopa, AZ"
"Middlesex, NJ",863,850,852,"$4,469 ","$5,256 ",169,157,159,$688 ,"$4,371 ",181,180,180,"$1,141 ","$6,336 ",513,513,513,"$2,641 ","$5,149 ","Middlesex, NJ"
"Milwaukee, WI","2,235","2,102","2,172","$8,787 ","$4,041 ",462,454,457,"$1,920 ","$4,210 ",657,615,640,"$2,447 ","$3,834 ","1,116","1,033","1,075","$4,419 ","$4,091 ","Milwaukee, WI"

"Monmouth, NJ","1,000",965,978,"$6,300 ","$6,484 ",249,229,235,"$1,308 ","$5,630 ",292,286,290,"$1,848 ","$6,418 ",459,450,453,"$3,144 ","$6,961 ","Monmouth, NJ"
"Monroe, NY","1,691","1,588","1,639","$7,561 ","$4,695 ",688,592,639,"$3,049 ","$4,997 ",370,363,367,"$1,619 ","$4,417 ",633,633,633,"$2,893 ","$4,571 ","Monroe, NY"
"Montgomery, MD","2,638","2,402","2,526","$14,188 ","$5,732 ","1,847","1,648","1,745","$10,121 ","$5,949 ",243,217,236,"$1,240 ","$5,356 ",548,537,545,"$2,827 ","$5,219 ","Montgomery, MD"
"Montgomery, OH","1,618","1,438","1,495","$5,467 ","$3,558 ",499,441,468,"$1,955 ","$4,049 ",965,858,883,"$3,049 ","$3,368 ",154,139,144,$464 ,"$3,172 ","Montgomery, OH"
"Montgomery, PA","1,738","1,460","1,551","$5,484 ","$3,372 ",145,142,143,$419 ,"$2,901 ",926,721,789,"$2,807 ","$3,361 ",667,597,619,"$2,257 ","$3,497 ","Montgomery, PA"
"Multnomah, OR","1,694","1,585","1,632","$7,526 ","$4,641 ",307,300,303,"$1,414 ","$4,681 ",252,227,238,"$1,120 ","$4,701 ","1,135","1,058","1,091","$4,992 ","$4,616 ","Multnomah, OR"
"Nassau, NY","10,039","9,040","9,621","$55,452 ","$5,957 ","8,031","7,051","7,619","$48,662 ","$6,680 ",516,511,516,"$2,818 ","$5,481 ","1,492","1,478","1,486","$3,972 ","$2,672 ","Nassau, NY"

"Norfolk, MA",356,356,356,"$1,644 ","$4,618 ", -   , -   , -   ,$0 ,$0 , -   , -   , -   ,$0 ,$0 ,356,356,356,"$1,644 ","$4,618 ","Norfolk, MA"
"Oakland, MI","2,259","1,975","2,117","$9,370 ","$4,486 ",550,486,506,"$2,484 ","$4,856 ","1,045",879,972,"$4,355 ","$4,636 ",664,610,639,"$2,531 ","$3,975 ","Oakland, MI"
"Oklahoma, OK","1,237","1,170","1,193","$2,916 ","$2,461 ",551,484,507,"$1,107 ","$2,212 ",236,236,236,$597 ,"$2,531 ",450,450,450,"$1,211 ","$2,692 ","Oklahoma, OK"
"Orange, CA","8,894","8,046","8,627","$47,482 ","$5,589 ","3,204","2,934","3,119","$19,665 ","$6,353 ","3,956","3,612","3,812","$20,055 ","$5,320 ","1,734","1,500","1,696","$7,763 ","$4,743 ","Orange, CA"
"Orange, FL","4,554","4,123","4,210","$16,640 ","$3,970 ","2,113","1,788","1,846","$7,802 ","$4,304 ",821,766,779,"$2,708 ","$3,475 ","1,620","1,569","1,585","$6,131 ","$3,830 ","Orange, FL"
"Palm Beach, FL","4,519","3,900","4,113","$18,332 ","$4,594 ","2,614","2,009","2,214","$10,605 ","$5,082 ","1,158","1,150","1,155","$4,255 ","$3,688 ",747,741,744,"$3,472 ","$4,674 ","Palm Beach, FL"
"Pima, AZ","3,339","3,154","3,245","$12,216 ","$3,788 ",724,709,717,"$3,208 ","$4,484 ","1,217","1,134","1,179","$4,428 ","$3,788 ","1,398","1,311","1,349","$4,580 ","$3,410 ","Pima, AZ"

"Pinellas, FL","3,551","3,327","3,368","$14,693 ","$4,335 ","1,948","1,724","1,765","$7,851 ","$4,397 ",754,754,754,"$2,843 ","$3,771 ",849,849,849,"$3,999 ","$4,710 ","Pinellas, FL"
"Prince Georges, MD","3,202","3,029","3,162","$18,239 ","$5,914 ","2,273","2,158","2,242","$13,467 ","$6,145 ",375,334,368,"$1,734 ","$4,951 ",554,537,552,"$3,038 ","$5,583 ","Prince Georges, MD"
"Riverside, CA","6,237","6,133","6,185","$36,387 ","$5,898 ","2,044","2,028","2,036","$13,801 ","$6,785 ","2,430","2,407","2,418","$13,505 ","$5,585 ","1,763","1,698","1,731","$9,081 ","$5,284 ","Riverside, CA"
"Sacramento, CA","5,139","5,127","5,135","$32,492 ","$6,331 ","1,539","1,530","1,536","$13,190 ","$8,605 ","2,036","2,036","2,036","$11,294 ","$5,547 ","1,564","1,561","1,563","$8,008 ","$5,125 ","Sacramento, CA"
"St. Louis, MO","1,840","1,766","1,800","$7,276 ","$4,058 ",969,952,961,"$4,180 ","$4,348 ",506,462,481,"$1,855 ","$3,901 ",365,352,358,"$1,240 ","$3,481 ","St. Louis, MO"
"Salt Lake, UT","1,688","1,493","1,582","$5,802 ","$3,787 ",542,404,467,"$1,662 ","$3,950 ",355,311,329,"$1,370 ","$4,259 ",791,778,786,"$2,771 ","$3,514 ","Salt Lake, UT"
"San Bernadino, CA","5,416","5,269","5,349","$30,072 ","$5,658 ","2,359","2,284","2,316","$13,500 ","$5,857 ","1,385","1,350","1,376","$7,862 ","$5,781 ","1,672","1,635","1,657","$8,710 ","$5,279 ","San Bernadino, CA"

"San Diego, CA","9,037","8,647","8,843","$48,229 ","$5,492 ","3,338","3,255","3,297","$18,561 ","$5,635 ","3,612","3,397","3,505","$20,517 ","$5,931 ","2,087","1,995","2,041","$9,150 ","$4,512 ","San Diego, CA"
"San Mateo, CA","1,675","1,511","1,662","$9,838 ","$6,297 ",498,455,495,"$3,909 ","$8,327 ",550,531,548,"$3,137 ","$5,866 ",627,525,619,"$2,791 ","$4,975 ","San Mateo, CA"
"Santa Clara, CA","4,533","4,301","4,475","$29,939 ","$6,815 ",726,673,703,"$4,943 ","$7,090 ","2,061","2,004","2,040","$13,572 ","$6,701 ","1,746","1,624","1,732","$11,424 ","$6,841 ","Santa Clara, CA"
"Shelby, TN","4,142","4,084","4,087","$14,003 ","$3,427 ",644,586,589,"$2,699 ","$4,595 ","1,274","1,274","1,274","$4,136 ","$3,246 ","2,224","2,224","2,224","$7,168 ","$3,223 ","Shelby, TN"
"Suffolk, NY","6,197","5,652","5,935","$37,171 ","$6,455 ","4,028","3,615","3,801","$26,573 ","$7,244 ",573,524,561,"$3,024 ","$5,549 ","1,596","1,513","1,573","$7,574 ","$4,883 ","Suffolk, NY"
"Summit, OH","1,006",972,991,"$3,153 ","$3,182 ",210,210,210,$745 ,"$3,550 ",453,419,438,"$1,415 ","$3,234 ",343,343,343,$992 ,"$2,893 ","Summit, OH"

"Tarrant, TX","4,079","3,982","4,038","$15,487 ","$3,860 ",640,629,637,"$2,833 ","$4,478 ","1,152","1,090","1,128","$5,078 ","$4,585 ","2,287","2,263","2,273","$7,576 ","$3,339 ","Tarrant, TX"
"Travis, TX","3,193","3,148","3,172","$12,020 ","$3,792 ",578,575,577,"$2,530 ","$4,391 ",980,950,966,"$3,634 ","$3,762 ","1,635","1,623","1,629","$5,856 ","$3,597 ","Travis, TX"
"Union, NJ",972,964,966,"$4,369 ","$4,515 ",170,167,167,$588 ,"$3,490 ",466,463,464,"$2,754 ","$5,929 ",336,334,335,"$1,028 ","$3,068 ","Union, NJ"
"Ventura, CA","2,694","2,577","2,628","$17,260 ","$6,609 ",772,728,747,"$5,574 ","$7,577 ","1,066","1,039","1,053","$6,836 ","$6,485 ",856,810,828,"$4,849 ","$5,897 ","Ventura, CA"
"Wayne, MI","2,518","2,500","2,509","$11,886 ","$4,744 ",536,536,536,"$2,441 ","$4,554 ","1,238","1,220","1,229","$6,023 ","$4,916 ",744,744,744,"$3,422 ","$4,600 ","Wayne, MI"
"Westchester, NY","1,924","1,918","1,920","$9,342 ","$4,866 ",439,437,437,"$3,239 ","$7,405 ",348,346,347,"$2,319 ","$6,696 ","1,137","1,135","1,136","$3,783 ","$3,331 ","Westchester, NY"

Note:  Jurisdictions without data did not report for 2006.
