Bureau of Justice Statistics,,,,,,,,,,,,,
"Local, total","12,704","9,196","9,072","9,180",72.3,,"$47,560 ","3,641","3,406","3,524",27.7,,"$12,646 "
Counties,"3,735","2,621","2,604","2,612",69.9,,"$12,024 ","1,163","1,095","1,123",30.1,,"$3,928 "
Municipalities,"8,969","6,575","6,468","6,568",73.2,,"$35,536 ","2,478","2,311","2,401",26.8,,"$8,718 "

Connecticut,"10,949","9,088","8,370","8,579",78.4,,"$48,443 ","3,487","1,926","2,370",21.6,,"$8,657 "
State,"2,069","1,475","1,474","1,475",71.3,,"$7,890 ",616,566,594,28.7,,"$2,634 "
"Local, total","8,880","7,613","6,896","7,104",80,,"$40,553 ","2,871","1,360","1,776",20,,"$6,023 "
Municipalities,"8,880","7,613","6,896","7,104",80,,"$40,553 ","2,871","1,360","1,776",20,,"$6,023 "

Delaware,"2,531","1,861","1,830","1,831",72.3,,"$10,060 ",812,591,700,27.7,,"$2,295 "
State,967,669,669,669,69.2,,"$4,294 ",306,291,298,30.8,,"$1,066 "
"Local, total","1,564","1,192","1,161","1,162",74.3,,"$5,766 ",506,300,402,25.7,,"$1,229 "
Counties,538,358,358,358,66.5,,"$2,078 ",257,89,180,33.5,,$600 
Municipalities,"1,026",834,803,804,78.4,,"$3,688 ",249,211,222,21.6,,$629 

District of Columbia,"4,363","3,741","3,740","3,741",85.7,,"$23,742 ",693,570,622,14.3,,"$2,898 "
"Local, total","4,363","3,741","3,740","3,741",85.7,,"$23,742 ",693,570,622,14.3,,"$2,898 "
Municipality,"4,363","3,741","3,740","3,741",85.7,,"$23,742 ",693,570,622,14.3,,"$2,898 "

Florida,"64,887","42,379","41,470","41,848",64.5,,"$205,617 ","26,456","21,071","23,039",35.5,,"$74,809 "
State,"4,461","2,092","2,086","2,088",46.8,,"$7,732 ","2,385","2,364","2,373",53.2,,"$8,414 "
"Local, total","60,426","40,287","39,384","39,760",65.8,,"$197,886 ","24,071","18,707","20,666",34.2,,"$66,395 "
Counties,"31,842","19,320","19,165","19,227",60.4,,"$94,476 ","14,704","11,391","12,615",39.6,,"$40,306 "
Municipalities,"28,584","20,967","20,219","20,533",71.8,,"$103,410 ","9,367","7,316","8,051",28.2,,"$26,090 "

Georgia,"25,781","20,800","19,784","20,169",78.2,,"$69,859 ","6,510","5,133","5,612",21.8,,"$15,381 "
State,"2,018",998,998,998,49.5,,"$3,592 ","1,032","1,004","1,020",50.5,,"$3,366 "
"Local, total","23,763","19,802","18,786","19,171",80.7,,"$66,267 ","5,478","4,129","4,592",19.3,,"$12,015 "
Counties,"11,239","8,908","8,703","8,785",78.2,,"$31,823 ","2,838","2,158","2,454",21.8,,"$6,292 "
Municipalities,"12,524","10,894","10,083","10,386",82.9,,"$34,444 ","2,640","1,971","2,138",17.1,,"$5,723 "

Hawaii,"3,676","2,879","2,849","2,856",77.7,,"$14,775 ",930,786,820,22.3,,"$3,030 "
State, -   , -   , -   , -   ,0,,$0 , -   , -   , -   ,0,,$0 
"Local, total","3,676","2,879","2,849","2,856",77.7,,"$14,775 ",930,786,820,22.3,,"$3,030 "
Counties,"1,119",872,842,849,75.9,,"$4,791 ",307,256,270,24.1,,$994 
Municipalities,"2,557","2,007","2,007","2,007",78.5,,"$9,984 ",623,530,550,21.5,,"$2,036 "

Idaho,"3,876","2,733","2,704","2,709",69.9,,"$10,914 ","1,473","1,102","1,167",30.1,,"$3,511 "
State,498,278,278,278,55.8,,"$1,164 ",221,218,220,44.2,,$687 
"Local, total","3,378","2,455","2,426","2,431",72,,"$9,750 ","1,252",884,947,28,,"$2,824 "
Counties,"1,703","1,113","1,099","1,103",64.8,,"$4,062 ",803,562,600,35.2,,"$1,755 "
Municipalities,"1,675","1,342","1,327","1,328",79.3,,"$5,688 ",449,322,347,20.7,,"$1,068 "

Illinois,"47,828","38,869","36,642","37,375",78.1,,"$167,954 ","13,289","8,743","10,453",21.9,,"$38,251 "
State,"3,880","2,230","2,230","2,230",57.5,,"$13,244 ","1,657","1,634","1,650",42.5,,"$7,006 "
"Local, total","43,948","36,639","34,412","35,145",80,,"$154,710 ","11,632","7,109","8,803",20,,"$31,245 "
Counties,"5,896","4,006","3,858","3,997",67.8,,"$17,307 ","2,023","1,787","1,899",32.2,,"$6,824 "
Municipalities,"38,052","32,633","30,554","31,148",81.9,,"$137,403 ","9,609","5,322","6,904",18.1,,"$24,421 "

Indiana,"17,421","12,917","11,951","12,203",70,,"$48,162 ","6,675","4,784","5,218",30,,"$13,553 "
State,"1,947","1,150","1,150","1,150",59.1,,"$5,770 ",797,797,797,40.9,,"$2,226 "
"Local, total","15,474","11,767","10,801","11,053",71.4,,"$42,392 ","5,878","3,987","4,421",28.6,,"$11,328 "
Counties,"3,807","2,608","2,418","2,430",63.8,,"$8,603 ","1,580","1,265","1,377",36.2,,"$3,533 "
Municipalities,"11,667","9,159","8,383","8,623",73.9,,"$33,789 ","4,298","2,722","3,044",26.1,,"$7,794 "

Iowa,"7,649","5,911","5,660","5,693",74.4,,"$23,935 ","2,314","1,795","1,956",25.6,,"$6,133 "
State,888,550,550,550,61.9,,"$2,711 ",356,330,338,38.1,,"$1,351 "
"Local, total","6,761","5,361","5,110","5,143",76.1,,"$21,224 ","1,958","1,465","1,618",23.9,,"$4,783 "
Counties,"2,728","1,933","1,868","1,883",69,,"$7,449 ",937,784,845,31,,"$2,384 "
Municipalities,"4,033","3,428","3,242","3,260",80.8,,"$13,774 ","1,021",681,773,19.2,,"$2,399 "

Kansas,"9,399","6,933","6,491","6,617",70.4,,"$27,245 ","3,032","2,583","2,782",29.6,,"$7,578 "
State,"1,138",635,635,635,55.8,,"$2,911 ",510,497,503,44.2,,"$1,584 "
"Local, total","8,261","6,298","5,856","5,982",72.4,,"$24,333 ","2,522","2,086","2,279",27.6,,"$5,993 "
Counties,"2,885","1,946","1,819","1,868",64.7,,"$6,206 ","1,043",932,"1,017",35.3,,"$2,215 "
Municipalities,"5,376","4,352","4,037","4,114",76.5,,"$18,128 ","1,479","1,154","1,262",23.5,,"$3,779 "

Kentucky,"11,261","8,063","7,696","7,835",69.6,,"$28,494 ","4,026","2,969","3,426",30.4,,"$10,110 "
State,"2,380","1,010","1,010","1,010",42.4,,"$3,499 ","1,370","1,370","1,370",57.6,,"$5,018 "
"Local, total","8,881","7,053","6,686","6,825",76.8,,"$24,995 ","2,656","1,599","2,056",23.2,,"$5,092 "
Counties,"2,953","2,199","2,042","2,121",71.8,,"$7,190 ","1,109",581,832,28.2,,"$2,030 "
Municipalities,"5,928","4,854","4,644","4,704",79.4,,"$17,805 ","1,547","1,018","1,224",20.6,,"$3,062 "

Louisiana,"16,711","13,072","12,540","12,706",76,,"$40,190 ","5,054","3,559","4,005",24,,"$10,548 "
State,"1,687","1,121","1,121","1,121",66.4,,"$4,855 ",570,564,566,33.6,,"$1,676 "
"Local, total","15,024","11,951","11,419","11,585",77.1,,"$35,335 ","4,484","2,995","3,439",22.9,,"$8,872 "
Parishes,"6,219","4,637","4,443","4,545",73.1,,"$14,650 ","2,011","1,459","1,674",26.9,,"$4,560 "
Municipalities,"8,805","7,314","6,976","7,040",80,,"$20,685 ","2,473","1,536","1,765",20,,"$4,312 "

Maine,"3,054","2,433","2,111","2,270",74.3,,"$8,971 ","1,097",704,784,25.7,,"$2,422 "
State,555,302,302,302,54.4,,"$1,703 ",253,253,253,45.6,,$850 
"Local, total","2,499","2,131","1,809","1,968",78.8,,"$7,268 ",844,451,531,21.2,,"$1,571 "
Counties,482,404,363,378,78.4,,"$1,268 ",113,98,104,21.6,,$322 
Municipalities,"2,017","1,727","1,446","1,590",78.8,,"$6,001 ",731,353,427,21.2,,"$1,249 "

Maryland,"17,029","12,401","12,287","12,316",72.3,,"$66,250 ","5,479","4,083","4,713",27.7,,"$18,845 "
State,"2,491","1,591","1,591","1,591",63.9,,"$8,767 ",907,871,900,36.1,,"$3,002 "
"Local, total","14,538","10,810","10,696","10,725",73.8,,"$57,483 ","4,572","3,212","3,813",26.2,,"$15,843 "
Counties,"9,602","6,690","6,649","6,672",69.5,,"$37,112 ","3,429","2,531","2,930",30.5,,"$12,247 "
Municipalities,"4,936","4,120","4,047","4,053",82.1,,"$20,370 ","1,143",681,883,17.9,,"$3,596 "

Massachusetts,"23,982","21,764","19,253","19,854",82.8,,"$109,058 ","5,816","3,307","4,128",17.2,,"$13,251 "
State,"5,927","5,338","5,270","5,294",89.3,,"$29,522 ",639,630,633,10.7,,"$2,570 "
"Local, total","18,055","16,426","13,983","14,560",80.6,,"$79,536 ","5,177","2,677","3,495",19.4,,"$10,681 "
Counties,14, -   , -   , -   ,0,,$0 ,14,14,14,100,,$55 
Municipalities,"18,041","16,426","13,983","14,560",80.7,,"$79,536 ","5,163","2,663","3,481",19.3,,"$10,626 "

Michigan,"23,651","19,842","18,165","18,729",79.2,,"$86,733 ","6,299","4,083","4,922",20.8,,"$16,224 "
State,"2,810","1,959","1,959","1,959",69.7,,"$7,961 ",887,827,851,30.3,,"$2,937 "
"Local, total","20,841","17,883","16,206","16,770",80.5,,"$78,772 ","5,412","3,256","4,071",19.5,,"$13,287 "
Counties,"5,428","4,246","3,938","4,082",75.2,,"$18,421 ","1,534","1,130","1,346",24.8,,"$4,412 "
Municipalities,"15,413","13,637","12,268","12,688",82.3,,"$60,351 ","3,878","2,126","2,725",17.7,,"$8,875 "

Minnesota,"10,919","8,472","7,719","7,938",72.7,,"$40,959 ","3,322","2,653","2,981",27.3,,"$11,168 "
State,967,532,532,532,55,,"$2,623 ",451,410,435,45,,"$1,439 "
"Local, total","9,952","7,940","7,187","7,406",74.4,,"$38,335 ","2,871","2,243","2,546",25.6,,"$9,729 "
Counties,"3,533","2,566","2,324","2,412",68.3,,"$11,402 ","1,286",986,"1,121",31.7,,"$4,189 "
Municipalities,"6,419","5,374","4,863","4,994",77.8,,"$26,934 ","1,585","1,257","1,425",22.2,,"$5,539 "

Mississippi,"8,864","7,105","5,898","6,359",71.7,,"$18,032 ","2,945","2,283","2,505",28.3,,"$5,685 "
State,"1,167",658,658,658,56.4,,"$2,158 ",509,509,509,43.6,,"$1,323 "
"Local, total","7,697","6,447","5,240","5,701",74.1,,"$15,874 ","2,436","1,774","1,996",25.9,,"$4,363 "
Counties,"2,622","1,906","1,629","1,736",66.2,,"$5,102 ","1,039",770,886,33.8,,"$1,834 "
Municipalities,"5,075","4,541","3,611","3,965",78.1,,"$10,772 ","1,397","1,004","1,110",21.9,,"$2,529 "

Missouri,"18,232","13,473","12,802","12,998",71.3,,"$49,948 ","5,900","4,952","5,234",28.7,,"$14,486 "
State,"2,365","1,181","1,181","1,181",49.9,,"$4,746 ","1,242","1,138","1,184",50.1,,"$3,078 "
"Local, total","15,867","12,292","11,621","11,817",74.5,,"$45,202 ","4,658","3,814","4,050",25.5,,"$11,408 "
Counties,"4,206","3,235","2,830","2,889",68.7,,"$9,953 ","1,540","1,258","1,317",31.3,,"$3,163 "
Municipalities,"11,661","9,057","8,791","8,928",76.6,,"$35,249 ","3,118","2,556","2,733",23.4,,"$8,246 "

Montana,"2,535","1,736","1,647","1,660",65.5,,"$5,968 ",997,785,875,34.5,,"$2,333 "
State,437,206,206,206,47.1,,$708 ,235,223,231,52.9,,$791 
"Local, total","2,098","1,530","1,441","1,454",69.3,,"$5,260 ",762,562,644,30.7,,"$1,541 "
Counties,990,653,597,606,61.2,,"$2,108 ",497,314,384,38.8,,$846 
Municipalities,"1,108",877,844,848,76.5,,"$3,152 ",265,248,260,23.5,,$696 

Nebraska,"5,004","3,808","3,573","3,704",74,,"$15,722 ","1,441","1,201","1,300",26,,"$3,565 "
State,725,487,487,487,67.2,,"$1,888 ",239,237,238,32.8,,$710 
"Local, total","4,279","3,321","3,086","3,217",75.2,,"$13,834 ","1,202",964,"1,062",24.8,,"$2,855 "
Counties,"1,457","1,024",967,977,67.1,,"$3,790 ",538,444,480,32.9,,"$1,214 "
Municipalities,"2,822","2,297","2,119","2,240",79.4,,"$10,044 ",664,520,582,20.6,,"$1,641 "

Nevada,"7,179","4,401","4,393","4,396",61.2,,"$27,503 ","3,404","2,518","2,783",38.8,,"$13,323 "
State,844,422,422,422,50,,"$2,777 ",422,422,422,50,,"$1,749 "
"Local, total","6,335","3,979","3,971","3,974",62.7,,"$24,726 ","2,982","2,096","2,361",37.3,,"$11,575 "
Counties,"4,395","2,627","2,625","2,626",59.7,,"$16,381 ","2,240","1,606","1,769",40.3,,"$9,118 "
Municipalities,"1,940","1,352","1,346","1,348",69.5,,"$8,345 ",742,490,592,30.5,,"$2,456 "

New Hampshire,"3,818","3,587","2,713","2,932",76.8,,"$13,351 ","1,067",745,886,23.2,,"$2,747 "
State,416,273,273,273,65.6,,"$1,344 ",157,142,143,34.4,,$490 
"Local, total","3,402","3,314","2,440","2,659",78.2,,"$12,007 ",910,603,743,21.8,,"$2,257 "
Counties,259,207,148,173,66.8,,$719 ,114,71,86,33.2,,$284 
Municipalities,"3,143","3,107","2,292","2,486",79.1,,"$11,288 ",796,532,657,20.9,,"$1,973 "

New Jersey,"37,288","29,717","27,985","28,559",76.6,,"$191,004 ","13,507","6,202","8,729",23.4,,"$29,393 "
State,"4,648","2,972","2,972","2,972",63.9,,"$21,862 ","1,689","1,663","1,676",36.1,,"$6,356 "
"Local, total","32,640","26,745","25,013","25,587",78.4,,"$169,142 ","11,818","4,539","7,053",21.6,,"$23,037 "
Counties,"2,744","1,985","1,974","1,978",72.1,,"$10,456 ",812,736,766,27.9,,"$2,952 "
Municipalities,"29,896","24,760","23,039","23,609",79,,"$158,686 ","11,006","3,803","6,287",21,,"$20,085 "

New Mexico,"5,924","4,588","4,453","4,486",75.7,,"$17,927 ","1,708","1,217","1,438",24.3,,"$4,567 "
State,757,605,605,605,79.9,,"$2,915 ",152,152,152,20.1,,"$1,085 "
"Local, total","5,167","3,983","3,848","3,881",75.1,,"$15,012 ","1,556","1,065","1,286",24.9,,"$3,482 "
Counties,"1,542","1,203","1,133","1,158",75.1,,"$4,524 ",444,310,384,24.9,,"$1,061 "
Municipalities,"3,625","2,780","2,715","2,723",75.1,,"$10,488 ","1,112",755,902,24.9,,"$2,421 "

New York,"90,519","80,811","72,429","76,326",84.3,,"$442,652 ","18,151","11,837","14,193",15.7,,"$58,815 "
State,"6,418","4,677","4,677","4,677",72.9,,"$35,912 ","1,763","1,606","1,741",27.1,,"$6,693 "
"Local, total","84,101","76,134","67,752","71,649",85.2,,"$406,740 ","16,388","10,231","12,452",14.8,,"$52,122 "
Counties,"16,727","12,152","11,815","11,981",71.6,,"$80,057 ","5,637","3,848","4,746",28.4,,"$18,068 "
Municipalities,"67,374","63,982","55,937","59,668",88.6,,"$326,683 ","10,751","6,383","7,706",11.4,,"$34,053 "

North Carolina,"25,678","20,982","19,894","20,337",79.2,,"$70,901 ","5,822","5,017","5,341",20.8,,"$14,902 "
State,"3,428","2,261","2,261","2,261",66,,"$9,577 ","1,173","1,161","1,167",34,,"$3,477 "
"Local, total","22,250","18,721","17,633","18,076",81.2,,"$61,323 ","4,649","3,856","4,174",18.8,,"$11,424 "
Counties,"7,811","6,461","6,097","6,259",80.1,,"$19,984 ","1,707","1,445","1,552",19.9,,"$3,954 "
Municipalities,"14,439","12,260","11,536","11,817",81.8,,"$41,340 ","2,942","2,411","2,622",18.2,,"$7,470 "

North Dakota,"1,412","1,348","1,158","1,168",82.7,,"$4,116 ",252,232,244,17.3,,$611 
State,184,133,133,133,72.3,,$474 ,54,48,51,27.7,,$133 
"Local, total","1,228","1,215","1,025","1,035",84.3,,"$3,642 ",198,184,193,15.7,,$478 
Counties,505,462,432,434,85.9,,"$1,315 ",74,67,71,14.1,,$153 
Municipalities,723,753,593,601,83.1,,"$2,327 ",124,117,122,16.9,,$326 

Ohio,"32,447","26,412","23,302","24,399",75.2,,"$111,153 ","9,088","7,471","8,048",24.8,,"$26,129 "
State,"2,687","1,473","1,473","1,473",54.8,,"$7,771 ","1,215","1,206","1,214",45.2,,"$4,585 "
"Local, total","29,760","24,939","21,829","22,926",77,,"$103,382 ","7,873","6,265","6,834",23,,"$21,544 "
Counties,"7,925","5,281","5,035","5,122",64.6,,"$19,142 ","2,846","2,748","2,803",35.4,,"$8,642 "
Municipalities,"21,835","19,658","16,794","17,804",81.5,,"$84,240 ","5,027","3,517","4,031",18.5,,"$12,903 "

Oklahoma,"11,619","8,238","7,409","7,844",67.5,,"$28,282 ","4,134","3,516","3,775",32.5,,"$9,164 "
State,"1,881","1,009","1,009","1,009",53.6,,"$4,486 ",902,843,872,46.4,,"$2,650 "
"Local, total","9,738","7,229","6,400","6,835",70.2,,"$23,796 ","3,232","2,673","2,903",29.8,,"$6,514 "
Counties,"2,710","1,659","1,487","1,578",58.2,,"$3,349 ","1,213","1,044","1,132",41.8,,"$2,071 "
Municipalities,"7,028","5,570","4,913","5,257",74.8,,"$20,447 ","2,019","1,629","1,771",25.2,,"$4,444 "

Oregon,"8,834","6,317","6,036","6,126",69.3,,"$31,390 ","2,977","2,513","2,708",30.7,,"$10,356 "
State,"1,235",649,649,649,52.6,,"$2,991 ",700,562,586,47.4,,"$2,047 "
"Local, total","7,599","5,668","5,387","5,477",72.1,,"$28,399 ","2,277","1,951","2,122",27.9,,"$8,309 "
Counties,"2,725","1,844","1,707","1,745",64,,"$8,112 ","1,045",860,980,36,,"$3,809 "
Municipalities,"4,874","3,824","3,680","3,732",76.6,,"$20,287 ","1,232","1,091","1,142",23.4,,"$4,499 "

Pennsylvania,"32,140","28,957","24,425","26,309",81.9,,"$125,555 ","8,951","4,573","5,831",18.1,,"$20,323 "
State,"6,221","4,897","4,897","4,897",78.7,,"$23,924 ","1,352","1,290","1,324",21.3,,"$6,440 "
"Local, total","25,919","24,060","19,528","21,412",82.6,,"$101,631 ","7,599","3,283","4,507",17.4,,"$13,883 "
Counties,"2,746","1,662","1,417","1,543",56.2,,"$5,282 ","1,402","1,120","1,203",43.8,,"$3,733 "
Municipalities,"23,173","22,398","18,111","19,869",85.7,,"$96,349 ","6,197","2,163","3,304",14.3,,"$10,150 "

Rhode Island,"3,087","2,294","2,281","2,287",74.1,,"$11,371 ",997,685,800,25.9,,"$3,174 "
State,313,220,220,220,70.3,,"$1,377 ",96,92,93,29.7,,$414 
"Local, total","2,774","2,074","2,061","2,067",74.5,,"$9,994 ",901,593,707,25.5,,"$2,760 "
Municipalities,"2,774","2,074","2,061","2,067",74.5,,"$9,994 ",901,593,707,25.5,,"$2,760 "

South Carolina,"12,946","10,203","10,056","10,120",78.2,,"$33,146 ","3,180","2,591","2,826",21.8,,"$7,250 "
State,"1,977","1,322","1,322","1,322",66.9,,"$4,840 ",660,653,655,33.1,,"$1,980 "
"Local, total","10,969","8,881","8,734","8,798",80.2,,"$28,306 ","2,520","1,938","2,171",19.8,,"$5,269 "
Counties,"5,684","4,523","4,464","4,501",79.2,,"$14,030 ","1,475","1,006","1,183",20.8,,"$2,805 "
Municipalities,"5,285","4,358","4,270","4,297",81.3,,"$14,276 ","1,045",932,988,18.7,,"$2,464 "

South Dakota,"1,929","1,562","1,445","1,474",76.4,,"$5,291 ",577,421,455,23.6,,"$1,127 "
State,306,201,199,200,65.4,,$771 ,107,103,106,34.6,,$283 
"Local, total","1,623","1,361","1,246","1,274",78.5,,"$4,519 ",470,318,349,21.5,,$844 
Counties,646,528,428,442,68.4,,"$1,382 ",278,184,204,31.6,,$459 
Municipalities,977,833,818,832,85.2,,"$3,138 ",192,134,145,14.8,,$385 

Tennessee,"17,663","13,674","13,249","13,396",75.8,,"$43,711 ","5,182","3,712","4,267",24.2,,"$12,275 "
State,"1,960","1,086","1,086","1,086",55.4,,"$4,110 ",880,868,874,44.6,,"$2,501 "
"Local, total","15,703","12,588","12,163","12,310",78.4,,"$39,601 ","4,302","2,844","3,393",21.6,,"$9,774 "
Counties,"4,822","3,981","3,776","3,849",79.8,,"$12,021 ","1,168",903,973,20.2,,"$2,902 "
Municipalities,"10,881","8,607","8,387","8,461",77.8,,"$27,580 ","3,134","1,941","2,420",22.2,,"$6,871 "

Texas,"63,115","47,367","46,411","46,804",74.2,,"$202,512 ","18,394","15,224","16,311",25.8,,"$45,725 "
State,"4,102","2,272","2,272","2,272",55.4,,"$9,587 ","1,854","1,810","1,830",44.6,,"$5,344 "
"Local, total","59,013","45,095","44,139","44,532",75.5,,"$192,926 ","16,540","13,414","14,481",24.5,,"$40,381 "
Counties,"15,976","11,345","10,969","11,105",69.5,,"$38,362 ","4,939","4,637","4,871",30.5,,"$13,485 "
Municipalities,"43,037","33,750","33,170","33,427",77.7,,"$154,563 ","11,601","8,777","9,610",22.3,,"$26,896 "

Utah,"5,844","4,338","3,952","4,019",68.8,,"$16,021 ","2,701","1,427","1,825",31.2,,"$5,178 "
State,921,445,444,444,48.2,,"$1,613 ",526,447,477,51.8,,"$1,585 "
"Local, total","4,923","3,893","3,508","3,575",72.6,,"$14,408 ","2,175",980,"1,348",27.4,,"$3,593 "
Counties,"1,531","1,157","1,132","1,139",74.4,,"$4,189 ",543,380,392,25.6,,"$1,114 "
Municipalities,"3,392","2,736","2,376","2,436",71.8,,"$10,219 ","1,632",600,956,28.2,,"$2,480 "

Vermont,"1,478","1,104",960,992,67.1,,"$4,507 ",590,433,486,32.9,,"$1,828 "
State,613,336,323,326,53.2,,"$1,910 ",326,252,287,46.8,,"$1,202 "
"Local, total",865,768,637,666,77,,"$2,597 ",264,181,199,23,,$626 
Counties,22,11,11,11,50,,$45 ,12,10,11,50,,$33 
Municipalities,843,757,626,655,77.7,,"$2,552 ",252,171,188,22.3,,$593 

Virginia,"21,109","16,387","15,967","16,101",76.3,,"$69,857 ","5,686","4,558","5,008",23.7,,"$16,219 "
State,"3,019","2,176","2,135","2,156",71.4,,"$9,985 ",983,769,863,28.6,,"$2,686 "
"Local, total","18,090","14,211","13,832","13,945",77.1,,"$59,872 ","4,703","3,789","4,145",22.9,,"$13,533 "
Counties,"9,648","7,345","7,044","7,117",73.8,,"$32,484 ","2,895","2,305","2,531",26.2,,"$8,589 "
Municipalities,"8,442","6,866","6,788","6,828",80.9,,"$27,388 ","1,808","1,484","1,614",19.1,,"$4,944 "

Washington,"14,778","11,072","10,276","10,510",71.1,,"$58,376 ","4,628","4,160","4,268",28.9,,"$18,554 "
State,"2,211",983,983,983,44.5,,"$5,636 ","1,228","1,227","1,228",55.5,,"$5,168 "
"Local, total","12,567","10,089","9,293","9,527",75.8,,"$52,741 ","3,400","2,933","3,040",24.2,,"$13,385 "
Counties,"4,670","3,420","3,328","3,351",71.8,,"$17,513 ","1,471","1,263","1,319",28.2,,"$5,673 "
Municipalities,"7,897","6,669","5,965","6,176",78.2,,"$35,228 ","1,929","1,670","1,721",21.8,,"$7,712 "

West Virginia,"3,742","3,336","2,773","2,900",77.5,,"$9,011 ","1,136",743,842,22.5,,"$1,852 "
State,"1,008",648,648,648,64.3,,"$2,509 ",366,348,360,35.7,,$790 
