Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,
Filename:  jeeus1005.csv,,,,,,,,,,,,,,,,,,
"Table 5.   Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2010 (final)",,,,,,,,,,,,,,,,,,
"Series title:  Justice Expenditure and Employment Extracts 2010, NCJ 247019",,,,,,,,,,,,,,,,,,
Data source:  Justice Expenditure and Employment Extracts Program (JEE),,,,,,,,,,,,,,,,,,
Author: Tracey Kyckelhahn,,,,,,,,,,,,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,
Date of version:  ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Table 5.   Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2010 (final)",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Total justice system,,,,,Police protection,,,,Judicial and legal,,,,Corrections,,,
"Local, total",27760,1452,1359,1409,5.1,1265,1194,1237,87.8,107,101,104,7.4,80,64,68,4.8,"Local, total"
Boroughs,10303,112,103,107,1,70,64,67,62.6,33,30,31,29,9,9,9,8.4,Boroughs
Municipalities,16977,1340,1256,1302,7.7,1195,1130,1170,89.9,74,71,73,5.6,71,55,59,4.5,Municipalities
,,,,,,,,,,,,,,,,,,
Arizona,294885,47467,46386,46952,15.9,20486,20191,20334,43.3,11212,10628,10948,23.3,15769,15567,15670,33.4,Arizona
State,66807,13764,13636,13708,20.5,2062,2029,2048,14.9,1982,1926,1958,14.3,9720,9681,9702,70.8,State
"Local, total",228078,33703,32750,33244,14.6,18424,18162,18286,55,9230,8702,8990,27,6049,5886,5968,18,"Local, total"
Counties,37444,19264,18639,18990,50.7,5786,5717,5746,30.3,7470,7077,7317,38.5,6008,5845,5927,31.2,Counties
Municipalities,47971,14439,14111,14254,29.7,12638,12445,12540,88,1760,1625,1673,11.7,41,41,41,0.3,Municipalities
,,,,,,,,,,,,,,,,,,
Arkansas,175661,20993,19770,20229,11.5,9198,8668,8880,43.9,3730,3214,3382,16.7,8065,7888,7967,39.4,Arkansas
State,63484,8125,7958,8000,12.6,1214,1209,1211,15.1,1720,1558,1598,20,5191,5191,5191,64.9,State
"Local, total",112177,12868,11812,12229,10.9,7984,7459,7669,62.7,2010,1656,1784,14.6,2874,2697,2776,22.7,"Local, total"
Counties,20541,6659,5941,6206,30.2,2473,2199,2296,37,1363,1093,1184,19.1,2823,2649,2726,43.9,Counties
Municipalities,30882,6209,5871,6023,19.5,5511,5260,5373,89.2,647,563,600,10,51,48,50,0.8,Municipalities
,,,,,,,,,,,,,,,,,,
California,1785534,253836,239854,246708,13.8,103330,96258,99207,40.2,53312,50218,51778,21,97194,93378,95723,38.8,California
State,410653,81903,78623,80311,19.6,12327,11822,11924,14.8,7202,6380,6677,8.3,62374,60421,61710,76.8,State
"Local, total",1374881,171933,161231,166397,12.1,91003,84436,87283,52.5,46110,43838,45101,27.1,34820,32957,34013,20.4,"Local, total"
Counties,411746,114653,108880,111959,27.2,39182,37285,38172,34.1,42117,40019,41186,36.8,33354,31576,32601,29.1,Counties
Municipalities,234747,57280,52351,54438,23.2,51821,47151,49111,90.2,3993,3819,3915,7.2,1466,1381,1412,2.6,Municipalities
,,,,,,,,,,,,,,,,,,
Colorado,273277,34121,32227,33108,12.1,15528,14771,15031,45.4,7489,6546,7063,21.3,11104,10910,11014,33.3,Colorado
State,71064,13301,12561,12992,18.3,1552,1498,1507,11.6,4375,3766,4140,31.9,7374,7297,7345,56.5,State
"Local, total",202213,20820,19666,20116,9.9,13976,13273,13524,67.2,3114,2780,2923,14.5,3730,3613,3669,18.2,"Local, total"
Counties,29186,9031,8532,8726,29.9,4810,4543,4635,53.1,1587,1470,1519,17.4,2634,2519,2572,29.5,Counties
Municipalities,47417,11789,11134,11390,24,9166,8730,8889,78,1527,1310,1404,12.3,1096,1094,1097,9.6,Municipalities
,,,,,,,,,,,,,,,,,,
Connecticut,187486,20134,18855,19270,10.3,7636,6786,7072,36.7,5204,4916,4978,25.8,7294,7153,7220,37.5,Connecticut
State,63199,14246,13773,13908,22,1908,1857,1868,13.4,5044,4763,4820,34.7,7294,7153,7220,51.9,State
"Local, total",124287,5888,5082,5362,4.3,5728,4929,5204,97.1,160,153,158,2.9,0,0,0,0,"Local, total"
Municipalities,58890,5888,5082,5362,9.1,5728,4929,5204,97.1,160,153,158,2.9,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Delaware,49239,7352,7049,7225,14.7,2642,2440,2554,35.3,1819,1765,1795,24.8,2891,2844,2876,39.8,Delaware
State,26023,5626,5524,5590,21.5,1002,991,999,17.9,1733,1689,1715,30.7,2891,2844,2876,51.4,State
"Local, total",23216,1726,1525,1635,7,1640,1449,1555,95.1,86,76,80,4.9,0,0,0,0,"Local, total"
Counties,3679,671,513,614,16.7,596,443,542,88.3,75,70,72,11.7,0,0,0,0,Counties
Municipalities,4190,1055,1012,1021,24.4,1044,1006,1013,99.2,11,6,8,0.8,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
District of Columbia,43902,8497,8474,8491,19.3,4690,4690,4690,55.2,2438,2418,2433,28.7,1369,1366,1368,16.1,District of Columbia
"Local, total",43902,8497,8474,8491,19.3,4690,4690,4690,55.2,2438,2418,2433,28.7,1369,1366,1368,16.1,"Local, total"
Municipality,33990,8497,8474,8491,25,4690,4690,4690,55.2,2438,2418,2433,28.7,1369,1366,1368,16.1,Municipality
,,,,,,,,,,,,,,,,,,
Florida,907973,150709,143160,146200,16.1,67317,61563,63774,43.6,34628,33325,33980,23.2,48764,48272,48446,33.1,Florida
State,184465,56146,54350,55054,29.8,4757,4226,4372,7.9,20434,19532,19970,36.3,30955,30592,30712,55.8,State
"Local, total",723508,94563,88810,91146,12.6,62560,57337,59402,65.2,14194,13793,14010,15.4,17809,17680,17734,19.5,"Local, total"
Counties,177177,68552,64571,66174,37.3,38054,34560,35903,54.3,13629,13240,13452,20.3,16869,16771,16819,25.4,Counties
Municipalities,84716,26011,24239,24972,29.5,24506,22777,23499,94.1,565,553,558,2.2,940,909,915,3.7,Municipalities
,,,,,,,,,,,,,,,,,,
Georgia,517482,72500,68238,69899,13.5,27336,25993,26524,37.9,15226,13249,13905,19.9,29938,28996,29470,42.2,Georgia
State,124159,25313,24594,24906,20.1,2056,2021,2041,8.2,3685,3578,3631,14.6,19572,18995,19234,77.2,State
"Local, total",393323,47187,43644,44993,11.4,25280,23972,24483,54.4,11541,9671,10274,22.8,10366,10001,10236,22.8,"Local, total"
Counties,68169,31923,29310,30277,44.4,12825,12211,12457,41.1,10188,8541,9039,29.9,8910,8558,8781,29,Counties
Municipalities,47550,15264,14334,14716,30.9,12455,11761,12026,81.7,1353,1130,1235,8.4,1456,1443,1455,9.9,Municipalities
,,,,,,,,,,,,,,,,,,
Hawaii,73200,9450,9224,9299,12.7,4005,3847,3897,41.9,3061,3005,3025,32.5,2384,2372,2377,25.6,Hawaii
State,58121,4870,4811,4831,8.3,0,0,0,0,2486,2439,2454,50.8,2384,2372,2377,49.2,State
"Local, total",15079,4580,4413,4468,29.6,4005,3847,3897,87.2,575,566,571,12.8,0,0,0,0,"Local, total"
Counties,6139,1517,1444,1466,23.9,1262,1191,1212,82.7,255,253,254,17.3,0,0,0,0,Counties
Municipalities,8848,3063,2969,3002,33.9,2743,2656,2685,89.4,320,313,317,10.6,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Idaho,78101,10311,9655,9922,12.7,4502,4227,4336,43.7,2135,1997,2063,20.8,3674,3431,3523,35.5,Idaho
State,21940,2898,2841,2873,13.1,447,427,438,15.2,501,487,495,17.2,1950,1927,1940,67.5,State
"Local, total",56161,7413,6814,7049,12.6,4055,3800,3898,55.3,1634,1510,1568,22.2,1724,1504,1583,22.5,"Local, total"
Counties,11721,5074,4591,4779,40.8,1846,1694,1753,36.7,1504,1393,1443,30.2,1724,1504,1583,33.1,Counties
Municipalities,10543,2339,2223,2270,21.5,2209,2106,2145,94.5,130,117,125,5.5,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Illinois,639845,87482,79550,82227,12.9,46338,39884,41720,50.7,18441,17329,17866,21.7,22703,22337,22641,27.5,Illinois
State,131352,17492,17402,17441,13.3,3687,3673,3679,21.1,2675,2603,2634,15.1,11130,11126,11128,63.8,State
"Local, total",508493,69990,62148,64786,12.7,42651,36211,38041,58.7,15766,14726,15232,23.5,11573,11211,11513,17.8,"Local, total"
Counties,76876,31874,29892,30916,40.2,5460,4806,5060,16.4,14841,13875,14343,46.4,11573,11211,11513,37.2,Counties
Municipalities,122851,38116,32256,33870,27.6,37191,31405,32981,97.4,925,851,889,2.6,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Indiana,344813,39492,35887,37196,10.8,18043,16242,16724,45,8249,7210,7670,20.6,13200,12435,12802,34.4,Indiana
State,89549,10198,10139,10152,11.3,1960,1955,1957,19.3,1439,1389,1399,13.8,6799,6795,6796,66.9,State
"Local, total",255264,29294,25748,27044,10.6,16083,14287,14767,54.6,6810,5821,6271,23.2,6401,5640,6006,22.2,"Local, total"
Counties,65921,14224,12284,13175,20,3842,3405,3579,27.2,4874,4110,4477,34,5508,4769,5119,38.9,Counties
Municipalities,68501,15070,13464,13869,20.2,12241,10882,11188,80.7,1936,1711,1794,12.9,893,871,887,6.4,Municipalities
,,,,,,,,,,,,,,,,,,
Iowa,178662,15956,14324,14976,8.4,7615,6690,6968,46.5,3195,2915,3103,20.7,5146,4719,4905,32.8,Iowa
State,51328,6486,6217,6403,12.5,1019,993,1001,15.6,2201,2059,2188,34.2,3266,3165,3214,50.2,State
"Local, total",127334,9470,8107,8573,6.7,6596,5697,5967,69.6,994,856,915,10.7,1880,1554,1691,19.7,"Local, total"
Counties,31041,5066,4281,4573,14.7,2298,1963,2067,45.2,888,764,815,17.8,1880,1554,1691,37,Counties
Municipalities,26480,4404,3826,4000,15.1,4298,3734,3900,97.5,106,92,100,2.5,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Kansas,202484,20760,18964,19467,9.6,9654,8801,9043,46.5,4225,3594,3757,19.3,6881,6569,6667,34.2,Kansas
State,43824,6705,6522,6598,15.1,1142,1080,1110,16.8,2146,2045,2082,31.6,3417,3397,3406,51.6,State
"Local, total",158660,14055,12442,12869,8.1,8512,7721,7933,61.6,2079,1549,1675,13,3464,3172,3261,25.3,"Local, total"
Counties,35705,6946,6231,6444,18,2575,2377,2437,37.8,1170,943,1009,15.7,3201,2911,2998,46.5,Counties
Municipalities,38331,7109,6211,6425,16.8,5937,5344,5496,85.5,909,606,666,10.4,263,261,263,4.1,Municipalities
,,,,,,,,,,,,,,,,,,
Kentucky,242473,25182,23116,24244,10,10843,10045,10385,42.8,6584,5669,6291,25.9,7755,7402,7568,31.2,Kentucky
State,80714,11737,11149,11644,14.4,2271,2271,2271,19.5,5328,4740,5235,45,4138,4138,4138,35.5,State
"Local, total",161759,13445,11967,12600,7.8,8572,7774,8114,64.4,1256,929,1056,8.4,3617,3264,3430,27.2,"Local, total"
Counties,19381,4692,3758,4131,21.3,1764,1456,1568,38,654,374,480,11.6,2274,1928,2083,50.4,Counties
Municipalities,37998,8753,8209,8469,22.3,6808,6318,6546,77.3,602,555,576,6.8,1343,1336,1347,15.9,Municipalities
,,,,,,,,,,,,,,,,,,
Louisiana,277376,41350,37656,39491,14.2,18184,16407,17263,43.7,8738,7711,8169,20.7,14428,13538,14059,35.6,Louisiana
State,88720,10429,10289,10367,11.7,1732,1687,1711,16.5,1673,1637,1650,15.9,7024,6965,7006,67.6,State
"Local, total",188656,30921,27367,29124,15.4,16452,14720,15552,53.4,7065,6074,6519,22.4,7404,6573,7053,24.2,"Local, total"
Parishes,50425,17415,15281,16258,32.2,7746,6813,7194,44.2,4567,4053,4246,26.1,5102,4415,4818,29.6,Parishes
Municipalities,39329,13506,12086,12866,32.7,8706,7907,8358,65,2498,2021,2273,17.7,2302,2158,2235,17.4,Municipalities
,,,,,,,,,,,,,,,,,,
Maine,72424,5201,4369,4860,6.7,2209,2017,2094,43.1,940,770,836,17.2,2052,1582,1930,39.7,Maine
State,21130,2594,2087,2431,11.5,588,586,587,24.1,753,613,668,27.5,1253,888,1176,48.4,State
"Local, total",51294,2607,2282,2429,4.7,1621,1431,1507,62,187,157,168,6.9,799,694,754,31,"Local, total"
Counties,1833,1320,1135,1231,67.2,349,296,323,26.2,172,145,154,12.5,799,694,754,61.3,Counties
Municipalities,17929,1287,1147,1198,6.7,1272,1135,1184,98.8,15,12,14,1.2,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Maryland,302531,44805,42255,43772,14.5,19227,17900,18548,42.4,9064,8237,8799,20.1,16514,16118,16425,37.5,Maryland
State,88318,20278,19480,20104,22.8,2392,2350,2380,11.8,5221,4783,5127,25.5,12665,12347,12597,62.7,State
"Local, total",214213,24527,22775,23668,11,16835,15550,16168,68.3,3843,3454,3672,15.5,3849,3771,3828,16.2,"Local, total"
Counties,180972,18250,16789,17517,9.7,11599,10588,11045,63.1,2802,2430,2644,15.1,3849,3771,3828,21.9,Counties
Municipalities,32659,6277,5986,6151,18.8,5236,4962,5123,83.3,1041,1024,1028,16.7,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Massachusetts,329247,38082,35209,36157,11,21882,19640,20290,56.1,9989,9407,9688,26.8,6211,6162,6179,17.1,Massachusetts
State,95355,22069,21449,21752,22.8,6311,6226,6266,28.8,9547,9061,9307,42.8,6211,6162,6179,28.4,State
"Local, total",233892,16013,13760,14405,6.2,15571,13414,14024,97.4,442,346,381,2.6,0,0,0,0,"Local, total"
Counties,1109,22,22,22,2,20,20,20,90.9,2,2,2,9.1,0,0,0,0,Counties
Municipalities,154058,15991,13738,14383,9.3,15551,13394,14004,97.4,440,344,379,2.6,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Michigan,476915,55930,50934,53098,11.1,21836,19210,20214,38.1,12237,11012,11584,21.8,21857,20712,21300,40.1,Michigan
State,145606,19261,18994,19171,13.2,2636,2589,2606,13.6,1449,1405,1432,7.5,15176,15000,15133,78.9,State
"Local, total",331309,36669,31940,33927,10.2,19200,16621,17608,51.9,10788,9607,10152,29.9,6681,5712,6167,18.2,"Local, total"
Counties,72410,20213,18004,19055,26.3,4945,4477,4708,24.7,8683,7868,8250,43.3,6585,5659,6097,32,Counties
Municipalities,70932,16456,13936,14872,21,14255,12144,12900,86.7,2105,1739,1902,12.8,96,53,70,0.5,Municipalities
,,,,,,,,,,,,,,,,,,
Minnesota,279290,28598,25666,27263,9.8,12769,11528,12128,44.5,6226,5297,5890,21.6,9603,8841,9245,33.9,Minnesota
State,79941,8704,8083,8563,10.7,1019,975,1000,11.7,3450,3005,3359,39.2,4235,4103,4204,49.1,State
"Local, total",199349,19894,17583,18700,9.4,11750,10553,11128,59.5,2776,2292,2531,13.5,5368,4738,5041,27,"Local, total"
Counties,46174,11155,9601,10317,22.3,3343,2891,3074,29.8,2444,1972,2202,21.3,5368,4738,5041,48.9,Counties
Municipalities,52146,8739,7982,8383,16.1,8407,7662,8054,96.1,332,320,329,3.9,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Mississippi,192991,19798,17195,18005,9.3,10575,9048,9528,52.9,3451,2747,2937,16.3,5772,5400,5540,30.8,Mississippi
State,56858,5266,5243,5256,9.2,1195,1195,1195,22.7,727,720,721,13.7,3344,3328,3340,63.5,State
"Local, total",136133,14532,11952,12749,9.4,9380,7853,8333,65.4,2724,2027,2216,17.4,2428,2072,2200,17.3,"Local, total"
Counties,38303,8148,6552,7060,18.4,3759,3049,3280,46.5,2019,1487,1637,23.2,2370,2016,2143,30.4,Counties
Municipalities,29354,6384,5400,5689,19.4,5621,4804,5053,88.8,705,540,579,10.2,58,56,57,1,Municipalities
,,,,,,,,,,,,,,,,,,
Missouri,324533,44280,41767,42796,13.2,19379,18395,18825,44,8764,7687,8109,18.9,16137,15685,15862,37.1,Missouri
State,88818,19306,18635,18931,21.3,2500,2368,2435,12.9,4228,3853,4021,21.2,12578,12414,12475,65.9,State
"Local, total",235715,24974,23132,23865,10.1,16879,16027,16390,68.7,4536,3834,4088,17.1,3559,3271,3387,14.2,"Local, total"
Counties,24837,9550,8686,9044,36.4,3923,3731,3821,42.2,3096,2693,2861,31.6,2531,2262,2362,26.1,Counties
Municipalities,58434,15424,14446,14821,25.4,12956,12296,12569,84.8,1440,1141,1227,8.3,1028,1009,1025,6.9,Municipalities
,,,,,,,,,,,,,,,,,,
Montana,58430,6774,6020,6321,10.8,2849,2573,2676,42.3,1776,1429,1570,24.8,2149,2018,2075,32.8,Montana
State,20375,2564,2443,2508,12.3,496,480,489,19.5,716,640,682,27.2,1352,1323,1337,53.3,State
"Local, total",38055,4210,3577,3813,10,2353,2093,2187,57.4,1060,789,888,23.3,797,695,738,19.4,"Local, total"
Counties,7810,2745,2254,2434,31.2,1137,951,1010,41.5,819,616,694,28.5,789,687,730,30,Counties
Municipalities,5767,1465,1323,1379,23.9,1216,1142,1177,85.4,241,173,194,14.1,8,8,8,0.6,Municipalities
,,,,,,,,,,,,,,,,,,
Nebraska,121394,11932,10994,11388,9.4,5286,4890,5062,44.5,2067,1811,1915,16.8,4579,4293,4411,38.7,Nebraska
State,32560,4551,4358,4436,13.6,783,766,777,17.5,794,730,753,17,2974,2862,2906,65.5,State
"Local, total",88834,7381,6636,6952,7.8,4503,4124,4285,61.6,1273,1081,1162,16.7,1605,1431,1505,21.6,"Local, total"
Counties,15008,4162,3681,3881,25.9,1381,1248,1298,33.4,1176,1002,1078,27.8,1605,1431,1505,38.8,Counties
Municipalities,15440,3219,2955,3071,19.9,3122,2876,2987,97.3,97,79,84,2.7,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Nevada,114144,20432,18706,19388,17,9670,8583,8957,46.2,3904,3592,3761,19.4,6858,6531,6670,34.4,Nevada
State,28345,5296,5229,5245,18.5,841,841,841,16,748,731,734,14,3707,3657,3670,70,State
"Local, total",85799,15136,13477,14143,16.5,8829,7742,8116,57.4,3156,2861,3027,21.4,3151,2874,3000,21.2,"Local, total"
Counties,27849,11283,10067,10562,37.9,6442,5711,5950,56.3,2409,2182,2320,22,2432,2174,2292,21.7,Counties
Municipalities,11574,3853,3410,3581,30.9,2387,2031,2166,60.5,747,679,707,19.7,719,700,708,19.8,Municipalities
,,,,,,,,,,,,,,,,,,
New Hampshire,72990,6202,5398,5744,7.9,2525,2104,2289,39.9,1504,1240,1322,23,2173,2054,2133,37.1,New Hampshire
State,19470,2669,2601,2644,13.6,511,493,505,19.1,963,956,961,36.3,1195,1152,1178,44.6,State
"Local, total",53520,3533,2797,3100,5.8,2014,1611,1784,57.5,541,284,361,11.6,978,902,955,30.8,"Local, total"
Counties,7857,1899,1401,1607,20.5,434,266,344,21.4,487,233,308,19.2,978,902,955,59.4,Counties
Municipalities,21811,1634,1396,1493,6.8,1580,1345,1440,96.5,54,51,53,3.5,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
New Jersey,510786,69224,62511,65017,12.7,28013,22375,24064,37,21577,20836,21276,32.7,19634,19300,19677,30.3,New Jersey
State,152003,27531,27321,27428,18,4354,4333,4345,15.8,13688,13513,13601,49.6,9489,9475,9482,34.6,State
"Local, total",358783,41693,35190,37589,10.5,23659,18042,19719,52.5,7889,7323,7675,20.4,10145,9825,10195,27.1,"Local, total"
Counties,126388,21233,20425,21235,16.8,5042,4724,4945,23.3,6046,5876,6095,28.7,10145,9825,10195,48,Counties
Municipalities,76980,20460,14765,16354,21.2,18617,13318,14774,90.3,1843,1447,1580,9.7,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
New Mexico,128475,16608,15834,16187,12.6,6437,5905,6123,37.8,3754,3584,3667,22.7,6417,6345,6397,39.5,New Mexico
State,48160,8091,7916,8012,16.6,734,734,734,9.2,3314,3173,3245,40.5,4043,4009,4033,50.3,State
"Local, total",80315,8517,7918,8175,10.2,5703,5171,5389,65.9,440,411,422,5.2,2374,2336,2364,28.9,"Local, total"
Counties,10646,4286,4149,4232,39.8,1855,1763,1815,42.9,82,75,78,1.8,2349,2311,2339,55.3,Counties
Municipalities,17962,4231,3769,3943,22,3848,3408,3574,90.6,358,336,344,8.7,25,25,25,0.6,Municipalities
,,,,,,,,,,,,,,,,,,
New York,1224337,182388,169153,173866,14.2,91082,81519,84302,48.5,33479,31332,32368,18.6,57827,56302,57196,32.9,New York
State,251150,60458,59142,59990,23.9,6531,6380,6489,10.8,21891,21177,21661,36.1,32036,31585,31840,53.1,State
"Local, total",973187,121930,110011,113876,11.7,84551,75139,77813,68.3,11588,10155,10707,9.4,25791,24717,25356,22.3,"Local, total"
Counties,159921,31922,27643,29113,18.2,15177,12570,13391,46,4893,4091,4358,15,11852,10982,11364,39,Counties
Municipalities,695190,90008,82368,84763,12.2,69374,62569,64422,76,6695,6064,6349,7.5,13939,13735,13992,16.5,Municipalities
,,,,,,,,,,,,,,,,,,
North Carolina,549207,64064,61483,62548,11.4,28089,26242,27018,43.2,8371,8007,8136,13,27604,27234,27394,43.8,North Carolina
State,146409,31922,31662,31725,21.7,3478,3456,3470,10.9,7226,7037,7080,22.3,21218,21169,21175,66.7,State
"Local, total",402798,32142,29821,30823,7.7,24611,22786,23548,76.4,1145,970,1056,3.4,6386,6065,6219,20.2,"Local, total"
Counties,324415,17536,16122,16741,5.2,10513,9539,9944,59.4,952,805,872,5.2,6071,5778,5925,35.4,Counties
Municipalities,47335,14606,13699,14082,29.7,14098,13247,13604,96.6,193,165,184,1.3,315,287,294,2.1,Municipalities
,,,,,,,,,,,,,,,,,,
North Dakota,44588,3748,3310,3413,7.7,1580,1474,1491,43.7,980,767,800,23.4,1188,1069,1122,32.9,North Dakota
State,18139,1598,1468,1509,8.3,192,189,190,12.6,608,555,563,37.3,798,724,756,50.1,State
"Local, total",26449,2150,1842,1904,7.2,1388,1285,1301,68.3,372,212,237,12.4,390,345,366,19.2,"Local, total"
Counties,4949,1066,957,991,20,462,433,438,44.2,214,179,187,18.9,390,345,366,36.9,Counties
Municipalities,5863,1084,885,913,15.6,926,852,863,94.5,158,33,50,5.5,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Ohio,607305,82129,72801,76482,12.6,32104,27699,29286,38.3,24849,20988,22515,29.4,25176,24114,24681,32.3,Ohio
State,139907,21335,20677,20952,15,2563,2553,2561,12.2,3275,2698,2921,13.9,15497,15426,15470,73.8,State
"Local, total",467398,60794,52124,55530,11.9,29541,25146,26725,48.1,21574,18290,19594,35.3,9679,8688,9211,16.6,"Local, total"
Counties,151118,32710,29503,31134,20.6,7847,7213,7575,24.3,15994,14183,15015,48.2,8869,8107,8544,27.4,Counties
Municipalities,119894,28084,22621,24396,20.3,21694,17933,19150,78.5,5580,4107,4579,18.8,810,581,667,2.7,Municipalities
,,,,,,,,,,,,,,,,,,
Oklahoma,216870,23762,22343,22777,10.5,11884,10962,11201,49.2,4684,4363,4485,19.7,7194,7018,7091,31.1,Oklahoma
State,70501,10375,10135,10238,14.5,2015,1945,1976,19.3,2983,2862,2911,28.4,5377,5328,5351,52.3,State
"Local, total",146369,13387,12208,12539,8.6,9869,9017,9225,73.6,1701,1501,1574,12.6,1817,1690,1740,13.9,"Local, total"
Counties,23751,5456,5047,5200,21.9,2629,2408,2477,47.6,1155,1061,1105,21.3,1672,1578,1618,31.1,Counties
Municipalities,49099,7931,7161,7339,14.9,7240,6609,6748,91.9,546,440,469,6.4,145,112,122,1.7,Municipalities
,,,,,,,,,,,,,,,,,,
Oregon,198353,24107,22403,23189,11.7,9509,8918,9157,39.5,5021,4524,4796,20.7,9577,8961,9236,39.8,Oregon
State,65348,10319,9811,10102,15.5,1510,1367,1404,13.9,3271,3046,3195,31.6,5538,5398,5503,54.5,State
"Local, total",133005,13788,12592,13087,9.8,7999,7551,7753,59.2,1750,1478,1601,12.2,4039,3563,3733,28.5,"Local, total"
Counties,22177,8439,7525,7917,35.7,3036,2784,2917,36.8,1385,1199,1288,16.3,4018,3542,3712,46.9,Counties
Municipalities,21958,5349,5067,5170,23.5,4963,4767,4836,93.5,365,279,313,6.1,21,21,21,0.4,Municipalities
,,,,,,,,,,,,,,,,,,
