Bureau of Justice Statistics,,,,,,,,,
Ohio,2494714,323990,13,140458,43.4,86745,26.8,96786,29.9
State,651902,96505,14.8,12625,13.1,17189,17.8,66691,69.1
"Local, total",1842812,227484,12.3,127834,56.2,69556,30.6,30095,13.2
Counties,529602,110612,20.9,30853,27.9,52014,47,27745,25.1
Municipalities,523324,116873,22.3,96981,83,17541,15,2350,2
,,,,,,,,,
Oklahoma,714989,80755,11.3,42794,53,17291,21.4,20671,25.6
State,265474,38208,14.4,8381,21.9,12806,33.5,17021,44.5
"Local, total",449515,42547,9.5,34412,80.9,4485,10.5,3650,8.6
Counties,68770,12248,17.8,6175,50.4,2773,22.6,3300,26.9
Municipalities,178453,30299,17,28237,93.2,1712,5.7,350,1.2
,,,,,,,,,
Oregon,848897,110907,13.1,49493,44.6,21757,19.6,39657,35.8
State,289633,43626,15.1,6894,15.8,14190,32.5,22542,51.7
"Local, total",559264,67281,12,42599,63.3,7567,11.2,17115,25.4
Counties,95350,37438,39.3,14566,38.9,5837,15.6,17035,45.5
Municipalities,114537,29843,26.1,28033,93.9,1730,5.8,79,0.3
,,,,,,,,,
Pennsylvania,2524003,358127,14.2,135469,37.8,83729,23.4,138928,38.8
State,760014,139548,18.4,36998,26.5,22033,15.8,80517,57.7
"Local, total",1763989,218579,12.4,98471,45.1,61696,28.2,58411,26.7
Counties,364665,103657,28.4,14728,14.2,44367,42.8,44561,43
Municipalities,411968,114922,27.9,83743,72.9,17329,15.1,13850,12.1
,,,,,,,,,
Rhode Island,243560,27563,11.3,11952,43.4,6756,24.5,8855,32.1
State,95959,17376,18.1,2112,12.2,6408,36.9,8855,51
"Local, total",147600,10187,6.9,9839,96.6,348,3.4,0,0
Municipalities,85597,10187,11.9,9839,96.6,348,3.4,0,0
,,,,,,,,,
South Carolina,887046,94173,10.6,45913,48.8,16930,18,31330,33.3
State,286336,31706,11.1,6885,21.7,3751,11.8,21069,66.5
"Local, total",600710,62468,10.4,39028,62.5,13179,21.1,10261,16.4
Counties,116572,43947,37.7,22031,50.1,11748,26.7,10168,23.1
Municipalities,67263,18520,27.5,16997,91.8,1431,7.7,93,0.5
,,,,,,,,,
South Dakota,150224,16281,10.8,7246,44.5,3999,24.6,5037,30.9
State,54379,6635,12.2,1102,16.6,2740,41.3,2794,42.1
"Local, total",95845,9646,10.1,6144,63.7,1259,13,2243,23.3
Counties,15240,4942,32.4,1647,33.3,1110,22.5,2185,44.2
Municipalities,33643,4704,14,4497,95.6,148,3.2,59,1.2
,,,,,,,,,
Tennessee,1119779,138958,12.4,72745,52.4,29260,21.1,36953,26.6
State,307540,39600,12.9,6987,17.6,12624,31.9,19989,50.5
"Local, total",812239,99358,12.2,65758,66.2,16636,16.7,16965,17.1
Counties,416457,42844,10.3,18756,43.8,11464,26.8,12625,29.5
Municipalities,373038,56514,15.1,47002,83.2,5173,9.2,4340,7.7
,,,,,,,,,
Texas,5344915,664569,12.4,322784,48.6,116154,17.5,225631,34
State,1328253,182786,13.8,26362,14.4,28816,15.8,127609,69.8
"Local, total",4016662,481783,12,296422,61.5,87339,18.1,98023,20.3
Counties,639085,246899,38.6,77895,31.5,70981,28.7,98023,39.7
Municipalities,775500,234884,30.3,218527,93,16357,7,0,0
,,,,,,,,,
Utah,526993,58863,11.2,26207,44.5,13643,23.2,19014,32.3
State,215405,21253,9.9,3287,15.5,7137,33.6,10828,50.9
"Local, total",311589,37610,12.1,22920,60.9,6505,17.3,8185,21.8
Counties,53666,19807,36.9,7242,36.6,4380,22.1,8185,41.3
Municipalities,60534,17803,29.4,15678,88.1,2125,11.9,0,0
,,,,,,,,,
Vermont,156038,13879,8.9,6377,45.9,3011,21.7,4490,32.4
State,66246,11828,17.9,4523,38.2,2824,23.9,4481,37.9
"Local, total",89793,2051,2.3,1854,90.4,188,9.2,9,0.4
Counties,385,168,43.5,31,18.3,137,81.7,0,0
Municipalities,12696,1884,14.8,1824,96.8,51,2.7,9,0.5
,,,,,,,,,
Virginia,1744005,218567,12.5,99712,45.6,41710,19.1,77145,35.3
State,530599,73582,13.9,13274,18,17219,23.4,43090,58.6
"Local, total",1213407,144985,11.9,86438,59.6,24491,16.9,34055,23.5
Counties,718019,77470,10.8,46113,59.5,12636,16.3,18721,24.2
Municipalities,445086,67515,15.2,40325,59.7,11856,17.6,15334,22.7
,,,,,,,,,
Washington,1754719,202937,11.6,88808,43.8,45810,22.6,68319,33.7
State,577896,64158,11.1,11640,18.1,11101,17.3,41417,64.6
"Local, total",1176823,138778,11.8,77168,55.6,34709,25,26902,19.4
Counties,235427,81316,34.5,27621,34,28037,34.5,25658,31.6
Municipalities,246170,57462,23.3,49546,86.2,6672,11.6,1244,2.2
,,,,,,,,,
West Virginia,335962,31842,9.5,13071,41.1,9536,29.9,9234,29
State,137746,19318,14,4078,21.1,6339,32.8,8902,46.1
"Local, total",198215,12524,6.3,8994,71.8,3198,25.5,333,2.7
Counties,25070,6977,27.8,3729,53.4,2916,41.8,333,4.8
Municipalities,32585,5547,17,5265,94.9,282,5.1,0,0
,,,,,,,,,
Wisconsin,1188772,161989,13.6,73339,45.3,27477,17,61173,37.8
State,326643,60509,18.5,4309,7.1,13257,21.9,42943,71
"Local, total",862129,101479,11.8,69029,68,14220,14,18230,18
Counties,252018,54376,21.6,24115,44.3,12216,22.5,18045,33.2
Municipalities,212539,47103,22.2,44915,95.4,2004,4.3,185,0.4
,,,,,,,,,
Wyoming,202442,20876,10.3,8880,42.5,4708,22.6,7288,34.9
State,55549,9063,16.3,1367,15.1,2901,32,4795,52.9
"Local, total",146893,11813,8,7513,63.6,1807,15.3,2493,21.1
Counties,38740,6504,16.8,2642,40.6,1369,21.1,2493,38.3
Municipalities,21485,5309,24.7,4871,91.8,438,8.2,0,0
,,,,,,,,,
Notes: March payroll data may not sum to total because of rounding.,,,,,,,,,
Local government data are estimates subject to variability.,,,,,,,,,
"a/ Total March payroll includes payrolls of States and all types of local governments including independent school districts, which are not displayed separately.  The ""Local, total"" lines, which include these districts, will not equal the sum of the  ""Counties"" and ""Municipalities"" lines.",,,,,,,,,
b/ Justice system payrolls of independent school districts and special districts (primarily for special police forces) are not available.,,,,,,,,,
