Bureau of Justice Statistics,,,,,,,,,,
Filename:  jeeus1008.csv,,,,,,,,,,
"Table 8.   Per capita justice expenditure (fiscal 2010) and full-time equivalent justice employment per 10,000 population (July 2010) of State and local governments by activity and state (final)",,,,,,,,,,
"Series title:  Justice Expenditure and Employment Extracts 2010, NCJ 247019",,,,,,,,,,
Data source:  Justice Expenditure and Employment Extracts Program (JEE),,,,,,,,,,
Author: Tracey Kyckelhahn,,,,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,
Date of version:  ,,,,,,,,,,
,,,,,,,,,,
"Table 8.   Per capita justice expenditure (fiscal 2010) and full-time equivalent justice employment per 10,000 population (July 2010) of State and local governments by activity and state (final)",,,,,,,,,,
,,,,,,,,,,
,,"Per capita justice expenditure,",,,,Full-time equivalent justice employment,,,,
Montana,989415,647.69,247.79,149.57,250.34,63.89,27.05,17.88,15.87,20.97
Nebraska,1826341,514.81,219.39,98.8,196.61,62.35,27.72,20.35,10.49,24.15
Nevada,2700551,837.83,422.14,164.89,250.8,71.79,33.17,19.71,13.93,24.7
New Hampshire,1316470,517.35,263.25,99.19,154.92,43.63,17.39,12.21,10.04,16.2
,,,,,,,,,,
New Jersey,8791894,802.92,373.47,183.97,245.49,73.95,27.37,21.6,24.2,22.38
New Mexico,2059179,785.57,315.55,164.18,305.84,78.61,29.74,21.2,17.81,31.07
New York,19378102,981.55,449.37,220.23,311.95,89.72,43.5,37.31,16.7,29.52
North Carolina,9535483,531.36,250.02,76.83,204.5,65.59,28.33,22.44,8.53,28.73
North Dakota,672591,483.53,217.13,120.7,145.7,50.74,22.17,18.29,11.89,16.68
,,,,,,,,,,
Ohio,11536504,593.13,281.37,150.45,161.32,66.3,25.39,18.44,19.52,21.39
Oklahoma,3751351,499.52,224.86,90.77,183.89,60.72,29.86,19.93,11.96,18.9
Oregon,3831074,678.89,285.15,114.7,279.04,60.53,23.9,15.25,12.52,24.11
Pennsylvania,12702379,629.68,246.05,132.16,251.46,63.28,20.46,15.85,16,26.82
Rhode Island,1052567,643.09,349.14,113.31,180.64,48.79,21.99,17.93,11.73,15.06
,,,,,,,,,,
South Carolina,4625364,459.37,224.35,77.78,157.24,63.63,29.6,22.98,10.2,23.84
South Dakota,814180,491.8,201.3,90.86,199.64,56.24,24.81,19.76,11.59,19.84
Tennessee,6346105,525.4,263.83,101.73,159.84,62.17,30.37,22.58,11.2,20.6
Texas,25145561,584.32,255.05,100.8,228.47,69.5,28.73,20.35,10.7,30.07
Utah,2763885,532.06,228.55,125.3,178.22,52.79,22.69,15.73,10.8,19.31
,,,,,,,,,,
Vermont,625741,555.39,250.34,106.52,198.53,46.78,18.51,11.87,11.46,16.81
Virginia,8001024,576.46,246.26,103.87,226.33,68.78,27.94,21.5,11.89,28.95
Washington,6724540,596.69,226.64,123.34,246.71,56.48,21.38,15.08,12.82,22.28
West Virginia,1852994,461.26,181.66,108.81,170.8,53.09,20.58,15.77,13.72,18.79
Wisconsin,5686986,669.77,295.21,108.11,266.45,62.47,26.72,19.8,10.06,25.69
Wyoming,563626,946.38,391.66,198.41,356.32,90.17,36.58,26.4,17.96,35.63
,,,,,,,,,,
Note:  Local government data are estimates subject to variability.,,,,,,,,,,
"Population figures are from the Bureau of the Census, Current Population Reports, Series P-25, No. 1045, July 2011.",,,,,,,,,,
