Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,
filename:  cjee0405.csv,,,,,,,,,,,,,,,,,,,,,,
"table #:  5 Justice system employment and percent distribution of full-time equivalent employment,  by State and type of government, March 2004",,,,,,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2004, NCJ 215648",,,,,,,,,,,,,,,,,,,,,,
data source:  U.S. Bureau of the Census' Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,,,,,,,,,,,,,
author:  Kristen Hughes,,,,,,,,,,,,,,,,,,,,,,
refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,
date of version:  11/15/2006,,,,,,,,,,,,,,,,,,,,,,

"Table 5.   Justice system employment and percent distribution of full-time equivalent employment,  by State and type of government, March 2004",,,,,,,,,,,,,,,,,,,,,,

,,Total justice system,,,,,,Police protection,,,,,Judicial and legal,,,,,Corrections,,,,
Counties,"2,446",671,501,594,24.3,,600,431,523,88,,71,70,71,12,,0,0,0,0,,Counties
Municipalities,"3,101","1,155","1,002","1,049",33.8,,"1,119",977,"1,020",97.2,,36,25,29,2.8,,0,0,0,0,,Municipalities

District of Columbia,"44,671","7,176","7,043","7,110",15.9,,"4,472","4,347","4,410",62,,"1,613","1,607","1,610",22.6,,"1,091","1,089","1,090",15.3,,District of Columbia
"Local, total","44,671","7,176","7,043","7,110",15.9,,"4,472","4,347","4,410",62,,"1,613","1,607","1,610",22.6,,"1,091","1,089","1,090",15.3,,"Local, total"
Municipality,"34,835","7,176","7,043","7,110",20.4,,"4,472","4,347","4,410",62,,"1,613","1,607","1,610",22.6,,"1,091","1,089","1,090",15.3,,Municipality

Florida,"824,245","141,145","134,107","137,237",16.7,,"65,323","59,485","61,978",45.2,,"31,964","30,956","31,510",23,,"43,858","43,666","43,749",31.9,,Florida
State,"183,173","50,003","49,546","49,801",27.2,,"4,359","4,335","4,347",8.7,,"18,189","17,782","18,011",36.2,,"27,455","27,429","27,443",55.1,,State
"Local, total","641,072","91,142","84,561","87,436",13.6,,"60,964","55,150","57,631",65.9,,"13,775","13,174","13,499",15.4,,"16,403","16,237","16,306",18.6,,"Local, total"
Counties,"160,538","61,015","57,137","58,800",36.6,,"32,657","29,440","30,743",52.3,,"12,779","12,242","12,534",21.3,,"15,579","15,455","15,523",26.4,,Counties
Municipalities,"106,200","30,127","27,424","28,636",27,,"28,307","25,710","26,888",93.9,,996,932,965,3.4,,824,782,783,2.7,,Municipalities

Georgia,"500,220","67,200","62,219","64,523",12.9,,"26,778","24,563","25,506",39.5,,"12,546","10,793","11,515",17.8,,"27,876","26,863","27,502",42.6,,Georgia
State,"121,441","24,557","23,939","24,272",20,,"2,219","2,197","2,209",9.1,,"2,558","2,524","2,535",10.4,,"19,780","19,218","19,528",80.5,,State
"Local, total","378,779","42,643","38,280","40,251",10.6,,"24,559","22,366","23,297",57.9,,"9,988","8,269","8,980",22.3,,"8,096","7,645","7,974",19.8,,"Local, total"
Counties,"61,184","27,414","24,482","25,773",42.1,,"11,767","10,866","11,203",43.5,,"8,573","6,965","7,599",29.5,,"7,074","6,651","6,971",27,,Counties
Municipalities,"43,352","15,229","13,798","14,478",33.4,,"12,792","11,500","12,094",83.5,,"1,415","1,304","1,381",9.5,,"1,022",994,"1,003",6.9,,Municipalities

Hawaii,"70,897","9,070","8,803","8,872",12.5,,"3,806","3,618","3,661",41.3,,"2,882","2,813","2,834",31.9,,"2,382","2,372","2,377",26.8,,Hawaii
State,"56,505","4,693","4,622","4,644",8.2,,0,0,0,0,,"2,311","2,250","2,267",48.8,,"2,382","2,372","2,377",51.2,,State
"Local, total","14,392","4,377","4,181","4,228",29.4,,"3,806","3,618","3,661",86.6,,571,563,567,13.4,,0,0,0,0,,"Local, total"
Counties,"5,258","1,434","1,358","1,379",26.2,,"1,187","1,111","1,132",82.1,,247,247,247,17.9,,0,0,0,0,,Counties
Municipalities,"9,015","2,943","2,823","2,849",31.6,,"2,619","2,507","2,529",88.8,,324,316,320,11.2,,0,0,0,0,,Municipalities

Idaho,"78,284","8,711","7,989","8,206",10.5,,"3,995","3,632","3,716",45.3,,"1,743","1,599","1,644",20,,"2,973","2,758","2,846",34.7,,Idaho
State,"23,172","2,695","2,604","2,652",11.4,,486,439,461,17.4,,452,443,445,16.8,,"1,757","1,722","1,746",65.8,,State
"Local, total","55,112","6,016","5,385","5,554",10.1,,"3,509","3,193","3,255",58.6,,"1,291","1,156","1,199",21.6,,"1,216","1,036","1,100",19.8,,"Local, total"
Counties,"11,265","4,127","3,712","3,839",34.1,,"1,767","1,605","1,635",42.6,,"1,144","1,071","1,104",28.8,,"1,216","1,036","1,100",28.7,,Counties
Municipalities,"6,784","1,889","1,673","1,715",25.3,,"1,742","1,588","1,620",94.5,,147,85,95,5.5,,0,0,0,0,,Municipalities

Illinois,"635,758","91,946","84,887","87,440",13.8,,"49,913","43,972","46,093",52.7,,"17,484","16,672","16,932",19.4,,"24,549","24,243","24,415",27.9,,Illinois
State,"133,667","21,215","21,110","21,150",15.8,,"3,668","3,657","3,665",17.3,,"3,074","2,992","3,017",14.3,,"14,473","14,461","14,468",68.4,,State
"Local, total","502,091","70,731","63,777","66,290",13.2,,"46,245","40,315","42,428",64,,"14,410","13,680","13,915",21,,"10,076","9,782","9,947",15,,"Local, total"
Counties,"58,563","29,610","28,029","28,647",48.9,,"5,930","5,298","5,524",19.3,,"13,606","12,951","13,178",46,,"10,074","9,780","9,945",34.7,,Counties
Municipalities,"105,451","41,121","35,748","37,643",35.7,,"40,315","35,017","36,904",98,,804,729,737,2,,2,2,2,0,,Municipalities

Indiana,"329,515","40,529","36,934","38,063",11.6,,"18,997","16,763","17,293",45.4,,"7,726","6,915","7,273",19.1,,"13,806","13,256","13,497",35.5,,Indiana
State,"90,338","11,434","11,379","11,413",12.6,,"1,940","1,940","1,940",17,,"1,294","1,254","1,279",11.2,,"8,200","8,185","8,194",71.8,,State
"Local, total","239,177","29,095","25,555","26,650",11.1,,"17,057","14,823","15,353",57.6,,"6,432","5,661","5,994",22.5,,"5,606","5,071","5,303",19.9,,"Local, total"
Counties,"46,966","12,831","11,497","12,042",25.6,,"4,228","3,839","3,969",33,,"4,139","3,689","3,888",32.3,,"4,464","3,969","4,185",34.8,,Counties
Municipalities,"50,145","16,264","14,058","14,608",29.1,,"12,829","10,984","11,384",77.9,,"2,293","1,972","2,106",14.4,,"1,142","1,102","1,118",7.7,,Municipalities

Iowa,"184,484","16,554","14,813","15,585",8.4,,"8,151","7,389","7,639",49,,"3,708","3,193","3,473",22.3,,"4,695","4,231","4,473",28.7,,Iowa
State,"53,223","6,511","6,148","6,377",12,,888,870,874,13.7,,"2,340","2,158","2,280",35.8,,"3,283","3,120","3,223",50.5,,State
"Local, total","131,261","10,043","8,665","9,208",7,,"7,263","6,519","6,765",73.5,,"1,368","1,035","1,193",13,,"1,412","1,111","1,250",13.6,,"Local, total"
Counties,"28,048","5,523","4,785","5,149",18.4,,"2,884","2,706","2,778",54,,"1,231",972,"1,125",21.8,,"1,408","1,107","1,246",24.2,,Counties
Municipalities,"21,440","4,520","3,880","4,059",18.9,,"4,379","3,813","3,987",98.2,,137,63,68,1.7,,4,4,4,0.1,,Municipalities

Kansas,"179,510","19,883","17,867","18,482",10.3,,"9,360","8,461","8,759",47.4,,"4,207","3,434","3,627",19.6,,"6,316","5,972","6,096",33,,Kansas
State,"43,751","6,924","6,680","6,770",15.5,,"1,107","1,096","1,101",16.3,,"2,233","2,029","2,100",31,,"3,584","3,555","3,569",52.7,,State
"Local, total","135,759","12,959","11,187","11,712",8.6,,"8,253","7,365","7,658",65.4,,"1,974","1,405","1,527",13,,"2,732","2,417","2,527",21.6,,"Local, total"
Counties,"23,168","6,418","5,617","5,929",25.6,,"2,869","2,580","2,690",45.4,,"1,064",864,957,16.1,,"2,485","2,173","2,282",38.5,,Counties
Municipalities,"23,855","6,541","5,570","5,783",24.2,,"5,384","4,785","4,968",85.9,,910,541,570,9.9,,247,244,245,4.2,,Municipalities

Kentucky,"237,195","26,423","22,556","24,391",10.3,,"11,105","9,794","10,325",42.3,,"7,105","5,395","6,330",26,,"8,213","7,367","7,736",31.7,,Kentucky
State,"79,459","11,166","10,157","10,879",13.7,,"2,193","2,174","2,187",20.1,,"5,123","4,271","4,962",45.6,,"3,850","3,712","3,730",34.3,,State
"Local, total","157,736","15,257","12,399","13,512",8.6,,"8,912","7,620","8,138",60.2,,"1,982","1,124","1,368",10.1,,"4,363","3,655","4,006",29.6,,"Local, total"
Counties,"19,526","7,221","5,167","5,996",30.7,,"2,857","2,204","2,458",41,,"1,129",432,659,11,,"3,235","2,531","2,879",48,,Counties
Municipalities,"25,464","8,036","7,232","7,516",29.5,,"6,055","5,416","5,680",75.6,,853,692,709,9.4,,"1,128","1,124","1,127",15,,Municipalities

Louisiana,"282,264","39,705","35,799","37,274",13.2,,"17,541","15,533","16,144",43.3,,"8,421","7,315","7,694",20.6,,"13,743","12,951","13,436",36,,Louisiana
State,"90,553","11,441","10,873","11,198",12.4,,"1,657","1,652","1,654",14.8,,"1,783","1,700","1,723",15.4,,"8,001","7,521","7,821",69.8,,State
"Local, total","191,711","28,264","24,926","26,076",13.6,,"15,884","13,881","14,490",55.6,,"6,638","5,615","5,971",22.9,,"5,742","5,430","5,615",21.5,,"Local, total"
Parishes,"41,708","13,727","12,401","12,892",30.9,,"6,102","5,413","5,610",43.5,,"4,212","3,732","3,932",30.5,,"3,413","3,256","3,350",26,,Parishes
Municipalities,"38,926","14,537","12,525","13,184",33.9,,"9,782","8,468","8,880",67.4,,"2,426","1,883","2,039",15.5,,"2,329","2,174","2,265",17.2,,Municipalities

Maine,"77,099","6,983","5,836","6,169",8,,"3,678","2,833","3,055",49.5,,"1,102",935,985,16,,"2,203","2,068","2,129",34.5,,Maine
State,"21,703","2,714","2,563","2,649",12.2,,569,537,561,21.2,,771,712,741,28,,"1,374","1,314","1,347",50.8,,State
"Local, total","55,396","4,269","3,273","3,520",6.4,,"3,109","2,296","2,494",70.9,,331,223,244,6.9,,829,754,782,22.2,,"Local, total"
Counties,"1,836","1,567","1,341","1,413",77,,464,382,407,28.8,,274,205,224,15.9,,829,754,782,55.3,,Counties
Municipalities,"32,077","2,702","1,932","2,107",6.6,,"2,645","1,914","2,087",99.1,,57,18,20,0.9,,0,0,0,0,,Municipalities

Maryland,"282,314","40,657","37,881","39,472",14,,"17,437","15,885","16,612",42.1,,"7,983","7,150","7,713",19.5,,"15,237","14,846","15,147",38.4,,Maryland
State,"90,634","19,163","18,359","18,987",20.9,,"2,508","2,479","2,500",13.2,,"4,656","4,198","4,547",23.9,,"11,999","11,682","11,940",62.9,,State
"Local, total","191,680","21,494","19,522","20,485",10.7,,"14,929","13,406","14,112",68.9,,"3,327","2,952","3,166",15.5,,"3,238","3,164","3,207",15.7,,"Local, total"
Counties,"157,571","15,364","13,941","14,631",9.3,,"9,672","8,689","9,126",62.4,,"2,454","2,088","2,298",15.7,,"3,238","3,164","3,207",21.9,,Counties
Municipalities,"32,275","6,130","5,581","5,854",18.1,,"5,257","4,717","4,986",85.2,,873,864,868,14.8,,0,0,0,0,,Municipalities

Massachusetts,"323,054","44,565","39,974","41,704",12.9,,"25,489","21,667","23,152",55.5,,"9,551","9,026","9,185",22,,"9,525","9,281","9,367",22.5,,Massachusetts
State,"88,038","21,682","20,977","21,177",24.1,,"5,604","5,556","5,572",26.3,,"9,298","8,794","8,933",42.2,,"6,780","6,627","6,672",31.5,,State
"Local, total","235,016","22,883","18,997","20,527",8.7,,"19,885","16,111","17,580",85.6,,253,232,252,1.2,,"2,745","2,654","2,695",13.1,,"Local, total"
Counties,"2,476","1,704","1,612","1,653",66.8,,1,1,1,0.1,,2,1,1,0.1,,"1,701","1,610","1,651",99.9,,Counties
Municipalities,"198,488","21,179","17,385","18,874",9.5,,"19,884","16,110","17,579",93.1,,251,231,251,1.3,,"1,044","1,044","1,044",5.5,,Municipalities

Michigan,"504,120","62,650","57,804","59,844",11.9,,"26,558","23,491","24,514",41,,"12,491","11,489","12,082",20.2,,"23,601","22,824","23,248",38.8,,Michigan
State,"132,673","22,173","22,101","22,152",16.7,,"2,662","2,662","2,662",12,,"1,871","1,856","1,864",8.4,,"17,640","17,583","17,626",79.6,,State
"Local, total","371,447","40,477","35,703","37,692",10.1,,"23,896","20,829","21,852",58,,"10,620","9,633","10,218",27.1,,"5,961","5,241","5,622",14.9,,"Local, total"
Counties,"50,553","20,078","18,223","19,237",38.1,,"5,772","5,343","5,563",28.9,,"8,478","7,737","8,164",42.4,,"5,828","5,143","5,510",28.6,,Counties
Municipalities,"86,861","20,399","17,480","18,455",21.2,,"18,124","15,486","16,289",88.3,,"2,142","1,896","2,054",11.1,,133,98,112,0.6,,Municipalities

Minnesota,"274,989","26,592","23,730","25,206",9.2,,"11,155","9,953","10,442",41.4,,"6,398","5,572","6,103",24.2,,"9,039","8,205","8,661",34.4,,Minnesota
State,"74,465","7,569","6,985","7,377",9.9,,919,898,911,12.3,,"2,823","2,419","2,680",36.3,,"3,827","3,668","3,786",51.3,,State
"Local, total","200,524","19,023","16,745","17,829",8.9,,"10,236","9,055","9,531",53.5,,"3,575","3,153","3,423",19.2,,"5,212","4,537","4,875",27.3,,"Local, total"
Counties,"40,311","12,080","10,579","11,338",28.1,,"3,578","3,131","3,304",29.1,,"3,290","2,911","3,159",27.9,,"5,212","4,537","4,875",43,,Counties
Municipalities,"34,424","6,943","6,166","6,491",18.9,,"6,658","5,924","6,227",95.9,,285,242,264,4.1,,0,0,0,0,,Municipalities

Mississippi,"188,336","18,856","16,388","17,208",9.1,,"9,532","8,054","8,628",50.1,,"3,269","2,524","2,656",15.4,,"6,055","5,810","5,924",34.4,,Mississippi
State,"56,935","6,041","5,970","6,000",10.5,,"1,170","1,170","1,170",19.5,,691,646,658,11,,"4,180","4,154","4,172",69.5,,State
"Local, total","131,401","12,815","10,418","11,208",8.5,,"8,362","6,884","7,458",66.5,,"2,578","1,878","1,998",17.8,,"1,875","1,656","1,752",15.6,,"Local, total"
Counties,"26,641","6,273","5,318","5,656",21.2,,"2,670","2,226","2,400",42.4,,"1,780","1,488","1,556",27.5,,"1,823","1,604","1,700",30.1,,Counties
Municipalities,"22,311","6,542","5,100","5,552",24.9,,"5,692","4,658","5,058",91.1,,798,390,442,8,,52,52,52,0.9,,Municipalities

Missouri,"311,154","43,560","40,430","41,444",13.3,,"19,505","18,091","18,515",44.7,,"8,747","7,790","8,094",19.5,,"15,308","14,549","14,835",35.8,,Missouri
State,"90,678","18,419","17,616","17,899",19.7,,"2,294","2,163","2,221",12.4,,"4,224","3,994","4,074",22.8,,"11,901","11,459","11,604",64.8,,State
"Local, total","220,476","25,141","22,814","23,545",10.7,,"17,211","15,928","16,294",69.2,,"4,523","3,796","4,020",17.1,,"3,407","3,090","3,231",13.7,,"Local, total"
Counties,"23,234","10,404","9,543","9,834",42.3,,"4,645","4,429","4,504",45.8,,"3,160","2,826","2,903",29.5,,"2,599","2,288","2,427",24.7,,Counties
Municipalities,"44,669","14,737","13,271","13,711",30.7,,"12,566","11,499","11,790",86,,"1,363",970,"1,117",8.1,,808,802,804,5.9,,Municipalities

Montana,"54,257","5,903","5,066","5,389",9.9,,"2,632","2,324","2,433",45.1,,"1,515","1,096","1,262",23.4,,"1,756","1,646","1,694",31.4,,Montana
State,"18,556","2,102","1,905","2,005",10.8,,454,410,437,21.8,,528,414,469,23.4,,"1,120","1,081","1,099",54.8,,State
"Local, total","35,701","3,801","3,161","3,384",9.5,,"2,178","1,914","1,996",59,,987,682,793,23.4,,636,565,595,17.6,,"Local, total"
Counties,"6,292","2,473","1,999","2,169",34.5,,"1,118",915,968,44.6,,740,540,627,28.9,,615,544,574,26.5,,Counties
Municipalities,"4,644","1,328","1,162","1,215",26.2,,"1,060",999,"1,028",84.6,,247,142,166,13.7,,21,21,21,1.7,,Municipalities

Nebraska,"114,751","10,863","10,028","10,404",9.1,,"4,913","4,598","4,731",45.5,,"2,087","1,816","1,933",18.6,,"3,863","3,614","3,740",35.9,,Nebraska
State,"33,632","4,024","3,910","3,965",11.8,,764,745,757,19.1,,705,667,678,17.1,,"2,555","2,498","2,530",63.8,,State
"Local, total","81,119","6,839","6,118","6,439",7.9,,"4,149","3,853","3,974",61.7,,"1,382","1,149","1,255",19.5,,"1,308","1,116","1,210",18.8,,"Local, total"
Counties,"13,179","4,090","3,557","3,794",28.8,,"1,488","1,365","1,405",37,,"1,294","1,076","1,179",31.1,,"1,308","1,116","1,210",31.9,,Counties
Municipalities,"12,301","2,749","2,561","2,645",21.5,,"2,661","2,488","2,569",97.1,,88,73,76,2.9,,0,0,0,0,,Municipalities

Nevada,"96,363","16,671","15,449","15,893",16.5,,"7,376","6,624","6,859",43.2,,"3,506","3,233","3,365",21.2,,"5,789","5,592","5,669",35.7,,Nevada
State,"25,266","4,721","4,637","4,664",18.5,,780,779,780,16.7,,632,605,611,13.1,,"3,309","3,253","3,273",70.2,,State
"Local, total","71,097","11,950","10,812","11,229",15.8,,"6,596","5,845","6,079",54.1,,"2,874","2,628","2,754",24.5,,"2,480","2,339","2,396",21.3,,"Local, total"
Counties,"22,738","8,865","8,061","8,310",36.5,,"4,704","4,190","4,322",52,,"2,228","2,067","2,135",25.7,,"1,933","1,804","1,853",22.3,,Counties
Municipalities,"9,822","3,085","2,751","2,919",29.7,,"1,892","1,655","1,757",60.2,,646,561,619,21.2,,547,535,543,18.6,,Municipalities

New Hampshire,"68,487","8,102","6,288","6,820",10,,"4,816","3,295","3,655",53.6,,"1,309","1,123","1,235",18.1,,"1,977","1,870","1,930",28.3,,New Hampshire
State,"19,958","2,753","2,671","2,721",13.6,,428,411,421,15.5,,931,930,931,34.2,,"1,394","1,330","1,369",50.3,,State
"Local, total","48,529","5,349","3,617","4,099",8.4,,"4,388","2,884","3,234",78.9,,378,193,304,7.4,,583,540,561,13.7,,"Local, total"
Counties,"3,717","1,181",887,"1,040",28,,278,203,227,21.8,,320,144,252,24.2,,583,540,561,53.9,,Counties
Municipalities,"18,082","4,168","2,730","3,059",16.9,,"4,110","2,681","3,007",98.3,,58,49,52,1.7,,0,0,0,0,,Municipalities

New Jersey,"495,172","81,986","70,996","75,023",15.2,,"41,076","33,062","36,010",48,,"24,028","21,214","22,210",29.6,,"16,882","16,720","16,803",22.4,,New Jersey
State,"149,357","28,752","28,490","28,615",19.2,,"4,139","4,080","4,111",14.4,,"14,521","14,336","14,422",50.4,,"10,092","10,074","10,082",35.2,,State
"Local, total","345,815","53,234","42,506","46,408",13.4,,"36,937","28,982","31,899",68.7,,"9,507","6,878","7,788",16.8,,"6,790","6,646","6,721",14.5,,"Local, total"
Counties,"62,275","13,758","13,341","13,516",21.7,,"2,829","2,689","2,722",20.1,,"4,140","4,007","4,074",30.1,,"6,789","6,645","6,720",49.7,,Counties
Municipalities,"104,585","39,476","29,165","32,892",31.5,,"34,108","26,293","29,177",88.7,,"5,367","2,871","3,714",11.3,,1,1,1,0,,Municipalities

New Mexico,"124,531","15,220","14,279","14,706",11.8,,"6,118","5,574","5,784",39.3,,"3,166","2,875","3,013",20.5,,"5,936","5,830","5,909",40.2,,New Mexico
State,"49,175","7,475","7,305","7,421",15.1,,633,633,633,8.5,,"2,728","2,611","2,683",36.2,,"4,114","4,061","4,105",55.3,,State
