Bureau of Justice Statistics,,,,,,,,,,,,,
State,"1,990","1,430","1,422","1,429",71.8,,"$7,584 ",581,540,561,28.2,,"$2,427 "
"Local, total","8,920","7,659","6,919","7,139",80,,"$37,137 ","2,492","1,454","1,781",20,,"$5,612 "
Municipalities,"8,920","7,659","6,919","7,139",80,,"$37,137 ","2,492","1,454","1,781",20,,"$5,612 "

Delaware,"2,467","1,825","1,724","1,754",71.1,,"$8,898 ",820,604,713,28.9,,"$2,035 "
State,924,621,621,621,67.2,,"$3,593 ",305,299,303,32.8,,$902 
"Local, total","1,543","1,204","1,103","1,133",73.4,,"$5,304 ",515,305,410,26.6,,"$1,132 "
Counties,523,337,337,337,64.4,,"$1,910 ",263,94,186,35.6,,$561 
Municipalities,"1,020",867,766,796,78,,"$3,394 ",252,211,224,22,,$571 

District of Columbia,"4,410","3,647","3,646","3,647",82.7,,"$19,447 ",825,701,763,17.3,,"$3,137 "
"Local, total","4,410","3,647","3,646","3,647",82.7,,"$19,447 ",825,701,763,17.3,,"$3,137 "
Municipality,"4,410","3,647","3,646","3,647",82.7,,"$19,447 ",825,701,763,17.3,,"$3,137 "

Florida,"61,978","40,029","39,631","39,867",64.3,,"$181,491 ","25,294","19,854","22,111",35.7,,"$67,154 "
State,"4,347","1,995","1,995","1,995",45.9,,"$6,915 ","2,364","2,340","2,352",54.1,,"$7,893 "
"Local, total","57,631","38,034","37,636","37,872",65.7,,"$174,576 ","22,930","17,514","19,759",34.3,,"$59,260 "
Counties,"30,743","18,500","18,397","18,440",60,,"$84,237 ","14,157","11,043","12,303",40,,"$37,357 "
Municipalities,"26,888","19,534","19,239","19,432",72.3,,"$90,339 ","8,773","6,471","7,456",27.7,,"$21,903 "

Georgia,"25,506","20,765","19,620","20,156",79,,"$65,179 ","6,013","4,943","5,350",21,,"$14,237 "
State,"2,209","1,160","1,160","1,160",52.5,,"$4,035 ","1,059","1,037","1,049",47.5,,"$3,339 "
"Local, total","23,297","19,605","18,460","18,996",81.5,,"$61,144 ","4,954","3,906","4,301",18.5,,"$10,898 "
Counties,"11,203","9,095","8,766","8,872",79.2,,"$29,961 ","2,672","2,100","2,331",20.8,,"$5,912 "
Municipalities,"12,094","10,510","9,694","10,124",83.7,,"$31,183 ","2,282","1,806","1,970",16.3,,"$4,986 "

Hawaii,"3,661","2,807","2,807","2,807",76.7,,"$13,313 ",999,811,854,23.3,,"$2,763 "
State,0,0,0,0,0,,$0 ,0,0,0,0,,$0 
"Local, total","3,661","2,807","2,807","2,807",76.7,,"$13,313 ",999,811,854,23.3,,"$2,763 "
Counties,"1,132",829,829,829,73.2,,"$3,894 ",358,282,303,26.8,,$932 
Municipalities,"2,529","1,978","1,978","1,978",78.2,,"$9,419 ",641,529,551,21.8,,"$1,830 "

Idaho,"3,716","2,668","2,603","2,610",70.2,,"$9,507 ","1,327","1,029","1,106",29.8,,"$2,886 "
State,461,259,259,259,56.2,,"$1,041 ",227,180,202,43.8,,$588 
"Local, total","3,255","2,409","2,344","2,351",72.2,,"$8,466 ","1,100",849,904,27.8,,"$2,298 "
Counties,"1,635","1,077","1,053","1,057",64.6,,"$3,357 ",690,552,578,35.4,,"$1,392 "
Municipalities,"1,620","1,332","1,291","1,294",79.9,,"$5,109 ",410,297,326,20.1,,$906 

Illinois,"46,093","38,215","35,724","36,661",79.5,,"$153,228 ","11,698","8,248","9,432",20.5,,"$30,716 "
State,"3,665","2,025","2,025","2,025",55.3,,"$11,376 ","1,643","1,632","1,640",44.7,,"$7,302 "
"Local, total","42,428","36,190","33,699","34,636",81.6,,"$141,852 ","10,055","6,616","7,792",18.4,,"$23,414 "
Counties,"5,524","4,009","3,746","3,804",68.9,,"$15,838 ","1,921","1,552","1,720",31.1,,"$5,751 "
Municipalities,"36,904","32,181","29,953","30,832",83.5,,"$126,013 ","8,134","5,064","6,072",16.5,,"$17,662 "

Indiana,"17,293","12,513","12,034","12,160",70.3,,"$44,907 ","6,484","4,729","5,133",29.7,,"$12,009 "
State,"1,940","1,178","1,178","1,178",60.7,,"$5,488 ",762,762,762,39.3,,"$2,025 "
"Local, total","15,353","11,335","10,856","10,982",71.5,,"$39,420 ","5,722","3,967","4,371",28.5,,"$9,984 "
Counties,"3,969","2,641","2,553","2,570",64.8,,"$8,385 ","1,587","1,286","1,399",35.2,,"$3,044 "
Municipalities,"11,384","8,694","8,303","8,412",73.9,,"$31,035 ","4,135","2,681","2,972",26.1,,"$6,940 "

Iowa,"7,639","5,806","5,623","5,654",74,,"$22,218 ","2,345","1,766","1,985",26,,"$5,626 "
State,874,576,576,576,65.9,,"$2,653 ",312,294,298,34.1,,"$1,150 "
"Local, total","6,765","5,230","5,047","5,078",75.1,,"$19,566 ","2,033","1,472","1,687",24.9,,"$4,475 "
Counties,"2,778","1,939","1,904","1,913",68.9,,"$7,094 ",945,802,865,31.1,,"$2,354 "
Municipalities,"3,987","3,291","3,143","3,165",79.4,,"$12,471 ","1,088",670,822,20.6,,"$2,121 "

Kansas,"8,759","6,521","6,039","6,169",70.4,,"$23,029 ","2,839","2,422","2,590",29.6,,"$6,548 "
State,"1,101",607,607,607,55.1,,"$2,483 ",500,489,494,44.9,,"$1,420 "
"Local, total","7,658","5,914","5,432","5,562",72.6,,"$20,545 ","2,339","1,933","2,096",27.4,,"$5,128 "
Counties,"2,690","1,886","1,700","1,753",65.2,,"$5,719 ",983,880,937,34.8,,"$2,028 "
Municipalities,"4,968","4,028","3,732","3,809",76.7,,"$14,826 ","1,356","1,053","1,159",23.3,,"$3,099 "

Kentucky,"10,325","7,655","7,286","7,481",72.5,,"$26,186 ","3,450","2,508","2,844",27.5,,"$7,788 "
State,"2,187",969,967,969,44.3,,"$3,744 ","1,224","1,207","1,218",55.7,,"$3,862 "
"Local, total","8,138","6,686","6,319","6,512",80,,"$22,442 ","2,226","1,301","1,626",20,,"$3,926 "
Counties,"2,458","1,958","1,840","1,891",76.9,,"$6,468 ",899,364,567,23.1,,"$1,292 "
Municipalities,"5,680","4,728","4,479","4,621",81.4,,"$15,975 ","1,327",937,"1,059",18.6,,"$2,634 "

Louisiana,"16,144","12,765","12,102","12,291",76.1,,"$35,273 ","4,776","3,431","3,853",23.9,,"$8,865 "
State,"1,654","1,011","1,011","1,011",61.1,,"$3,917 ",646,641,643,38.9,,"$1,205 "
"Local, total","14,490","11,754","11,091","11,280",77.8,,"$31,356 ","4,130","2,790","3,210",22.2,,"$7,660 "
Parishes,"5,610","4,076","3,949","3,971",70.8,,"$11,338 ","2,026","1,464","1,639",29.2,,"$4,192 "
Municipalities,"8,880","7,678","7,142","7,309",82.3,,"$20,018 ","2,104","1,326","1,571",17.7,,"$3,468 "

Maine,"3,055","2,573","2,176","2,271",74.3,,"$8,856 ","1,105",657,784,25.7,,"$2,200 "
State,561,366,343,360,64.2,,"$1,802 ",203,194,201,35.8,,$598 
"Local, total","2,494","2,207","1,833","1,911",76.6,,"$7,053 ",902,463,583,23.4,,"$1,602 "
Counties,407,360,287,309,75.9,,"$1,072 ",104,95,98,24.1,,$256 
Municipalities,"2,087","1,847","1,546","1,602",76.8,,"$5,981 ",798,368,485,23.2,,"$1,347 "

Maryland,"16,612","11,934","11,891","11,917",71.7,,"$57,901 ","5,503","3,994","4,695",28.3,,"$17,410 "
State,"2,500","1,622","1,622","1,622",64.9,,"$8,267 ",886,857,878,35.1,,"$2,801 "
"Local, total","14,112","10,312","10,269","10,295",73,,"$49,633 ","4,617","3,137","3,817",27,,"$14,609 "
Counties,"9,126","6,296","6,263","6,286",68.9,,"$30,669 ","3,376","2,426","2,840",31.1,,"$11,144 "
Municipalities,"4,986","4,016","4,006","4,009",80.4,,"$18,964 ","1,241",711,977,19.6,,"$3,465 "

Massachusetts,"23,152","20,280","18,654","19,325",83.5,,"$100,215 ","5,209","3,013","3,827",16.5,,"$11,788 "
State,"5,572","4,995","4,960","4,970",89.2,,"$25,884 ",609,596,602,10.8,,"$2,615 "
"Local, total","17,580","15,285","13,694","14,355",81.7,,"$74,331 ","4,600","2,417","3,225",18.3,,"$9,173 "
Counties,1,1,1,1,100,,$4 ,0,0,0,0,,$0 
Municipalities,"17,579","15,284","13,693","14,354",81.7,,"$74,327 ","4,600","2,417","3,225",18.3,,"$9,173 "

Michigan,"24,514","19,970","18,942","19,275",78.6,,"$89,704 ","6,588","4,549","5,239",21.4,,"$16,630 "
State,"2,662","1,797","1,797","1,797",67.5,,"$7,068 ",865,865,865,32.5,,"$3,220 "
"Local, total","21,852","18,173","17,145","17,478",80,,"$82,636 ","5,723","3,684","4,374",20,,"$13,411 "
Counties,"5,563","4,382","4,199","4,277",76.9,,"$18,389 ","1,390","1,144","1,286",23.1,,"$4,212 "
Municipalities,"16,289","13,791","12,946","13,201",81,,"$64,247 ","4,333","2,540","3,088",19,,"$9,199 "

Minnesota,"10,442","7,981","7,403","7,597",72.8,,"$36,763 ","3,174","2,550","2,845",27.2,,"$9,713 "
State,911,507,507,507,55.7,,"$2,782 ",412,391,404,44.3,,"$1,479 "
"Local, total","9,531","7,474","6,896","7,090",74.4,,"$33,981 ","2,762","2,159","2,441",25.6,,"$8,234 "
Counties,"3,304","2,303","2,164","2,209",66.9,,"$9,797 ","1,275",967,"1,095",33.1,,"$3,523 "
Municipalities,"6,227","5,171","4,732","4,881",78.4,,"$24,184 ","1,487","1,192","1,346",21.6,,"$4,711 "

Mississippi,"8,628","6,699","5,821","6,211",72,,"$16,771 ","2,833","2,233","2,417",28,,"$5,194 "
State,"1,170",645,645,645,55.1,,"$2,037 ",525,525,525,44.9,,"$1,321 "
"Local, total","7,458","6,054","5,176","5,566",74.6,,"$14,733 ","2,308","1,708","1,892",25.4,,"$3,873 "
Counties,"2,400","1,740","1,522","1,610",67.1,,"$4,205 ",930,704,790,32.9,,"$1,510 "
Municipalities,"5,058","4,314","3,654","3,956",78.2,,"$10,529 ","1,378","1,004","1,102",21.8,,"$2,363 "

Missouri,"18,515","13,636","13,010","13,157",71.1,,"$45,457 ","5,869","5,081","5,358",28.9,,"$13,313 "
State,"2,221","1,134","1,134","1,134",51.1,,"$3,999 ","1,160","1,029","1,087",48.9,,"$2,601 "
"Local, total","16,294","12,502","11,876","12,023",73.8,,"$41,457 ","4,709","4,052","4,271",26.2,,"$10,712 "
Counties,"4,504","3,094","3,018","3,034",67.4,,"$9,180 ","1,551","1,411","1,470",32.6,,"$3,162 "
Municipalities,"11,790","9,408","8,858","8,989",76.2,,"$32,278 ","3,158","2,641","2,801",23.8,,"$7,550 "

Montana,"2,433","1,735","1,595","1,630",67,,"$5,676 ",897,729,803,33,,"$2,025 "
State,437,209,196,202,46.2,,$638 ,245,214,235,53.8,,$739 
"Local, total","1,996","1,526","1,399","1,428",71.5,,"$5,038 ",652,515,568,28.5,,"$1,286 "
Counties,968,714,627,640,66.1,,"$2,171 ",404,288,328,33.9,,$715 
Municipalities,"1,028",812,772,788,76.7,,"$2,866 ",248,227,240,23.3,,$571 

Nebraska,"4,731","3,639","3,552","3,588",75.8,,"$14,009 ","1,274","1,046","1,143",24.2,,"$2,997 "
State,757,509,509,509,67.2,,"$1,879 ",255,236,248,32.8,,$694 
"Local, total","3,974","3,130","3,043","3,079",77.5,,"$12,130 ","1,019",810,895,22.5,,"$2,303 "
Counties,"1,405","1,058","1,018","1,024",72.9,,"$3,563 ",430,347,381,27.1,,$876 
Municipalities,"2,569","2,072","2,025","2,055",80,,"$8,567 ",589,463,514,20,,"$1,427 "

Nevada,"6,859","4,257","4,254","4,256",62,,"$23,647 ","3,119","2,370","2,603",38,,"$11,151 "
State,780,404,404,404,51.8,,"$1,875 ",376,375,376,48.2,,"$1,526 "
"Local, total","6,079","3,853","3,850","3,852",63.4,,"$21,772 ","2,743","1,995","2,227",36.6,,"$9,625 "
Counties,"4,322","2,668","2,666","2,667",61.7,,"$14,701 ","2,036","1,524","1,655",38.3,,"$7,492 "
Municipalities,"1,757","1,185","1,184","1,185",67.4,,"$7,071 ",707,471,572,32.6,,"$2,133 "

New Hampshire,"3,655","3,810","2,599","2,832",77.5,,"$12,100 ","1,006",696,823,22.5,,"$2,474 "
State,421,274,274,274,65.1,,"$1,206 ",154,137,147,34.9,,$468 
"Local, total","3,234","3,536","2,325","2,558",79.1,,"$10,894 ",852,559,676,20.9,,"$2,007 "
Counties,227,183,139,156,68.7,,$629 ,95,64,71,31.3,,$212 
Municipalities,"3,007","3,353","2,186","2,402",79.9,,"$10,265 ",757,495,605,20.1,,"$1,795 "

New Jersey,"36,010","27,121","25,813","26,394",73.3,,"$155,835 ","13,955","7,249","9,616",26.7,,"$38,381 "
State,"4,111","1,366","1,307","1,338",32.5,,"$4,836 ","2,773","2,773","2,773",67.5,,"$18,920 "
"Local, total","31,899","25,755","24,506","25,056",78.5,,"$150,999 ","11,182","4,476","6,843",21.5,,"$19,461 "
Counties,"2,722","1,988","1,975","1,980",72.7,,"$9,950 ",841,714,742,27.3,,"$2,659 "
Municipalities,"29,177","23,767","22,531","23,076",79.1,,"$141,049 ","10,341","3,762","6,101",20.9,,"$16,802 "

New Mexico,"5,784","4,346","4,185","4,227",73.1,,"$15,137 ","1,772","1,389","1,557",26.9,,"$4,017 "
State,633,462,462,462,73,,"$1,756 ",171,171,171,27,,$654 
"Local, total","5,151","3,884","3,723","3,765",73.1,,"$13,381 ","1,601","1,218","1,386",26.9,,"$3,363 "
Counties,"1,671","1,290","1,227","1,248",74.7,,"$4,316 ",474,375,423,25.3,,"$1,076 "
Municipalities,"3,480","2,594","2,496","2,517",72.3,,"$9,065 ","1,127",843,963,27.7,,"$2,287 "

New York,"85,814","77,737","69,461","73,427",85.6,,"$421,368 ","16,142","10,171","12,387",14.4,,"$51,901 "
State,"6,299","4,623","4,623","4,623",73.4,,"$28,812 ","1,749","1,592","1,676",26.6,,"$5,822 "
"Local, total","79,515","73,114","64,838","68,804",86.5,,"$392,555 ","14,393","8,579","10,711",13.5,,"$46,079 "
Counties,"12,225","9,008","8,690","8,836",72.3,,"$55,725 ","4,020","2,748","3,389",27.7,,"$12,465 "
Municipalities,"67,290","64,106","56,148","59,968",89.1,,"$336,830 ","10,373","5,831","7,322",10.9,,"$33,614 "

North Carolina,"23,306","19,035","18,286","18,535",79.5,,"$61,196 ","5,259","4,544","4,771",20.5,,"$12,938 "
State,"3,319","2,230","2,230","2,230",67.2,,"$8,926 ","1,096","1,081","1,089",32.8,,"$3,253 "
"Local, total","19,987","16,805","16,056","16,305",81.6,,"$52,270 ","4,163","3,463","3,682",18.4,,"$9,685 "
Counties,"7,459","6,176","5,876","5,990",80.3,,"$17,417 ","1,629","1,395","1,469",19.7,,"$3,514 "
Municipalities,"12,528","10,629","10,180","10,315",82.3,,"$34,853 ","2,534","2,068","2,213",17.7,,"$6,171 "

North Dakota,"1,436","1,239","1,112","1,133",78.9,,"$3,760 ",337,292,303,21.1,,$711 
State,204,125,125,125,61.3,,$418 ,83,76,79,38.7,,$205 
"Local, total","1,232","1,114",987,"1,008",81.8,,"$3,341 ",254,216,224,18.2,,$506 
Counties,523,433,406,416,79.5,,"$1,194 ",131,102,107,20.5,,$211 
Municipalities,709,681,581,592,83.5,,"$2,148 ",123,114,117,16.5,,$295 

Ohio,"33,592","27,266","23,957","24,882",74.1,,"$106,053 ","10,479","7,971","8,710",25.9,,"$26,387 "
State,"2,663","1,436","1,436","1,436",53.9,,"$7,728 ","1,229","1,214","1,227",46.1,,"$4,377 "
"Local, total","30,929","25,830","22,521","23,446",75.8,,"$98,325 ","9,250","6,757","7,483",24.2,,"$22,011 "
Counties,"8,461","5,660","5,416","5,518",65.2,,"$19,378 ","2,950","2,878","2,943",34.8,,"$8,979 "
Municipalities,"22,468","20,170","17,105","17,928",79.8,,"$78,947 ","6,300","3,879","4,540",20.2,,"$13,031 "

Oklahoma,"11,252","8,049","7,109","7,580",67.4,,"$24,930 ","3,801","3,250","3,672",32.6,,"$7,512 "
State,"1,876","1,010","1,010","1,010",53.8,,"$3,689 ",883,853,866,46.2,,"$2,199 "
"Local, total","9,376","7,039","6,099","6,570",70.1,,"$21,241 ","2,918","2,397","2,806",29.9,,"$5,313 "
Counties,"2,659","1,606","1,382","1,484",55.8,,"$2,953 ","1,082",924,"1,175",44.2,,"$1,888 "
Municipalities,"6,717","5,433","4,717","5,086",75.7,,"$18,287 ","1,836","1,473","1,631",24.3,,"$3,425 "

Oregon,"8,594","6,131","5,850","5,968",69.4,,"$28,392 ","2,931","2,405","2,626",30.6,,"$9,032 "
State,"1,178",698,649,670,56.9,,"$3,010 ",636,473,508,43.1,,"$1,705 "
"Local, total","7,416","5,433","5,201","5,298",71.4,,"$25,382 ","2,295","1,932","2,118",28.6,,"$7,327 "
Counties,"2,534","1,618","1,535","1,576",62.2,,"$7,319 ","1,029",824,958,37.8,,"$3,216 "
Municipalities,"4,882","3,815","3,666","3,722",76.2,,"$18,063 ","1,266","1,108","1,160",23.8,,"$4,110 "

Pennsylvania,"31,157","27,742","23,967","25,495",81.8,,"$113,865 ","9,040","4,415","5,662",18.2,,"$18,575 "
State,"5,955","4,690","4,690","4,690",78.8,,"$21,880 ","1,287","1,225","1,265",21.2,,"$5,876 "
"Local, total","25,202","23,052","19,277","20,805",82.6,,"$91,984 ","7,753","3,190","4,397",17.4,,"$12,699 "
Counties,"2,391","1,439","1,233","1,335",55.8,,"$4,308 ","1,254",978,"1,056",44.2,,"$3,238 "
Municipalities,"22,811","21,613","18,044","19,470",85.4,,"$87,677 ","6,499","2,212","3,341",14.6,,"$9,461 "

Rhode Island,"2,988","2,177","2,159","2,166",72.5,,"$10,379 ",995,703,822,27.5,,"$2,966 "
State,281,201,201,201,71.5,,"$1,364 ",83,80,80,28.5,,$337 
"Local, total","2,707","1,976","1,958","1,965",72.6,,"$9,015 ",912,623,742,27.4,,"$2,629 "
Municipalities,"2,707","1,976","1,958","1,965",72.6,,"$9,015 ",912,623,742,27.4,,"$2,629 "

South Carolina,"13,683","10,008","9,872","9,935",72.6,,"$30,217 ","4,148","3,506","3,748",27.4,,"$8,451 "
State,"2,953","1,277","1,277","1,277",43.2,,"$4,201 ","1,682","1,673","1,676",56.8,,"$3,898 "
"Local, total","10,730","8,731","8,595","8,658",80.7,,"$26,016 ","2,466","1,833","2,072",19.3,,"$4,553 "
Counties,"5,401","4,382","4,324","4,363",80.8,,"$12,722 ","1,323",873,"1,038",19.2,,"$2,303 "
Municipalities,"5,329","4,349","4,271","4,295",80.6,,"$13,294 ","1,143",960,"1,034",19.4,,"$2,250 "

South Dakota,"1,778","1,451","1,310","1,329",74.7,,"$4,556 ",565,418,449,25.3,,"$1,072 "
State,274,175,171,175,63.9,,$657 ,100,98,99,36.1,,$262 
"Local, total","1,504","1,276","1,139","1,154",76.7,,"$3,898 ",465,320,350,23.3,,$811 
Counties,581,447,396,400,68.8,,"$1,171 ",263,162,181,31.2,,$378 
Municipalities,923,829,743,754,81.7,,"$2,727 ",202,158,169,18.3,,$433 

Tennessee,"18,182","13,774","13,143","13,408",73.7,,"$40,915 ","5,475","4,381","4,774",26.3,,"$12,612 "
State,"1,956","1,097","1,097","1,097",56.1,,"$3,959 ",859,858,859,43.9,,"$2,284 "
"Local, total","16,226","12,677","12,046","12,311",75.9,,"$36,956 ","4,616","3,523","3,915",24.1,,"$10,328 "
Counties,"4,946","3,730","3,607","3,654",73.9,,"$10,776 ","1,466","1,213","1,292",26.1,,"$3,284 "
Municipalities,"11,280","8,947","8,439","8,657",76.7,,"$26,180 ","3,150","2,310","2,623",23.3,,"$7,044 "

Texas,"62,055","46,284","45,667","45,947",74,,"$182,145 ","17,993","15,161","16,108",26,,"$41,849 "
State,"4,046","2,176","2,176","2,176",53.8,,"$8,085 ","1,883","1,860","1,870",46.2,,"$5,142 "
"Local, total","58,009","44,108","43,491","43,771",75.5,,"$174,059 ","16,110","13,301","14,238",24.5,,"$36,707 "
Counties,"15,227","10,661","10,402","10,507",69,,"$33,232 ","4,774","4,441","4,720",31,,"$12,056 "
Municipalities,"42,782","33,447","33,089","33,264",77.8,,"$140,827 ","11,336","8,860","9,518",22.2,,"$24,650 "

Utah,"5,521","4,004","3,829","3,887",70.4,,"$14,441 ","2,589","1,317","1,634",29.6,,"$4,674 "
State,778,418,418,418,53.7,,"$1,410 ",389,335,360,46.3,,"$1,230 "
"Local, total","4,743","3,586","3,411","3,469",73.1,,"$13,030 ","2,200",982,"1,274",26.9,,"$3,444 "
Counties,"1,587","1,195","1,174","1,179",74.3,,"$3,999 ",717,385,408,25.7,,"$1,135 "
Municipalities,"3,156","2,391","2,237","2,290",72.6,,"$9,031 ","1,483",597,866,27.4,,"$2,308 "

Vermont,"1,221","1,012",903,937,76.7,,"$3,964 ",331,264,284,23.3,,$851 
State,390,315,292,302,77.4,,"$1,655 ",88,88,88,22.6,,$292 
"Local, total",831,697,611,635,76.4,,"$2,309 ",243,176,196,23.6,,$559 
Counties,15,1,1,1,6.7,,$2 ,14,13,14,93.3,,$36 
Municipalities,816,696,610,634,77.7,,"$2,307 ",229,163,182,22.3,,$523 

Virginia,"20,129","15,643","15,327","15,396",76.5,,"$62,129 ","5,372","4,303","4,733",23.5,,"$14,014 "
State,"2,863","1,853","1,853","1,853",64.7,,"$7,834 ","1,100",927,"1,010",35.3,,"$2,592 "
"Local, total","17,266","13,790","13,474","13,543",78.4,,"$54,295 ","4,272","3,376","3,723",21.6,,"$11,422 "
Counties,"9,008","7,050","6,828","6,863",76.2,,"$28,074 ","2,479","1,929","2,145",23.8,,"$6,777 "
Municipalities,"8,258","6,740","6,646","6,680",80.9,,"$26,221 ","1,793","1,447","1,578",19.1,,"$4,645 "

Washington,"14,217","10,258","9,632","9,793",68.9,,"$53,359 ","4,755","4,233","4,424",31.1,,"$17,295 "
State,"2,210",983,983,983,44.5,,"$5,296 ","1,227","1,227","1,227",55.5,,"$4,847 "
"Local, total","12,007","9,275","8,649","8,810",73.4,,"$48,063 ","3,528","3,006","3,197",26.6,,"$12,448 "
Counties,"4,389","3,183","3,139","3,153",71.8,,"$15,840 ","1,332","1,207","1,236",28.2,,"$4,652 "
Municipalities,"7,618","6,092","5,510","5,657",74.3,,"$32,223 ","2,196","1,799","1,961",25.7,,"$7,797 "

West Virginia,"3,643","3,301","2,716","2,827",77.6,,"$8,177 ","1,099",745,816,22.4,,"$1,621 "
State,966,611,611,611,63.3,,"$2,209 ",364,352,355,36.7,,$746 
"Local, total","2,677","2,690","2,105","2,216",82.8,,"$5,968 ",735,393,461,17.2,,$874 
