"Bureau of Justice Statistics",,,,,,,,,,,,,
"        Municipalities",5995,,5155,5133,5136,85.7,15490,,1066,586,859,14.3,1492
,,,,,,,,,,,,,
"Massachusetts",17575,,15794,13947,14513,82.6,53569,,4567,2567,3062,17.4,6551
"     State",1913,,1598,1598,1598,83.5,6042,,315,312,315,16.5,767
"     Local, total",15662,,14196,12349,12915,82.5,47526,,4252,2255,2747,17.5,5784
"        Counties",37,,18,17,17,45.9,48,,24,19,20,54.1,47
"        Municipalities",15625,,14178,12332,12898,82.5,47478,,4228,2236,2727,17.5,5737
,,,,,,,,,,,,,
"Michigan",22168,,18061,16792,17202,77.6,59501,,6867,4046,4966,22.4,10792
"     State",2993,,2009,2009,2009,67.1,8034,,1094,927,984,32.9,2319
"     Local, total",19175,,16052,14783,15193,79.2,51467,,5773,3119,3982,20.8,8473
"        Counties",4395,,3388,3198,3248,73.9,10168,,1269,1011,1147,26.1,2480
"        Municipalities",14780,,12664,11585,11945,80.8,41298,,4504,2108,2835,19.2,5993
,,,,,,,,,,,,,
"Minnesota",9815,,7852,7133,7359,75.0,25762,,2821,2125,2456,25.0,5798
"     State",927,,591,584,587,63.3,2232,,349,320,340,36.7,885
"     Local, total",8888,,7261,6549,6772,76.2,23531,,2472,1805,2116,23.8,4912
"        Counties",2982,,2154,2007,2076,69.6,6670,,1028,791,906,30.4,2018
"        Municipalities",5906,,5107,4542,4696,79.5,16861,,1444,1014,1210,20.5,2894
,,,,,,,,,,,,,
"Mississippi",7294,,5681,5038,5249,72.0,10869,,2629,1838,2045,28.0,3048
"     State",963,,574,574,574,59.6,1596,,389,389,389,40.4,620
"     Local, total",6331,,5107,4464,4675,73.8,9273,,2240,1449,1656,26.2,2427
"        Counties",2062,,1645,1426,1509,73.2,3047,,676,505,553,26.8,847
"        Municipalities",4269,,3462,3038,3166,74.2,6225,,1564,944,1103,25.8,1581
,,,,,,,,,,,,,
"Missouri",14518,,10563,10038,10255,70.6,26942,,4674,4038,4263,29.4,7983
"     State",1922,,926,926,926,48.2,2782,,996,996,996,51.8,1944
"     Local, total",12596,,9637,9112,9329,74.1,24160,,3678,3042,3267,25.9,6039
"        Counties",2957,,2232,2081,2109,71.3,4501,,927,833,848,28.7,1549
"        Municipalities",9639,,7405,7031,7220,74.9,19660,,2751,2209,2419,25.1,4490
,,,,,,,,,,,,,
"Montana",2118,,1511,1423,1446,68.3,3538,,776,605,672,31.7,1149
"     State",411,,210,210,210,51.1,504,,209,191,201,48.9,421
"     Local, total",1707,,1301,1213,1236,72.4,3034,,567,414,471,27.6,728
"        Counties",861,,590,546,562,65.3,1364,,365,260,299,34.7,443
"        Municipalities",846,,711,667,674,79.7,1670,,202,154,172,20.3,285
,,,,,,,,,,,,,
"Nebraska",4035,,3084,2888,2995,74.2,8427,,1100,955,1040,25.8,1970
"     State",707,,447,447,486,68.7,1201,,223,217,221,31.3,480
"     Local, total",3328,,2637,2441,2509,75.4,7227,,877,738,819,24.6,1489
"        Counties",959,,668,644,653,68.1,1526,,331,269,306,31.9,487
"        Municipalities",2369,,1969,1797,1856,78.3,5701,,546,469,513,21.7,1002
,,,,,,,,,,,,,
"Nevada",4679,,3401,3382,3390,72.5,13415,,1489,1093,1289,27.5,2944
"     State",576,,322,322,322,55.9,1022,,254,254,254,44.1,494
"     Local, total",4103,,3079,3060,3068,74.8,12392,,1235,839,1035,25.2,2450
"        Counties",2876,,2223,2218,2219,77.2,8893,,798,511,657,22.8,1490
"        Municipalities",1227,,856,842,849,69.2,3500,,437,328,378,30.8,960
,,,,,,,,,,,,,
"New Hampshire",3050,,2828,2117,2312,75.8,7407,,1019,572,738,24.2,1550
"     State",420,,334,303,316,75.2,1117,,114,99,104,24.8,268
"     Local, total",2630,,2494,1814,1996,75.9,6290,,905,473,634,24.1,1282
"        Counties",190,,104,101,103,54.2,260,,162,61,87,45.8,205
"        Municipalities",2440,,2390,1713,1893,77.6,6030,,743,412,547,22.4,1076
,,,,,,,,,,,,,
"New Jersey",30770,,22375,21704,22001,71.5,93037,,12834,6451,8769,28.5,24108
"     State",3599,,1116,1111,1112,30.9,2954,,2487,2487,2487,69.1,11506
"     Local, total",27171,,21259,20593,20889,76.9,90083,,10347,3964,6282,23.1,12602
"        Counties",3285,,2493,2399,2426,73.9,9052,,877,839,859,26.1,1798
"        Municipalities",23886,,18766,18194,18463,77.3,81031,,9470,3125,5423,22.7,10803
,,,,,,,,,,,,,
"New Mexico",4746,,3475,3441,3458,72.9,8723,,1679,1136,1288,27.1,2246
"     State",567,,418,418,418,73.7,1111,,149,149,149,26.3,238
"     Local, total",4179,,3057,3023,3040,72.7,7612,,1530,987,1139,27.3,2008
"        Counties",1254,,910,903,908,72.4,2243,,349,337,346,27.6,742
"        Municipalities",2925,,2147,2120,2132,72.9,5369,,1181,650,793,27.1,1267
,,,,,,,,,,,,,
"New York",72227,,64475,60993,61874,85.7,246272,,13912,8589,10353,14.3,29175
"     State",5533,,4009,4009,4009,72.5,18466,,1579,1477,1524,27.5,4073
"     Local, total",66694,,60466,56984,57865,86.8,227807,,12333,7112,8829,13.2,25102
"        Counties",11678,,9996,9584,9765,83.6,40246,,2714,1562,1913,16.4,5373
"        Municipalities",55016,,50470,47400,48100,87.4,187561,,9619,5550,6916,12.6,19730
,,,,,,,,,,,,,
"North Carolina",20134,,16550,16084,16226,80.6,38338,,4564,3659,3908,19.4,7099
"     State",3286,,2441,2441,2441,74.3,6429,,845,845,845,25.7,1820
"     Local, total",16848,,14109,13643,13785,81.8,31909,,3719,2814,3063,18.2,5280
"        Counties",5603,,4626,4471,4530,80.8,9785,,1286,1001,1073,19.2,1780
"        Municipalities",11245,,9483,9172,9255,82.3,22123,,2433,1813,1990,17.7,3499
,,,,,,,,,,,,,
"North Dakota",1335,,1070,980,1010,75.7,2341,,359,298,325,24.3,561
"     State",215,,118,118,118,54.9,318,,97,97,97,45.1,197
"     Local, total",1120,,952,862,892,79.6,2023,,262,201,228,20.4,364
"        Counties",427,,360,323,332,77.8,696,,114,85,95,22.2,147
"        Municipalities",693,,592,539,560,80.8,1326,,148,116,133,19.2,217
,,,,,,,,,,,,,
"Ohio",26422,,20554,19053,19397,73.4,64383,,8728,6109,7025,26.6,14716
"     State",2451,,1327,1327,1327,54.1,5051,,1131,1115,1124,45.9,2606
"     Local, total",23971,,19227,17726,18070,75.4,59331,,7597,4994,5901,24.6,12111
"        Counties",5415,,3707,3594,3625,66.9,9538,,1880,1714,1790,33.1,3881
"        Municipalities",18556,,15520,14132,14445,77.8,49794,,5717,3280,4111,22.2,8230
,,,,,,,,,,,,,
"Oklahoma",9300,,6878,6620,6722,72.3,16469,,2900,2350,2578,27.7,4502
"     State",1624,,899,899,899,55.4,2303,,741,717,725,44.6,1398
"     Local, total",7676,,5979,5721,5823,75.9,14166,,2159,1633,1853,24.1,3104
"        Counties",1456,,945,916,934,64.1,1497,,637,387,522,35.9,717
"        Municipalities",6220,,5034,4805,4889,78.6,12669,,1522,1246,1331,21.4,2387
,,,,,,,,,,,,,
"Oregon",7248,,5639,5176,5270,72.7,18891,,2221,1861,1978,27.3,5032
"     State",1207,,796,785,791,65.5,3298,,545,403,416,34.5,1133
"     Local, total",6041,,4843,4391,4479,74.1,15592,,1676,1458,1562,25.9,3899
"        Counties",1843,,1448,1328,1360,73.8,4401,,499,462,483,26.2,1195
"        Municipalities",4198,,3395,3063,3119,74.3,11191,,1177,996,1079,25.7,2704
,,,,,,,,,,,,,
"Pennsylvania",28820,,24410,21727,22679,78.7,72669,,8776,4438,6141,21.3,13136
"     State",5375,,4254,4254,4254,79.1,14945,,1122,1121,1121,20.9,2616
"     Local, total",23445,,20156,17473,18425,78.6,57723,,7654,3317,5020,21.4,10520
"        Counties",2069,,1031,936,985,47.6,2337,,1160,1008,1084,52.4,2079
"        Municipalities",21376,,19125,16537,17440,81.6,55387,,6494,2309,3936,18.4,8441
,,,,,,,,,,,,,
"Rhode Island",2861,,2237,2199,2219,77.6,7631,,780,563,642,22.4,1365
"     State",239,,171,171,171,71.5,853,,68,68,68,28.5,201
"     Local, total",2622,,2066,2028,2048,78.1,6778,,712,495,574,21.9,1164
"        Counties","-",,"-","-","-","-","-",,"-","-","-","-","-"
"        Municipalities",2622,,2066,2028,2048,78.1,6778,,712,495,574,21.9,1164
,,,,,,,,,,,,,
"South Carolina",10346,,7658,7603,7636,73.8,17132,,3194,2461,2710,26.2,4540
"     State",2281,,1346,1345,1346,59.0,3469,,938,932,935,41.0,1824
"     Local, total",8065,,6312,6258,6290,78.0,13664,,2256,1529,1775,22.0,2715
"        Counties",3547,,2825,2778,2802,79.0,6015,,1017,626,745,21.0,1097
"        Municipalities",4518,,3487,3480,3488,77.2,7649,,1239,903,1030,22.8,1618
,,,,,,,,,,,,,
"South Dakota",1538,,1253,1077,1141,74.2,2795,,503,349,397,25.8,639
"     State",275,,178,177,178,64.7,486,,98,96,97,35.3,183
"     Local, total",1263,,1075,900,963,76.2,2309,,405,253,300,23.8,457
"        Counties",429,,299,275,279,65.0,636,,221,128,150,35.0,205
"        Municipalities",834,,776,625,684,82.0,1673,,184,125,150,18.0,251
,,,,,,,,,,,,,
"Tennessee",13394,,10331,10097,10157,75.8,24456,,3669,2982,3237,24.2,5977
"     State",1583,,934,934,934,59.0,2956,,656,646,649,41.0,1251
"     Local, total",11811,,9397,9163,9223,78.1,21500,,3013,2336,2588,21.9,4726
"        Counties",3606,,2894,2779,2826,78.4,5944,,858,725,780,21.6,1124
"        Municipalities",8205,,6503,6384,6397,78.0,15556,,2155,1611,1808,22.0,3602
,,,,,,,,,,,,,
"Texas",53945,,39975,39484,39633,73.5,108879,,15797,13491,14312,26.5,26800
"     State",3310,,1491,1491,1491,45.0,4293,,1842,1796,1819,55.0,4039
"     Local, total",50635,,38484,37993,38142,75.3,104586,,13955,11695,12493,24.7,22761
"        Counties",15123,,11825,11595,11685,77.3,26387,,3551,3343,3438,22.7,6191
"        Municipalities",35512,,26659,26398,26457,74.5,78199,,10404,8352,9055,25.5,16571
,,,,,,,,,,,,,
"Utah",4447,,3026,2927,2943,66.2,8295,,2155,1074,1504,33.8,3287
"     State",723,,378,378,378,52.3,1049,,389,317,345,47.7,845
"     Local, total",3724,,2648,2549,2565,68.9,7246,,1766,757,1159,31.1,2441
"        Counties",1305,,849,838,842,64.5,2332,,596,358,463,35.5,900
"        Municipalities",2419,,1799,1711,1723,71.2,4914,,1170,399,696,28.8,1541
,,,,,,,,,,,,,
"Vermont",1209,,934,813,849,70.2,2760,,417,291,360,29.8,813
"     State",460,,318,310,312,67.8,1083,,157,136,148,32.2,400
"     Local, total",749,,616,503,537,71.7,1678,,260,155,212,28.3,413
"        Counties",64,,"-","-","-","-","-",,64,32,64,100.0,82
"        Municipalities",685,,616,503,537,78.4,1678,,196,123,148,21.6,331
,,,,,,,,,,,,,
"Virginia",16482,,12894,12764,12819,77.8,38173,,4207,3197,3663,22.2,7447
"     State",2508,,1788,1788,1788,71.3,5464,,804,650,720,28.7,1464
"     Local, total",13974,,11106,10976,11031,78.9,32710,,3403,2547,2943,21.1,5983
"        Counties",6374,,5025,4946,4979,78.1,15712,,1628,1179,1395,21.9,2866
"        Municipalities",7600,,6081,6030,6052,79.6,16998,,1775,1368,1548,20.4,3118
,,,,,,,,,,,,,
"Washington",12190,,9040,8545,8742,71.7,32551,,3733,3272,3448,28.3,9008
"     State",1798,,972,972,972,54.1,3555,,826,825,826,45.9,2176
"     Local, total",10392,,8068,7573,7770,74.8,28996,,2907,2447,2622,25.2,6832
"        Counties",3460,,2575,2555,2559,74.0,9256,,952,837,901,26.0,2387
"        Municipalities",6932,,5493,5018,5211,75.2,19740,,1955,1610,1721,24.8,4445
,,,,,,,,,,,,,
"West Virginia",3164,,2580,2449,2455,77.6,5858,,873,630,709,22.4,935
"     State",857,,538,538,538,62.8,1481,,322,314,319,37.2,463
"     Local, total",2307,,2042,1911,1917,83.1,4376,,551,316,390,16.9,472
"        Counties",774,,675,667,667,86.2,1502,,121,93,107,13.8,117
"        Municipalities",1533,,1367,1244,1250,81.5,2874,,430,223,283,18.5,355
,,,,,,,,,,,,,
"Wisconsin",13717,,11713,10375,10720,78.2,32871,,4263,2408,2997,21.8,6137
"     State",892,,550,476,550,61.7,1726,,358,315,342,38.3,905
"     Local, total",12825,,11163,9899,10170,79.3,31146,,3905,2093,2655,20.7,5232
"        Counties",3540,,3030,2769,2845,80.4,8799,,784,631,695,19.6,1639
"        Municipalities",9285,,8133,7130,7325,78.9,22347,,3121,1462,1960,21.1,3593
,,,,,,,,,,,,,
"Wyoming",1692,,1160,1145,1149,67.9,2996,,607,497,543,32.1,916
"     State",251,,153,153,153,61.0,346,,93,87,98,39.0,193
"     Local, total",1441,,1007,992,996,69.1,2649,,514,410,445,30.9,723
"        Counties",609,,398,389,390,64.0,897,,232,211,219,36.0,326
"        Municipalities",832,,609,603,606,72.8,1752,,282,199,226,27.2,397
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Note: October payroll data may not add due to rounding.  For the same reason these data may not sum to equal police protection",,,,,,,,,,,,,
"October payrolls on table 6.  Local government data are estimates subject to variability.",,,,,,,,,,,,,
