"Bureau of Justice Statistics",,,,,,,,,,,,,
"        Municipalities",95325,,24908,26.1,,21529,86.4,,2441,9.8,,937,3.8
,,,,,,,,,,,,,
"Iowa",392062,,31992,8.2,,16383,51.2,,8148,25.5,,7460,23.3
"     State",145323,,15433,10.6,,3144,20.4,,6304,40.8,,5984,38.8
"     Local, total",246739,,16559,6.7,,13239,80,,1844,11.1,,1476,8.9
"        Counties",37754,,6739,17.8,,3731,55.4,,1537,22.8,,1471,21.8
"        Municipalities",50432,,9820,19.5,,9508,96.8,,307,3.1,,5,0.1
,,,,,,,,,,,,,
"Kansas",70176,,36771,52.4,,17917,48.7,,7404,20.1,,11449,31.1
"     State",106979,,14780,13.8,,2622,17.7,,4567,30.9,,7590,51.4
"     Local, total",263197,,21991,8.4,,15295,69.6,,2837,12.9,,3860,17.6
"        Counties",39107,,9941,25.4,,4276,43,,1872,18.8,,3792,38.1
"        Municipalities",47406,,12050,25.4,,11018,91.4,,964,8,,68,0.6
,,,,,,,,,,,,,
"Kentucky",428841,,40048,9.3,,16902,42.2,,9674,24.2,,13471,33.6
"     State",277856,,22747,8.2,,4105,18,,8289,36.4,,10354,45.5
"     Local, total",262885,,17300,6.6,,12797,74,,1385,8,,3117,18
"        Counties",30162,,8137,27,,4312,53,,1156,14.2,,2669,32.8
"        Municipalities",39888,,9163,23,,8486,92.6,,229,2.5,,448,4.9
,,,,,,,,,,,,,
"Louisiana",501839,,57929,11.5,,25767,44.5,,12961,22.4,,19202,33.1
"     State",201197,,20919,10.4,,2497,11.9,,4902,23.4,,13520,64.6
"     Local, total",300642,,37010,12.3,,23269,62.9,,8059,21.8,,5682,15.4
"        Parishes",55240,,15444,28,,7445,48.2,,5014,32.5,,2985,19.3
"        Municipalities",67145,,21566,32.1,,15824,73.4,,3045,14.1,,2697,12.5
,,,,,,,,,,,,,
"Maine",153113,,13734,9,,7372,53.7,,2013,14.7,,4349,31.7
"     State",53016,,6586,12.4,,1715,26,,1636,24.8,,3235,49.1
"     Local, total",100097,,7149,7.1,,5657,79.1,,377,5.3,,1114,15.6
"        Counties",2541,,2150,84.6,,721,33.5,,315,14.7,,1114,51.8
"        Municipalities",60855,,4999,8.2,,4937,98.8,,62,1.2,,"-","-"
,,,,,,,,,,,,,
"Maryland",714594,,96407,13.5,,46942,48.7,,16784,17.4,,32680,33.9
"     State",224348,,40282,18,,6168,15.3,,8378,20.8,,25737,63.9
"     Local, total",490246,,56124,11.4,,40775,72.7,,8407,15,,6943,12.4
"        Counties",392664,,37268,9.5,,23793,63.8,,6532,17.5,,6943,18.6
"        Municipalities",92350,,18857,20.4,,16982,90.1,,1875,9.9,,"-","-"
,,,,,,,,,,,,,
"Massachusetts",843433,,110420,13.1,,60120,54.4,,19531,17.7,,30769,27.9
"     State",237908,,42336,17.8,,6810,16.1,,18416,43.5,,17111,40.4
"     Local, total",605525,,68083,11.2,,53310,78.3,,1115,1.6,,13658,20.1
"        Counties",16678,,11166,67,,96,0.9,,212,1.9,,10858,97.2
"        Municipalities",502085,,56917,11.3,,53214,93.5,,903,1.6,,2800,4.9
,,,,,,,,,,,,,
"Michigan",1366088,,161838,11.8,,70293,43.4,,31039,19.2,,60506,37.4
"     State",404317,,68625,17,,10354,15.1,,9848,14.4,,48423,70.6
"     Local, total",961771,,93213,9.7,,59940,64.3,,21190,22.7,,12083,13
"        Counties",116030,,41891,36.1,,12648,30.2,,17415,41.6,,11828,28.2
"        Municipalities",189334,,51322,27.1,,47291,92.1,,3776,7.4,,255,0.5
,,,,,,,,,,,,,
"Minnesota",697653,,67209,9.6,,31560,47,,16505,24.6,,19143,28.5
"     State",203903,,18059,8.9,,3117,17.3,,6141,34,,8801,48.7
"     Local, total",493749,,49150,10,,28443,57.9,,10364,21.1,,10343,21
"        Counties",103156,,28501,27.6,,8688,30.5,,9471,33.2,,10343,36.3
"        Municipalities",95448,,20649,21.6,,19755,95.7,,894,4.3,,"-","-"
,,,,,,,,,,,,,
"Mississippi",311463,,26659,8.6,,13917,52.2,,5917,22.2,,6826,25.6
"     State",107973,,9097,8.4,,2216,24.4,,1591,17.5,,5290,58.2
"     Local, total",203489,,17562,8.6,,11700,66.6,,4326,24.6,,1536,8.7
"        Counties",44111,,9000,20.4,,3894,43.3,,3686,41,,1421,15.8
"        Municipalities",35371,,8562,24.2,,7806,91.2,,640,7.5,,116,1.4
,,,,,,,,,,,,,
"Missouri",570319,,64785,11.4,,34925,53.9,,14569,22.5,,15291,23.6
"     State",172036,,24054,14,,4726,19.6,,8153,33.9,,11175,46.5
"     Local, total",398283,,40731,10.2,,30199,74.1,,6417,15.8,,4116,10.1
"        Counties",32574,,13123,40.3,,6049,46.1,,4267,32.5,,2807,21.4
"        Municipalities",88569,,27608,31.2,,24149,87.5,,2150,7.8,,1309,4.7
,,,,,,,,,,,,,
"Montana",120350,,8778,7.3,,4687,53.4,,1864,21.2,,2227,25.4
"     State",38850,,3147,8.1,,925,29.4,,606,19.3,,1616,51.4
"     Local, total",81500,,5631,6.9,,3762,66.8,,1258,22.3,,611,10.9
"        Counties",10992,,3432,31.2,,1808,52.7,,1020,29.7,,605,17.6
"        Municipalities",7956,,2199,27.6,,1954,88.9,,238,10.8,,6,0.3
,,,,,,,,,,,,,
"Nebraska",234095,,19606,8.4,,10397,53,,3785,19.3,,5424,27.7
"     State",63327,,7455,11.8,,1681,22.5,,1859,24.9,,3915,52.5
"     Local, total",170767,,12151,7.1,,8716,71.7,,1926,15.9,,1509,12.4
"        Counties",18876,,5150,27.3,,2013,39.1,,1628,31.6,,1509,29.3
"        Municipalities",30856,,7001,22.7,,6703,95.7,,298,4.3,,"-","-"
,,,,,,,,,,,,,
"Nevada",196877,,35974,18.3,,16359,45.5,,8721,24.2,,10894,30.3
"     State",51563,,10691,20.7,,1516,14.2,,1546,14.5,,7628,71.3
"     Local, total",145314,,25283,17.4,,14843,58.7,,7175,28.4,,3265,12.9
"        Counties",46186,,18365,39.8,,10383,56.5,,5680,30.9,,2302,12.5
"        Municipalities",22760,,6918,30.4,,4460,64.5,,1495,21.6,,963,13.9
,,,,,,,,,,,,,
"New Hampshire",134986,,15310,11.3,,8957,58.5,,2463,16.1,,3890,25.4
"     State",43763,,5973,13.6,,1385,23.2,,1951,32.7,,2636,44.1
"     Local, total",91224,,9338,10.2,,7572,81.1,,512,5.5,,1254,13.4
"        Counties",7216,,2076,28.8,,465,22.4,,380,18.3,,1231,59.3
"        Municipalities",38215,,7262,19,,7107,97.9,,132,1.8,,23,0.3
,,,,,,,,,,,,,
"New Jersey",1420395,,224392,15.8,,117146,52.2,,49167,21.9,,58080,25.9
"     State",383440,,65577,17.1,,14460,22.1,,17819,27.2,,33298,50.8
"     Local, total",1036955,,158816,15.3,,102685,64.7,,31348,19.7,,24782,15.6
"        Counties",207870,,59291,28.5,,10851,18.3,,23659,39.9,,24782,41.8
"        Municipalities",270147,,99524,36.8,,91835,92.3,,7689,7.7,,"-","-"
,,,,,,,,,,,,,
"New Mexico",219829,,27246,12.4,,10969,40.3,,5399,19.8,,10877,39.9
"     State",92509,,14739,15.9,,1349,9.2,,4693,31.8,,8698,59
"     Local, total",127321,,12506,9.8,,9620,76.9,,707,5.7,,2180,17.4
"        Counties",17935,,4581,25.5,,2985,65.2,,214,4.7,,1382,30.2
"        Municipalities",29779,,7925,26.6,,6635,83.7,,492,6.2,,797,10.1
,,,,,,,,,,,,,
"New York",3656129,,590383,16.1,,275448,46.7,,109862,18.6,,205073,34.7
"     State",896456,,208265,23.2,,22539,10.8,,72554,34.8,,113171,54.3
"     Local, total",2759673,,382118,13.8,,252909,66.2,,37308,9.8,,91902,24.1
"        Counties",335622,,89865,26.8,,45618,50.8,,12031,13.4,,32216,35.8
"        Municipalities",1621142,,292253,18,,207290,70.9,,25277,8.6,,59686,20.4
,,,,,,,,,,,,,
"North Carolina",889314,,93087,10.5,,45437,48.8,,16402,17.6,,31248,33.6
"     State",271509,,47805,17.6,,8249,17.3,,14573,30.5,,24984,52.3
"     Local, total",617805,,45282,7.3,,37188,82.1,,1830,4,,6264,13.8
"        Counties",496273,,19198,3.9,,11565,60.2,,1369,7.1,,6264,32.6
"        Municipalities",96667,,26084,27,,25623,98.2,,461,1.8,,"-","-"
,,,,,,,,,,,,,
"North Dakota",84969,,6130,7.2,,2901,47.3,,1856,30.3,,1373,22.4
"     State",35399,,2487,7,,515,20.7,,950,38.2,,1022,41.1
"     Local, total",49569,,3643,7.3,,2386,65.5,,906,24.9,,351,9.6
"        Counties",6897,,1998,29,,843,42.2,,806,40.3,,349,17.5
"        Municipalities",7785,,1645,21.1,,1543,93.8,,99,6,,2,0.1
,,,,,,,,,,,,,
"Ohio",1449373,,170687,11.8,,79099,46.3,,39074,22.9,,52514,30.8
"     State",384290,,53125,13.8,,7657,14.4,,7334,13.8,,38134,71.8
"     Local, total",1065083,,117562,11,,71442,60.8,,31740,27,,14380,12.2
"        Counties",195928,,49308,25.2,,13418,27.2,,22403,45.4,,13487,27.4
"        Municipalities",234781,,68254,29.1,,58024,85,,9337,13.7,,894,1.3
,,,,,,,,,,,,,
"Oklahoma",381660,,39060,10.2,,20971,53.7,,7498,19.2,,10591,27.1
"     State",128777,,18220,14.1,,3701,20.3,,5132,28.2,,9386,51.5
"     Local, total",252883,,20840,8.2,,17270,82.9,,2366,11.4,,1205,5.8
"        Counties",23413,,4496,19.2,,2214,49.2,,1222,27.2,,1061,23.6
"        Municipalities",67575,,16344,24.2,,15056,92.1,,1144,7,,144,0.9
,,,,,,,,,,,,,
"Oregon",426824,,48999,11.5,,23922,48.8,,10240,20.9,,14837,30.3
"     State",140439,,18169,12.9,,4431,24.4,,6530,35.9,,7208,39.7
"     Local, total",286385,,30830,10.8,,19491,63.2,,3710,12,,7630,24.7
"        Counties",44599,,16144,36.2,,5596,34.7,,2963,18.4,,7585,47
"        Municipalities",53274,,14686,27.6,,13895,94.6,,747,5.1,,44,0.3
,,,,,,,,,,,,,
"Pennsylvania",1410152,,176720,12.5,,85805,48.6,,36293,20.5,,54623,30.9
"     State",435082,,56807,13.1,,17561,30.9,,9367,16.5,,29879,52.6
"     Local, total",975070,,119913,12.3,,68244,56.9,,26926,22.5,,24744,20.6
"        Counties",107144,,39379,36.8,,4416,11.2,,17901,45.5,,17062,43.3
"        Municipalities",195333,,80534,41.2,,63827,79.3,,9024,11.2,,7682,9.5
,,,,,,,,,,,,,
"Rhode Island",143063,,19818,13.9,,8996,45.4,,3599,18.2,,7223,36.4
"     State",56674,,11636,20.5,,1054,9.1,,3359,28.9,,7223,62.1
"     Local, total",86389,,8182,9.5,,7942,97.1,,240,2.9,,"-","-"
"        Counties","-",,"-","-",,"-","-",,"-","-",,"-","-"
"        Municipalities",80317,,8182,10.2,,7942,97.1,,240,2.9,,"-","-"
,,,,,,,,,,,,,
"South Carolina",430123,,45626,10.6,,21672,47.5,,6666,14.6,,17289,37.9
"     State",164250,,20978,12.8,,5293,25.2,,1781,8.5,,13904,66.3
"     Local, total",265873,,24649,9.3,,16379,66.4,,4885,19.8,,3385,13.7
"        Counties",59738,,14755,24.7,,7112,48.2,,4298,29.1,,3345,22.7
"        Municipalities",32381,,9894,30.6,,9267,93.7,,587,5.9,,40,0.4
,,,,,,,,,,,,,
"South Dakota",83181,,7175,8.6,,3434,47.9,,1878,26.2,,1864,26
"     State",31450,,3300,10.5,,668,20.2,,1351,40.9,,1280,38.8
"     Local, total",51730,,3876,7.5,,2766,71.4,,527,13.6,,583,15
"        Counties",6139,,1873,30.5,,841,44.9,,466,24.9,,567,30.3
"        Municipalities",10965,,2002,18.3,,1925,96.2,,61,3,,17,0.8
,,,,,,,,,,,,,
"Tennessee",576834,,65288,11.3,,30433,46.6,,12599,19.3,,22256,34.1
"     State",190262,,25236,13.3,,4206,16.7,,5884,23.3,,15145,60
"     Local, total",390277,,40052,10.3,,26227,65.5,,6715,16.8,,7111,17.8
"        Counties",204405,,17851,8.7,,7068,39.6,,4684,26.2,,6098,34.2
"        Municipalities",170919,,22201,13,,19158,86.3,,2030,9.1,,1013,4.6
,,,,,,,,,,,,,
"Texas",2389557,,300200,12.6,,135680,45.2,,52990,17.7,,111531,37.2
"     State",640389,,102752,16,,8332,8.1,,19845,19.3,,74575,72.6
"     Local, total",1749168,,197448,11.3,,127348,64.5,,33144,16.8,,36956,18.7
"        Counties",210214,,93181,44.3,,32578,35,,25209,27.1,,35394,38
"        Municipalities",355668,,104267,29.3,,94770,90.9,,7935,7.6,,1562,1.5
,,,,,,,,,,,,,
"Utah",229038,,23170,10.1,,11582,50,,5198,22.4,,6391,27.6
"     State",97659,,10270,10.5,,1895,18.5,,3248,31.6,,5127,49.9
"     Local, total",131378,,12900,9.8,,9687,75.1,,1950,15.1,,1264,9.8
"        Counties",17469,,5833,33.4,,3232,55.4,,1337,22.9,,1264,21.7
"        Municipalities",25602,,7067,27.6,,6454,91.3,,613,8.7,,"-","-"
,,,,,,,,,,,,,
"Vermont",79129,,6546,8.3,,3574,54.6,,1355,20.7,,1617,24.7
"     State",28876,,4321,15,,1483,34.3,,1221,28.3,,1617,37.4
"     Local, total",50253,,2225,4.4,,2091,94,,134,6,,"-","-"
"        Counties",177,,177,100,,82,46.3,,95,53.7,,"-","-"
"        Municipalities",9435,,2047,21.7,,2009,98.1,,38,1.9,,"-","-"
,,,,,,,,,,,,,
"Virginia",862191,,100773,11.7,,45620,45.3,,17304,17.2,,37848,37.6
"     State",280876,,40377,14.4,,6927,17.2,,8822,21.8,,24627,61
"     Local, total",581315,,60396,10.4,,38693,64.1,,8482,14,,13221,21.9
"        Counties",331426,,31174,9.4,,18578,59.6,,5628,18.1,,6968,22.4
"        Municipalities",226223,,29222,12.9,,20115,68.8,,2854,9.8,,6253,21.4
,,,,,,,,,,,,,
"Washington",804616,,87747,10.9,,41559,47.4,,19880,22.7,,26309,30
"     State",280330,,28363,10.1,,5731,20.2,,5732,20.2,,16901,59.6
"     Local, total",527054,,59384,11.3,,35828,60.3,,14148,23.8,,9408,15.8
"        Counties",93596,,31681,33.8,,11643,36.8,,11100,35,,8939,28.2
"        Municipalities",115021,,27703,24.1,,24185,87.3,,3048,11,,470,1.7
,,,,,,,,,,,,,
"West Virginia",196225,,12625,6.4,,6793,53.8,,3884,30.8,,1948,15.4
"     State",71381,,5638,7.9,,1945,34.5,,2405,42.7,,1288,22.8
"     Local, total",124844,,6987,5.6,,4848,69.4,,1479,21.2,,660,9.4
"        Counties",12301,,3598,29.2,,1620,45,,1319,36.7,,660,18.3
"        Municipalities",19148,,3389,17.7,,3229,95.3,,160,4.7,,"-","-"
,,,,,,,,,,,,,
"Wisconsin",723246,,76075,10.5,,39009,51.3,,15751,20.7,,21315,28
"     State",194641,,25744,13.2,,2631,10.2,,7800,30.3,,15313,59.5
"     Local, total",528605,,50331,9.5,,36378,72.3,,7950,15.8,,6002,11.9
"        Counties",104212,,22187,21.3,,10438,47,,5747,25.9,,6002,27.1
"        Municipalities",102919,,28144,27.3,,25940,92.2,,2204,7.8,,"-","-"
,,,,,,,,,,,,,
"Wyoming",80928,,7229,8.9,,3912,54.1,,1811,25.1,,1507,20.8
"     State",22835,,2447,10.7,,539,22,,1002,40.9,,906,37
"     Local, total",58092,,4782,8.2,,3373,70.5,,809,16.9,,600,12.5
"        Counties",9587,,2414,25.2,,1223,50.7,,608,25.2,,582,24.1
"        Municipalities",8236,,2368,28.8,,2149,90.8,,201,8.5,,18,0.8
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Note: October payroll data may not sum to total because of rounding.",,,,,,,,,,,,,
"Local government data are estimates subject to variability.",,,,,,,,,,,,,
"a/ Total October payroll includes payrolls of States and all types of local governments including independent school districts,",,,,,,,,,,,,,
"which are not displayed separately.  The ""Local, total"" lines, which include these districts, will not equal the sum of the",,,,,,,,,,,,,
" ""Counties"" and ""Municipalities"" lines.",,,,,,,,,,,,,
"b/ Justice system payrolls of independent school districts and special districts (primarily for special police forces) are not",,,,,,,,,,,,,
"available.",,,,,,,,,,,,,
