"Bureau of Justice Statistics",,,,,,,,,,,,,,,
"        Municipalities","-",,1440341,,71782,5.0,,69204,96.4,,2537,3.5,,41,0.1
,,,,,,,,,,,,,,,
"Maryland",5006,,22686938,,1904308,8.4,,751980,39.5,,351309,18.4,,801019,42.1
"     State","-",,11397739,,1042664,9.1,,147348,14.1,,219335,21.0,,675981,64.8
"     Local, total","-",,11289199,,861644,7.6,,604632,70.2,,131974,15.3,,125038,14.5
"        Counties","-",,8305786,,579703,7.0,,354757,61.2,,99910,17.2,,125036,21.6
"        Municipalities","-",,2181897,,281941,12.9,,249875,88.6,,32064,11.4,,2,"-"
,,,,,,,,,,,,,,,
"Massachusetts",6041,,33532658,,1935778,5.8,,884834,45.7,,391947,20.2,,658997,34.0
"     State","-",,18002886,,950277,5.3,,177644,18.7,,347544,36.6,,425089,44.7
"     Local, total","-",,15534855,,985501,6.3,,707190,71.8,,44403,4.5,,233908,23.7
"        Counties","-",,487268,,184030,37.8,,1753,1.0,,1583,0.9,,180694,98.2
"        Municipalities","-",,11972239,,801471,6.7,,705437,88.0,,42820,5.3,,53214,6.6
,,,,,,,,,,,,,,,
"Michigan",9496,,44747664,,3315499,7.4,,1368232,41.3,,673149,20.3,,1274118,38.4
"     State","-",,20440740,,1376428,6.7,,201287,14.6,,160232,11.6,,1014909,73.7
"     Local, total","-",,24306924,,1939071,8.0,,1166945,60.2,,512917,26.5,,259209,13.4
"        Counties","-",,4947640,,878270,17.8,,220522,25.1,,403720,46.0,,254028,28.9
"        Municipalities","-",,7308648,,1060801,14.5,,946423,89.2,,109197,10.3,,5181,0.5
,,,,,,,,,,,,,,,
"Minnesota",4567,,24902907,,1264448,5.1,,589859,46.6,,307414,24.3,,367175,29.0
"     State","-",,9899701,,384046,3.9,,68216,17.8,,117817,30.7,,198013,51.6
"     Local, total","-",,15003206,,880402,5.9,,521643,59.3,,189597,21.5,,169162,19.2
"        Counties","-",,3397465,,512013,15.1,,174550,34.1,,168399,32.9,,169064,33.0
"        Municipalities","-",,4564975,,368389,8.1,,347093,94.2,,21198,5.8,,98,"-"
,,,,,,,,,,,,,,,
"Mississippi",2669,,9633703,,411221,4.3,,216377,52.6,,75751,18.4,,119093,29.0
"     State","-",,4691429,,167712,3.6,,40981,24.4,,28832,17.2,,97899,58.4
"     Local, total","-",,4942274,,243509,4.9,,175396,72.0,,46919,19.3,,21194,8.7
"        Counties","-",,1327592,,109832,8.3,,52391,47.7,,39735,36.2,,17706,16.1
"        Municipalities","-",,1232691,,133677,10.8,,123005,92.0,,7184,5.4,,3488,2.6
,,,,,,,,,,,,,,,
"Missouri",5315,,18301233,,1148487,6.3,,611108,53.2,,206663,18.0,,330716,28.8
"     State","-",,8298971,,414353,5.0,,90475,21.8,,104158,25.1,,219720,53.0
"     Local, total","-",,10002262,,734134,7.3,,520633,70.9,,102505,14.0,,110996,15.1
"        Counties","-",,968822,,244214,25.2,,100909,41.3,,61828,25.3,,81477,33.4
"        Municipalities","-",,3386894,,489920,14.5,,419724,85.7,,40677,8.3,,29519,6.0
,,,,,,,,,,,,,,,
"Montana",856,,3728747,,203451,5.5,,88298,43.4,,66968,32.9,,48185,23.7
"     State","-",,2101903,,95922,4.6,,19218,20.0,,36118,37.7,,40586,42.3
"     Local, total","-",,1626844,,107529,6.6,,69080,64.2,,30850,28.7,,7599,7.1
"        Counties","-",,322130,,65867,20.4,,33403,50.7,,25172,38.2,,7292,11.1
"        Municipalities","-",,304555,,41662,13.7,,35677,85.6,,5678,13.6,,307,0.7
,,,,,,,,,,,,,,,
"Nebraska",1623,,8181999,,334588,4.1,,156129,46.7,,68691,20.5,,109768,32.8
"     State","-",,2903508,,142574,4.9,,32965,23.1,,30591,21.5,,79018,55.4
"     Local, total","-",,5278491,,192014,3.6,,123164,64.1,,38100,19.8,,30750,16.0
"        Counties","-",,552494,,94812,17.2,,29646,31.3,,34416,36.3,,30750,32.4
"        Municipalities","-",,1208126,,97202,8.0,,93518,96.2,,3684,3.8,,"-","-"
,,,,,,,,,,,,,,,
"Nevada",1457,,7299787,,659295,9.0,,284043,43.1,,129943,19.7,,245309,37.2
"     State","-",,2925221,,189635,6.5,,32766,17.3,,21174,11.2,,135695,71.6
"     Local, total","-",,4374566,,469660,10.7,,251277,53.5,,108769,23.2,,109614,23.3
"        Counties","-",,2035262,,346927,17.0,,174433,50.3,,83422,24.0,,89072,25.7
"        Municipalities","-",,763620,,122733,16.1,,76844,62.6,,25347,20.7,,20542,16.7
,,,,,,,,,,,,,,,
"New Hampshire",1137,,4882222,,290553,6.0,,135535,46.6,,76657,26.4,,78361,27.0
"     State","-",,2810148,,141928,5.1,,24659,17.4,,63960,45.1,,53309,37.6
"     Local, total","-",,2072074,,148625,7.2,,110876,74.6,,12697,8.5,,25052,16.9
"        Counties","-",,161895,,38523,23.8,,8167,21.2,,5304,13.8,,25052,65.0
"        Municipalities","-",,1023120,,110102,10.8,,102709,93.3,,7393,6.7,,"-","-"
,,,,,,,,,,,,,,,
"New Jersey",7904,,43872570,,3235734,7.4,,1537021,47.5,,711222,22.0,,987491,30.5
"     State","-",,21336146,,1093784,5.1,,213798,19.5,,248931,22.8,,631055,57.7
"     Local, total","-",,22536424,,2141950,9.5,,1323223,61.8,,462291,21.6,,356436,16.6
"        Counties","-",,5035634,,819102,16.3,,106715,13.0,,356234,43.5,,356153,43.5
"        Municipalities","-",,7042150,,1322848,18.8,,1216508,92.0,,106057,8.0,,283,"-"
,,,,,,,,,,,,,,,
"New Mexico",1654,,7577024,,525851,6.9,,240420,45.7,,94528,18.0,,190903,36.3
"     State","-",,4173722,,276859,6.6,,50582,18.3,,83485,30.2,,142792,51.6
"     Local, total","-",,3403302,,248992,7.3,,189838,76.2,,11043,4.4,,48111,19.3
"        Counties","-",,585951,,85929,14.7,,58544,68.1,,1387,1.6,,25998,30.3
"        Municipalities","-",,1262920,,163063,12.9,,131294,80.5,,9656,5.9,,22113,13.6
,,,,,,,,,,,,,,,
"New York",18169,,134935034,,9391399,7.0,,4039126,43.0,,1819101,19.4,,3533172,37.6
"     State","-",,52230081,,3192341,6.1,,323713,10.1,,1063200,33.3,,1805428,56.6
"     Local, total","-",,82704953,,6199058,7.5,,3715413,59.9,,755901,12.2,,1727744,27.9
"        Counties","-",,12015233,,1706709,14.2,,836517,49.0,,217886,12.8,,652306,38.2
"        Municipalities","-",,54109249,,4492349,8.3,,2878896,64.1,,538015,12.0,,1075438,23.9
,,,,,,,,,,,,,,,
"North Carolina",7070,,29203030,,2096534,7.2,,857496,40.9,,336489,16.0,,902549,43.0
"     State","-",,12449791,,1184442,9.5,,189260,16.0,,287519,24.3,,707663,59.7
"     Local, total","-",,16753239,,912092,5.4,,668236,73.3,,48970,5.4,,194886,21.4
"        Counties","-",,10715623,,461654,4.3,,226270,49.0,,40498,8.8,,194886,42.2
"        Municipalities","-",,4203771,,450438,10.7,,441966,98.1,,8472,1.9,,"-","-"
,,,,,,,,,,,,,,,
"North Dakota",638,,2845181,,93185,3.3,,46264,49.6,,22320,24.0,,24601,26.4
"     State","-",,1660978,,31323,1.9,,6668,21.3,,7651,24.4,,17004,54.3
"     Local, total","-",,1184203,,61862,5.2,,39596,64.0,,14669,23.7,,7597,12.3
"        Counties","-",,208503,,32761,15.7,,12369,37.8,,13018,39.7,,7374,22.5
"        Municipalities","-",,317784,,29101,9.2,,27227,93.6,,1651,5.7,,223,0.8
,,,,,,,,,,,,,,,
"Ohio",11102,,50516108,,3340440,6.6,,1416175,42.4,,778188,23.3,,1146077,34.3
"     State","-",,24890015,,1116489,4.5,,160792,14.4,,131668,11.8,,824029,73.8
"     Local, total","-",,25626093,,2223951,8.7,,1255383,56.4,,646520,29.1,,322048,14.5
"        Counties","-",,5834844,,975252,16.7,,230621,23.6,,468051,48.0,,276580,28.4
"        Municipalities","-",,7375735,,1248699,16.9,,1024762,82.1,,178469,14.3,,45468,3.6
,,,,,,,,,,,,,,,
"Oklahoma",3258,,12360845,,692548,5.6,,331271,47.8,,137523,19.9,,223754,32.3
"     State","-",,6104553,,347180,5.7,,47758,13.8,,91849,26.5,,207573,59.8
"     Local, total","-",,6256292,,345368,5.5,,283513,82.1,,45674,13.2,,16181,4.7
"        Counties","-",,738375,,76100,10.3,,35532,46.7,,24387,32.0,,16181,21.3
"        Municipalities","-",,2426812,,269268,11.1,,247981,92.1,,21287,7.9,,"-","-"
,,,,,,,,,,,,,,,
"Oregon",3086,,15126474,,1000478,6.6,,448311,44.8,,213052,21.3,,339115,33.9
"     State","-",,6843124,,411478,6.0,,93498,22.7,,144643,35.2,,173337,42.1
"     Local, total","-",,8283350,,589000,7.1,,354813,60.2,,68409,11.6,,165778,28.1
"        Counties","-",,1468715,,328625,22.4,,111426,33.9,,52270,15.9,,164929,50.2
"        Municipalities","-",,1960195,,260375,13.3,,243387,93.5,,16139,6.2,,849,0.3
,,,,,,,,,,,,,,,
"Pennsylvania",12052,,55370778,,3358610,6.1,,1333855,39.7,,749494,22.3,,1275261,38.0
"     State","-",,27223487,,1178720,4.3,,306178,26.0,,194085,16.5,,678457,57.6
"     Local, total","-",,28147291,,2179890,7.7,,1027677,47.1,,555409,25.5,,596804,27.4
"        Counties","-",,4193782,,790430,18.8,,52732,6.7,,334254,42.3,,403444,51.0
"        Municipalities","-",,7765093,,1389460,17.9,,974945,70.2,,221155,15.9,,193360,13.9
,,,,,,,,,,,,,,,
"Rhode Island",997,,5271058,,333271,6.3,,146736,44.0,,82375,24.7,,104160,31.3
"     State","-",,3371722,,204230,6.1,,25255,12.4,,74815,36.6,,104160,51.0
"     Local, total","-",,1899336,,129041,6.8,,121481,94.1,,7560,5.9,,"-","-"
"        Counties","-",,"-",,"-","-",,"-","-",,"-","-",,"-","-"
"        Municipalities","-",,1697575,,129041,7.6,,121481,94.1,,7560,5.9,,"-","-"
,,,,,,,,,,,,,,,
"South Carolina",3664,,16374613,,916890,5.6,,385444,42.0,,122127,13.3,,409319,44.6
"     State","-",,8999610,,444959,4.9,,102494,23.0,,35146,7.9,,307319,69.1
"     Local, total","-",,7375003,,471931,6.4,,282950,60.0,,86981,18.4,,102000,21.6
"        Counties","-",,1915149,,309698,16.2,,131744,42.5,,76950,24.8,,101004,32.6
"        Municipalities","-",,1229150,,162233,13.2,,151206,93.2,,10031,6.2,,996,0.6
,,,,,,,,,,,,,,,
"South Dakota",721,,2883143,,149211,5.2,,65457,43.9,,31179,20.9,,52575,35.2
"     State","-",,1525416,,76744,5.0,,15756,20.5,,19899,25.9,,41089,53.5
"     Local, total","-",,1357727,,72467,5.3,,49701,68.6,,11280,15.6,,11486,15.8
"        Counties","-",,184585,,37627,20.4,,15963,42.4,,10570,28.1,,11094,29.5
"        Municipalities","-",,461954,,34840,7.5,,33738,96.8,,710,2.0,,392,1.1
,,,,,,,,,,,,,,,
"Tennessee",5175,,22376775,,1266597,5.7,,537597,42.4,,243772,19.2,,485228,38.3
"     State","-",,8941413,,500674,5.6,,73319,14.6,,99198,19.8,,328157,65.5
"     Local, total","-",,13435362,,765923,5.7,,464278,60.6,,144574,18.9,,157071,20.5
"        Counties","-",,4746459,,347759,7.3,,119337,34.3,,98887,28.4,,129535,37.2
"        Municipalities","-",,7695627,,418164,5.4,,344941,82.5,,45687,10.9,,27536,6.6
,,,,,,,,,,,,,,,
"Texas",18378,,73896083,,6069081,8.2,,2240258,36.9,,982637,16.2,,2846186,46.9
"     State","-",,29875370,,2521284,8.4,,231667,9.2,,283754,11.3,,2005863,79.6
"     Local, total","-",,44020713,,3547797,8.1,,2008591,56.6,,698883,19.7,,840323,23.7
"        Counties","-",,6415832,,1822155,28.4,,446726,24.5,,581742,31.9,,793687,43.6
"        Municipalities","-",,13251328,,1725642,13.0,,1561865,90.5,,117141,6.8,,46636,2.7
,,,,,,,,,,,,,,,
"Utah",1908,,8458286,,462692,5.5,,213451,46.1,,101401,21.9,,147840,32.0
"     State","-",,3829489,,211353,5.5,,36480,17.3,,60511,28.6,,114362,54.1
"     Local, total","-",,4628797,,251339,5.4,,176971,70.4,,40890,16.3,,33478,13.3
"        Counties","-",,656290,,130740,19.9,,67322,51.5,,29940,22.9,,33478,25.6
"        Municipalities","-",,1144999,,120599,10.5,,109649,90.9,,10950,9.1,,"-","-"
,,,,,,,,,,,,,,,
"Vermont",580,,2688512,,122801,4.6,,55332,45.1,,37226,30.3,,30243,24.6
"     State","-",,1611279,,89340,5.5,,24528,27.5,,34569,38.7,,30243,33.9
"     Local, total","-",,1077233,,33461,3.1,,30804,92.1,,2657,7.9,,"-","-"
"        Counties","-",,6860,,3653,53.3,,2010,55.0,,1643,45.0,,"-","-"
"        Municipalities","-",,422674,,29808,7.1,,28794,96.6,,1014,3.4,,"-","-"
,,,,,,,,,,,,,,,
"Virginia",6552,,26165946,,1922137,7.3,,826606,43.0,,323578,16.8,,771953,40.2
"     State","-",,11660840,,819399,7.0,,145210,17.7,,167493,20.4,,506696,61.8
"     Local, total","-",,14505106,,1102738,7.6,,681396,61.8,,156085,14.2,,265257,24.1
"        Counties","-",,7486349,,554077,7.4,,332776,60.1,,85179,15.4,,136122,24.6
"        Municipalities","-",,6061727,,548661,9.1,,348620,63.5,,70906,12.9,,129135,23.5
,,,,,,,,,,,,,,,
"Washington",5343,,31043000,,1790201,5.8,,745781,41.7,,388260,21.7,,656160,36.7
"     State","-",,14527484,,611980,4.2,,114688,18.7,,55222,9.0,,442070,72.2
"     Local, total","-",,16515516,,1178221,7.1,,631093,53.6,,333038,28.3,,214090,18.2
"        Counties","-",,2301352,,654315,28.4,,203502,31.1,,260702,39.8,,190111,29.1
"        Municipalities","-",,4084578,,523906,12.8,,427591,81.6,,72336,13.8,,23979,4.6
,,,,,,,,,,,,,,,
"West Virginia",1822,,7977210,,272930,3.4,,113879,41.7,,80497,29.5,,78554,28.8
"     State","-",,4940540,,146661,3.0,,33456,22.8,,56394,38.5,,56811,38.7
"     Local, total","-",,3036670,,126269,4.2,,80423,63.7,,24103,19.1,,21743,17.2
"        Counties","-",,501042,,66578,13.3,,24157,36.3,,20774,31.2,,21647,32.5
"        Municipalities","-",,624173,,59691,9.6,,56266,94.3,,3329,5.6,,96,0.2
,,,,,,,,,,,,,,,
"Wisconsin",5082,,24353723,,1608775,6.6,,797174,49.6,,337282,21.0,,474319,29.5
"     State","-",,9953584,,525318,5.3,,51501,9.8,,160451,30.5,,313366,59.7
"     Local, total","-",,14400139,,1083457,7.5,,745673,68.8,,176831,16.3,,160953,14.9
"        Counties","-",,3546895,,523637,14.8,,218697,41.8,,144166,27.5,,160774,30.7
"        Municipalities","-",,3978225,,559820,14.1,,526976,94.1,,32665,5.8,,179,"-"
,,,,,,,,,,,,,,,
"Wyoming",476,,2835332,,149177,5.3,,68969,46.2,,36795,24.7,,43413,29.1
"     State","-",,1290702,,62696,4.9,,9949,15.9,,21975,35.1,,30772,49.1
"     Local, total","-",,1544630,,86481,5.6,,59020,68.2,,14820,17.1,,12641,14.6
"        Counties","-",,347509,,45130,13.0,,22296,49.4,,10941,24.2,,11893,26.4
"        Municipalities","-",,314088,,41351,13.2,,36724,88.8,,3879,9.4,,748,1.8
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Note:  Local government data are estimates subject to variability.",,,,,,,,,,,,,,,
"Population figures are from the Bureau of the Census, Current Population Reports, Series P-25, No. 1045, July 1994.",,,,,,,,,,,,,,,
"a/ Total direct expenditures include outlays of States and all types of local governments including independent school districts",,,,,,,,,,,,,,,
"and special districts , which are not displayed separately.   The ""Local, total"" lines, which include these districts, will not",,,,,,,,,,,,,,,
"equal the sum of the ""Counties"" and ""Municipalities"" lines.",,,,,,,,,,,,,,,
"b/ Justice system expenditure of special districts and independent school districts (primarily for special police forces) are not",,,,,,,,,,,,,,,
"available.",,,,,,,,,,,,,,,
