"Maine",2395,2322,2375,,6586,2802,,602,600,601,,1715,2856,,581,523,552,,1636,3005,,1212,1199,1222,,3235,2686,,"Maine"
"Maryland",15829,14897,15661,,40282,2605,,2334,2321,2325,,6168,2653,,3619,3109,3519,,8378,2442,,9876,9467,9817,,25737,2647,,"Maryland"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Massachusetts",13881,13657,13756,,42336,3080,,1913,1910,1913,,6810,3563,,6222,6115,6174,,18416,2986,,5746,5632,5669,,17111,3019,,"Massachusetts"
"Michigan",22096,21622,21796,,68625,3151,,3103,2936,2993,,10354,3492,,2695,2653,2666,,9848,3699,,16298,16033,16137,,48423,2998,,"Michigan"
"Minnesota",5743,5373,5597,,18059,3262,,940,904,927,,3117,3392,,1679,1529,1625,,6141,3842,,3124,2940,3045,,8801,2920,,"Minnesota"
"Mississippi",4455,4420,4433,,9097,2051,,963,963,963,,2216,2302,,382,370,374,,1591,4248,,3110,3087,3096,,5290,1710,,"Mississippi"
"Missouri",11936,11449,11783,,24054,2059,,1922,1922,1922,,4726,2459,,3379,2954,3268,,8153,2613,,6635,6573,6593,,11175,1693,,"Missouri"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Montana",1403,1247,1323,,3147,2358,,419,401,411,,925,2270,,211,137,167,,606,3538,,773,709,745,,1616,2181,,"Montana"
"Nebraska",3283,3173,3256,,7455,2320,,670,664,707,,1681,2522,,703,650,664,,1859,2802,,1910,1859,1885,,3915,2080,,"Nebraska"
"Nevada",3662,3581,3629,,10691,2949,,576,576,576,,1516,2632,,388,382,386,,1546,4020,,2698,2623,2667,,7628,2863,,"Nevada"
"New Hampshire",2323,2129,2222,,5973,2741,,448,402,420,,1385,3372,,831,716,771,,1951,2632,,1044,1011,1031,,2636,2567,,"New Hampshire"
"New Jersey",16674,16514,16585,,65577,3955,,3603,3598,3599,,14460,4018,,3998,3956,3975,,17819,4485,,9073,8960,9011,,33298,3696,,"New Jersey"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New Mexico",6397,6257,6307,,14739,2339,,567,567,567,,1349,2379,,1834,1729,1760,,4693,2675,,3996,3961,3980,,8698,2187,,"New Mexico"
"New York",58098,56692,57385,,208265,3634,,5588,5486,5533,,22539,4098,,17631,16978,17306,,72554,4209,,34879,34228,34546,,113171,3275,,"New York"
"North Carolina",21007,20975,20989,,47805,2278,,3286,3286,3286,,8249,2510,,5337,5334,5336,,14573,2731,,12384,12355,12367,,24984,2020,,"North Carolina"
"North Dakota",1102,1023,1052,,2487,2392,,215,215,215,,515,2395,,357,329,335,,950,2874,,530,479,502,,1022,2059,,"North Dakota"
"Ohio",18141,17664,17848,,53125,2976,,2458,2442,2451,,7657,3129,,2478,2112,2226,,7334,3282,,13205,13110,13171,,38134,2899,,"Ohio"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oklahoma",10371,10133,10240,,18220,1781,,1640,1616,1624,,3701,2283,,1984,1893,1912,,5132,2686,,6747,6624,6704,,9386,1400,,"Oklahoma"
"Oregon",6509,5962,6182,,18169,2956,,1341,1188,1207,,4431,3698,,2451,2253,2362,,6530,2780,,2717,2521,2613,,7208,2764,,"Oregon"
"Pennsylvania",19159,18972,19130,,56807,2964,,5376,5375,5375,,17561,3267,,2443,2332,2447,,9367,3818,,11340,11265,11308,,29879,2643,,"Pennsylvania"
"Rhode Island",3038,3014,3026,,11636,3850,,239,239,239,,1054,4412,,1068,1050,1060,,3359,3170,,1731,1725,1727,,7223,4186,,"Rhode Island"
"South Carolina",10436,10408,10426,,20978,2011,,2284,2277,2281,,5293,2322,,559,551,556,,1781,3207,,7593,7580,7589,,13904,1831,,"South Carolina"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"South Dakota",1554,1371,1480,,3300,2147,,276,273,275,,668,2437,,595,454,538,,1351,2274,,683,644,667,,1280,1936,,"South Dakota"
"Tennessee",10428,10350,10390,,25236,2432,,1590,1580,1583,,4206,2660,,1743,1689,1719,,5884,3454,,7095,7081,7088,,15145,2138,,"Tennessee"
"Texas",45641,45482,45560,,102752,2255,,3333,3287,3310,,8332,2527,,5363,5343,5352,,19845,3710,,36945,36852,36898,,74575,2020,,"Texas"
"Utah",4526,3926,4098,,10270,2536,,767,695,723,,1895,2660,,1201,1078,1132,,3248,2929,,2558,2153,2243,,5127,2300,,"Utah"
"Vermont",1878,1711,1791,,4321,2440,,475,446,460,,1483,3273,,536,450,489,,1221,2527,,867,815,842,,1617,1935,,"Vermont"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Virginia",18008,16746,17217,,40377,2358,,2592,2438,2508,,6927,2800,,3057,2612,2751,,8822,3240,,12359,11696,11958,,24627,2069,,"Virginia"
"Washington",11735,10520,10773,,28363,2525,,1798,1797,1798,,5731,3188,,1581,1429,1502,,5732,3926,,8356,7294,7473,,16901,2088,,"Washington"
"West Virginia",2685,2631,2654,,5638,2126,,860,852,857,,1945,2275,,1067,1027,1043,,2405,2310,,758,752,754,,1288,1707,,"West Virginia"
"Wisconsin",9620,8195,8795,,25744,2955,,908,791,892,,2631,2954,,1984,1746,1883,,7800,4255,,6728,5658,6020,,15313,2554,,"Wisconsin"
"Wyoming",1106,1057,1088,,2447,2244,,246,240,251,,539,2129,,381,339,358,,1002,2819,,479,478,479,,906,1893,,"Wyoming"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: These data are based on a summation of responses from individual state agencies. Some agency data may be",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for a prior reporting period.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
