"Rhode Island",204909,,204230,199593,4637,,679,,25934,,25255,25026,229,,679,,74815,,74815,73321,1494,,"-",,104160,,104160,101246,,2914,2733,,"-",,"Rhode Island"
"South Carolina",453620,,444959,400299,44660,,8661,,106201,,102494,85616,16878,,3707,,40100,,35146,33812,1334,,4954,,307319,,307319,280871,,26448,23840,,"-",,"South Carolina"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"South Dakota",79115,,76744,73340,3404,,2371,,15756,,15756,13890,1866,,"-",,21493,,19899,19439,460,,1594,,41866,,41089,40011,,1078,254,,777,,"South Dakota"
"Tennessee",581888,,500674,481976,18698,,81214,,78292,,73319,69837,3482,,4973,,107149,,99198,98484,714,,7951,,396447,,328157,313655,,14502,12168,,68290,,"Tennessee"
"Texas",2770741,,2521284,1896182,625102,,249457,,231667,,231667,196743,34924,,"-",,296325,,283754,275394,8360,,12571,,2242749,,2005863,1424045,,581818,552392,,236886,,"Texas"
"Utah",214079,,211353,200094,11259,,2726,,38108,,36480,34649,1831,,1628,,61609,,60511,54108,6403,,1098,,114362,,114362,111337,,3025,154,,"-",,"Utah"
"Vermont",89670,,89340,77293,12047,,330,,24858,,24528,23080,1448,,330,,34569,,34569,26356,8213,,"-",,30243,,30243,27857,,2386,525,,"-",,"Vermont"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Virginia",1205450,,819399,788082,31317,,386051,,280759,,145210,131538,13672,,135549,,240598,,167493,163571,3922,,73105,,684093,,506696,492973,,13723,3482,,177397,,"Virginia"
"Washington",659607,,611980,535253,76727,,47627,,160774,,114688,101446,13242,,46086,,56763,,55222,53343,1879,,1541,,442070,,442070,380464,,61606,49127,,"-",,"Washington"
"West Virginia",146661,,146661,142886,3775,,"-",,33456,,33456,31734,1722,,"-",,56394,,56394,55142,1252,,"-",,56811,,56811,56010,,801,"-",,"-",,"West Virginia"
"Wisconsin",619242,,525318,501642,23676,,93924,,53130,,51501,48845,2656,,1629,,172510,,160451,152538,7913,,12059,,393602,,313366,300259,,13107,7956,,80236,,"Wisconsin"
"Wyoming",65318,,62696,58446,4250,,2622,,11983,,9949,8411,1538,,2034,,22563,,21975,21368,607,,588,,30772,,30772,28667,,2105,1088,,"-",,"Wyoming"
