"Cook, IL",13722,13722,13722,,35791,2608,,1129,1129,1129,,3314,2935,,7631,7631,7631,,18863,2472,,4962,4962,4962,,13614,2744,,"Cook, IL"
"Cuyahoga, OH",3429,3429,3429,,7567,2207,,496,496,496,,1165,2348,,1898,1898,1898,,4325,2279,,1035,1035,1035,,2077,2007,,"Cuyahoga, OH"
"Dade, FL",8569,7942,8303,,28783,3563,,4599,4133,4369,,16892,4019,,2042,1882,2006,,5247,2682,,1928,1927,1928,,6644,3447,,"Dade, FL"
"Dallas, TX",4329,4029,4165,,9950,2397,,1167,1064,1111,,2356,2143,,1203,1110,1152,,3122,2722,,1959,1855,1902,,4471,2348,,"Dallas, TX"
"Delaware, PA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Delaware, PA"
"Du Page, IL",995,954,973,,2671,2763,,203,200,201,,661,3296,,423,394,407,,1064,2651,,369,360,365,,946,2590,,"Du Page, IL"
"Erie, NY",1298,1232,1270,,4038,3204,,324,300,309,,850,2769,,272,259,265,,838,3188,,702,673,696,,2350,3403,,"Erie, NY"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Essex, MA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Essex, MA"
"Essex, NJ",3361,3361,3361,,10185,3030,,931,931,931,,2748,2952,,1053,1053,1053,,3228,3066,,1377,1377,1377,,4209,3056,,"Essex, NJ"
"Fairfax, VA",2333,2135,2233,,8314,3781,,1353,1259,1312,,5101,3977,,546,475,505,,1630,3229,,434,401,416,,1583,3818,,"Fairfax, VA"
"Franklin, OH",2072,2032,2056,,5147,2511,,425,418,423,,1277,3032,,1101,1092,1098,,2352,2141,,546,522,535,,1518,2869,,"Franklin, OH"
"Fresno, CA",2211,2207,2209,,6572,2976,,523,523,523,,1826,3491,,941,937,939,,2810,2995,,747,747,747,,1936,2592,,"Fresno, CA"
"Fulton, GA",2263,2158,2227,,5917,2690,,352,337,342,,888,2608,,990,973,986,,2848,2898,,921,848,899,,2182,2485,,"Fulton, GA"
"Hamilton, OH",2460,2374,2425,,6002,2492,,615,603,609,,1619,2665,,980,934,960,,2383,2499,,865,837,856,,2000,2360,,"Hamilton, OH"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Harris, TX",7481,7440,7466,,20033,2685,,3419,3406,3415,,9513,2786,,1102,1083,1092,,3419,3142,,2960,2951,2959,,7101,2400,,"Harris, TX"
"Hennepin, MN",2644,2093,2320,,8008,3514,,344,317,324,,1225,3813,,939,748,850,,3052,3626,,1361,1028,1146,,3731,3341,,"Hennepin, MN"
"Hillsborough, FL",3692,3399,3489,,8707,2526,,1663,1433,1489,,4057,2784,,1129,1066,1100,,2496,2290,,900,900,900,,2155,2394,,"Hillsborough, FL"
"Hudson, NJ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hudson, NJ"
"Jackson, MO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jackson, MO"
"Jefferson, AL",973,967,970,,2780,2870,,375,372,373,,1216,3266,,187,186,186,,512,2748,,411,409,411,,1052,2566,,"Jefferson, AL"
"Jefferson, KY",1684,1590,1629,,3593,2230,,847,763,797,,2149,2763,,413,406,409,,650,1591,,424,421,423,,794,1880,,"Jefferson, KY"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"King, WA",2899,2715,2772,,9581,3458,,865,863,864,,3458,4005,,1224,1099,1141,,3395,2961,,810,753,767,,2728,3558,,"King, WA"
"Lake, IN",1131,911,949,,2255,2437,,262,237,241,,549,2299,,617,452,459,,910,1999,,252,222,249,,796,3474,,"Lake, IN"
"Los Angeles, CA",25479,23813,24287,,110482,4565,,8774,8131,8146,,45192,5549,,8859,8270,8492,,39044,4612,,7846,7412,7649,,26246,3431,,"Los Angeles, CA"
"Macomb, WI",844,813,837,,2532,3073,,132,130,132,,484,3696,,373,368,371,,1067,2886,,339,315,334,,981,3033,,"Macomb, WI"
"Maricopa, AZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maricopa, AZ"
"Middlesex, MA",568,568,568,,1726,3038,,"-","-","-",,"-","-",,"-","-","-",,"-","-",,568,568,568,,1726,3038,,"Middlesex, MA"
"Middlesex, NJ",1523,1497,1509,,4654,3090,,181,173,175,,643,3690,,968,957,963,,2759,2871,,374,367,371,,1251,3380,,"Middlesex, NJ"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Milwaukee, WI",1607,1607,1607,,4755,2959,,399,399,399,,1378,3454,,452,452,452,,1219,2697,,756,756,756,,2157,2854,,"Milwaukee, WI"
"Monmouth, NJ",1299,1252,1272,,3686,2909,,90,90,90,,217,2414,,561,537,546,,1507,2777,,648,625,636,,1962,3094,,"Monmouth, NJ"
"Monroe, NY",1339,1230,1297,,4454,3552,,469,388,445,,1489,3680,,278,273,276,,1015,3693,,592,569,576,,1951,3398,,"Monroe, NY"
"Montgomery, MD",1975,1771,1884,,7326,3999,,1479,1322,1402,,5651,4141,,188,166,180,,634,3590,,308,283,302,,1042,3573,,"Montgomery, MD"
"Montgomery, OH",1325,1285,1308,,3521,2713,,378,378,378,,1175,3108,,657,637,649,,1722,2677,,290,270,281,,624,2245,,"Montgomery, OH"
"Montgomery, PA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Montgomery, PA"
"Multnomah, OR",1434,1294,1365,,3919,2958,,260,240,250,,796,3237,,223,218,221,,658,2967,,951,836,894,,2466,2876,,"Multnomah, OR"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nassau, NY",6015,5431,5588,,23641,4226,,4130,3592,3736,,16515,4416,,447,441,443,,1726,3903,,1438,1398,1409,,5400,3839,,"Nassau, NY"
"Norfolk, MA",319,319,319,,906,2840,,"-","-","-",,"-","-",,"-","-","-",,"-","-",,319,319,319,,906,2840,,"Norfolk, MA"
"Oakland, MI",1816,1559,1725,,5911,3548,,405,345,390,,1291,3474,,818,706,796,,3073,4032,,593,508,539,,1547,2926,,"Oakland, MI"
"Oklahoma, OK",725,666,699,,1179,1712,,107,99,104,,194,1895,,200,197,197,,375,1904,,418,370,398,,610,1561,,"Oklahoma, OK"
"Orange, CA",5889,5798,5865,,22614,3873,,2456,2453,2455,,10462,4263,,2242,2199,2231,,8812,3971,,1191,1146,1179,,3340,2852,,"Orange, CA"
"Palm Beach, FL",3344,3231,3275,,10266,3145,,1690,1590,1628,,5564,3441,,916,909,913,,2137,2341,,738,732,734,,2565,3500,,"Palm Beach, FL"
"Pima, AZ",2564,2445,2489,,6562,2643,,560,555,558,,1699,3052,,1008,977,993,,2566,2582,,996,913,938,,2297,2459,,"Pima, AZ"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pinellas, FL",2542,2470,2478,,6090,2455,,1058,986,994,,2798,2809,,768,768,768,,1538,2003,,716,716,716,,1754,2450,,"Pinellas, FL"
"Prince Georges, MD",2933,2728,2859,,9550,3406,,1737,1584,1679,,5569,3410,,716,687,706,,2351,3355,,480,457,474,,1629,3471,,"Prince Georges, MD"
"Riverside, CA",4015,3808,3909,,15504,3986,,1161,1131,1139,,4905,4325,,1462,1411,1437,,5540,3856,,1392,1266,1333,,5059,3826,,"Riverside, CA"
"Sacramento, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sacramento, CA"
"St. Louis, MO",1597,1566,1577,,4595,2919,,798,796,797,,2428,3046,,472,458,462,,1325,2875,,327,312,318,,842,2657,,"St. Louis, MO"
"Salt Lake, UT",1136,942,1039,,2933,2999,,662,512,583,,1606,3023,,230,186,212,,708,3542,,244,244,244,,619,2536,,"Salt Lake, UT"
"San Bernadino, CA",4159,4018,4070,,14183,3497,,1580,1510,1525,,5570,3663,,1571,1539,1557,,5466,3521,,1008,969,988,,3146,3201,,"San Bernadino, CA"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"San Diego, CA",7213,6906,7085,,23198,3301,,2481,2443,2472,,8260,3346,,3021,2841,2939,,10170,3499,,1711,1622,1674,,4768,2887,,"San Diego, CA"
"San Mateo, CA",1471,1400,1454,,5867,4100,,367,356,366,,1726,4795,,529,509,519,,1927,3716,,575,535,569,,2214,4004,,"San Mateo, CA"
"Santa Clara, CA",4236,3758,3969,,16098,4146,,480,419,443,,1975,4539,,1808,1663,1733,,6859,4028,,1948,1676,1793,,7265,4166,,"Santa Clara, CA"
"Shelby, TN",3319,3262,3290,,7040,2130,,673,658,665,,1587,2401,,720,684,702,,1664,2317,,1926,1920,1923,,3789,1970,,"Shelby, TN"
"Suffolk, NY",5366,5006,5114,,22030,4355,,3703,3343,3451,,15962,4707,,536,536,536,,2038,3802,,1127,1127,1127,,4030,3576,,"Suffolk, NY"
"Summit, OH",1009,925,981,,2213,2310,,207,191,201,,510,2626,,467,399,445,,1000,2336,,335,335,335,,703,2098,,"Summit, OH"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tarrant, TX",2450,2375,2423,,5694,2369,,1342,1317,1337,,2550,1915,,628,614,620,,1877,3042,,480,444,466,,1268,2784,,"Tarrant, TX"
"Union, NJ",1357,1357,1357,,4510,3324,,129,129,129,,422,3268,,657,657,657,,2145,3265,,571,571,571,,1943,3404,,"Union, NJ"
"Ventura, CA",2960,2870,2919,,9267,3182,,1030,1011,1016,,3206,3158,,1131,1075,1113,,3559,3226,,799,784,790,,2502,3153,,"Ventura, CA"
"Wayne, MI",2469,2390,2434,,7635,3152,,644,644,644,,2083,3234,,793,756,774,,2672,3493,,1032,990,1016,,2880,2837,,"Wayne, MI"
"Westchester, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Westchester, NY"
"Worcester, MA",601,515,588,,1601,2809,,"-","-","-",,"-","-",,64,64,64,,145,2267,,537,451,524,,1456,2886,,"Worcester, MA"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note:  Jurisdictions without data did not report for 1994, but data is available for prior years.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
