"Oklahoma, OK",6,,18134,,18012,16904,1108,,122,,5833,,5833,4764,1069,,"-",,5365,,5243,5222,21,,122,,6936,,6936,6918,,18,"-",,"-",,"Oklahoma, OK"
"Orange, CA",6,,444248,,441738,418248,23490,,2510,,109585,,107075,105550,1525,,2510,,201063,,201063,189358,11705,,"-",,133600,,133600,123340,,10260,6481,,"-",,"Orange, CA"
"Palm Beach, FL",9,,228319,,228319,194198,34121,,"-",,105814,,105814,92393,13421,,"-",,71341,,71341,51809,19532,,"-",,51164,,51164,49996,,1168,1168,,"-",,"Palm Beach, FL"
"Pima, AZ",6,,123941,,123941,117750,6191,,"-",,34921,,34921,32927,1994,,"-",,48231,,48231,46915,1316,,"-",,40789,,40789,37908,,2881,"-",,"-",,"Pima, AZ"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pinellas, FL",9,,114396,,114396,109207,5189,,"-",,50763,,50763,49227,1536,,"-",,28409,,28409,24787,3622,,"-",,35224,,35224,35193,,31,31,,"-",,"Pinellas, FL"
"Prince Georges, MD",6,,130255,,130255,129757,498,,"-",,78633,,78633,78378,255,,"-",,27696,,27696,27559,137,,"-",,23926,,23926,23820,,106,88,,"-",,"Prince Georges, MD"
"Riverside, CA",6,,300044,,299991,290273,9718,,53,,91427,,91427,88902,2525,,"-",,120726,,120726,116933,3793,,"-",,87891,,87838,84438,,3400,3074,,53,,"Riverside, CA"
"Sacramento, CA",6,,249035,,244681,239919,4762,,4354,,52830,,52830,50851,1979,,"-",,112372,,112372,110965,1407,,"-",,83833,,79479,78103,,1376,1264,,4354,,"Sacramento, CA"
"St. Louis, MO",12,,73396,,73396,71891,1505,,"-",,38378,,38378,37256,1122,,"-",,12679,,12679,12390,289,,"-",,22339,,22339,22245,,94,2,,"-",,"St. Louis, MO"
"Salt Lake, UT",12,,70594,,70594,68872,1722,,"-",,38281,,38281,37341,940,,"-",,16720,,16720,16487,233,,"-",,15593,,15593,15044,,549,193,,"-",,"Salt Lake, UT"
"San Bernadino, CA",6,,269177,,269120,256355,12765,,57,,96884,,96884,87451,9433,,"-",,92540,,92540,91049,1491,,"-",,79753,,79696,77855,,1841,"-",,57,,"San Bernadino, CA"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"San Diego, CA",6,,449596,,449596,412049,37547,,"-",,82793,,82793,78942,3851,,"-",,230375,,230375,196873,33502,,"-",,136428,,136428,136234,,194,"-",,"-",,"San Diego, CA"
"San Mateo, CA",6,,137062,,137062,126730,10332,,"-",,31879,,31879,31693,186,,"-",,53090,,53090,53036,54,,"-",,52093,,52093,42001,,10092,"-",,"-",,"San Mateo, CA"
"Santa Clara, CA",6,,353673,,353673,336303,17370,,"-",,37530,,37530,37089,441,,"-",,150708,,150708,148581,2127,,"-",,165435,,165435,150633,,14802,14112,,"-",,"Santa Clara, CA"
"Shelby, TN",6,,117385,,117385,116667,718,,"-",,23936,,23936,23622,314,,"-",,42544,,42544,42255,289,,"-",,50905,,50905,50790,,115,"-",,"-",,"Shelby, TN"
"Suffolk, NY",12,,383412,,360558,354248,6310,,22854,,271096,,271096,269028,2068,,"-",,51229,,29206,28484,722,,22023,,61087,,60256,56736,,3520,3437,,831,,"Suffolk, NY"
"Summit, OH",12,,38722,,38722,36774,1948,,"-",,4433,,4433,4433,"-",,"-",,16897,,16897,16844,53,,"-",,17392,,17392,15497,,1895,1895,,"-",,"Summit, OH"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tarrant, TX",12,,113324,,113324,109504,3820,,"-",,11400,,11400,10150,1250,,"-",,43426,,43426,42894,532,,"-",,58498,,58498,56460,,2038,501,,"-",,"Tarrant, TX"
"Union, NJ",12,,57275,,57275,54747,2528,,"-",,4549,,4549,4277,272,,"-",,33839,,33839,32970,869,,"-",,18887,,18887,17500,,1387,1387,,"-",,"Union, NJ"
"Ventura, CA",6,,158919,,158919,156702,2217,,"-",,48851,,48851,47874,977,,"-",,64786,,64786,63875,911,,"-",,45282,,45282,44953,,329,"-",,"-",,"Ventura, CA"
"Wayne, MI",12,,226591,,198553,180120,18433,,28038,,26782,,26782,21744,5038,,"-",,89555,,89555,89442,113,,"-",,110254,,82216,68934,,13282,12676,,28038,,"Wayne, MI"
"Westchester, NY",12,,153174,,153174,147955,5219,,"-",,20642,,20642,15734,4908,,"-",,29664,,29664,29506,158,,"-",,102868,,102868,102715,,153,"-",,"-",,"Westchester, NY"
"Worcester, MA",6,,21753,,21753,21753,"-",,"-",,"-",,"-","-","-",,"-",,"-",,"-","-","-",,"-",,21753,,21753,21753,,"-","-",,"-",,"Worcester, MA"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note:  Fiscal years end between July 1993 and June 1994.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
