"Riverside, CA",6,"91,331","91,331","90,553",778,-,"87,300","87,300","86,522",778,-,"4,031","4,031","4,031",-,-,-,-,-,-,-,-
"Sacramento, CA",6,"138,699","138,699","138,676",23,-,"136,069","136,069","136,046",23,-,"2,630","2,630","2,630",-,-,-,-,-,-,-,-
"San Antonio, TX",9,"329,565","329,565","324,895","4,670",-,"308,881","308,881","304,319","4,562",-,"20,684","20,684","20,576",108,-,-,-,-,-,-,-
"San Diego, CA",6,"334,218","334,218","333,915",303,-,"300,172","300,172","299,869",303,-,"34,046","34,046","34,046",-,-,-,-,-,-,-,-
"San Francisco, CA",6,"610,590","610,590","602,674","7,916",-,"377,911","377,911","373,449","4,462",-,"75,492","75,492","72,464","3,028",-,"157,187","157,187","156,761",426,405,-
"San Jose, CA",6,"251,179","251,179","216,928","34,251",-,"251,179","251,179","216,928","34,251",-,-,-,-,-,-,-,-,-,-,-,-
"Santa Ana, CA",6,"120,404","120,404","120,308",96,-,"118,581","118,581","118,485",96,-,"1,823","1,823","1,823",-,-,-,-,-,-,-,-
"Seattle, WA",12,"215,953","201,222","197,266","3,956","14,731","174,867","174,096","170,157","3,939",771,"27,125","27,125","27,108",17,-,"13,961",1,1,-,-,"13,960"
"St. Louis, MO",6,"214,594","214,594","214,594",-,-,"140,815","140,815","140,815",-,-,"22,851","22,851","22,851",-,-,"50,928","50,928","50,928",-,-,-
"Tampa, FL",9,"155,370","155,370","140,872","14,498",-,"151,200","151,200","136,702","14,498",-,"4,170","4,170","4,170",-,-,-,-,-,-,-,-
"Toledo, OH",12,"115,290","104,790","70,443","34,347","10,500","94,656","94,656","62,730","31,926",-,"10,134","10,134","7,713","2,421",-,"10,500",-,-,-,-,"10,500"
"Tucson, AZ",6,"145,992","145,992","145,992",-,-,"133,125","133,125","133,125",-,-,"12,867","12,867","12,867",-,-,-,-,-,-,-,-
"Tulsa, OK",6,"92,935","92,935","88,312","4,623",-,"87,148","87,148","82,530","4,618",-,"5,787","5,787","5,782",5,-,-,-,-,-,-,-
"Virginia Beach, VA",6,"148,368","148,368","143,521","4,847",-,"89,260","89,260","84,413","4,847",-,"16,678","16,678","16,678",-,-,"42,430","42,430","42,430",-,-,-
"Washington, DC",9,"912,372","912,372","846,289","66,083",-,"563,763","563,763","506,149","57,614",-,"107,951","107,951","106,712","1,239",-,"240,658","240,658","233,428","7,230","5,794",-
"Wichita, KS",12,"82,874","82,874","82,874",-,-,"74,670","74,670","74,670",-,-,"8,204","8,204","8,204",-,-,-,-,-,-,-,-
"Note: Fiscal years ended in months between July 2011 and June 2012, except for Washington, DC, whose fiscal year ended on September 30, 2012.",,,,,,,,,,,,,,,,,,,,,,
