Bureau of Justice Statistics,,,,,,,,,,,,,,,,,
Filename: jeee12fut05.csv,,,,,,,,,,,,,,,,,
"Table 5. Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2012",,,,,,,,,,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2012 - Final (Update) NCJ 250326",,,,,,,,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,
Date of version: 7/7/2021,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Table 5. Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2012",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
State and type of government,Total full-time equivalent employment/a,Total justice system total number of employees,Total justice system number of full-time employees only,Total justice system number of full-time equivalent employees,Total justice system full-time equivalent employees as a percent of total ,Police protection total number of employees,Police protection full-time employees only,Police protection number of full-time equivalent employees,Police protection full-time equivalent employees as a percent of total justice system,Judicial and legal total number of employees,Judicial and legal full-time employees only,Judicial and legal full-time equivalent employees,Judicial and legal full-time equivalent employees as a percent of total justice system,Corrections total number of employees,Corrections full-time employees only,Corrections full-time equivalent employees ,Corrections full-time equivalent employees as a percent of total justice system 
"District of Columbia - Local, total","44,377","7,796","7,763","7,784",17.5,"4,386","4,386","4,386",56.3,"2,139","2,108","2,127",27.3,"1,271","1,269","1,271",16.3
District of Columbia - Municipality,"33,956","7,796","7,763","7,784",22.9,"4,386","4,386","4,386",56.3,"2,139","2,108","2,127",27.3,"1,271","1,269","1,271",16.3
Florida - Total ,"876,838","141,154","133,396","136,627",15.6,"66,553","60,479","62,838",46,"31,883","30,578","31,308",22.9,"42,718","42,339","42,481",31.1
Florida - State,"181,234","50,802","49,249","49,820",27.5,"4,689","4,110","4,242",8.5,"19,588","18,860","19,222",38.6,"26,525","26,279","26,356",52.9
"Florida - Local, total","695,604","90,352","84,147","86,807",12.5,"61,864","56,369","58,596",67.5,"12,295","11,718","12,086",13.9,"16,193","16,060","16,125",18.6
Florida - Counties,"154,029","61,406","57,742","59,247",38.5,"34,500","31,343","32,576",55,"11,505","11,127","11,335",19.1,"15,401","15,272","15,336",25.9
Florida - Municipalities,"100,942","28,946","26,405","27,560",27.3,"27,364","25,026","26,020",94.4,790,591,751,2.7,792,788,789,2.9
Georgia - Total,"519,894","72,154","67,640","69,486",13.4,"29,274","27,661","28,371",40.8,"15,244","13,054","13,802",19.9,"27,636","26,925","27,313",39.3
Georgia - State,"129,502","23,896","23,518","23,722",18.3,"3,043","2,986","3,021",12.7,"3,686","3,670","3,677",15.5,"17,167","16,862","17,024",71.8
"Georgia - Local, total","390,392","48,258","44,122","45,764",11.7,"26,231","24,675","25,350",55.4,"11,558","9,384","10,125",22.1,"10,469","10,063","10,289",22.5
Georgia - Counties,"66,978","31,897","29,171","30,227",45.1,"12,527","12,005","12,222",40.4,"10,008","8,196","8,815",29.2,"9,362","8,970","9,190",30.4
Georgia - Municipalities,"47,860","16,361","14,951","15,537",32.5,"13,704","12,670","13,128",84.5,"1,550","1,188","1,310",8.4,"1,107","1,093","1,099",7.1
Hawaii - Total,"72,622","9,202","8,978","9,033",12.4,"3,859","3,711","3,740",41.4,"3,072","3,007","3,029",33.5,"2,271","2,260","2,264",25.1
Hawaii - State,"57,293","4,776","4,707","4,731",8.3,0,0,0,0,"2,505","2,447","2,467",52.1,"2,271","2,260","2,264",47.9
"Hawaii - Local, total","15,329","4,426","4,271","4,302",28.1,"3,859","3,711","3,740",86.9,567,560,562,13.1,0,0,0,0
Hawaii - Counties,"6,016","1,465","1,396","1,409",23.4,"1,217","1,149","1,162",82.5,248,247,247,17.5,0,0,0,0
Hawaii - Municipalities,"9,144","2,961","2,875","2,893",31.6,"2,642","2,562","2,578",89.1,319,313,315,10.9,0,0,0,0
Idaho - Total,"78,951","10,111","9,407","9,680",12.3,"4,206","3,945","4,027",41.6,"2,097","1,905","1,979",20.4,"3,808","3,557","3,674",38
Idaho - State,"22,719","3,025","2,896","2,944",13,490,455,462,15.7,515,455,473,16.1,"2,020","1,986","2,009",68.2
"Idaho - Local, total","56,232","7,086","6,511","6,736",12,"3,716","3,490","3,565",52.9,"1,582","1,450","1,506",22.4,"1,788","1,571","1,665",24.7
Idaho - Counties,"9,854","5,047","4,591","4,776",48.5,"1,803","1,671","1,715",35.9,"1,456","1,349","1,396",29.2,"1,788","1,571","1,665",34.9
Idaho - Municipalities,"7,584","2,039","1,920","1,960",25.8,"1,913","1,819","1,850",94.4,126,101,110,5.6,0,0,0,0
Illinois - Total,"640,322","83,882","75,686","78,677",12.3,"46,292","39,200","41,732",53,"16,038","15,211","15,535",19.7,"21,552","21,275","21,410",27.2
Illinois - State,"130,126","17,189","17,098","17,140",13.2,"3,385","3,362","3,373",19.7,"2,645","2,580","2,609",15.2,"11,159","11,156","11,158",65.1
"Illinois - Local, total","510,196","66,693","58,588","61,537",12.1,"42,907","35,838","38,359",62.3,"13,393","12,631","12,926",21,"10,393","10,119","10,252",16.7
Illinois - Counties,"54,016","28,973","27,520","28,132",52.1,"6,061","5,477","5,716",20.3,"12,526","11,930","12,170",43.3,"10,386","10,113","10,246",36.4
Illinois - Municipalities,"93,705","37,683","31,054","33,384",35.6,"36,821","30,350","32,628",97.7,855,698,750,2.2,7,6,6,0
Indiana - Total,"325,268","37,801","34,041","35,502",10.9,"16,930","15,017","15,622",44,"8,014","6,963","7,441",21,"12,857","12,061","12,439",35
Indiana - State,"88,431","9,575","9,517","9,550",10.8,"1,886","1,885","1,886",19.7,"1,451","1,396","1,427",14.9,"6,238","6,236","6,237",65.3
"Indiana - Local, total","236,837","28,226","24,524","25,952",11,"15,044","13,132","13,736",52.9,"6,563","5,567","6,014",23.2,"6,619","5,825","6,202",23.9
Indiana - Counties,"46,408","14,953","13,098","13,955",30.1,"4,260","3,836","3,999",28.7,"4,800","4,136","4,466",32,"5,893","5,126","5,490",39.3
Indiana - Municipalities,"44,058","13,206","11,373","11,937",27.1,"10,771","9,290","9,727",81.5,"1,710","1,384","1,498",12.5,725,699,712,6
Iowa - Total,"177,515","15,719","14,011","14,707",8.3,"7,750","6,785","7,066",48,"3,170","2,918","3,056",20.8,"4,799","4,308","4,585",31.2
Iowa - State,"47,929","6,252","5,912","6,126",12.8,954,936,942,15.4,"2,245","2,112","2,195",35.8,"3,053","2,864","2,989",48.8
"Iowa - Local, total","129,586","9,467","8,099","8,581",6.6,"6,796","5,849","6,124",71.4,925,806,861,10,"1,746","1,444","1,596",18.6
Iowa - Counties,"23,708","4,897","4,200","4,492",18.9,"2,315","2,023","2,115",47.1,836,733,781,17.4,"1,746","1,444","1,596",35.5
Iowa - Municipalities,"22,344","4,570","3,899","4,089",18.3,"4,481","3,826","4,009",98,89,73,80,2,0,0,0,0
Kansas - Total,"192,106","19,971","18,274","18,811",9.8,"9,569","8,721","9,017",47.9,"4,106","3,509","3,662",19.5,"6,296","6,044","6,132",32.6
Kansas - State,"48,191","6,524","6,345","6,423",13.3,"1,083","1,023","1,052",16.4,"2,142","2,040","2,079",32.4,"3,299","3,282","3,292",51.3
"Kansas - Local, total","143,915","13,447","11,929","12,388",8.6,"8,486","7,698","7,965",64.3,"1,964","1,469","1,583",12.8,"2,997","2,762","2,840",22.9
Kansas - Counties,"23,657","6,740","6,164","6,367",26.9,"2,902","2,700","2,769",43.5,"1,078",937,995,15.6,"2,760","2,527","2,603",40.9
Kansas - Municipalities,"23,019","6,694","5,759","6,014",26.1,"5,574","4,992","5,189",86.3,883,532,588,9.8,237,235,237,3.9
Kentucky - Total,"247,597","26,343","24,119","25,197",10.2,"10,508","9,683","10,049",39.9,"7,391","6,584","6,975",27.7,"8,444","7,852","8,173",32.4
Kentucky - State,"85,308","12,484","12,294","12,405",14.5,"2,392","2,386","2,390",19.3,"5,757","5,579","5,681",45.8,"4,335","4,329","4,334",34.9
"Kentucky - Local, total","162,289","13,859","11,825","12,792",7.9,"8,116","7,297","7,659",59.9,"1,634","1,005","1,294",10.1,"4,109","3,523","3,839",30
Kentucky - Counties,"18,580","6,293","4,794","5,519",29.7,"2,122","1,753","1,901",34.4,"1,022",476,738,13.4,"3,149","2,565","2,880",52.2
Kentucky - Municipalities,"26,476","7,566","7,031","7,272",27.5,"5,994","5,544","5,757",79.2,612,529,556,7.6,960,958,959,13.2
Louisiana - Total,"265,055","40,178","36,381","38,424",14.5,"18,506","16,486","17,495",45.5,"8,167","7,122","7,608",19.8,"13,505","12,773","13,321",34.7
Louisiana - State,"78,694","9,900","9,661","9,833",12.5,"1,775","1,711","1,749",17.8,"1,722","1,670","1,688",17.2,"6,403","6,280","6,396",65
"Louisiana - Local, total","186,361","30,278","26,720","28,591",15.3,"16,731","14,775","15,746",55.1,"6,445","5,452","5,920",20.7,"7,102","6,493","6,925",24.2
Louisiana - Parishes,"44,764","16,458","14,563","15,547",34.7,"7,115","6,321","6,669",42.9,"4,176","3,624","3,859",24.8,"5,167","4,618","5,019",32.3
Louisiana - Municipalities,"38,570","13,535","11,881","12,765",33.1,"9,616","8,454","9,077",71.1,"2,269","1,828","2,061",16.1,"1,650","1,599","1,627",12.7
Maine - Total,"71,881","6,363","5,442","5,798",8.1,"3,360","2,772","2,968",51.2,996,810,886,15.3,"2,007","1,860","1,944",33.5
Maine - State,"21,100","2,445","2,292","2,365",11.2,524,522,523,22.1,751,636,688,29.1,"1,170","1,134","1,154",48.8
"Maine - Local, total","50,781","3,918","3,150","3,433",6.8,"2,836","2,250","2,445",71.2,245,174,198,5.8,837,726,790,23
Maine - Counties,"1,898","1,472","1,271","1,377",72.6,451,392,414,30.1,184,153,173,12.6,837,726,790,57.4
Maine - Municipalities,"11,033","1,082",967,"1,009",9.1,"1,071",957,998,98.9,11,10,11,1.1,0,0,0,0
Maryland - Total,"299,660","44,021","41,345","42,976",14.3,"19,570","18,096","18,833",43.8,"8,411","7,637","8,181",19,"16,040","15,612","15,962",37.1
Maryland - State,"86,873","19,876","19,004","19,712",22.7,"2,340","2,306","2,334",11.8,"5,182","4,710","5,082",25.8,"12,354","11,988","12,296",62.4
"Maryland - Local, total","212,787","24,145","22,341","23,264",10.9,"17,230","15,790","16,499",70.9,"3,229","2,927","3,099",13.3,"3,686","3,624","3,666",15.8
Maryland - Counties,"177,382","17,400","16,136","16,752",9.4,"11,091","10,180","10,591",63.2,"2,623","2,332","2,495",14.9,"3,686","3,624","3,666",21.9
Maryland - Municipalities,"33,758","6,745","6,205","6,512",19.3,"6,139","5,610","5,908",90.7,606,595,604,9.3,0,0,0,0
Massachusetts - Total,"321,682","43,135","39,626","40,735",12.7,"21,802","18,975","19,862",48.8,"9,487","8,952","9,129",22.4,"11,846","11,699","11,744",28.8
Massachusetts - State,"94,699","23,950","23,318","23,521",24.8,"2,924","2,910","2,913",12.4,"9,180","8,709","8,864",37.7,"11,846","11,699","11,744",49.9
"Massachusetts - Local, total","226,983","19,185","16,308","17,214",7.6,"18,878","16,065","16,949",98.5,307,243,265,1.5,0,0,0,0
Massachusetts - Counties,596,24,24,24,4,10,10,10,41.7,14,14,14,58.3,0,0,0,0
Massachusetts - Municipalities,"100,700","10,410","9,491","9,788",9.7,"10,149","9,275","9,553",97.6,261,216,235,2.4,0,0,0,0
Michigan - Total,"445,933","53,778","48,298","50,735",11.4,"22,948","19,532","20,831",41.1,"11,350","10,291","10,823",21.3,"19,480","18,475","19,081",37.6
Michigan - State,"146,542","17,279","16,988","17,203",11.7,"2,335","2,276","2,320",13.5,"1,443","1,384","1,419",8.2,"13,501","13,328","13,464",78.3
"Michigan - Local, total","299,391","36,499","31,310","33,532",11.2,"20,613","17,256","18,511",55.2,"9,907","8,907","9,404",28,"5,979","5,147","5,617",16.8
Michigan - Counties,"49,586","18,849","16,864","17,946",36.2,"4,978","4,417","4,690",26.1,"7,954","7,335","7,685",42.8,"5,917","5,112","5,571",31
Michigan - Municipalities,"47,342","15,200","12,641","13,622",28.8,"13,380","11,119","11,959",87.8,"1,765","1,492","1,622",11.9,55,30,41,0.3
Minnesota - Total,"278,164","28,554","25,531","27,077",9.7,"12,904","11,488","12,045",44.5,"6,281","5,366","5,937",21.9,"9,369","8,677","9,095",33.6
Minnesota - State,"80,006","8,929","8,249","8,738",10.9,"1,009",972,994,11.4,"3,675","3,166","3,522",40.3,"4,245","4,111","4,222",48.3
"Minnesota - Local, total","198,158","19,625","17,282","18,339",9.3,"11,895","10,516","11,051",60.3,"2,606","2,200","2,415",13.2,"5,124","4,566","4,873",26.6
Minnesota - Counties,"37,299","11,663","10,272","10,975",29.4,"4,231","3,768","3,955",36,"2,309","1,938","2,147",19.6,"5,123","4,566","4,873",44.4
Minnesota - Municipalities,"34,121","7,916","7,002","7,350",21.5,"7,628","6,740","7,083",96.4,287,262,267,3.6,1,0,0,0
Mississippi - Total,"193,283","19,595","17,282","18,100",9.4,"10,593","9,243","9,759",53.9,"3,350","2,728","2,886",15.9,"5,652","5,311","5,455",30.1
Mississippi - State,"57,709","5,159","5,051","5,114",8.9,"1,197","1,197","1,197",23.4,740,732,734,14.4,"3,222","3,122","3,183",62.2
"Mississippi - Local, total","135,574","14,436","12,231","12,986",9.6,"9,396","8,046","8,562",65.9,"2,610","1,996","2,152",16.6,"2,430","2,189","2,272",17.5
Mississippi - Counties,"29,286","7,673","6,682","7,042",24,"3,550","3,092","3,277",46.5,"1,766","1,471","1,564",22.2,"2,357","2,119","2,201",31.3
Mississippi - Municipalities,"23,329","6,763","5,549","5,944",25.5,"5,846","4,954","5,285",88.9,844,525,588,9.9,73,70,71,1.2
Missouri - Total,"316,950","43,937","40,818","42,090",13.3,"19,276","17,832","18,405",43.7,"9,126","7,922","8,428",20,"15,535","15,064","15,257",36.2
Missouri - State,"86,765","18,950","18,362","18,714",21.6,"2,511","2,378","2,472",13.2,"4,255","3,938","4,137",22.1,"12,184","12,046","12,105",64.7
"Missouri - Local, total","230,185","24,987","22,456","23,376",10.2,"16,765","15,454","15,933",68.2,"4,871","3,984","4,291",18.4,"3,351","3,018","3,152",13.5
Missouri - Counties,"23,639","10,242","9,311","9,707",41.1,"4,430","4,152","4,265",43.9,"3,076","2,717","2,884",29.7,"2,736","2,442","2,558",26.4
Missouri - Municipalities,"45,275","14,738","13,142","13,666",30.2,"12,332","11,299","11,665",85.4,"1,791","1,267","1,407",10.3,615,576,594,4.3
Montana - Total,"56,360","6,393","5,712","6,025",10.7,"2,711","2,473","2,574",42.7,"1,800","1,439","1,607",26.7,"1,882","1,800","1,844",30.6
Montana - State,"20,251","2,400","2,257","2,334",11.5,479,448,464,19.9,751,662,710,30.4,"1,170","1,147","1,160",49.7
"Montana - Local, total","36,109","3,993","3,455","3,691",10.2,"2,232","2,025","2,110",57.2,"1,049",777,897,24.3,712,653,684,18.5
Montana - Counties,"6,789","2,564","2,223","2,383",35.1,"1,114",980,"1,031",43.3,746,597,676,28.4,704,646,676,28.4
Montana - Municipalities,"4,687","1,429","1,232","1,308",27.9,"1,118","1,045","1,079",82.5,303,180,221,16.9,8,7,8,0.6
Nebraska - Total,"120,079","11,850","10,880","11,294",9.4,"5,205","4,725","4,922",43.6,"2,119","1,879","1,980",17.5,"4,526","4,276","4,392",38.9
Nebraska - State,"32,095","4,421","4,291","4,351",13.6,758,748,753,17.3,764,722,737,16.9,"2,899","2,821","2,861",65.8
"Nebraska - Local, total","87,984","7,429","6,589","6,943",7.9,"4,447","3,977","4,169",60,"1,355","1,157","1,243",17.9,"1,627","1,455","1,531",22.1
Nebraska - Counties,"13,637","4,453","3,940","4,159",30.5,"1,581","1,408","1,470",35.3,"1,245","1,077","1,158",27.8,"1,627","1,455","1,531",36.8
Nebraska - Municipalities,"12,337","2,973","2,647","2,782",22.6,"2,864","2,568","2,698",97,109,79,84,3,0,0,0,0
Nevada - Total,"109,629","17,996","16,595","17,066",15.6,"8,565","7,599","7,842",46,"3,726","3,453","3,618",21.2,"5,705","5,543","5,606",32.8
Nevada - State,"26,743","5,098","5,032","5,050",18.9,855,852,854,16.9,734,722,724,14.3,"3,509","3,458","3,472",68.8
"Nevada - Local, total","82,886","12,898","11,563","12,016",14.5,"7,710","6,747","6,988",58.2,"2,992","2,731","2,894",24.1,"2,196","2,085","2,134",17.8
Nevada - Counties,"24,041","9,609","8,673","8,977",37.3,"5,701","5,074","5,190",57.8,"2,340","2,131","2,274",25.3,"1,568","1,468","1,513",16.9
Nevada - Municipalities,"9,379","3,289","2,890","3,039",32.4,"2,009","1,673","1,798",59.2,652,600,620,20.4,628,617,621,20.4
New Hampshire - Total,"72,119","7,614","6,372","6,891",9.6,"4,392","3,488","3,847",55.8,"1,290","1,109","1,180",17.1,"1,932","1,775","1,864",27
New Hampshire - State,"18,591","2,491","2,382","2,443",13.1,464,449,460,18.8,892,879,886,36.3,"1,135","1,054","1,097",44.9
"New Hampshire - Local, total","53,528","5,123","3,990","4,448",8.3,"3,928","3,039","3,387",76.1,398,230,294,6.6,797,721,767,17.2
New Hampshire - Counties,"4,147","1,487","1,114","1,292",31.2,356,221,294,22.8,334,172,231,17.9,797,721,767,59.4
New Hampshire - Municipalities,"11,705","1,263","1,121","1,171",10,"1,226","1,086","1,134",96.8,37,35,37,3.2,0,0,0,0
New Jersey - Total,"484,992","74,369","65,201","68,634",14.2,"37,581","30,442","33,230",48.4,"21,329","19,439","20,031",29.2,"15,459","15,320","15,373",22.4
New Jersey - State,"145,670","26,315","26,033","26,177",18,"4,045","3,999","4,019",15.4,"13,237","13,013","13,130",50.2,"9,033","9,021","9,028",34.5
"New Jersey - Local, total","339,322","48,054","39,168","42,457",12.5,"33,536","26,443","29,211",68.8,"8,092","6,426","6,901",16.3,"6,426","6,299","6,345",14.9
New Jersey - Counties,"62,509","14,320","13,986","14,141",22.6,"3,672","3,535","3,604",25.5,"4,241","4,155","4,204",29.7,"6,407","6,296","6,333",44.8
New Jersey - Municipalities,"53,824","19,736","14,356","16,276",30.2,"17,361","12,996","14,659",90.1,"2,370","1,358","1,614",9.9,5,2,3,0
New Mexico - Total,"123,526","16,082","15,418","15,700",12.7,"6,205","5,844","5,977",38.1,"3,778","3,558","3,650",23.2,"6,099","6,016","6,073",38.7
New Mexico - State,"45,065","7,542","7,397","7,480",16.6,650,650,650,8.7,"3,244","3,131","3,191",42.7,"3,648","3,616","3,639",48.6
"New Mexico - Local, total","78,461","8,540","8,021","8,220",10.5,"5,555","5,194","5,327",64.8,534,427,459,5.6,"2,451","2,400","2,434",29.6
New Mexico - Counties,"10,476","4,304","4,172","4,241",40.5,"1,709","1,651","1,676",39.5,159,136,146,3.4,"2,436","2,385","2,419",57
New Mexico - Municipalities,"17,270","4,236","3,849","3,979",23,"3,846","3,543","3,651",91.8,375,291,313,7.9,15,15,15,0.4
New York - Total,"1,168,457","177,844","162,769","168,807",14.4,"90,707","81,535","85,244",50.5,"34,112","29,283","31,025",18.4,"53,025","51,951","52,538",31.1
New York - State,"236,826","55,013","53,916","54,665",23.1,"6,014","5,822","5,967",10.9,"19,207","18,644","19,050",34.8,"29,792","29,450","29,648",54.2
"New York - Local, total","931,631","122,831","108,853","114,142",12.3,"84,693","75,713","79,277",69.5,"14,905","10,639","11,975",10.5,"23,233","22,501","22,890",20.1
