Bureau of Justice Statistics,,,,,,,,,,
Filename: jeee12fut08.csv,,,,,,,,,,
"Table 8. Per capita justice expenditure (fiscal 2012) and full-time equivalent justice employment per 10,000 population (March 2012) of state and local governments, by activity and state",,,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2012 - Final (Update) NCJ 250326",,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,
Date of version: 7/7/2021,,,,,,,,,,
,,,,,,,,,,
"Table 8. Per capita justice expenditure (fiscal 2012) and full-time equivalent justice employment per 10,000 population (March 2012) of state and local governments, by activity and state",,,,,,,,,,
,,,,,,,,,,
State,Population 2012,Total justice system per capita expenditure,Police protection per capita expenditure,Judicial and legal per capita expenditure,Corrections per capita expenditure,"Total justice system full-time equivalent employment per 10,000 population","Police protection total full-time equivalent employment per 10,000 population","Police protection sworn full-time equivalent employment only per 10,000 population","Judicial and legal full-time equivalent employment per 10,000 population","Corrections full-time equivalent employment per 10,000 population"
Massachusetts,"6,663,005",622.23,325.16,168,129.07,61.14,29.81,24.17,13.7,17.63
Michigan,"9,897,145",578.39,236.47,115.02,226.9,51.26,21.05,16.58,10.94,19.28
Minnesota,"5,376,643",582.9,303.66,119.71,159.53,50.36,22.4,16.38,11.04,16.92
Mississippi,"2,983,816",491.81,221.84,82.88,187.1,60.66,32.71,24.34,9.67,18.28
Missouri,"6,024,367",499.14,269.67,77.62,151.86,69.87,30.55,22.6,13.99,25.33
Montana,"1,003,783",650.27,287.98,135.27,227.02,60.02,25.64,17.38,16.01,18.37
Nebraska,"1,853,303",518.5,233.31,90.01,195.18,60.94,26.56,19.74,10.68,23.7
Nevada,"2,743,996",814.33,396.71,166.15,251.47,62.19,28.58,18.33,13.19,20.43
New Hampshire,"1,324,232",509.3,264.6,105.53,139.16,52.04,29.05,21.76,8.91,14.08
New Jersey,"8,844,942",790.54,384.75,161.56,244.23,77.6,37.57,28.89,22.65,17.38
New Mexico,"2,087,309",722.73,309.55,151.2,261.98,75.22,28.63,21.04,17.49,29.09
New York,"19,572,932",990.7,474.33,221.48,294.88,86.25,43.55,37.31,15.85,26.84
North Carolina,"9,749,476",589.1,278.3,96.68,214.12,62.79,28.41,23.01,7.76,26.63
North Dakota,"701,176",537.86,218.44,117.95,201.46,54.07,22.9,18.85,12.14,19.03
Ohio,"11,548,923",582.18,279.49,145.33,157.36,62.92,26.89,20.08,17.44,18.59
Oklahoma,"3,818,814",481.42,222.95,96.4,162.07,57.07,28.8,20.6,10.9,17.37
Oregon,"3,899,001",721.32,292.71,153.09,275.51,56.41,23.03,15.31,11.83,21.56
Pennsylvania,"12,767,118",660.28,255.57,144.37,260.33,64.31,25.58,20.92,13.88,24.86
Rhode Island,"1,054,621",661.38,341.41,121.37,198.6,55.6,29.09,22.99,11.63,14.89
South Carolina,"4,717,354",429.63,224.96,61.43,143.24,64.12,29.39,23.43,9.68,25.04
South Dakota,"833,566",493.78,203.2,93.03,197.55,53.06,23.45,18.29,11.18,18.43
Tennessee,"6,453,898",505.09,252.37,96.34,156.38,61.08,31.31,24.82,11.15,18.62
Texas,"26,084,481",551.08,250.37,98.85,201.86,64.86,28.02,20.59,10.21,26.62
Utah,"2,853,375",536.47,235.03,114.72,186.72,51.09,22.59,15.14,10.44,18.06
Vermont,"626,090",623.25,306.94,102.86,213.46,53.62,24.58,16.24,11.39,17.65
Virginia,"8,185,080",625.86,254.53,104.54,266.79,67.16,26.62,20.91,10.54,30
Washington,"6,897,058",611.65,254.17,136.42,221.06,51.16,20.47,14.53,11.44,19.25
West Virginia,"1,856,872",500.22,196.22,124.25,179.75,54.66,21.38,16.86,14.25,19.03
Wisconsin,"5,719,960",678.65,311.86,106.65,260.15,61.02,27.57,21.13,9.58,23.87
Wyoming,"576,305",966.18,367.62,224.41,374.16,87.96,34.81,24.8,17.21,35.94
"Note: Population figures are from the Bureau of the Census, Table 1. Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2019 (NST-EST2019-01), December 2019.",,,,,,,,,,
