"Bureau of Justice Statistics",,,,,,,,,,,,,,,,,,,,,,
"filename:  cjee0105.wk1",,,,,,,,,,,,,,,,,,,,,,
"Table 5.   State and local justice system employment, and percent of all employment, by State and level of government, March 2001",,,,,,,,,,,,,,,,,,,,,,
"report title:  Justice Expenditure and Employment in the United States, 2001 NCJ 202792",,,,,,,,,,,,,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,,,,,,,,,,,,
"author:  Lynn Bauer",,,,,,,,,,,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,,,,,,,,,,
"date of version:  12/19/2003",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Table 5.   State and local justice system employment, and percent of all employment, by State, March 2001",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,"Total justice system",,,,,,"Police protection",,,,,"Judicial and legal",,,,,"Corrections",,,,
"Local, total",44518,6901,6715,6810,15.3,,4430,4266,4349,63.9,,442,427,435,6.4,,2029,2022,2026,29.8,,"Local, total"
"Municipality",35838,6901,6715,6810,19.0,,4430,4266,4349,63.9,,442,427,435,6.4,,2029,2022,2026,29.8,,"Municipality"
,,,,,,,,,,,,,,,,,,,,,,
"Florida",803100,137262,130412,133104,16.6,,61097,55714,57580,43.3,,32533,31339,31983,24.0,,43632,43359,43541,32.7,,"Florida"
"State",187552,50425,49941,50227,26.8,,4241,4219,4230,8.4,,18147,17715,17973,35.8,,28037,28007,28024,55.8,,"State"
"Local, total",615548,86837,80471,82877,13.5,,56856,51495,53350,64.4,,14386,13624,14010,16.9,,15595,15352,15517,18.7,,"Local, total"
"Counties",145898,58986,55202,56598,38.8,,30544,27615,28537,50.4,,13480,12840,13177,23.3,,14962,14747,14884,26.3,,"Counties"
"Municipalities",100746,27851,25269,26279,26.1,,26312,23880,24813,94.4,,906,784,833,3.2,,633,605,633,2.4,,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,
"Georgia",459215,65221,60203,62294,13.6,,26588,24620,25420,40.8,,11307,9250,9963,16.0,,27326,26333,26911,43.2,,"Georgia"
"State",121180,24103,23414,23781,19.6,,2310,2292,2302,9.7,,1472,1462,1467,6.2,,20321,19660,20012,84.2,,"State"
"Local, total",338035,41118,36789,38513,11.4,,24278,22328,23118,60.0,,9835,7788,8496,22.1,,7005,6673,6899,17.9,,"Local, total"
"Counties",58182,25535,22936,24147,41.5,,11561,10596,11005,45.6,,8052,6737,7317,30.3,,5922,5603,5825,24.1,,"Counties"
"Municipalities",42806,15583,13853,14366,33.6,,12717,11732,12113,84.3,,1783,1051,1179,8.2,,1083,1070,1074,7.5,,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,
"Hawaii",69230,9070,8783,8861,12.8,,3775,3590,3631,41.0,,2823,2745,2767,31.2,,2472,2448,2463,27.8,,"Hawaii"
"State",54890,4742,4647,4681,8.5,,0,0,0,0.0,,2270,2199,2218,47.4,,2472,2448,2463,52.6,,"State"
"Local, total",14340,4328,4136,4180,29.1,,3775,3590,3631,86.9,,553,546,549,13.1,,0,0,0,0.0,,"Local, total"
"Counties",5085,1401,1329,1348,26.5,,1165,1096,1114,82.6,,236,233,234,17.4,,0,0,0,0.0,,"Counties"
"Municipalities",9139,2927,2807,2832,31.0,,2610,2494,2517,88.9,,317,313,315,11.1,,0,0,0,0.0,,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,
"Idaho",76080,8885,7932,8298,10.9,,4090,3700,3834,46.2,,1790,1574,1648,19.9,,3005,2658,2816,33.9,,"Idaho"
"State",23215,2702,2550,2622,11.3,,492,486,488,18.6,,473,457,463,17.7,,1737,1607,1671,63.7,,"State"
"Local, total",52865,6183,5382,5676,10.7,,3598,3214,3346,58.9,,1317,1117,1185,20.9,,1268,1051,1145,20.2,,"Local, total"
"Counties",10571,4309,3757,3983,37.7,,1876,1675,1743,43.8,,1165,1031,1095,27.5,,1268,1051,1145,28.7,,"Counties"
"Municipalities",7020,1874,1625,1693,24.1,,1722,1539,1603,94.7,,152,86,90,5.3,,0,0,0,0.0,,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,
"Illinois",616123,92240,84177,87202,14.2,,48597,41580,44230,50.7,,18089,17263,17535,20.1,,25554,25334,25437,29.2,,"Illinois"
"State",129842,23322,23214,23265,17.9,,4293,4290,4292,18.4,,3241,3161,3198,13.7,,15788,15763,15775,67.8,,"State"
"Local, total",486281,68918,60963,63937,13.1,,44304,37290,39938,62.5,,14848,14102,14337,22.4,,9766,9571,9662,15.1,,"Local, total"
"Counties",62898,29640,28249,28863,45.9,,5978,5303,5607,19.4,,13932,13410,13629,47.2,,9730,9536,9627,33.4,,"Counties"
"Municipalities",106108,39278,32714,35074,33.1,,38326,31987,34331,97.9,,916,692,708,2.0,,36,35,35,0.1,,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,
"Indiana",324386,39024,34677,36542,11.3,,18047,15568,16687,45.7,,7066,6016,6423,17.6,,13911,13093,13432,36.8,,"Indiana"
"State",86609,11667,11625,11654,13.5,,2052,2051,2052,17.6,,1320,1296,1312,11.3,,8295,8278,8290,71.1,,"State"
"Local, total",237777,27357,23052,24888,10.5,,15995,13517,14635,58.8,,5746,4720,5111,20.5,,5616,4815,5142,20.7,,"Local, total"
"Counties",48581,13487,11694,12429,25.6,,4188,3709,3841,30.9,,4135,3593,3887,31.3,,5164,4392,4701,37.8,,"Counties"
"Municipalities",46550,13870,11358,12459,26.8,,11807,9808,10794,86.6,,1611,1127,1224,9.8,,452,423,441,3.5,,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,
"Iowa",176075,16070,14367,15073,8.6,,7872,6944,7224,47.9,,3450,3081,3290,21.8,,4748,4342,4559,30.2,,"Iowa"
"State",54718,7134,6710,6958,12.7,,1083,1020,1038,14.9,,2555,2328,2471,35.5,,3496,3362,3449,49.6,,"State"
"Local, total",121357,8936,7657,8115,6.7,,6789,5924,6186,76.2,,895,753,819,10.1,,1252,980,1110,13.7,,"Local, total"
"Counties",23833,4418,3714,4004,16.8,,2368,2072,2170,54.2,,816,678,740,18.5,,1234,964,1094,27.3,,"Counties"
"Municipalities",22025,4518,3943,4111,18.7,,4421,3852,4016,97.7,,79,75,79,1.9,,18,16,16,0.4,,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,
"Kansas",170770,19899,17632,18229,10.7,,9457,8502,8820,48.4,,4382,3347,3567,19.6,,6060,5783,5842,32.0,,"Kansas"
"State",44053,6963,6713,6794,15.4,,1065,1055,1060,15.6,,2243,2030,2094,30.8,,3655,3628,3640,53.6,,"State"
"Local, total",126717,12936,10919,11435,9.0,,8392,7447,7760,67.9,,2139,1317,1473,12.9,,2405,2155,2202,19.3,,"Local, total"
"Counties",22780,6043,5166,5428,23.8,,2714,2370,2500,46.1,,1137,852,938,17.3,,2192,1944,1990,36.7,,"Counties"
"Municipalities",23734,6893,5753,6007,25.3,,5678,5077,5260,87.6,,1002,465,535,8.9,,213,211,212,3.5,,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,
"Kentucky",227566,25017,21455,23118,10.2,,10964,9611,10233,44.3,,6791,5248,6054,26.2,,7262,6596,6831,29.5,,"Kentucky"
"State",76906,11078,10093,10765,14.0,,2227,2196,2221,20.6,,4933,4114,4747,44.1,,3918,3783,3797,35.3,,"State"
"Local, total",150660,13939,11362,12353,8.2,,8737,7415,8012,64.9,,1858,1134,1307,10.6,,3344,2813,3034,24.6,,"Local, total"
"Counties",22402,8214,6520,7213,32.2,,3840,3007,3339,46.3,,1377,1038,1183,16.4,,2997,2475,2691,37.3,,"Counties"
"Municipalities",21727,5725,4842,5140,23.7,,4897,4408,4673,90.9,,481,96,124,2.4,,347,338,343,6.7,,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,
"Louisiana",280141,40462,36489,38222,13.6,,17610,15439,16253,42.5,,8708,7614,8027,21.0,,14144,13436,13942,36.5,,"Louisiana"
"State",93919,11159,10712,11046,11.8,,1466,1461,1463,13.2,,1766,1715,1729,15.7,,7927,7536,7854,71.1,,"State"
"Local, total",186222,29303,25777,27176,14.6,,16144,13978,14790,54.4,,6942,5899,6298,23.2,,6217,5900,6088,22.4,,"Local, total"
"Parishes",45100,15647,13959,14532,32.2,,7064,6326,6548,45.1,,4688,3868,4144,28.5,,3895,3765,3840,26.4,,"Parishes"
"Municipalities",35389,13656,11818,12644,35.7,,9080,7652,8242,65.2,,2254,2031,2154,17.0,,2322,2135,2248,17.8,,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,
"Maine",74495,7131,5565,6174,8.3,,4090,2977,3377,54.7,,1023,878,943,15.3,,2018,1710,1854,30.0,,"Maine"
"State",21544,2486,2336,2420,11.2,,516,516,516,21.3,,714,637,672,27.8,,1256,1183,1232,50.9,,"State"
"Local, total",52951,4645,3229,3754,7.1,,3574,2461,2861,76.2,,309,241,271,7.2,,762,527,622,16.6,,"Local, total"
"Counties",1917,1695,1288,1445,75.4,,663,535,581,40.2,,281,226,253,17.5,,751,527,611,42.3,,"Counties"
"Municipalities",31479,2950,1941,2309,7.3,,2911,1926,2280,98.7,,28,15,18,0.8,,11,0,11,0.5,,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,
"Maryland",279006,39815,36979,38635,13.8,,17776,16248,16892,43.7,,7355,6543,7119,18.4,,14684,14188,14624,37.9,,"Maryland"
"State",91288,18572,17580,18396,20.2,,2415,2382,2406,13.1,,4292,3774,4175,22.7,,11865,11424,11815,64.2,,"State"
"Local, total",187718,21243,19399,20239,10.8,,15361,13866,14486,71.6,,3063,2769,2944,14.5,,2819,2764,2809,13.9,,"Local, total"
"Counties",149545,14183,12958,13530,9.0,,9129,8241,8597,63.5,,2235,1953,2124,15.7,,2819,2764,2809,20.8,,"Counties"
"Municipalities",35977,7060,6441,6709,18.6,,6232,5625,5889,87.8,,828,816,820,12.2,,0,0,0,0.0,,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,
"Massachusetts",332556,48312,43009,44858,13.5,,27559,22899,24466,54.5,,10768,10355,10492,23.4,,9985,9755,9900,22.1,,"Massachusetts"
"State",95259,23371,22887,23066,24.2,,5725,5692,5701,24.7,,10468,10087,10212,44.3,,7178,7108,7153,31.0,,"State"
"Local, total",237297,24941,20122,21792,9.2,,21834,17207,18765,86.1,,300,268,280,1.3,,2807,2647,2747,12.6,,"Local, total"
"Counties",2507,1699,1530,1634,65.2,,51,42,46,2.8,,0,0,0,0.0,,1648,1488,1588,97.2,,"Counties"
"Municipalities",200437,23242,18592,20158,10.1,,21783,17165,18719,92.9,,300,268,280,1.4,,1159,1159,1159,5.7,,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,
"Michigan",499481,65475,60128,62681,12.5,,27939,24525,26140,41.7,,12750,11560,12099,19.3,,24786,24043,24442,39.0,,"Michigan"
"State",141375,24461,24084,24260,17.2,,3350,3208,3277,13.5,,2053,2000,2022,8.3,,19058,18876,18961,78.2,,"State"
"Local, total",358106,41014,36044,38421,10.7,,24589,21317,22863,59.5,,10697,9560,10077,26.2,,5728,5167,5481,14.3,,"Local, total"
"Counties",53540,19489,17922,18805,35.1,,5569,5151,5384,28.6,,8348,7716,8071,42.9,,5572,5055,5350,28.4,,"Counties"
"Municipalities",92214,21525,18122,19616,21.3,,19020,16166,17479,89.1,,2349,1844,2006,10.2,,156,112,131,0.7,,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,
"Minnesota",280481,26567,23175,24941,8.9,,11951,10562,11164,44.8,,6115,5054,5721,22.9,,8501,7559,8056,32.3,,"Minnesota"
"State",75588,7223,6603,7073,9.4,,952,926,942,13.3,,2491,2032,2382,33.7,,3780,3645,3749,53.0,,"State"
"Local, total",204893,19344,16572,17868,8.7,,10999,9636,10222,57.2,,3624,3022,3339,18.7,,4721,3914,4307,24.1,,"Local, total"
"Counties",42495,11947,10092,11020,25.9,,3886,3400,3629,32.9,,3340,2778,3084,28.0,,4721,3914,4307,39.1,,"Counties"
"Municipalities",35669,7397,6480,6848,19.2,,7113,6236,6593,96.3,,284,244,255,3.7,,0,0,0,0.0,,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,
"Mississippi",192946,19969,17158,17921,9.3,,9834,8290,8771,48.9,,3534,2601,2741,15.3,,6601,6267,6409,35.8,,"Mississippi"
"State",56781,6329,6213,6250,11.0,,1286,1286,1286,20.6,,727,636,656,10.5,,4316,4291,4308,68.9,,"State"
"Local, total",136165,13640,10945,11671,8.6,,8548,7004,7485,64.1,,2807,1965,2085,17.9,,2285,1976,2101,18.0,,"Local, total"
"Counties",30063,6924,5910,6238,20.7,,2791,2319,2467,39.5,,1904,1670,1725,27.7,,2229,1921,2046,32.8,,"Counties"
"Municipalities",22849,6716,5035,5433,23.8,,5757,4685,5018,92.4,,903,295,360,6.6,,56,55,55,1.0,,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,
"Missouri",305550,41986,37615,38653,12.7,,18854,16927,17371,44.9,,8867,7150,7546,19.5,,14265,13538,13736,35.5,,"Missouri"
"State",92563,18323,17492,17898,19.3,,2399,2374,2390,13.4,,4028,3654,3907,21.8,,11896,11464,11601,64.8,,"State"
"Local, total",212987,23663,20123,20755,9.7,,16455,14553,14981,72.2,,4839,3496,3639,17.5,,2369,2074,2135,10.3,,"Local, total"
"Counties",20419,8822,7540,7802,38.2,,4320,3773,3942,50.5,,2612,2137,2182,28.0,,1890,1630,1678,21.5,,"Counties"
"Municipalities",43982,14841,12583,12953,29.5,,12135,10780,11039,85.2,,2227,1359,1457,11.2,,479,444,457,3.5,,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,
"Montana",53304,5572,4572,4943,9.3,,2429,2173,2265,45.8,,1365,835,1014,20.5,,1778,1564,1664,33.7,,"Montana"
"State",19389,1805,1638,1711,8.8,,432,386,404,23.6,,243,169,201,11.7,,1130,1083,1106,64.6,,"State"
"Local, total",33915,3767,2934,3232,9.5,,1997,1787,1861,57.6,,1122,666,813,25.2,,648,481,558,17.3,,"Local, total"
"Counties",6373,2500,1878,2128,33.4,,1024,868,919,43.2,,851,551,673,31.6,,625,459,536,25.2,,"Counties"
"Municipalities",4233,1267,1056,1104,26.1,,973,919,942,85.3,,271,115,140,12.7,,23,22,22,2.0,,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,
"Nebraska",112068,9904,9090,9433,8.4,,4799,4442,4595,48.7,,1945,1665,1778,18.8,,3160,2983,3060,32.4,,"Nebraska"
"State",32707,3447,3305,3373,10.3,,690,683,687,20.4,,717,646,675,20.0,,2040,1976,2011,59.6,,"State"
"Local, total",79361,6457,5785,6060,7.6,,4109,3759,3908,64.5,,1228,1019,1103,18.2,,1120,1007,1049,17.3,,"Local, total"
"Counties",12650,3664,3216,3390,26.8,,1411,1273,1324,39.1,,1133,936,1017,30.0,,1120,1007,1049,30.9,,"Counties"
"Municipalities",12466,2793,2569,2670,21.4,,2698,2486,2584,96.8,,95,83,86,3.2,,0,0,0,0.0,,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,
"Nevada",87072,15921,14695,15146,17.4,,7122,6370,6632,43.8,,3336,3093,3199,21.1,,5463,5232,5315,35.1,,"Nevada"
"State",23156,4601,4512,4540,19.6,,745,745,745,16.4,,646,625,628,13.8,,3210,3142,3167,69.8,,"State"
"Local, total",63916,11320,10183,10606,16.6,,6377,5625,5887,55.5,,2690,2468,2571,24.2,,2253,2090,2148,20.3,,"Local, total"
"Counties",21342,8552,7690,7984,37.4,,4608,4083,4244,53.2,,2158,1978,2056,25.8,,1786,1629,1684,21.1,,"Counties"
"Municipalities",9810,2768,2493,2622,26.7,,1769,1542,1643,62.7,,532,490,515,19.6,,467,461,464,17.7,,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,
"New Hampshire",65366,8485,6377,6857,10.5,,5317,3505,3869,56.4,,1301,1115,1171,17.1,,1867,1757,1817,26.5,,"New Hampshire"
"State",18920,2695,2614,2662,14.1,,437,427,432,16.2,,914,913,914,34.3,,1344,1274,1316,49.4,,"State"
"Local, total",46446,5790,3763,4195,9.0,,4880,3078,3437,81.9,,387,202,257,6.1,,523,483,501,11.9,,"Local, total"
"Counties",3507,1151,852,956,27.3,,290,207,239,25.0,,338,162,216,22.6,,523,483,501,52.4,,"Counties"
"Municipalities",18858,4639,2911,3239,17.2,,4590,2871,3198,98.7,,49,40,41,1.3,,0,0,0,0.0,,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,
"New Jersey",459064,80413,68894,72771,15.9,,40240,31940,34971,48.1,,23658,20804,21513,29.6,,16515,16150,16287,22.4,,"New Jersey"
"State",136892,27902,27658,27804,20.3,,3914,3880,3910,14.1,,14139,13960,14060,50.6,,9849,9818,9834,35.4,,"State"
"Local, total",322172,52511,41236,44967,14.0,,36326,28060,31061,69.1,,9519,6844,7453,16.6,,6666,6332,6453,14.4,,"Local, total"
"Counties",59765,13534,13095,13273,22.2,,2652,2490,2531,19.1,,4414,4275,4341,32.7,,6468,6330,6401,48.2,,"Counties"
"Municipalities",99620,38977,28141,31694,31.8,,33674,25570,28530,90.0,,5105,2569,3112,9.8,,198,2,52,0.2,,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,
"New Mexico",120516,14709,13765,14221,11.8,,5920,5355,5642,39.7,,3304,3029,3143,22.1,,5485,5381,5436,38.2,,"New Mexico"
"State",47839,7300,7135,7229,15.1,,633,633,633,8.8,,2805,2681,2746,38.0,,3862,3821,3850,53.3,,"State"
"Local, total",72677,7409,6630,6992,9.6,,5287,4722,5009,71.6,,499,348,397,5.7,,1623,1560,1586,22.7,,"Local, total"
"Counties",7702,2653,2450,2539,33.0,,1435,1343,1384,54.5,,118,59,90,3.5,,1100,1048,1065,41.9,,"Counties"
"Municipalities",17559,4756,4180,4453,25.4,,3852,3379,3625,81.4,,381,289,307,6.9,,523,512,521,11.7,,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,
"New York",1178185,191425,172120,179321,15.2,,94744,81402,86454,48.2,,33608,28995,30438,17.0,,63073,61723,62429,34.8,,"New York"
"State",252099,61914,60750,61484,24.4,,6024,5850,5976,9.7,,19167,18643,18989,30.9,,36723,36257,36519,59.4,,"State"
"Local, total",926086,129511,111370,117837,12.7,,88720,75552,80478,68.3,,14441,10352,11449,9.7,,26350,25466,25910,22.0,,"Local, total"
"Counties",115470,29952,26859,28251,24.5,,13727,12067,12761,45.2,,4292,3613,3934,13.9,,11933,11179,11556,40.9,,"Counties"
"Municipalities",518371,99559,84511,89586,17.3,,74993,63485,67717,75.6,,10149,6739,7515,8.4,,14417,14287,14354,16.0,,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,
"North Carolina",463088,55676,52886,54206,11.7,,24450,22819,23397,43.2,,6757,6416,6506,12.0,,24469,23651,24303,44.8,,"North Carolina"
"State",129691,29834,28916,29558,22.8,,3347,3343,3346,11.3,,5994,5754,5804,19.6,,20493,19819,20408,69.0,,"State"
"Local, total",333397,25842,23970,24648,7.4,,21103,19476,20051,81.3,,763,662,702,2.8,,3976,3832,3895,15.8,,"Local, total"
"Counties",273701,12087,11225,11543,4.2,,7416,6790,7005,60.7,,695,603,643,5.6,,3976,3832,3895,33.7,,"Counties"
"Municipalities",49209,13755,12745,13105,26.6,,13687,12686,13046,99.5,,68,59,59,0.5,,0,0,0,0.0,,"Municipalities"
