"Bureau of Justice Statistics",,,,,,,,,,,,,
"Arizona",$742240.94,$132968.24,17.9,,$61974.71,46.6,,$32999.56,24.8,,$37993.98,28.6,
"State",$199304.02,$39981.05,20.1,,$6860.77,17.2,,$5947.75,14.9,,$27172.52,68.0,
"Local, total",$542936.92,$92987.20,17.1,,$55113.94,59.3,,$27051.81,29.1,,$10821.46,11.6,
"Counties",$89578.93,$44750.90,50.0,,$13018.04,29.1,,$20926.63,46.8,,$10806.23,24.1,
"Municipalities",$140490.48,$48236.30,34.3,,$42095.90,87.3,,$6125.18,12.7,,$15.23,0.0,
,,,,,,,,,,,,,
"Arkansas",$361380.75,$38423.10,10.6,,$19278.80,50.2,,$7213.86,18.8,,$11930.44,31.1,
"State",$144286.64,$16439.48,11.4,,$3264.13,19.9,,$4225.84,25.7,,$8949.51,54.4,
"Local, total",$217094.12,$21983.62,10.1,,$16014.68,72.8,,$2988.02,13.6,,$2980.92,13.6,
"Counties",$23366.93,$8036.67,34.4,,$3483.88,43.3,,$1651.85,20.6,,$2900.93,36.1,
"Municipalities",$46939.80,$13946.96,29.7,,$12530.79,89.8,,$1336.17,9.6,,$79.99,0.6,
,,,,,,,,,,,,,
"California",$7178514.18,$1114171.25,15.5,,$515760.21,46.3,,$251309.85,22.6,,$347101.18,31.2,
"State",$1687260.82,$297626.63,17.6,,$62740.00,21.1,,$21372.53,7.2,,$213514.10,71.7,
"Local, total",$5491253.36,$816544.62,14.9,,$453020.21,55.5,,$229937.33,28.2,,$133587.08,16.4,
"Counties",$1394126.33,$485068.85,34.8,,$152289.32,31.4,,$206372.41,42.5,,$126407.12,26.1,
"Municipalities",$1096875.61,$331475.77,30.2,,$300730.89,90.7,,$23564.92,7.1,,$7179.96,2.2,
,,,,,,,,,,,,,
"Colorado",$765068.95,$108150.51,14.1,,$52124.83,48.2,,$21927.62,20.3,,$34098.06,31.5,
"State",$254902.55,$41473.23,16.3,,$5319.96,12.8,,$13576.72,32.7,,$22576.55,54.4,
"Local, total",$510166.40,$66677.27,13.1,,$46804.87,70.2,,$8350.90,12.5,,$11521.51,17.3,
"Counties",$73188.02,$23620.72,32.3,,$12160.04,51.5,,$3674.55,15.6,,$7786.13,33.0,
"Municipalities",$150032.29,$43056.55,28.7,,$34644.83,80.5,,$4676.35,10.9,,$3735.38,8.7,
,,,,,,,,,,,,,
"Connecticut",$684129.13,$99188.87,14.5,,$47704.91,48.1,,$19545.96,19.7,,$31938.01,32.2,
"State",$262586.03,$58432.73,22.3,,$7891.77,13.5,,$18602.96,31.8,,$31938.01,54.7,
"Local, total",$421543.10,$40756.14,9.7,,$39813.14,97.7,,$943.00,2.3,,$0.00,0.0,
"Municipalities",$394832.42,$40756.14,10.3,,$39813.14,97.7,,$943.00,2.3,,$0.00,0.0,
,,,,,,,,,,,,,
"Delaware",$145650.07,$21226.64,14.6,,$8785.83,41.4,,$5034.45,23.7,,$7406.36,34.9,
"State",$79809.12,$15756.73,19.7,,$3641.46,23.1,,$4708.90,29.9,,$7406.36,47.0,
"Local, total",$65840.94,$5469.92,8.3,,$5144.37,94.0,,$325.54,6.0,,$0.00,0.0,
"Counties",$6860.32,$2077.07,30.3,,$1860.33,89.6,,$216.75,10.4,,$0.00,0.0,
"Municipalities",$8531.68,$3392.84,39.8,,$3284.05,96.8,,$108.80,3.2,,$0.00,0.0,
,,,,,,,,,,,,,
"District of Columbia",$174547.95,$29934.35,17.1,,$20035.13,66.9,,$1951.61,6.5,,$7947.61,26.6,
"Local, total",$174547.95,$29934.35,17.1,,$20035.13,66.9,,$1951.61,6.5,,$7947.61,26.6,
"Municipality",$135685.52,$29934.35,22.1,,$20035.13,66.9,,$1951.61,6.5,,$7947.61,26.6,
,,,,,,,,,,,,,
"Florida",$2326519.80,$431438.44,18.5,,$207086.32,48.0,,$103021.98,23.9,,$121330.14,28.1,
"State",$576894.55,$150712.20,26.1,,$13388.20,8.9,,$61269.40,40.7,,$76054.61,50.5,
"Local, total",$1749625.26,$280726.24,16.0,,$193698.12,69.0,,$41752.58,14.9,,$45275.54,16.1,
"Counties",$454828.01,$179739.93,39.5,,$97653.52,54.3,,$38345.92,21.3,,$43740.48,24.3,
"Municipalities",$333081.55,$100986.32,30.3,,$96044.60,95.1,,$3406.66,3.4,,$1535.06,1.5,
,,,,,,,,,,,,,
"Georgia",$1247412.11,$165154.34,13.2,,$68479.08,41.5,,$31037.51,18.8,,$65637.76,39.7,
"State",$354268.94,$61045.71,17.2,,$6940.44,11.4,,$6746.19,11.1,,$47359.08,77.6,
"Local, total",$893143.17,$104108.64,11.7,,$61538.64,59.1,,$24291.32,23.3,,$18278.67,17.6,
"Counties",$150887.95,$64301.30,42.6,,$28619.41,44.5,,$20676.35,32.2,,$15005.54,23.3,
"Municipalities",$110567.12,$39807.33,36.0,,$32919.23,82.7,,$3614.97,9.1,,$3273.13,8.2,
,,,,,,,,,,,,,
"Hawaii",$207801.15,$30878.45,14.9,,$14398.26,46.6,,$9544.37,30.9,,$6935.82,22.5,
"State",$160374.86,$14396.61,9.0,,$0.00,0.0,,$7460.79,51.8,,$6935.82,48.2,
"Local, total",$47426.30,$16481.84,34.8,,$14398.26,87.4,,$2083.58,12.6,,$0.00,0.0,
"Counties",$16359.78,$5476.68,33.5,,$4589.30,83.8,,$887.38,16.2,,$0.00,0.0,
"Municipalities",$30712.61,$11005.16,35.8,,$9808.96,89.1,,$1196.20,10.9,,$0.00,0.0,
,,,,,,,,,,,,,
"Idaho",$197283.41,$23839.06,12.1,,$11481.84,48.2,,$5266.36,22.1,,$7090.87,29.7,
"State",$66320.23,$8379.18,12.6,,$1725.96,20.6,,$2186.85,26.1,,$4466.37,53.3,
"Local, total",$130963.18,$15459.88,11.8,,$9755.88,63.1,,$3079.51,19.9,,$2624.49,17.0,
"Counties",$26865.05,$9873.78,36.8,,$4508.22,45.7,,$2741.07,27.8,,$2624.49,26.6,
"Municipalities",$20215.27,$5586.10,27.6,,$5247.67,93.9,,$338.43,6.1,,$0.00,0.0,
,,,,,,,,,,,,,
"Illinois",$2041737.92,$324369.86,15.9,,$175119.50,54.0,,$63882.82,19.7,,$85367.54,26.3,
"State",$439777.30,$89456.20,20.3,,$18033.76,20.2,,$18265.47,20.4,,$53156.97,59.4,
"Local, total",$1601960.62,$234913.66,14.7,,$157085.74,66.9,,$45617.35,19.4,,$32210.57,13.7,
"Counties",$202648.01,$94169.30,46.5,,$19810.47,21.0,,$42253.50,44.9,,$32105.34,34.1,
"Municipalities",$395449.17,$140744.36,35.6,,$137275.27,97.5,,$3363.86,2.4,,$105.23,0.1,
,,,,,,,,,,,,,
"Indiana",$902664.68,$106156.46,11.8,,$51394.12,48.4,,$18583.05,17.5,,$36179.29,34.1,
"State",$260036.30,$38765.50,14.9,,$7498.69,19.3,,$6398.55,16.5,,$24868.26,64.2,
"Local, total",$642628.38,$67390.96,10.5,,$43895.43,65.1,,$12184.50,18.1,,$11311.03,16.8,
"Counties",$116585.79,$29351.49,25.2,,$10251.48,34.9,,$8847.67,30.1,,$10252.35,34.9,
"Municipalities",$135262.57,$38039.47,28.1,,$33643.95,88.4,,$3336.84,8.8,,$1058.69,2.8,
,,,,,,,,,,,,,
"Iowa",$508651.19,$48575.93,9.5,,$22929.34,47.2,,$11952.04,24.6,,$13694.55,28.2,
"State",$192798.64,$23923.93,12.4,,$3725.77,15.6,,$9245.36,38.6,,$10952.79,45.8,
"Local, total",$315852.55,$24652.00,7.8,,$19203.57,77.9,,$2706.68,11.0,,$2741.76,11.1,
"Counties",$60436.85,$11327.00,18.7,,$6297.32,55.6,,$2331.64,20.6,,$2698.05,23.8,
"Municipalities",$64072.46,$13325.00,20.8,,$12906.25,96.9,,$375.04,2.8,,$43.71,0.3,
,,,,,,,,,,,,,
"Kansas",$457925.60,$52907.93,11.6,,$26993.45,51.0,,$11055.50,20.9,,$14858.98,28.1,
"State",$132936.76,$19118.68,14.4,,$3292.65,17.2,,$6591.91,34.5,,$9234.12,48.3,
"Local, total",$324988.84,$33789.24,10.4,,$23700.80,70.1,,$4463.59,13.2,,$5624.86,16.6,
"Counties",$56178.08,$14536.84,25.9,,$6822.58,46.9,,$2672.75,18.4,,$5041.51,34.7,
"Municipalities",$69855.18,$19252.40,27.6,,$16878.22,87.7,,$1790.84,9.3,,$583.34,3.0,
,,,,,,,,,,,,,
"Kentucky",$584259.66,$63160.01,10.8,,$29981.95,47.5,,$17341.80,27.5,,$15836.27,25.1,
"State",$232828.32,$31042.69,13.3,,$7359.97,23.7,,$14314.87,46.1,,$9367.85,30.2,
"Local, total",$351431.34,$32117.32,9.1,,$22621.98,70.4,,$3026.93,9.4,,$6468.41,20.1,
"Counties",$50925.11,$17081.77,33.5,,$8818.67,51.6,,$2672.61,15.6,,$5590.49,32.7,
"Municipalities",$58372.94,$15035.54,25.8,,$13803.31,91.8,,$354.32,2.4,,$877.92,5.8,
,,,,,,,,,,,,,
"Louisiana",$691281.25,$98985.12,14.3,,$42320.86,42.8,,$20629.83,20.8,,$36034.43,36.4,
"State",$261983.86,$33032.41,12.6,,$4798.76,14.5,,$6828.97,20.7,,$21404.67,64.8,
"Local, total",$429297.39,$65952.72,15.4,,$37522.10,56.9,,$13800.86,20.9,,$14629.76,22.2,
"Parishes",$110546.03,$32580.73,29.5,,$15621.57,47.9,,$9300.61,28.5,,$7658.55,23.5,
"Municipalities",$84892.07,$33371.99,39.3,,$21900.53,65.6,,$4500.25,13.5,,$6971.21,20.9,
,,,,,,,,,,,,,
"Maine",$198887.98,$18478.10,9.3,,$10012.74,54.2,,$3186.84,17.2,,$5278.52,28.6,
"State",$66752.86,$8293.23,12.4,,$1714.53,20.7,,$2575.96,31.1,,$4002.74,48.3,
"Local, total",$132135.13,$10184.88,7.7,,$8298.21,81.5,,$610.88,6.0,,$1275.79,12.5,
"Counties",$4179.27,$3297.86,78.9,,$1519.20,46.1,,$524.53,15.9,,$1254.12,38.0,
"Municipalities",$79693.17,$6887.02,8.6,,$6779.01,98.4,,$86.34,1.3,,$21.67,0.3,
,,,,,,,,,,,,,
"Maryland",$984196.79,$144646.70,14.7,,$70212.00,48.5,,$25157.68,17.4,,$49277.02,34.1,
"State",$325845.90,$64650.31,19.8,,$11036.83,17.1,,$14386.00,22.3,,$39227.48,60.7,
"Local, total",$658350.89,$79996.39,12.2,,$59175.17,74.0,,$10771.67,13.5,,$10049.54,12.6,
"Counties",$533935.18,$55320.86,10.4,,$37472.14,67.7,,$7799.18,14.1,,$10049.54,18.2,
"Municipalities",$118578.79,$24675.53,20.8,,$21703.03,88.0,,$2972.50,12.0,,$0.00,0.0,
,,,,,,,,,,,,,
"Massachusetts",$1173964.50,$183304.73,15.6,,$103066.46,56.2,,$42548.69,23.2,,$37689.57,20.6,
"State",$366406.39,$95495.74,26.1,,$26828.71,28.1,,$41347.67,43.3,,$27319.37,28.6,
"Local, total",$807558.10,$87808.98,10.9,,$76237.76,86.8,,$1201.03,1.4,,$10370.20,11.8,
"Counties",$8189.59,$5914.10,72.2,,$122.33,2.1,,$0.00,0.0,,$5791.77,97.9,
"Municipalities",$684159.68,$81894.89,12.0,,$76115.43,92.9,,$1201.03,1.5,,$4578.43,5.6,
,,,,,,,,,,,,,
"Michigan",$1712502.05,$232169.53,13.6,,$99250.42,42.7,,$44896.59,19.3,,$88022.51,37.9,
"State",$523522.52,$93873.97,17.9,,$13707.60,14.6,,$9668.70,10.3,,$70497.66,75.1,
"Local, total",$1188979.53,$138295.56,11.6,,$85542.82,61.9,,$35227.89,25.5,,$17524.85,12.7,
"Counties",$166319.62,$64059.01,38.5,,$18720.47,29.2,,$28211.93,44.0,,$17126.62,26.7,
"Municipalities",$325138.82,$74236.55,22.8,,$66822.35,90.0,,$7015.96,9.5,,$398.23,0.5,
,,,,,,,,,,,,,
"Minnesota",$932562.03,$98420.66,10.6,,$46161.54,46.9,,$23568.50,23.9,,$28690.63,29.2,
"State",$280519.50,$27801.22,9.9,,$4124.95,14.8,,$10205.46,36.7,,$13470.81,48.5,
"Local, total",$652042.53,$70619.44,10.8,,$42036.59,59.5,,$13363.04,18.9,,$15219.82,21.6,
"Counties",$142270.63,$40598.96,28.5,,$13185.18,32.5,,$12193.97,30.0,,$15219.82,37.5,
"Municipalities",$125407.72,$30020.48,23.9,,$28851.41,96.1,,$1169.07,3.9,,$0.00,0.0,
,,,,,,,,,,,,,
"Mississippi",$437090.27,$41396.92,9.5,,$21088.59,50.9,,$7976.36,19.3,,$12331.97,29.8,
"State",$152292.87,$15541.00,10.2,,$3388.89,21.8,,$3258.85,21.0,,$8893.26,57.2,
"Local, total",$284797.40,$25855.92,9.1,,$17699.70,68.5,,$4717.51,18.2,,$3438.71,13.3,
"Counties",$63062.65,$12262.69,19.4,,$5233.12,42.7,,$3696.70,30.1,,$3332.87,27.2,
"Municipalities",$54171.06,$13593.23,25.1,,$12466.59,91.7,,$1020.81,7.5,,$105.83,0.8,
,,,,,,,,,,,,,
"Missouri",$812852.86,$104946.55,12.9,,$52572.04,50.1,,$22816.06,21.7,,$29558.45,28.2,
"State",$249750.28,$43931.31,17.6,,$7112.09,16.2,,$12280.65,28.0,,$24538.57,55.9,
"Local, total",$563102.58,$61015.24,10.8,,$45459.95,74.5,,$10535.41,17.3,,$5019.88,8.2,
"Counties",$49120.78,$19724.06,40.2,,$9924.45,50.3,,$6019.24,30.5,,$3780.37,19.2,
"Municipalities",$129456.21,$41291.18,31.9,,$35535.50,86.1,,$4516.17,10.9,,$1239.51,3.0,
,,,,,,,,,,,,,
"Montana",$137959.41,$13212.15,9.6,,$6320.67,47.8,,$2937.40,22.2,,$3954.08,29.9,
"State",$54359.52,$4893.66,9.0,,$1202.72,24.6,,$875.21,17.9,,$2815.72,57.5,
"Local, total",$83599.89,$8318.49,10.0,,$5117.95,61.5,,$2062.18,24.8,,$1138.36,13.7,
"Counties",$13896.62,$5117.58,36.8,,$2376.73,46.4,,$1658.40,32.4,,$1082.46,21.2,
"Municipalities",$11574.53,$3200.91,27.7,,$2741.22,85.6,,$403.78,12.6,,$55.91,1.7,
,,,,,,,,,,,,,
"Nebraska",$305326.17,$27765.27,9.1,,$14683.79,52.9,,$5559.32,20.0,,$7522.15,27.1,
"State",$88987.69,$9611.28,10.8,,$2116.23,22.0,,$2449.69,25.5,,$5045.36,52.5,
"Local, total",$216338.48,$18153.98,8.4,,$12567.56,69.2,,$3109.63,17.1,,$2476.79,13.6,
"Counties",$30627.69,$8794.30,28.7,,$3582.24,40.7,,$2735.27,31.1,,$2476.79,28.2,
"Municipalities",$37646.32,$9359.68,24.9,,$8985.33,96.0,,$374.35,4.0,,$0.00,0.0,
,,,,,,,,,,,,,
"Nevada",$316507.94,$64350.44,20.3,,$30027.09,46.7,,$13651.64,21.2,,$20671.71,32.1,
"State",$78404.04,$17327.37,22.1,,$3264.88,18.8,,$2902.99,16.8,,$11159.50,64.4,
"Local, total",$238103.90,$47023.07,19.7,,$26762.21,56.9,,$10748.66,22.9,,$9512.21,20.2,
"Counties",$86939.18,$34699.91,39.9,,$19180.24,55.3,,$8410.93,24.2,,$7108.74,20.5,
"Municipalities",$42010.62,$12323.16,29.3,,$7581.97,61.5,,$2337.72,19.0,,$2403.46,19.5,
,,,,,,,,,,,,,
"New Hampshire",$187449.21,$22091.92,11.8,,$12668.25,57.3,,$3964.70,17.9,,$5458.97,24.7,
"State",$58135.84,$8660.54,14.9,,$1567.26,18.1,,$3102.40,35.8,,$3990.88,46.1,
"Local, total",$129313.37,$13431.38,10.4,,$11100.99,82.6,,$862.30,6.4,,$1468.09,10.9,
"Counties",$8789.39,$2830.85,32.2,,$684.83,24.2,,$677.93,23.9,,$1468.09,51.9,
"Municipalities",$55763.98,$10600.53,19.0,,$10416.16,98.3,,$184.37,1.7,,$0.00,0.0,
,,,,,,,,,,,,,
"New Jersey",$1844228.33,$324887.34,17.6,,$167670.78,51.6,,$89196.66,27.5,,$68019.90,20.9,
"State",$565107.91,$117639.28,20.8,,$19972.82,17.0,,$56939.67,48.4,,$40726.79,34.6,
"Local, total",$1279120.42,$207248.06,16.2,,$147697.95,71.3,,$32257.00,15.6,,$27293.11,13.2,
"Counties",$215771.27,$58787.44,27.2,,$10333.72,17.6,,$21263.27,36.2,,$27190.45,46.3,
"Municipalities",$400078.94,$148460.62,37.1,,$137364.24,92.5,,$10993.73,7.4,,$102.66,0.1,
,,,,,,,,,,,,,
"New Mexico",$311482.15,$40975.71,13.2,,$17002.70,41.5,,$9688.06,23.6,,$14284.94,34.9,
"State",$131721.42,$20980.97,15.9,,$2252.66,10.7,,$8508.48,40.6,,$10219.82,48.7,
"Local, total",$179760.73,$19994.73,11.1,,$14750.04,73.8,,$1179.58,5.9,,$4065.12,20.3,
"Counties",$18173.96,$6366.16,35.0,,$3748.83,58.9,,$250.09,3.9,,$2367.25,37.2,
"Municipalities",$47322.29,$13628.57,28.8,,$11001.21,80.7,,$929.49,6.8,,$1697.87,12.5,
,,,,,,,,,,,,,
"New York",$4583732.45,$851284.12,18.6,,$453238.20,53.2,,$145174.90,17.1,,$252871.02,29.7,
"State",$1009547.82,$264597.62,26.2,,$28673.27,10.8,,$94031.62,35.5,,$141892.73,53.6,
"Local, total",$3574184.63,$586686.51,16.4,,$424564.93,72.4,,$51143.28,8.7,,$110978.30,18.9,
"Counties",$400585.53,$120720.29,30.1,,$65063.01,53.9,,$17053.01,14.1,,$38604.27,32.0,
"Municipalities",$2092699.73,$465966.22,22.3,,$359501.93,77.2,,$34090.26,7.3,,$72374.02,15.5,
,,,,,,,,,,,,,
"North Carolina",$1287980.44,$155040.74,12.0,,$68697.15,44.3,,$23388.36,15.1,,$62955.23,40.6,
"State",$389467.72,$86221.39,22.1,,$12020.12,13.9,,$21177.76,24.6,,$53023.51,61.5,
"Local, total",$898512.73,$68819.36,7.7,,$56677.03,82.4,,$2210.60,3.2,,$9931.73,14.4,
"Counties",$733675.31,$29716.45,4.1,,$17912.91,60.3,,$1871.82,6.3,,$9931.73,33.4,
"Municipalities",$135227.99,$39102.91,28.9,,$38764.12,99.1,,$338.78,0.9,,$0.00,0.0,
,,,,,,,,,,,,,
"North Dakota",$103884.01,$8442.83,8.1,,$4190.89,49.6,,$2343.58,27.8,,$1908.36,22.6,
"State",$43483.83,$3404.12,7.8,,$631.08,18.5,,$1402.26,41.2,,$1370.77,40.3,
"Local, total",$60400.18,$5038.71,8.3,,$3559.81,70.6,,$941.32,18.7,,$537.59,10.7,
"Counties",$8501.77,$2460.91,28.9,,$1104.32,44.9,,$822.74,33.4,,$533.86,21.7,
"Municipalities",$10137.30,$2577.80,25.4,,$2455.49,95.3,,$118.58,4.6,,$3.73,0.1,
,,,,,,,,,,,,,
"Ohio",$1875651.51,$263942.79,14.1,,$118967.42,45.1,,$60676.26,23.0,,$84299.11,31.9,
"State",$457395.34,$83539.81,18.3,,$9548.41,11.4,,$11556.45,13.8,,$62434.95,74.7,
"Local, total",$1418256.17,$180402.98,12.7,,$109419.02,60.7,,$49119.81,27.2,,$21864.15,12.1,
"Counties",$272467.07,$77508.86,28.4,,$21421.74,27.6,,$35688.26,46.0,,$20398.86,26.3,
"Municipalities",$314576.98,$102894.12,32.7,,$87997.28,85.5,,$13431.55,13.1,,$1465.29,1.4,
,,,,,,,,,,,,,
"Oklahoma",$498939.51,$60237.41,12.1,,$29998.10,49.8,,$13064.13,21.7,,$17175.18,28.5,
"State",$182895.01,$30476.31,16.7,,$5737.39,18.8,,$9488.48,31.1,,$15250.44,50.0,
"Local, total",$316044.50,$29761.10,9.4,,$24260.71,81.5,,$3575.65,12.0,,$1924.74,6.5,
"Counties",$36384.51,$7731.75,21.3,,$4059.90,52.5,,$1878.53,24.3,,$1793.32,23.2,
"Municipalities",$82433.58,$22029.35,26.7,,$20200.81,91.7,,$1697.12,7.7,,$131.41,0.6,
,,,,,,,,,,,,,
"Oregon",$579456.73,$80708.22,13.9,,$35136.66,43.5,,$17015.97,21.1,,$28555.59,35.4,
"State",$173842.10,$32113.57,18.5,,$5200.16,16.2,,$10846.80,33.8,,$16066.61,50.0,
"Local, total",$405614.63,$48594.65,12.0,,$29936.50,61.6,,$6169.17,12.7,,$12488.98,25.7,
"Counties",$70409.45,$27028.53,38.4,,$9448.58,35.0,,$5090.97,18.8,,$12488.98,46.2,
"Municipalities",$75811.21,$21566.12,28.4,,$20487.92,95.0,,$1078.20,5.0,,$0.00,0.0,
,,,,,,,,,,,,,
"Pennsylvania",$1788360.51,$265988.49,14.9,,$124585.70,46.8,,$54693.61,20.6,,$86709.18,32.6,
"State",$537955.02,$90077.29,16.7,,$24055.19,26.7,,$14580.79,16.2,,$51441.32,57.1,
"Local, total",$1250405.49,$175911.20,14.1,,$100530.51,57.1,,$40112.82,22.8,,$35267.87,20.0,
"Counties",$149288.35,$61171.21,41.0,,$6923.84,11.3,,$27557.17,45.0,,$26690.21,43.6,
"Municipalities",$257996.49,$114739.98,44.5,,$93606.66,81.6,,$12555.66,10.9,,$8577.66,7.5,
,,,,,,,,,,,,,
"Rhode Island",$206134.93,$26314.02,12.8,,$14000.61,53.2,,$4706.14,17.9,,$7607.26,28.9,
"State",$74294.89,$13457.60,18.1,,$1470.63,10.9,,$4379.71,32.5,,$7607.26,56.5,
"Local, total",$131840.04,$12856.42,9.8,,$12529.98,97.5,,$326.44,2.5,,$0.00,0.0,
"Municipalities",$123757.96,$12856.42,10.4,,$12529.98,97.5,,$326.44,2.5,,$0.00,0.0,
,,,,,,,,,,,,,
"South Carolina",$619197.30,$73213.08,11.8,,$36390.59,49.7,,$9861.35,13.5,,$26961.15,36.8,
"State",$227285.58,$33692.59,14.8,,$9083.88,27.0,,$2850.74,8.5,,$21757.97,64.6,
"Local, total",$391911.73,$39520.49,10.1,,$27306.71,69.1,,$7010.61,17.7,,$5203.18,13.2,
"Counties",$63435.94,$23594.74,37.2,,$12510.51,53.0,,$5998.49,25.4,,$5085.75,21.6,
"Municipalities",$48633.48,$15925.76,32.7,,$14796.20,92.9,,$1012.12,6.4,,$117.44,0.7,
,,,,,,,,,,,,,
"South Dakota",$100035.78,$10250.56,10.2,,$4776.72,46.6,,$2378.93,23.2,,$3094.92,30.2,
"State",$35856.67,$4671.75,13.0,,$904.76,19.4,,$1644.11,35.2,,$2122.88,45.4,
"Local, total",$64179.11,$5578.82,8.7,,$3871.96,69.4,,$734.81,13.2,,$972.04,17.4,
"Counties",$7828.18,$2916.78,37.3,,$1315.85,45.1,,$655.25,22.5,,$945.69,32.4,
"Municipalities",$14657.67,$2662.04,18.2,,$2556.11,96.0,,$79.57,3.0,,$26.36,1.0,
,,,,,,,,,,,,,
"Tennessee",$804325.74,$94566.41,11.8,,$50305.02,53.2,,$17731.41,18.8,,$26529.99,28.1,
"State",$232592.97,$29125.15,12.5,,$5348.69,18.4,,$7952.87,27.3,,$15823.60,54.3,
"Local, total",$571732.76,$65441.26,11.4,,$44956.33,68.7,,$9778.54,14.9,,$10706.39,16.4,
"Counties",$297936.71,$27929.43,9.4,,$11982.61,42.9,,$6795.51,24.3,,$9151.31,32.8,
"Municipalities",$252993.42,$37511.83,14.8,,$32973.73,87.9,,$2983.04,8.0,,$1555.07,4.1,
,,,,,,,,,,,,,
"Texas",$3306228.37,$437798.39,13.2,,$192514.43,44.0,,$77193.66,17.6,,$168090.29,38.4,
"State",$827697.58,$140443.34,17.0,,$12280.31,8.7,,$19813.21,14.1,,$108349.82,77.1,
"Local, total",$2478530.80,$297355.05,12.0,,$180234.12,60.6,,$57380.46,19.3,,$59740.47,20.1,
"Counties",$318618.41,$142280.34,44.7,,$37438.80,26.3,,$45213.54,31.8,,$59628.00,41.9,
"Municipalities",$507930.63,$155074.71,30.5,,$142795.32,92.1,,$12166.92,7.8,,$112.47,0.1,
,,,,,,,,,,,,,
"Utah",$354851.93,$40835.75,11.5,,$17830.51,43.7,,$9562.55,23.4,,$13442.69,32.9,
"State",$149533.79,$17435.08,11.7,,$2673.79,15.3,,$5591.50,32.1,,$9169.79,52.6,
"Local, total",$205318.14,$23400.67,11.4,,$15156.71,64.8,,$3971.06,17.0,,$4272.90,18.3,
"Counties",$30059.28,$12253.62,40.8,,$5547.52,45.3,,$2433.20,19.9,,$4272.90,34.9,
"Municipalities",$42189.59,$11147.05,26.4,,$9609.19,86.2,,$1537.86,13.8,,$0.00,0.0,
,,,,,,,,,,,,,
"Vermont",$104250.05,$9819.86,9.4,,$4390.61,44.7,,$2333.08,23.8,,$3096.17,31.5,
"State",$44603.06,$7350.18,16.5,,$2040.19,27.8,,$2213.82,30.1,,$3096.17,42.1,
"Local, total",$59646.99,$2469.68,4.1,,$2350.42,95.2,,$119.26,4.8,,$0.00,0.0,
"Counties",$211.29,$156.61,74.1,,$64.39,41.1,,$92.22,58.9,,$0.00,0.0,
