"Baltimore, MD","06",$273097.00,$273097.00,$265730.00,$7367.00,$0.00,$230433.00,$230433.00,$223567.00,$6866.00,$0.00,$42664.00,$42664.00,$42163.00,$501.00,$0.00,$0.00,,$0.00,$0.00,$0.00,$0.00,"Baltimore, MD"
"Baton Rouge, LA","12",$109812.00,$109812.00,$98490.00,$11322.00,$0.00,$56461.00,$56461.00,$46138.00,$10323.00,$0.00,$43932.00,$43932.00,$43037.00,$895.00,$0.00,$9419.00,$9419.00,$9315.00,$104.00,$0.00,$0.00,"Baton Rouge, LA"
"Boston, MA","06",$343190.00,$343190.00,$324962.00,$18228.00,$0.00,$251481.00,$251481.00,$235622.00,$15859.00,$0.00,$8262.00,$8262.00,$8053.00,$209.00,$0.00,$83447.00,$83447.00,$81287.00,$2160.00,$0.00,$0.00,"Boston, MA"
,,,,,,,,,,,,,,,,,,,,,,,
"Buffalo, NY","06",$75849.00,$75849.00,$72897.00,$2952.00,$0.00,$73488.00,$73488.00,$70538.00,$2950.00,$0.00,$2361.00,$2361.00,$2359.00,$2.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"Buffalo, NY"
"Charlotte, NC","06",$128068.00,$128068.00,$115637.00,$12431.00,$0.00,$126766.00,$126766.00,$114336.00,$12430.00,$0.00,$1302.00,$1302.00,$1301.00,$1.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"Charlotte, NC"
"Chicago, IL","12",$1096428.00,$1096428.00,$1070395.00,$26033.00,$0.00,$1064101.00,$1064101.00,$1038089.00,$26012.00,$0.00,$32327.00,$32327.00,$32306.00,$21.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"Chicago, IL"
"Cincinnati, OH","12",$87819.00,$87819.00,$86186.00,$1633.00,$0.00,$82980.00,$82980.00,$81572.00,$1408.00,$0.00,$4839.00,$4839.00,$4614.00,$225.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"Cincinnati, OH"
"Cleveland, OH","12",$222067.00,$221682.00,$207351.00,$14331.00,$385.00,$178972.00,$178972.00,$164894.00,$14078.00,$0.00,$37309.00,$37309.00,$37062.00,$247.00,$0.00,$5786.00,$5401.00,$5395.00,$6.00,$0.00,$385.00,"Cleveland, OH"
"Columbus, OH","12",$224098.00,$214665.00,$206577.00,$8088.00,$9433.00,$183283.00,$183283.00,$175444.00,$7839.00,$0.00,$29225.00,$29225.00,$28988.00,$237.00,$0.00,$11590.00,$2157.00,$2145.00,$12.00,$0.00,$9433.00,"Columbus, OH"
,,,,,,,,,,,,,,,,,,,,,,,
"Dallas, TX","09",$232359.00,$226802.00,$226479.00,$323.00,$5557.00,$207520.00,$207520.00,$207479.00,$41.00,$0.00,$19282.00,$19282.00,$19000.00,$282.00,$0.00,$5557.00,$0.00,$0.00,$0.00,$0.00,$5557.00,"Dallas, TX"
"Denver, CO","12",$251357.00,$251357.00,$251357.00,$0.00,$0.00,$138991.00,$138991.00,$138991.00,$0.00,$0.00,$52799.00,$52799.00,$52799.00,$0.00,$0.00,$59567.00,$59567.00,$59567.00,$0.00,$0.00,$0.00,"Denver, CO"
"Detroit, MI","06",$428294.00,$427328.00,$405457.00,$21871.00,$966.00,$358522.00,$358522.00,$337231.00,$21291.00,$0.00,$68806.00,$68806.00,$68226.00,$580.00,$0.00,$966.00,$0.00,$0.00,$0.00,$0.00,$966.00,"Detroit, MI"
"El Paso, TX","08",$83805.00,$83805.00,$82287.00,$1518.00,$0.00,$76749.00,$76749.00,$75231.00,$1518.00,$0.00,$7056.00,$7056.00,$7056.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"El Paso, TX"
"Fort Worth, TX","09",$122238.00,$122238.00,$119063.00,$3175.00,$0.00,$111343.00,$111343.00,$108284.00,$3059.00,$0.00,$10895.00,$10895.00,$10779.00,$116.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"Fort Worth, TX"
"Honolulu, HI","06",$181701.00,$181701.00,$165718.00,$15983.00,$0.00,$162980.00,$162980.00,$147092.00,$15888.00,$0.00,$18721.00,$18721.00,$18626.00,$95.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"Honolulu, HI"
,,,,,,,,,,,,,,,,,,,,,,,
"Houston, TX","06",$466883.00,$466883.00,$449477.00,$17406.00,$0.00,$421915.00,$421915.00,$404649.00,$17266.00,$0.00,$31092.00,$31092.00,$30952.00,$140.00,$0.00,$13876.00,$13876.00,$13876.00,$0.00,$0.00,$0.00,"Houston, TX"
"Indianapolis, IN","12",$206380.00,$201080.00,$195771.00,$5309.00,$5300.00,$123124.00,$123124.00,$119654.00,$3470.00,$0.00,$43830.00,$43830.00,$43098.00,$732.00,$0.00,$39426.00,$34126.00,$33019.00,$1107.00,$883.00,$5300.00,"Indianapolis, IN"
"Jacksonville, FL","09",$211445.00,$211445.00,$208439.00,$3006.00,$0.00,$142106.00,$142106.00,$139611.00,$2495.00,$0.00,$23175.00,$23175.00,$22664.00,$511.00,$0.00,$46164.00,$46164.00,$46164.00,$0.00,$0.00,$0.00,"Jacksonville, FL"
"Kansas City, MO","04",$150695.00,$150695.00,$149735.00,$960.00,$0.00,$142811.00,$142811.00,$141851.00,$960.00,$0.00,$7884.00,$7884.00,$7884.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"Kansas City, MO"
"Long Beach, CA","06",$135161.00,$135161.00,$135161.00,$0.00,$0.00,$126143.00,$126143.00,$126143.00,$0.00,$0.00,$9018.00,$9018.00,$9018.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"Long Beach, CA"
"Los Angeles, CA","06",$1034039.00,$1033087.00,$1005965.00,$27122.00,$952.00,$955713.00,$955713.00,$929117.00,$26596.00,$0.00,$76264.00,$76264.00,$75738.00,$526.00,$0.00,$2062.00,$1110.00,$1110.00,$0.00,$0.00,$952.00,"Los Angeles, CA"
,,,,,,,,,,,,,,,,,,,,,,,
"Memphis, TN","06",$192567.00,$192567.00,$149974.00,$42593.00,$0.00,$186443.00,$186443.00,$143866.00,$42577.00,$0.00,$6124.00,$6124.00,$6108.00,$16.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"Memphis, TN"
"Miami, FL","09",$107988.00,$107988.00,$94055.00,$13933.00,$0.00,$107988.00,$107988.00,$94055.00,$13933.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"Miami, FL"
"Milwaukee, WI","12",$170303.00,$170303.00,$168671.00,$1632.00,$0.00,$159328.00,$159328.00,$157769.00,$1559.00,$0.00,$10975.00,$10975.00,$10902.00,$73.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"Milwaukee, WI"
"Minneapolis, MN","12",$104248.00,$104248.00,$104223.00,$25.00,$0.00,$94922.00,$94922.00,$94897.00,$25.00,$0.00,$8630.00,$8630.00,$8630.00,$0.00,$0.00,$696.00,$696.00,$696.00,$0.00,$0.00,$0.00,"Minneapolis, MN"
"Nashville, TN","06",$188249.00,$188249.00,$187236.00,$1013.00,$0.00,$104738.00,$104738.00,$103725.00,$1013.00,$0.00,$40035.00,$40035.00,$40035.00,$0.00,$0.00,$43476.00,$43476.00,$43476.00,$0.00,$0.00,$0.00,"Nashville, TN"
"Newark, NJ","12",$117704.00,$117704.00,$117651.00,$53.00,$0.00,$110440.00,$110440.00,$110387.00,$53.00,$0.00,$7264.00,$7264.00,$7264.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"Newark, NJ"
,,,,,,,,,,,,,,,,,,,,,,,
"New Orleans, LA","12",$164875.00,$164875.00,$163778.00,$1097.00,$0.00,$111029.00,$111029.00,$110112.00,$917.00,$0.00,$28256.00,$28256.00,$28094.00,$162.00,$0.00,$25590.00,$25590.00,$25572.00,$18.00,$18.00,$0.00,"New Orleans, LA"
"New York, NY","06",$5201889.00,$5147163.00,$4925989.00,$221174.00,$54726.00,$3436461.00,$3436461.00,$3315585.00,$120876.00,$0.00,$452517.00,$452517.00,$450457.00,$2060.00,$0.00,$1312911.00,$1258185.00,$1159947.00,$98238.00,$90789.00,$54726.00,"New York, NY"
"Oakland, CA","06",$152247.00,$152247.00,$152127.00,$120.00,$0.00,$145518.00,$145518.00,$145416.00,$102.00,$0.00,$6729.00,$6729.00,$6711.00,$18.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"Oakland, CA"
"Oklahoma City, OK","06",$114267.00,$114267.00,$108702.00,$5565.00,$0.00,$103761.00,$103761.00,$98284.00,$5477.00,$0.00,$10506.00,$10506.00,$10418.00,$88.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"Oklahoma City, OK"
"Omaha, NE","07",$72063.00,$67763.00,$66463.00,$1300.00,$4300.00,$64924.00,$64924.00,$63641.00,$1283.00,$0.00,$2839.00,$2839.00,$2822.00,$17.00,$0.00,$4300.00,$0.00,$0.00,$0.00,$0.00,$4300.00,"Omaha, NE"
"Philadelphia, PA","06",$1018186.00,$1018186.00,$997164.00,$21022.00,$0.00,$483267.00,$483267.00,$478276.00,$4991.00,$0.00,$231555.00,$231555.00,$229750.00,$1805.00,$0.00,$303364.00,$303364.00,$289138.00,$14226.00,$12574.00,$0.00,"Philadelphia, PA"
,,,,,,,,,,,,,,,,,,,,,,,
"Phoenix, AZ","06",$309107.00,$302398.00,$296071.00,$6327.00,$6709.00,$261908.00,$261908.00,$255947.00,$5961.00,$0.00,$40490.00,$40490.00,$40124.00,$366.00,$0.00,$6709.00,$0.00,$0.00,$0.00,$0.00,$6709.00,"Phoenix, AZ"
"Pittsburgh, PA","12",$73459.00,$73459.00,$73459.00,$0.00,$0.00,$66137.00,$66137.00,$66137.00,$0.00,$0.00,$7322.00,$7322.00,$7322.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"Pittsburgh, PA"
"Portland, OR","06",$105117.00,$105117.00,$104868.00,$249.00,$0.00,$100506.00,$100506.00,$100257.00,$249.00,$0.00,$4611.00,$4611.00,$4611.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"Portland, OR"
"St.Louis, MO","04",$196046.00,$196046.00,$192567.00,$3479.00,$0.00,$126060.00,$126060.00,$122581.00,$3479.00,$0.00,$38448.00,$38448.00,$38448.00,$0.00,$0.00,$31538.00,$31538.00,$31538.00,$0.00,$0.00,$0.00,"St.Louis, MO"
"San Antonio, TX","09",$197705.00,$197052.00,$187652.00,$9400.00,$653.00,$184879.00,$184879.00,$175699.00,$9180.00,$0.00,$12161.00,$12161.00,$11953.00,$208.00,$0.00,$665.00,$12.00,$0.00,$12.00,$0.00,$653.00,"San Antonio, TX"
"San Diego, CA","06",$309570.00,$309570.00,$297821.00,$11749.00,$0.00,$275825.00,$275825.00,$265023.00,$10802.00,$0.00,$24509.00,$24509.00,$23562.00,$947.00,$0.00,$9236.00,$9236.00,$9236.00,$0.00,$0.00,$0.00,"San Diego, CA"
,,,,,,,,,,,,,,,,,,,,,,,
"San Francisco, CA","06",$625956.00,$602665.00,$596134.00,$6531.00,$23291.00,$355425.00,$355425.00,$351159.00,$4266.00,$0.00,$169899.00,$146608.00,$145380.00,$1228.00,$23291.00,$100632.00,$100632.00,$99595.00,$1037.00,$607.00,$0.00,"San Francisco, CA"
"San Jose, CA","06",$185584.00,$183052.00,$179901.00,$3151.00,$2532.00,$177826.00,$175294.00,$172143.00,$3151.00,$2532.00,$7758.00,$7758.00,$7758.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"San Jose, CA"
"Seattle, WA","12",$198936.00,$182059.00,$178660.00,$3399.00,$16877.00,$150713.00,$150713.00,$147867.00,$2846.00,$0.00,$34792.00,$28863.00,$28420.00,$443.00,$5929.00,$13431.00,$2483.00,$2373.00,$110.00,$0.00,$10948.00,"Seattle, WA"
"Toledo, OH","12",$89090.00,$80255.00,$80054.00,$201.00,$8835.00,$68216.00,$66876.00,$66731.00,$145.00,$1340.00,$12124.00,$12124.00,$12068.00,$56.00,$0.00,$8750.00,$1255.00,$1255.00,$0.00,$0.00,$7495.00,"Toledo, OH"
"Tucson, AZ","06",$114381.00,$114381.00,$108231.00,$6150.00,$0.00,$99240.00,$99240.00,$93090.00,$6150.00,$0.00,$15141.00,$15141.00,$15141.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"Tucson, AZ"
"Tulsa, OK","06",$92141.00,$92141.00,$86885.00,$5256.00,$0.00,$87502.00,$87502.00,$82291.00,$5211.00,$0.00,$4639.00,$4639.00,$4594.00,$45.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"Tulsa, OK"
"Washington, DC","09",$669558.00,$669558.00,$660186.00,$9372.00,$0.00,$351754.00,$351754.00,$344078.00,$7676.00,$0.00,$50479.00,$50479.00,$50479.00,$0.00,$0.00,$267325.00,$267325.00,$265629.00,$1696.00,$1696.00,$0.00,"Washington, DC"
,,,,,,,,,,,,,,,,,,,,,,,
"Notes:  Fiscal years end in months between July 1998 and June 1999, except for Washington DC, whose fiscal year ended on September 30, 1998.  ",,,,,,,,,,,,,,,,,,,,,,,
