"Georgia",22435,21488,22015,$55240.22,$2512.26,,2197,2147,2181,$6459.64,$2974.39,,1275,1177,1226,$5872.36,$4845.83,,18963,18164,18608,$42908.22,$2306.42,"Georgia"
,,,,,,,,,,,,,,,,,,,,,,,,
"Hawaii",4572,4488,4516,$12321.66,$2721.40,,"-","-","-","-","-",,2275,2210,2227,$6748.00,$3020.39,,2297,2278,2289,$5573.66,$2431.34,"Hawaii"
"Idaho",2620,2484,2550,$8147.20,$3227.37,,498,462,474,$1905.63,$4038.57,,461,443,449,$1919.55,$4304.35,,1661,1579,1627,$4322.02,$2687.86,"Idaho"
"Illinois",22790,22636,22701,$83657.09,$3682.50,,3905,3903,3904,$15737.88,$4032.01,,3111,2982,3036,$16357.92,$5405.17,,15774,15751,15761,$51561.29,$3269.75,"Illinois"
"Indiana",9288,9195,9220,$26385.65,$2860.80,,2043,2038,2041,$6152.35,$3016.95,,1256,1179,1195,$5739.45,$4822.90,,5989,5978,5984,$14493.85,$2420.59,"Indiana"
"Iowa",6689,6251,6510,$21091.18,$3267.70,,1011,959,979,$3335.02,$3438.01,,2496,2271,2408,$8418.92,$3562.68,,3182,3021,3123,$9337.24,$2991.89,"Iowa"
,,,,,,,,,,,,,,,,,,,,,,,,
"Kansas",6741,6488,6597,$17468.25,$2664.87,,998,975,984,$2729.39,$2784.21,,2203,1994,2080,$5868.37,$2874.72,,3540,3519,3533,$8870.50,$2512.88,"Kansas"
"Kentucky",10237,9359,9986,$26225.33,$2676.71,,2104,2071,2098,$6349.31,$3040.06,,4597,3800,4369,$11863.58,$2846.01,,3536,3488,3519,$8012.44,$2276.51,"Kentucky"
"Louisiana",9676,9495,9562,$21331.04,$2238.13,,1111,1102,1105,$2566.48,$2324.75,,1722,1642,1668,$5728.99,$3464.05,,6843,6751,6789,$13035.57,$1925.81,"Louisiana"
"Maine",2180,2122,2170,$6152.42,$2871.58,,362,362,362,$1238.71,$3421.85,,630,585,609,$1985.54,$3313.56,,1188,1175,1199,$2928.18,$2482.00,"Maine"
"Maryland",17989,16565,17791,$55540.97,$3196.84,,2436,2405,2427,$9305.67,$3845.45,,4025,3467,3922,$12246.14,$3242.31,,11528,10693,11442,$33989.16,$3036.22,"Maryland"
,,,,,,,,,,,,,,,,,,,,,,,,
"Massachusetts",18369,18039,18234,$63285.74,$3476.17,,4707,4681,4695,$17964.49,$3829.06,,6721,6492,6630,$21825.29,$3298.45,,6941,6866,6909,$23495.96,$3403.63,"Massachusetts"
"Michigan",23163,22735,22940,$83980.58,$3665.97,,3243,3078,3155,$12849.39,$4124.62,,2027,1991,2001,$8139.65,$4070.46,,17893,17666,17784,$62991.54,$3540.47,"Michigan"
"Minnesota",6722,6182,6615,$24636.41,$3755.89,,903,876,892,$3710.45,$4194.96,,2151,1770,2091,$8689.81,$4270.10,,3668,3536,3632,$12236.15,$3389.71,"Minnesota"
"Mississippi",5721,5694,5711,$12933.46,$2266.41,,1167,1167,1167,$3065.61,$2626.91,,476,476,476,$2254.16,$4735.62,,4078,4051,4068,$7613.69,$1872.42,"Mississippi"
"Missouri",17757,16809,17279,$40244.12,$2339.19,,2359,2344,2353,$6664.36,$2838.24,,3593,3210,3465,$10272.45,$3055.18,,11805,11255,11461,$23307.31,$2031.05,"Missouri"
,,,,,,,,,,,,,,,,,,,,,,,,
"Montana",1675,1487,1592,$4268.01,$2680.80,,415,392,405,$1085.15,$2698.35,,229,159,190,$797.70,$4158.39,,1031,936,997,$2385.16,$2422.45,"Montana"
"Nebraska",3374,3225,3298,$8438.12,$2575.00,,682,656,670,$1734.23,$2594.45,,728,663,691,$2206.25,$3264.73,,1964,1906,1937,$4497.64,$2328.38,"Nebraska"
"Nevada",4430,4320,4377,$15099.05,$3449.43,,713,712,713,$2421.47,$3399.60,,541,522,530,$2414.75,$4571.50,,3176,3086,3134,$10262.83,$3271.13,"Nevada"
"New Hampshire",2545,2468,2508,$7569.44,$3036.46,,440,422,431,$1520.86,$3568.00,,904,899,902,$2825.43,$3139.82,,1201,1147,1175,$3223.14,$2759.87,"New Hampshire"
"New Jersey",26428,26197,26348,$104259.26,$3968.92,,3758,3739,3754,$18234.72,$4870.15,,13283,13096,13210,$48847.48,$3712.90,,9387,9362,9384,$37177.06,$3967.11,"New Jersey"
,,,,,,,,,,,,,,,,,,,,,,,,
"New Mexico",7304,7138,7235,$19502.72,$2705.84,,633,633,633,$2154.26,$3403.26,,2497,2384,2441,$6968.85,$2873.03,,4174,4121,4161,$10379.61,$2501.99,"New Mexico"
"New York",59435,58124,58828,$233239.93,$3971.04,,5779,5591,5700,$24307.65,$4313.35,,18084,17495,17813,$83266.98,$4694.61,,35572,35038,35315,$125665.30,$3555.13,"New York"
"North Carolina",28720,28300,28444,$80517.22,$2827.39,,3391,3353,3365,$11164.82,$3314.31,,6111,5860,5958,$19295.81,$3230.72,,19218,19087,19121,$50056.59,$2618.03,"North Carolina"
"North Dakota",1221,1127,1164,$3080.25,$2684.25,,223,220,223,$608.93,$2746.56,,429,381,396,$1299.68,$3349.06,,569,526,545,$1171.64,$2176.64,"North Dakota"
"Ohio",23395,22839,23214,$75037.14,$3236.22,,2597,2583,2593,$9361.87,$3618.21,,2870,2419,2727,$9936.70,$3707.45,,17928,17837,17894,$55738.57,$3116.99,"Ohio"
,,,,,,,,,,,,,,,,,,,,,,,,
"Oklahoma",10635,10034,10284,$26844.88,$2617.27,,1814,1753,1771,$4806.32,$2716.08,,2597,2357,2468,$8071.93,$3317.91,,6224,5924,6045,$13966.63,$2309.25,"Oklahoma"
"Oregon",8802,8110,8650,$27008.78,$3168.57,,1449,1273,1372,$4699.25,$3468.13,,2953,2697,2948,$9076.54,$3113.69,,4400,4140,4330,$13232.99,$3112.20,"Oregon"
"Pennsylvania",22891,22397,22809,$79083.92,$3491.02,,5484,5317,5457,$21329.23,$3967.70,,2569,2514,2546,$12519.53,$4929.14,,14838,14566,14806,$45235.16,$3068.81,"Pennsylvania"
"Rhode Island",3205,3168,3181,$12549.06,$3947.06,,275,274,274,$1234.95,$4506.23,,1132,1096,1109,$3993.07,$3602.67,,1798,1798,1798,$7321.04,$4071.77,"Rhode Island"
"South Carolina",12838,12806,12819,$29432.56,$2295.72,,3197,3186,3189,$7644.06,$2396.02,,691,681,686,$2542.30,$3720.21,,8950,8939,8944,$19246.21,$2151.45,"South Carolina"
,,,,,,,,,,,,,,,,,,,,,,,,
"South Dakota",1723,1580,1644,$3999.32,$2457.93,,276,268,272,$737.44,$2726.47,,558,473,509,$1485.80,$2991.90,,889,839,863,$1776.07,$2071.12,"South Dakota"
"Tennessee",10282,10121,10193,$26302.64,$2578.28,,1892,1885,1888,$5206.36,$2760.46,,2012,1959,1977,$7397.42,$3744.95,,6378,6277,6328,$13698.86,$2159.46,"Tennessee"
"Texas",55476,55137,55312,$128550.70,$2325.15,,3605,3573,3587,$10667.73,$2978.59,,5010,4922,4973,$18328.42,$3697.27,,46861,46642,46752,$99554.54,$2130.30,"Texas"
"Utah",5550,4946,5218,$14799.02,$2887.00,,787,744,762,$2378.28,$3149.90,,1684,1493,1582,$5005.17,$3218.26,,3079,2709,2874,$7415.57,$2632.24,"Utah"
"Vermont",2099,1942,2038,$6456.42,$3226.67,,570,495,537,$1967.13,$3869.77,,599,539,580,$1850.07,$3243.49,,930,908,921,$2639.22,$2866.09,"Vermont"
,,,,,,,,,,,,,,,,,,,,,,,,
"Virginia",22122,20913,21395,$55690.40,$2610.43,,2636,2488,2548,$8761.42,$3478.02,,3558,3105,3270,$10810.85,$3348.60,,15928,15320,15577,$36118.13,$2319.92,"Virginia"
"Washington",12162,9979,11346,$38645.92,$3540.67,,2163,2163,2163,$7863.06,$3635.25,,1794,1595,1680,$7125.81,$4297.48,,8205,6221,7503,$23657.05,$3313.74,"Washington"
"West Virginia",3354,3303,3324,$8054.31,$2424.65,,1021,1011,1015,$2649.49,$2616.00,,1144,1106,1123,$3001.27,$2679.13,,1189,1186,1186,$2403.55,$2024.23,"West Virginia"
"Wisconsin",11183,10032,10705,$34702.89,$3254.66,,872,841,856,$2732.30,$3209.87,,2117,1799,1980,$9715.82,$5010.32,,8194,7392,7869,$22254.76,$2832.48,"Wisconsin"
"Wyoming",1352,1305,1331,$3389.19,$2546.86,,183,183,183,$545.01,$2978.20,,422,380,403,$1228.82,$3077.68,,747,742,745,$1615.36,$2168.63,"Wyoming"
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Note: These data are based on a summation of responses from individual state agencies. Some agency data may be for a prior reporting period.",,,,,,,,,,,,,,,,,,,,,,,,
