"Local, total",14790,11889,10949,6312,42.7,,$30273.38,4255,3029,3458,23.4,,$7248.72
"Parishes",6548,4855,4635,4701,71.8,,$11431.84,2209,1691,1847,28.2,,$4189.73
"Municipalities",8242,7034,6314,1611,19.5,,$18841.54,2046,1338,1611,19.5,,$3059.00
,,,,,,,,,,,,,
"Maine",3377,2928,2254,1311,38.8,"%",$8014.91,1162,723,892,26.4,,$1997.83
"State",516,330,330,330,64.0,,$1289.54,186,186,186,36.0,,$424.98
"Local, total",2861,2598,1924,981,34.3,,$6725.37,976,537,706,24.7,,$1572.85
"Counties",581,483,394,428,73.7,,$1175.99,180,141,153,26.3,,$343.21
"Municipalities",2280,2115,1530,553,24.3,,$5549.37,796,396,553,24.3,,$1229.64
,,,,,,,,,,,,,
"Maryland",16892,12884,12587,9234,54.7,"%",$55496.33,4892,3661,4163,24.6,,$14715.67
"State",2406,1616,1616,1616,67.2,,$8079.40,799,766,790,32.8,,$2957.43
"Local, total",14486,11268,10971,7618,52.6,,$47416.93,4093,2895,3373,23.3,,$11758.24
"Counties",8597,6532,6305,6421,74.7,,$29367.06,2597,1936,2176,25.3,,$8105.08
"Municipalities",5889,4736,4666,1197,20.3,,$18049.87,1496,959,1197,20.3,,$3653.16
,,,,,,,,,,,,,
"Massachusetts",24466,21765,19438,8853,36.2,"%",$91454.15,5794,3461,4260,17.4,,$11612.32
"State",5701,5164,5140,5146,90.3,,$24649.25,561,552,555,9.7,,$2179.45
"Local, total",18765,16601,14298,3707,19.8,,$66804.89,5233,2909,3705,19.7,,$9432.87
"Counties",46,29,20,24,52.2,,$62.71,22,22,22,47.8,,$59.62
"Municipalities",18719,16572,14278,3683,19.7,,$66742.18,5211,2887,3683,19.7,,$9373.25
,,,,,,,,,,,,,
"Michigan",26140,20821,19873,9754,37.3,"%",$82958.51,7118,4652,5851,22.4,,$16291.91
"State",3277,2178,2178,2178,66.5,,$9684.62,1172,1030,1099,33.5,,$4022.98
"Local, total",22863,18643,17695,7576,33.1,,$73273.89,5946,3622,4752,20.8,,$12268.93
"Counties",5384,4159,4023,4104,76.2,,$15155.55,1410,1128,1280,23.8,,$3564.92
"Municipalities",17479,14484,13672,3472,19.9,,$58118.34,4536,2494,3472,19.9,,$8704.01
,,,,,,,,,,,,,
"Minnesota",11164,8368,7733,4305,38.6,"%",$36051.32,3583,2829,3168,28.4,,$10110.22
"State",942,545,545,545,57.9,,$2763.26,407,381,397,42.1,,$1361.69
"Local, total",10222,7823,7188,3760,36.8,,$33288.06,3176,2448,2771,27.1,,$8748.53
"Counties",3629,2408,2215,2309,63.6,,$9175.67,1478,1185,1320,36.4,,$4009.51
"Municipalities",6593,5415,4973,1451,22.0,,$24112.40,1698,1263,1451,22.0,,$4739.02
,,,,,,,,,,,,,
"Mississippi",8771,6738,5905,3534,40.3,"%",$15731.62,3096,2385,2617,29.8,,$5356.97
"State",1286,733,733,733,57.0,,$2085.68,553,553,553,43.0,,$1303.21
"Local, total",7485,6005,5172,2801,37.4,,$13645.95,2543,1832,2064,27.6,,$4053.76
"Counties",2467,1790,1541,1602,64.9,,$3710.92,1001,778,865,35.1,,$1522.20
"Municipalities",5018,4215,3631,1199,23.9,,$9935.03,1542,1054,1199,23.9,,$2531.56
,,,,,,,,,,,,,
"Missouri",17371,13197,12264,6742,38.8,"%",$40662.10,5657,4663,4992,28.7,,$11909.94
"State",2390,1219,1219,1219,51.0,,$4316.18,1180,1155,1171,49.0,,$2795.91
"Local, total",14981,11978,11045,5523,36.9,,$36345.92,4477,3508,3821,25.5,,$9114.03
"Counties",3942,2830,2801,2822,71.6,,$7652.52,1490,972,1120,28.4,,$2271.94
"Municipalities",11039,9148,8244,2701,24.5,,$28693.41,2987,2536,2701,24.5,,$6842.09
,,,,,,,,,,,,,
"Montana",2265,1577,1504,1031,45.5,"%",$4675.89,852,669,732,32.3,,$1644.78
"State",404,192,188,190,47.0,,$576.28,240,198,214,53.0,,$626.44
"Local, total",1861,1385,1316,841,45.2,,$4099.61,612,471,518,27.8,,$1018.34
"Counties",919,655,606,621,67.6,,$1828.27,369,262,298,32.4,,$548.45
"Municipalities",942,730,710,220,23.4,,$2271.33,243,209,220,23.4,,$469.89
,,,,,,,,,,,,,
"Nebraska",4595,3495,3363,1901,41.4,"%",$11853.29,1304,1079,1174,25.5,,$2830.50
"State",687,474,474,474,69.0,,$1573.72,216,209,213,31.0,,$542.51
"Local, total",3908,3021,2889,1427,36.5,,$10279.57,1088,870,961,24.6,,$2287.99
"Counties",1324,909,879,895,67.6,,$2565.03,502,394,429,32.4,,$1017.21
"Municipalities",2584,2112,2010,532,20.6,,$7714.54,586,476,532,20.6,,$1270.79
,,,,,,,,,,,,,
"Nevada",6632,4058,4030,3380,51.0,"%",$20494.00,3064,2340,2595,39.1,,$9533.09
"State",745,379,379,379,50.9,,$1836.76,366,366,366,49.1,,$1428.12
"Local, total",5887,3679,3651,3001,51.0,,$18657.23,2698,1974,2229,37.9,,$8104.98
"Counties",4244,2529,2501,2508,59.1,,$12733.21,2079,1582,1736,40.9,,$6447.03
"Municipalities",1643,1150,1150,493,30.0,,$5924.03,619,392,493,30.0,,$1657.95
,,,,,,,,,,,,,
"New Hampshire",3869,4252,2854,1046,27.0,"%",$10740.36,1065,651,769,19.9,,$1927.89
"State",432,307,307,307,71.1,,$1215.80,130,120,125,28.9,,$351.47
"Local, total",3437,3945,2547,739,21.5,,$9524.57,935,531,644,18.7,,$1576.42
"Counties",239,186,147,167,69.9,,$504.97,104,60,72,30.1,,$179.86
"Municipalities",3198,3759,2400,572,17.9,,$9019.60,831,471,572,17.9,,$1396.56
,,,,,,,,,,,,,
"New Jersey",34971,26364,25167,9346,26.7,"%",$134961.78,13876,6773,9339,26.7,,$32709.00
"State",3910,1384,1350,1380,35.3,,$4207.54,2530,2530,2530,64.7,,$15765.28
"Local, total",31061,24980,23817,7966,25.6,,$130754.24,11346,4243,6809,21.9,,$16943.72
"Counties",2531,1854,1842,1844,72.9,,$8055.57,798,648,687,27.1,,$2278.15
"Municipalities",28530,23126,21975,6122,21.5,,$122698.66,10548,3595,6122,21.5,,$14665.57
,,,,,,,,,,,,,
"New Mexico",5642,4130,3981,2613,46.3,"%",$13257.59,1790,1374,1594,28.3,,$3745.11
"State",633,462,462,462,73.0,,$1641.67,171,171,171,27.0,,$610.99
"Local, total",5009,3668,3519,2151,42.9,,$11615.92,1619,1203,1423,28.4,,$3134.12
"Counties",1384,1078,1047,1056,76.3,,$3038.61,357,296,328,23.7,,$710.22
"Municipalities",3625,2590,2472,1095,30.2,,$8577.31,1262,907,1095,30.2,,$2423.90
,,,,,,,,,,,,,
"New York",86454,79055,71387,21905,25.3,"%",$407156.03,15689,10015,12152,14.1,,$46082.18
"State",5976,4201,4201,4201,70.3,,$23177.52,1823,1649,1775,29.7,,$5495.75
"Local, total",80478,74854,67186,17704,22.0,,$383978.51,13866,8366,10377,12.9,,$40586.43
"Counties",12761,10293,9926,10044,78.7,,$56045.82,3434,2141,2717,21.3,,$9017.19
"Municipalities",67717,64561,57260,7660,11.3,,$327932.69,10432,6225,7660,11.3,,$31569.24
,,,,,,,,,,,,,
"North Carolina",23397,18965,18193,10303,44.0,"%",$56143.42,5485,4626,4900,20.9,,$12553.72
"State",3346,2310,2310,2310,69.0,,$8931.62,1037,1033,1036,31.0,,$3088.50
"Local, total",20051,16655,15883,7993,39.9,,$47211.80,4448,3593,3864,19.3,,$9465.23
"Counties",7005,5756,5441,5567,79.5,,$14712.19,1660,1349,1438,20.5,,$3200.72
"Municipalities",13046,10899,10442,2426,18.6,,$32499.62,2788,2244,2426,18.6,,$6264.51
,,,,,,,,,,,,,
"North Dakota",1500,1206,1148,642,42.8,"%",$3467.35,352,318,334,22.3,,$723.54
"State",225,130,130,130,57.8,,$404.12,96,94,95,42.2,,$226.96
"Local, total",1275,1076,1018,512,40.2,,$3063.23,256,224,239,18.7,,$496.58
"Counties",471,400,365,372,79.0,,$939.18,106,91,99,21.0,,$165.14
"Municipalities",804,676,653,140,17.4,,$2124.05,150,133,140,17.4,,$331.44
,,,,,,,,,,,,,
"Ohio",34102,28101,25102,10928,32.0,"%",$97476.20,9758,7136,8019,23.5,,$21491.22
"State",2701,1453,1453,1453,53.8,,$6058.32,1252,1240,1248,46.2,,$3490.09
"Local, total",31401,26648,23649,9475,30.2,,$91417.88,8506,5896,6771,21.6,,$18001.14
"Counties",7416,5212,4976,5060,68.2,,$15051.28,2457,2270,2356,31.8,,$6370.46
"Municipalities",23985,21436,18673,4415,18.4,,$76366.60,6049,3626,4415,18.4,,$11630.67
,,,,,,,,,,,,,
"Oklahoma",11037,8264,7744,3839,34.8,"%",$23797.34,3320,2848,3019,27.4,,$6200.77
"State",1819,1006,1006,1006,55.3,,$3626.22,847,788,813,44.7,,$2111.17
"Local, total",9218,7258,6738,2833,30.7,,$20171.11,2473,2060,2206,23.9,,$4089.60
"Counties",2217,1528,1284,1422,64.1,,$2742.15,899,734,795,35.9,,$1317.75
"Municipalities",7001,5730,5454,1411,20.2,,$17428.96,1574,1326,1411,20.2,,$2771.85
,,,,,,,,,,,,,
"Oregon",8704,6364,6126,3690,42.4,"%",$27209.87,2682,2303,2474,28.4,,$7926.79
"State",1432,899,843,897,62.6,,$3524.69,625,489,535,37.4,,$1675.47
"Local, total",7272,5465,5283,2793,38.4,,$23685.18,2057,1814,1939,26.7,,$6251.32
"Counties",2542,1753,1673,1698,66.8,,$6833.73,891,793,844,33.2,,$2614.86
"Municipalities",4730,3712,3610,1095,23.2,,$16851.46,1166,1021,1095,23.2,,$3636.46
,,,,,,,,,,,,,
"Pennsylvania",31938,28292,24918,9429,29.5,"%",$106825.34,9538,4166,5506,17.2,,$17760.36
"State",5709,4483,4483,4483,78.5,,$18977.82,1229,1171,1226,21.5,,$5077.37
"Local, total",26229,23809,20435,4946,18.9,,$87847.51,8309,2995,4280,16.3,,$12682.99
"Counties",2500,1802,1442,1583,63.3,,$4384.29,920,853,917,36.7,,$2539.56
"Municipalities",23729,22007,18993,3363,14.2,,$83463.23,7389,2142,3363,14.2,,$10143.44
,,,,,,,,,,,,,
"Rhode Island",3489,2515,2503,1105,31.7,"%",$10830.46,1266,819,974,27.9,,$3170.15
"State",305,218,218,218,71.5,,$1118.33,94,81,87,28.5,,$352.30
"Local, total",3184,2297,2285,887,27.9,,$9712.14,1172,738,887,27.9,,$2817.85
"Municipalities",3184,2297,2285,887,27.9,,$9712.14,1172,738,887,27.9,,$2817.85
,,,,,,,,,,,,,
"South Carolina",13737,10288,9935,6489,47.2,"%",$28520.07,3781,3360,3572,26.0,,$7870.52
"State",3351,1519,1519,1519,45.3,,$4800.63,1840,1829,1832,54.7,,$4283.25
"Local, total",10386,8769,8416,4970,47.9,,$23719.44,1941,1531,1740,16.8,,$3587.27
"Counties",4822,4077,3965,4026,83.5,,$10720.89,916,639,796,16.5,,$1789.61
"Municipalities",5564,4692,4451,944,17.0,,$12998.55,1025,892,944,17.0,,$1797.66
,,,,,,,,,,,,,
"South Dakota",1703,1365,1233,748,43.9,"%",$3796.58,508,421,446,26.2,,$980.15
"State",281,178,178,178,63.3,,$651.46,108,101,103,36.7,,$253.30
"Local, total",1422,1187,1055,570,40.1,,$3145.12,400,320,343,24.1,,$726.85
"Counties",565,437,389,396,70.1,,$1013.79,206,153,169,29.9,,$302.06
"Municipalities",857,750,666,174,20.3,,$2131.33,194,167,174,20.3,,$424.78
,,,,,,,,,,,,,
"Tennessee",18711,14298,13643,7498,40.1,"%",$39607.18,5170,4269,4697,25.1,,$10697.83
"State",1921,1150,1150,1150,59.9,,$3519.84,774,768,771,40.1,,$1828.85
"Local, total",16790,13148,12493,6348,37.8,,$36087.35,4396,3501,3926,23.4,,$8868.98
"Counties",4984,3860,3591,3703,74.3,,$9506.48,1404,1203,1281,25.7,,$2476.13
"Municipalities",11806,9288,8902,2645,22.4,,$26580.87,2992,2298,2645,22.4,,$6392.85
,,,,,,,,,,,,,
"Texas",59604,44754,44141,22216,37.3,"%",$156476.82,17313,14543,15315,25.7,,$36037.61
"State",3655,2139,2139,2139,58.5,,$8205.27,1535,1501,1516,41.5,,$4075.04
"Local, total",55949,42615,42002,20077,35.9,,$148271.55,15778,13042,13799,24.7,,$31962.57
"Counties",14064,10290,10123,10171,72.3,,$28377.13,3868,3741,3893,27.7,,$9061.68
"Municipalities",41885,32325,31879,9906,23.7,,$119894.42,11910,9301,9906,23.7,,$22900.89
,,,,,,,,,,,,,
"Utah",5541,3905,3788,2461,44.4,"%",$13190.24,2415,1265,1676,30.2,,$4640.27
"State",763,405,405,405,53.1,,$1458.21,389,332,358,46.9,,$1215.58
"Local, total",4778,3500,3383,2056,43.0,,$11732.03,2026,933,1318,27.6,,$3424.68
"Counties",1726,1244,1226,1232,71.4,,$4126.31,671,376,494,28.6,,$1421.21
"Municipalities",3052,2256,2157,824,27.0,,$7605.72,1355,557,824,27.0,,$2003.47
,,,,,,,,,,,,,
"Vermont",1259,962,850,479,38.0,"%",$3337.29,459,341,367,29.2,,$1053.32
"State",489,317,308,310,63.4,,$1448.97,207,170,179,36.6,,$591.22
"Local, total",770,645,542,169,21.9,,$1888.32,252,171,188,24.4,,$462.10
"Counties",29,5,5,5,17.2,,$14.09,24,24,24,82.8,,$50.30
"Municipalities",741,640,537,164,22.1,,$1874.23,228,147,164,22.1,,$411.80
,,,,,,,,,,,,,
"Virginia",19202,14830,14586,9705,50.5,"%",$53051.08,5359,4013,4506,23.5,,$12062.06
"State",2678,1879,1879,1879,70.2,,$7698.63,884,726,799,29.8,,$2212.07
"Local, total",16524,12951,12707,7826,47.4,,$45352.46,4475,3287,3707,22.4,,$9850.00
"Counties",8021,6179,5974,6070,75.7,,$22452.01,2419,1713,1951,24.3,,$5302.19
"Municipalities",8503,6772,6733,1756,20.7,,$22900.44,2056,1574,1756,20.7,,$4547.80
,,,,,,,,,,,,,
"Washington",14162,10281,9809,5952,42.0,"%",$46901.97,4430,3982,4164,29.4,,$14735.13
"State",2160,1004,1004,1004,46.5,,$4524.02,1156,1155,1156,53.5,,$4343.13
"Local, total",12002,9277,8805,4948,41.2,,$42377.95,3274,2827,3008,25.1,,$10392.00
"Counties",4126,3044,3024,3033,73.5,,$13881.75,1135,1071,1093,26.5,,$3566.94
"Municipalities",7876,6233,5781,1915,24.3,,$28496.20,2139,1756,1915,24.3,,$6825.07
,,,,,,,,,,,,,
"West Virginia",3720,2974,2902,1752,47.1,"%",$7759.79,970,699,780,21.0,,$1275.63
"State",1038,662,662,662,63.8,,$2305.51,380,371,376,36.2,,$611.92
"Local, total",2682,2312,2240,1090,40.6,,$5454.28,590,328,404,15.1,,$663.71
"Counties",1008,846,845,847,84.0,,$1896.18,172,141,161,16.0,,$261.76
"Municipalities",1674,1466,1395,243,14.5,,$3558.10,418,187,243,14.5,,$401.94
,,,,,,,,,,,,,
"Wisconsin",15731,12529,11491,5950,37.8,"%",$45903.56,5295,3281,3890,24.7,,$10394.06
"State",949,647,647,647,68.2,,$2529.10,319,285,302,31.8,,$1000.38
"Local, total",14782,11882,10844,5303,35.9,,$43374.46,4976,2996,3588,24.3,,$9393.68
"Counties",4269,2992,2911,2992,70.1,,$10823.88,1650,1109,1277,29.9,,$3697.79
"Municipalities",10513,8890,7933,2311,22.0,,$32550.58,3326,1887,2311,22.0,,$5695.89
,,,,,,,,,,,,,
"Wyoming",1639,1159,1136,714,43.6,"%",$3505.78,565,460,494,30.1,,$1297.43
"State",189,111,111,111,58.7,,$356.45,78,78,78,41.3,,$249.47
"Local, total",1450,1048,1025,603,41.6,,$3149.33,487,382,416,28.7,,$1047.96
"Counties",555,372,370,371,66.8,,$981.75,203,175,184,33.2,,$487.26
"Municipalities",895,676,655,232,25.9,,$2167.58,284,207,232,25.9,,$560.69
,,,,,,,,,,,,,
"Notes: March payroll data may not add due to rounding.  For the same reason these data may not sum to equal police protection March payrolls on table 6. Local government data are estimates subject to variability. ",,,,,,,,,,,,,
