"Iowa",,$234677.00,,$225344.00,,$222645.00,,$1252.00,,$1447.00,96.0,,,$9333.00,,$9317.00,,$16.00,4.0,
,,,,,,,,,,,,,,,,,,,,
"Kansas",,$285126.00,,$263234.00,,$250223.00,,$9954.00,,$3057.00,92.3,,,$21892.00,,$21833.00,,$59.00,7.7,
"Kentucky",,$439299.00,,$288911.00,,$262100.00,,$23895.00,,$2916.00,65.8,,,$150388.00,,$143448.00,,$6940.00,34.2,
"Louisiana",,$442129.00,,$358724.00,,$334267.00,,$14104.00,,$10353.00,81.1,,,$83405.00,,$81270.00,,$2135.00,18.9,
"Maine",,$94514.00,,$68642.00,,$68377.00,,$83.00,,$182.00,72.6,,,$25872.00,,$25787.00,,$85.00,27.4,
"Maryland",,$964027.00,,$537342.00,,$516369.00,,$18259.00,,$2714.00,55.7,,,$426685.00,,$391612.00,,$35073.00,44.3,
,,,,,,,,,,,,,,,,,,,,
"Massachusetts",,$860947.00,,$543052.00,,$522606.00,,$13216.00,,$7230.00,63.1,,,$317895.00,,$296560.00,,$21335.00,36.9,
"Michigan",,$1613781.00,,$1506299.00,,$1397408.00,,$87702.00,,$21189.00,93.3,,,$107482.00,,$105243.00,,$2239.00,6.7,
"Minnesota",,$310036.00,,$220285.00,,$212306.00,,$1268.00,,$6711.00,71.1,,,$89751.00,,$85729.00,,$4022.00,28.9,
"Mississippi",,$259960.00,,$217200.00,,$213491.00,,$1671.00,,$2038.00,83.6,,,$42760.00,,$40894.00,,$1866.00,16.4,
"Missouri",,$591675.00,,$509378.00,,$423520.00,,$82295.00,,$3563.00,86.1,,,$82297.00,,$81979.00,,$318.00,13.9,
,,,,,,,,,,,,,,,,,,,,
"Montana",,$106955.00,,$61472.00,,$53444.00,,$7515.00,,$513.00,57.5,,,$45483.00,,$45458.00,,$25.00,42.5,
"Nebraska",,$175676.00,,$98001.00,,$74170.00,,$23458.00,,$373.00,55.8,,,$77675.00,,$73013.00,,$4662.00,44.2,
"Nevada",,$234640.00,,$198683.00,,$176321.00,,$19989.00,,$2373.00,84.7,,,$35957.00,,$35692.00,,$265.00,15.3,
"New Hampshire",,$83064.00,,$65225.00,,$62288.00,,$1734.00,,$1203.00,78.5,,,$17839.00,,$16811.00,,$1028.00,21.5,
"New Jersey",,$1128053.00,,$815975.00,,$790852.00,,$18077.00,,$7046.00,72.3,,,$312078.00,,$299085.00,,$12993.00,27.7,
,,,,,,,,,,,,,,,,,,,,
"New Mexico",,$223023.00,,$159297.00,,$157434.00,,$1585.00,,$278.00,71.4,,,$63726.00,,$63591.00,,$135.00,28.6,
"New York",,$2423600.00,,$2103112.00,,$1844427.00,,$234953.00,,$23732.00,86.8,,,$320488.00,,$306640.00,,$13848.00,13.2,
"North Carolina",,$934544.00,,$779713.00,,$757229.00,,$17428.00,,$5056.00,83.4,,,$154831.00,,$151975.00,,$2856.00,16.6,
"North Dakota",,$35463.00,,$29597.00,,$25370.00,,$3701.00,,$526.00,83.5,,,$5866.00,,$5866.00,,$0.00,16.5,
"Ohio",,$1436123.00,,$1138702.00,,$1065673.00,,$60812.00,,$12217.00,79.3,,,$297421.00,,$254726.00,,$42695.00,20.7,
,,,,,,,,,,,,,,,,,,,,
"Oklahoma",,$474183.00,,$206710.00,,$197957.00,,$5297.00,,$3456.00,43.6,,,$267473.00,,$262530.00,,$4943.00,56.4,
"Oregon",,$470779.00,,$319745.00,,$279300.00,,$40102.00,,$343.00,67.9,,,$151034.00,,$140538.00,,$10496.00,32.1,
"Pennsylvania",,$1499532.00,,$1413514.00,,$1209253.00,,$204261.00,,$0.00,94.3,,,$86018.00,,$86018.00,,$0.00,5.7,
"Rhode Island",,$151172.00,,$140120.00,,$137203.00,,$2153.00,,$764.00,92.7,,,$11052.00,,$10929.00,,$123.00,7.3,
"South Carolina",,$480354.00,,$429483.00,,$388677.00,,$38180.00,,$2626.00,89.4,,,$50871.00,,$50391.00,,$480.00,10.6,
,,,,,,,,,,,,,,,,,,,,
"South Dakota",,$65592.00,,$39601.00,,$38939.00,,$334.00,,$328.00,60.4,,,$25991.00,,$25744.00,,$247.00,39.6,
"Tennessee",,$374225.00,,$313443.00,,$305279.00,,$7426.00,,$738.00,83.8,,,$60782.00,,$59706.00,,$1076.00,16.2,
"Texas",,$2975833.00,,$2708800.00,,$2627826.00,,$17634.00,,$63340.00,91.0,,,$267033.00,,$265759.00,,$1274.00,9.0,
"Utah",,$265689.00,,$178476.00,,$176790.00,,$238.00,,$1448.00,67.2,,,$87213.00,,$86667.00,,$546.00,32.8,
"Vermont",,$71988.00,,$62937.00,,$62163.00,,$0.00,,$774.00,87.4,,,$9051.00,,$8807.00,,$244.00,12.6,
,,,,,,,,,,,,,,,,,,,,
"Virginia",,$954658.00,,$910846.00,,$891123.00,,$1026.00,,$18697.00,95.4,,,$43812.00,,$39849.00,,$3963.00,4.6,
"Washington",,$728945.00,,$508930.00,,$438747.00,,$65439.00,,$4744.00,69.8,,,$220015.00,,$216787.00,,$3228.00,30.2,
"West Virginia",,$122009.00,,$112208.00,,$110395.00,,$512.00,,$1301.00,92.0,,,$9801.00,,$9801.00,,$0.00,8.0,
"Wisconsin",,$838646.00,,$653207.00,,$582293.00,,$66314.00,,$4600.00,77.9,,,$185439.00,,$145626.00,,$39813.00,22.1,
"Wyoming",,$79576.00,,$62738.00,,$48859.00,,$11866.00,,$2013.00,78.8,,,$16838.00,,$16581.00,,$257.00,21.2,
