"Bureau of Justice Statistics",,,,,,,,,,
"Counties","-",739847,149566,20.2,63307,42.3,39483,26.4,46776,31.3
"Municipalities","-",1499958,185151,12.3,169937,91.8,14099,7.6,1115,0.6
,,,,,,,,,,
"California",32218,194076040,17872447,9.2,7712594,43.2,3950419,22.1,6209434,34.7
"State","-",67573750,5197179,7.7,925709,17.8,411336,7.9,3860134,74.3
"Local, total","-",126502290,12675268,10.0,6786885,53.5,3539083,27.9,2349300,18.5
"Counties","-",36941559,7636610,20.7,2266774,29.7,3095304,40.5,2274532,29.8
"Municipalities","-",35684003,5038658,14.1,4520111,89.7,443779,8.8,74768,1.5
,,,,,,,,,,
"Colorado",3891,20659910,1539709,7.5,652965,42.4,286620,18.6,600124,39.0
"State","-",7843755,628050,8.0,55222,8.8,146456,23.3,426372,67.9
"Local, total","-",12816155,911659,7.1,597743,65.6,140164,15.4,173752,19.1
"Counties","-",1852305,335613,18.1,152389,45.4,58363,17.4,124861,37.2
"Municipalities","-",4665750,576046,12.3,445354,77.3,81801,14.2,48891,8.5
,,,,,,,,,,
"Connecticut",3269,20274623,1379356,6.8,592738,43.0,292846,21.2,493772,35.8
"State","-",11345259,868944,7.7,109523,12.6,265649,30.6,493772,56.8
"Local, total","-",8929364,510412,5.7,483215,94.7,27197,5.3,0,0.0
"Municipalities","-",8115748,510412,6.3,483215,94.7,27197,5.3,0,0.0
,,,,,,,,,,
"Delaware",735,4378352,329899,7.5,131700,39.9,75052,22.7,123147,37.3
"State","-",2827727,239973,8.5,49833,20.8,66993,27.9,123147,51.3
"Local, total","-",1550625,89926,5.8,81867,91.0,8059,9.0,0,0.0
"Counties","-",253164,40518,16.0,33975,83.9,6543,16.1,0,0.0
"Municipalities","-",314201,49408,15.7,47892,96.9,1516,3.1,0,0.0
,,,,,,,,,,
"District of Columbia",529,5999351,733950,12.2,279805,38.1,153988,21.0,300157,40.9
"Local, total","-",5999351,733950,12.2,279805,38.1,153988,21.0,300157,40.9
"Municipality","-",4988196,733950,14.7,279805,38.1,153988,21.0,300157,40.9
,,,,,,,,,,
"Florida",14683,71313977,7253489,10.2,3230857,44.5,1268881,17.5,2753751,38.0
"State","-",25563946,2687711,10.5,317387,11.8,521987,19.4,1848337,68.8
"Local, total","-",45750031,4565778,10.0,2913470,63.8,746894,16.4,905414,19.8
"Counties","-",14882429,3030053,20.4,1489576,49.2,675101,22.3,865376,28.6
"Municipalities","-",10206970,1535725,15.0,1423894,92.7,71793,4.7,40038,2.6
,,,,,,,,,,
"Georgia",7486,37389727,2637532,7.1,1050368,39.8,387526,14.7,1199638,45.5
"State","-",15834244,1101936,7.0,169029,15.3,75582,6.9,857325,77.8
"Local, total","-",21555483,1535596,7.1,881339,57.4,311944,20.3,342313,22.3
"Counties","-",4441413,950399,21.4,413603,43.5,260043,27.4,276753,29.1
"Municipalities","-",4470968,585197,13.1,467736,79.9,51901,8.9,65560,11.2
,,,,,,,,,,
"Hawaii",1189,7634443,468778,6.1,192287,41.0,148956,31.8,127535,27.2
"State","-",5937320,248360,4.2,2632,1.1,118193,47.6,127535,51.4
"Local, total","-",1697123,220418,13.0,189655,86.0,30763,14.0,0,0.0
"Counties","-",512955,71076,13.9,59432,83.6,11644,16.4,0,0.0
"Municipalities","-",1169547,149342,12.8,130223,87.2,19119,12.8,0,0.0
,,,,,,,,,,
"Idaho",1211,5423612,388481,7.2,167159,43.0,88653,22.8,132669,34.2
"State","-",2607020,177017,6.8,30724,17.4,44031,24.9,102262,57.8
"Local, total","-",2816592,211464,7.5,136435,64.5,44622,21.1,30407,14.4
"Counties","-",588978,132847,22.6,63493,47.8,38961,29.3,30393,22.9
"Municipalities","-",595117,78617,13.2,72942,92.8,5661,7.2,14,0.0
,,,,,,,,,,
"Illinois",12012,62167262,4521680,7.3,2410627,53.3,800524,17.7,1310529,29.0
"State","-",26153745,1416824,5.4,280479,19.8,227131,16.0,909214,64.2
"Local, total","-",36013517,3104856,8.6,2130148,68.6,573393,18.5,401315,12.9
"Counties","-",4048578,1174553,29.0,256291,21.8,517535,44.1,400727,34.1
"Municipalities","-",11876880,1930303,16.3,1873857,97.1,55858,2.9,588,0.0
,,,,,,,,,,
"Indiana",5872,25701397,1498215,5.8,649657,43.4,259510,17.3,589048,39.3
"State","-",10809380,634481,5.9,149918,23.6,78315,12.3,406248,64.0
"Local, total","-",14892017,863734,5.8,499739,57.9,181195,21.0,182800,21.2
"Counties","-",3042997,401145,13.2,127309,31.7,131812,32.9,142024,35.4
"Municipalities","-",4214815,462589,11.0,372430,80.5,49383,10.7,40776,8.8
,,,,,,,,,,
"Iowa",2854,14303672,756926,5.3,351615,46.5,195297,25.8,210014,27.7
"State","-",6478509,360360,5.6,57881,16.1,146749,40.7,155730,43.2
"Local, total","-",7825163,396566,5.1,293734,74.1,48548,12.2,54284,13.7
"Counties","-",1539721,180433,11.7,87275,48.4,39184,21.7,53974,29.9
"Municipalities","-",2586176,216133,8.4,206459,95.5,9364,4.3,310,0.1
,,,,,,,,,,
"Kansas",2616,12367821,799895,6.5,380726,47.6,172460,21.6,246709,30.8
"State","-",5119497,331115,6.5,41166,12.4,102561,31.0,187388,56.6
"Local, total","-",7248324,468780,6.5,339560,72.4,69899,14.9,59321,12.7
"Counties","-",1391971,227068,16.3,119177,52.5,49427,21.8,58464,25.7
"Municipalities","-",2239145,241712,10.8,220383,91.2,20472,8.5,857,0.4
,,,,,,,,,,
"Kentucky",3908,17784882,977872,5.5,390992,40.0,233702,23.9,353178,36.1
"State","-",10030828,550426,5.5,108444,19.7,197869,35.9,244113,44.3
"Local, total","-",7754054,427446,5.5,282548,66.1,35833,8.4,109065,25.5
"Counties","-",1623989,202215,12.5,72284,35.7,28200,13.9,101731,50.3
"Municipalities","-",2049389,225231,11.0,210264,93.4,7633,3.4,7334,3.3
,,,,,,,,,,
"Louisiana",4351,21209147,1544711,7.3,759222,49.1,278517,18.0,506972,32.8
"State","-",11115028,606800,5.5,155732,25.7,113622,18.7,337446,55.6
"Local, total","-",10094119,937911,9.3,603490,64.3,164895,17.6,169526,18.1
"Parishes","-",2666651,455344,17.1,287253,63.1,84241,18.5,83850,18.4
"Municipalities","-",3161042,482567,15.3,316237,65.5,80654,16.7,85676,17.8
,,,,,,,,,,
"Maine",1245,6338244,282881,4.5,138337,48.9,50880,18.0,93664,33.1
"State","-",3668560,147762,4.0,38632,26.1,43117,29.2,66013,44.7
"Local, total","-",2669684,135119,5.1,99705,73.8,7763,5.7,27651,20.5
"Counties","-",73408,46670,63.6,14887,31.9,5034,10.8,26749,57.3
"Municipalities","-",1705957,88449,5.2,84818,95.9,2729,3.1,902,1.0
,,,,,,,,,,
"Maryland",5093,25880052,2138192,8.3,885188,41.4,380016,17.8,872988,40.8
"State","-",12663475,1146420,9.1,177278,15.5,235952,20.6,733190,64.0
"Local, total","-",13216577,991772,7.5,707910,71.4,144064,14.5,139798,14.1
"Counties","-",10241504,661530,6.5,413754,62.5,107978,16.3,139798,21.1
"Municipalities","-",2643269,330242,12.5,294156,89.1,36086,10.9,0,0.0
,,,,,,,,,,
"Massachusetts",6115,37562425,2558618,6.8,1114761,43.6,595203,23.3,848654,33.2
"State","-",20154142,1286435,6.4,212812,16.5,544748,42.3,528875,41.1
"Local, total","-",17408283,1272183,7.3,901949,70.9,50455,4.0,319779,25.1
"Counties","-",570318,246387,43.2,2335,0.9,1695,0.7,242357,98.4
"Municipalities","-",13534396,1025796,7.6,899614,87.7,48760,4.8,77422,7.5
,,,,,,,,,,
"Michigan",9785,52541275,3882480,7.4,1563311,40.3,754327,19.4,1564842,40.3
"State","-",21946724,1622805,7.4,224827,13.9,137807,8.5,1260171,77.7
"Local, total","-",30594551,2259675,7.4,1338484,59.2,616520,27.3,304671,13.5
"Counties","-",6096105,1001435,16.4,241670,24.1,460397,46.0,299368,29.9
"Municipalities","-",9160961,1258240,13.7,1096814,87.2,156123,12.4,5303,0.4
,,,,,,,,,,
"Minnesota",4688,28438371,1549568,5.4,702137,45.3,366330,23.6,481101,31.0
"State","-",11501134,491181,4.3,78075,15.9,143786,29.3,269320,54.8
"Local, total","-",16937237,1058387,6.2,624062,59.0,222544,21.0,211781,20.0
"Counties","-",3669622,621384,16.9,208454,33.5,201835,32.5,211095,34.0
"Municipalities","-",5335811,437003,8.2,415608,95.1,20709,4.7,686,0.2
,,,,,,,,,,
"Mississippi",2732,12599522,682916,5.4,320027,46.9,117785,17.2,245104,35.9
"State","-",6320051,300816,4.8,54999,18.3,48085,16.0,197732,65.7
"Local, total","-",6279471,382100,6.1,265028,69.4,69700,18.2,47372,12.4
"Counties","-",1776845,199901,11.3,95418,47.7,60604,30.3,43879,22.0
"Municipalities","-",1619798,182199,11.2,169610,93.1,9096,5.0,3493,1.9
,,,,,,,,,,
"Missouri",5407,23014589,1580606,6.9,762310,48.2,314730,19.9,503566,31.9
"State","-",10285519,613225,6.0,119084,19.4,129570,21.1,364571,59.5
"Local, total","-",12729070,967381,7.6,643226,66.5,185160,19.1,138995,14.4
"Counties","-",1271884,351512,27.6,119923,34.1,132672,37.7,98917,28.1
"Municipalities","-",4338779,615869,14.2,523303,85.0,52488,8.5,40078,6.5
,,,,,,,,,,
"Montana",879,4363870,259555,5.9,114244,44.0,59467,22.9,85844,33.1
"State","-",2488973,118606,4.8,23360,19.7,22057,18.6,73189,61.7
"Local, total","-",1874897,140949,7.5,90884,64.5,37410,26.5,12655,9.0
"Counties","-",379808,90980,24.0,47961,52.7,30563,33.6,12456,13.7
"Municipalities","-",368780,49969,13.5,42923,85.9,6847,13.7,199,0.4
,,,,,,,,,,
"Nebraska",1656,9545548,428806,4.5,194494,45.4,82720,19.3,151592,35.4
"State","-",3591510,176603,4.9,36764,20.8,34209,19.4,105630,59.8
"Local, total","-",5954038,252203,4.2,157730,62.5,48511,19.2,45962,18.2
"Counties","-",662169,132004,19.9,42187,32.0,43855,33.2,45962,34.8
"Municipalities","-",1484528,120199,8.1,115543,96.1,4656,3.9,0,0.0
,,,,,,,,,,
"Nevada",1676,9230543,882423,9.6,372323,42.2,172284,19.5,337816,38.3
"State","-",3357945,245678,7.3,39172,15.9,26864,10.9,179642,73.1
"Local, total","-",5872598,636745,10.8,333151,52.3,145420,22.8,158174,24.8
"Counties","-",2668039,461419,17.3,231399,50.1,111944,24.3,118076,25.6
"Municipalities","-",1008875,175326,17.4,101752,58.0,33476,19.1,40098,22.9
,,,,,,,,,,
"New Hampshire",1173,5464148,316642,5.8,151215,47.8,79401,25.1,86026,27.2
"State","-",2909738,154350,5.3,29158,18.9,65783,42.6,59409,38.5
"Local, total","-",2554410,162292,6.4,122057,75.2,13618,8.4,26617,16.4
"Counties","-",176738,40397,22.9,7944,19.7,5836,14.4,26617,65.9
"Municipalities","-",1191454,121895,10.2,114113,93.6,7782,6.4,0,0.0
,,,,,,,,,,
"New Jersey",8054,47941807,3998471,8.3,1763319,44.1,979661,24.5,1255491,31.4
"State","-",23049439,1573861,6.8,233626,14.8,447488,28.4,892747,56.7
"Local, total","-",24892368,2424610,9.7,1529693,63.1,532173,21.9,362744,15.0
"Counties","-",5432639,870222,16.0,120417,13.8,389388,44.7,360417,41.4
"Municipalities","-",8543982,1554388,18.2,1409276,90.7,142785,9.2,2327,0.1
,,,,,,,,,,
"New Mexico",1723,9313310,691410,7.4,297668,43.1,136028,19.7,257714,37.3
"State","-",4983640,359869,7.2,57658,16.0,116911,32.5,185300,51.5
"Local, total","-",4329670,331541,7.7,240010,72.4,19117,5.8,72414,21.8
"Counties","-",694681,112275,16.2,64682,57.6,7548,6.7,40045,35.7
"Municipalities","-",1600826,219266,13.7,175328,80.0,11569,5.3,32369,14.8
,,,,,,,,,,
"New York",18143,149358771,11054672,7.4,5132773,46.4,2013877,18.2,3908022,35.4
"State","-",57605426,3623637,6.3,318217,8.8,1273097,35.1,2032323,56.1
"Local, total","-",91753345,7431035,8.1,4814556,64.8,740780,10.0,1875699,25.2
"Counties","-",14009797,2061426,14.7,1070145,51.9,256714,12.5,734567,35.6
"Municipalities","-",58068223,5369609,9.2,3744411,69.7,484066,9.0,1141132,21.3
,,,,,,,,,,
"North Carolina",7429,36241205,2489397,6.9,1029038,41.3,372020,14.9,1088339,43.7
"State","-",15549685,1419365,9.1,201385,14.2,315652,22.2,902328,63.6
"Local, total","-",20691520,1070032,5.2,827653,77.3,56368,5.3,186011,17.4
"Counties","-",13475912,508809,3.8,275008,54.0,47790,9.4,186011,36.6
"Municipalities","-",5019419,561223,11.2,552645,98.5,8578,1.5,0,0.0
,,,,,,,,,,
"North Dakota",641,3319327,128026,3.9,56525,44.2,41250,32.2,30251,23.6
"State","-",1885506,58465,3.1,8617,14.7,29156,49.9,20692,35.4
"Local, total","-",1433821,69561,4.9,47908,68.9,12094,17.4,9559,13.7
"Counties","-",231502,37489,16.2,17794,47.5,10322,27.5,9373,25.0
"Municipalities","-",394575,32072,8.1,30114,93.9,1772,5.5,186,0.6
,,,,,,,,,,
"Ohio",11212,57192440,4211775,7.4,1809547,43.0,888985,21.1,1513243,35.9
"State","-",26965353,1510877,5.6,189923,12.6,166672,11.0,1154282,76.4
"Local, total","-",30227087,2700898,8.9,1619624,60.0,722313,26.7,358961,13.3
"Counties","-",7214354,1209896,16.8,345065,28.5,534758,44.2,330073,27.3
"Municipalities","-",8549567,1491002,17.4,1274559,85.5,187555,12.6,28888,1.9
,,,,,,,,,,
"Oklahoma",3314,14122055,922333,6.5,401634,43.5,145907,15.8,374792,40.6
"State","-",6967577,495359,7.1,52519,10.6,106767,21.6,336073,67.8
"Local, total","-",7154478,426974,6.0,349115,81.8,39140,9.2,38719,9.1
"Counties","-",794720,81794,10.3,38381,46.9,17028,20.8,26385,32.3
"Municipalities","-",2911989,345180,11.9,310734,90.0,22112,6.4,12334,3.6
,,,,,,,,,,
"Oregon",3243,19895027,1473423,7.4,582016,39.5,311540,21.1,579867,39.4
"State","-",9180455,625094,6.8,104600,16.7,141529,22.6,378965,60.6
"Local, total","-",10714572,848329,7.9,477416,56.3,170011,20.0,200902,23.7
"Counties","-",2064640,524363,25.4,171836,32.8,152214,29.0,200313,38.2
"Municipalities","-",2459909,323966,13.2,305580,94.3,17797,5.5,589,0.2
,,,,,,,,,,
"Pennsylvania",12016,63511874,4446126,7.0,1838949,41.4,866434,19.5,1740743,39.2
"State","-",29452008,1924145,6.5,636266,33.1,248821,12.9,1039058,54.0
"Local, total","-",34059866,2521981,7.4,1202683,47.7,617613,24.5,701685,27.8
"Counties","-",4644829,922151,19.9,59759,6.5,382823,41.5,479569,52.0
"Municipalities","-",8982205,1599830,17.8,1142924,71.4,234790,14.7,222116,13.9
,,,,,,,,,,
"Rhode Island",987,5656001,386686,6.8,174864,45.2,92124,23.8,119698,31.0
"State","-",3495427,235761,6.7,31945,13.5,84118,35.7,119698,50.8
"Local, total","-",2160574,150925,7.0,142919,94.7,8006,5.3,0,0.0
"Municipalities","-",1947496,150925,7.7,142919,94.7,8006,5.3,0,0.0
,,,,,,,,,,
"South Carolina",3790,18717947,1181479,6.3,494197,41.8,159935,13.5,527347,44.6
"State","-",9883375,632965,6.4,153363,24.2,50358,8.0,429244,67.8
"Local, total","-",8834572,548514,6.2,340834,62.1,109577,20.0,98103,17.9
"Counties","-",2041829,353805,17.3,161083,45.5,96278,27.2,96444,27.3
"Municipalities","-",1509271,194709,12.9,179751,92.3,13299,6.8,1659,0.9
,,,,,,,,,,
"South Dakota",731,3183990,187629,5.9,75560,40.3,34634,18.5,77435,41.3
"State","-",1635026,93475,5.7,16159,17.3,17588,18.8,59728,63.9
"Local, total","-",1548964,94154,6.1,59401,63.1,17046,18.1,17707,18.8
"Counties","-",212327,53013,25.0,19797,37.3,16034,30.2,17182,32.4
"Municipalities","-",561647,41141,7.3,39604,96.3,1012,2.5,525,1.3
,,,,,,,,,,
"Tennessee",5378,27153993,1678949,6.2,745792,44.4,345902,20.6,587255,35.0
"State","-",10639203,617154,5.8,90203,14.6,136936,22.2,390015,63.2
"Local, total","-",16514790,1061795,6.4,655589,61.7,208966,19.7,197240,18.6
"Counties","-",6130010,497244,8.1,181991,36.6,157403,31.7,157850,31.7
"Municipalities","-",9375860,564551,6.0,473598,83.9,51563,9.1,39390,7.0
,,,,,,,,,,
"Texas",19355,88197497,7005010,7.9,2760918,39.4,1129399,16.1,3114693,44.5
"State","-",36081427,2838742,7.9,287534,10.1,385856,13.6,2165352,76.3
"Local, total","-",52116070,4166268,8.0,2473384,59.4,743543,17.8,949341,22.8
"Counties","-",7247754,2077635,28.7,542135,26.1,604407,29.1,931093,44.8
"Municipalities","-",15166683,2088633,13.8,1931249,92.5,139136,6.7,18248,0.9
,,,,,,,,,,
"Utah",2065,10796389,730773,6.8,305346,41.8,181884,24.9,243543,33.3
"State","-",5144623,362359,7.0,57567,15.9,129434,35.7,175358,48.4
"Local, total","-",5651766,368414,6.5,247779,67.3,52450,14.2,68185,18.5
"Counties","-",819820,202634,24.7,94457,46.6,39996,19.7,68181,33.6
"Municipalities","-",1422025,165780,11.7,153322,92.5,12454,7.5,4,0.0
,,,,,,,,,,
"Vermont",589,3106075,141637,4.6,65125,46.0,32685,23.1,43827,30.9
"State","-",1810936,103896,5.7,29606,28.5,30587,29.4,43703,42.1
"Local, total","-",1295139,37741,2.9,35519,94.1,2098,5.6,124,0.3
"Counties","-",3474,1771,51.0,1020,57.6,640,36.1,111,6.3
"Municipalities","-",448471,35970,8.0,34499,95.9,1458,4.1,13,0.0
,,,,,,,,,,
"Virginia",6733,31623286,2310901,7.3,981619,42.5,381317,16.5,947965,41.0
"State","-",13949267,962231,6.9,161214,16.8,182697,19.0,618320,64.3
"Local, total","-",17674019,1348670,7.6,820405,60.8,198620,14.7,329645,24.4
"Counties","-",8872311,690098,7.8,411576,59.6,114332,16.6,164190,23.8
"Municipalities","-",7099156,658572,9.3,408829,62.1,84288,12.8,165455,25.1
,,,,,,,,,,
"Washington",5604,36193263,2245854,6.2,866316,38.6,531234,23.7,848304,37.8
"State","-",16525177,757339,4.6,129404,17.1,65600,8.7,562335,74.3
"Local, total","-",19668086,1488515,7.6,736912,49.5,465634,31.3,285969,19.2
"Counties","-",3551650,871089,24.5,236142,27.1,382410,43.9,252537,29.0
"Municipalities","-",4772534,617426,12.9,500770,81.1,83224,13.5,33432,5.4
,,,,,,,,,,
"West Virginia",1816,8971467,347864,3.9,141163,40.6,84922,24.4,121779,35.0
"State","-",5519856,190022,3.4,41030,21.6,54087,28.5,94905,49.9
"Local, total","-",3451611,157842,4.6,100133,63.4,30835,19.5,26874,17.0
"Counties","-",570456,84243,14.8,32189,38.2,25470,30.2,26584,31.6
"Municipalities","-",672153,73599,10.9,67944,92.3,5365,7.3,290,0.4
,,,,,,,,,,
"Wisconsin",5200,28315726,1985013,7.0,915904,46.1,366126,18.4,702983,35.4
"State","-",11206320,705569,6.3,57631,8.2,160936,22.8,487002,69.0
"Local, total","-",17109406,1279444,7.5,858273,67.1,205190,16.0,215981,16.9
"Counties","-",4062431,629701,15.5,249361,39.6,164974,26.2,215366,34.2
"Municipalities","-",4891782,649743,13.3,608912,93.7,40216,6.2,615,0.1
,,,,,,,,,,
"Wyoming",480,3150703,175409,5.6,78799,44.9,43301,24.7,53309,30.4
"State","-",1424488,73393,5.2,10507,14.3,25827,35.2,37059,50.5
"Local, total","-",1726215,102016,5.9,68292,66.9,17474,17.1,16250,15.9
"Counties","-",376590,54268,14.4,25245,46.5,13060,24.1,15963,29.4
"Municipalities","-",353194,47748,13.5,43047,90.2,4414,9.2,287,0.6
,,,,,,,,,,
,,,,,,,,,,
"Notes:  Local government data are estimates subject to variability.",,,,,,,,,,
"Population figures are from the Bureau of the Census, Current Population Reports, Series P-25, No. 1045, July 1997.",,,,,,,,,,
"a/ Total direct expenditures include outlays of States and all types of local governments including independent school districts",,,,,,,,,,
"and special districts, which are not displayed separately.   The ""Local, total"" lines, which include these districts, will not",,,,,,,,,,
"equal the sum of the ""Counties"" and ""Municipalities"" lines.",,,,,,,,,,
"b/ Justice system expenditure of special districts and independent school districts (primarily for special police forces) are not",,,,,,,,,,
"available.",,,,,,,,,,
