"Colorado",3891,395.71,1539709.00,167.81,652965.00,73.66,286620.00,154.23,600124.00,61.66,239930.00,29.36,114230.00,21.31,82900.00,13.03,50690.00,19.28
"Connecticut",3269,421.95,1379356.00,181.32,592738.00,89.58,292846.00,151.05,493772.00,66.14,216220.00,29.86,97620.00,23.53,76920.00,11.41,37290.00,24.87
"Delaware",735,448.84,329899.00,179.18,131700.00,102.11,75052.00,167.55,123147.00,76.12,55950.00,28.75,21130.00,20.35,14960.00,19.86,14600.00,27.51
"District of Columbia",529,1387.43,733950.00,528.93,279805.00,291.09,153988.00,567.40,300157.00,186.86,98850.00,82.12,43440.00,69.13,36570.00,33.88,17920.00,70.87
"Florida",14683,494.01,7253489.00,220.04,3230857.00,86.42,1268881.00,187.55,2753751.00,86.01,1262910.00,34.33,504110.00,23.44,344230.00,16.78,246370.00,34.90
,,,,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
"Georgia",7486,352.33,2637532.00,140.31,1050368.00,51.77,387526.00,160.25,1199638.00,70.83,530240.00,29.17,218400.00,22.44,167990.00,10.35,77500.00,31.30
"Hawaii",1189,394.26,468778.00,161.72,192287.00,125.28,148956.00,107.26,127535.00,68.95,81980.00,28.71,34140.00,21.99,26150.00,22.10,26280.00,18.13
"Idaho",1211,320.79,388481.00,138.03,167159.00,73.21,88653.00,109.55,132669.00,54.48,65970.00,24.28,29400.00,17.19,20820.00,10.54,12760.00,19.66
"Illinois",12012,376.43,4521680.00,200.68,2410627.00,66.64,800524.00,109.10,1310529.00,68.80,826390.00,36.15,434240.00,27.10,325510.00,13.32,159960.00,19.33
"Indiana",5872,255.15,1498215.00,110.64,649657.00,44.19,259510.00,100.31,589048.00,51.85,304490.00,24.72,145160.00,18.17,106700.00,9.81,57580.00,17.33
,,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
"Iowa",2854,265.22,756926.00,123.20,351615.00,68.43,195297.00,73.59,210014.00,44.84,127960.00,22.85,65200.00,17.05,48660.00,10.50,29960.00,11.49
"Kansas",2616,305.77,799895.00,145.54,380726.00,65.93,172460.00,94.31,246709.00,63.39,165830.00,30.16,78900.00,21.60,56510.00,12.79,33470.00,20.44
"Kentucky",3908,250.22,977872.00,100.05,390992.00,59.80,233702.00,90.37,353178.00,52.24,204150.00,21.17,82750.00,15.49,60540.00,12.68,49570.00,18.38
"Louisiana",4351,355.02,1544711.00,174.49,759222.00,64.01,278517.00,116.52,506972.00,67.94,295590.00,29.61,128840.00,22.24,96770.00,13.09,56940.00,25.24
"Maine",1245,227.21,282881.00,111.11,138337.00,40.87,50880.00,75.23,93664.00,43.02,53560.00,22.49,28000.00,17.95,22350.00,6.40,7970.00,14.13
,,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
"Maryland",5093,419.83,2138192.00,173.80,885188.00,74.62,380016.00,171.41,872988.00,70.56,359380.00,31.99,162910.00,25.37,129220.00,12.56,63970.00,26.02
"Massachusetts",6115,418.42,2558618.00,182.30,1114761.00,97.33,595203.00,138.78,848654.00,60.61,370600.00,30.83,188540.00,25.25,154400.00,11.13,68050.00,18.64
"Michigan",9785,396.78,3882480.00,159.77,1563311.00,77.09,754327.00,159.92,1564842.00,58.94,576750.00,24.77,242360.00,19.78,193540.00,12.06,117980.00,22.12
"Minnesota",4688,330.54,1549568.00,149.77,702137.00,78.14,366330.00,102.62,481101.00,49.18,230570.00,21.83,102320.00,16.36,76710.00,11.60,54370.00,15.76
"Mississippi",2732,249.97,682916.00,117.14,320027.00,43.11,117785.00,89.72,245104.00,59.95,163780.00,29.55,80730.00,21.32,58240.00,10.44,28530.00,19.96
,,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
"Missouri",5407,292.33,1580606.00,140.99,762310.00,58.21,314730.00,93.13,503566.00,64.59,349230.00,30.86,166840.00,21.83,118060.00,12.43,67210.00,21.30
"Montana",879,295.28,259555.00,129.97,114244.00,67.65,59467.00,97.66,85844.00,50.03,43980.00,24.99,21970.00,17.25,15160.00,10.48,9210.00,14.56
"Nebraska",1656,258.94,428806.00,117.45,194494.00,49.95,82720.00,91.54,151592.00,53.30,88260.00,25.16,41670.00,18.73,31020.00,10.25,16980.00,17.88
"Nevada",1676,526.51,882423.00,222.15,372323.00,102.79,172284.00,201.56,337816.00,74.88,125500.00,30.92,51820.00,20.99,35180.00,17.74,29730.00,26.22
"New Hampshire",1173,269.94,316642.00,128.91,151215.00,67.69,79401.00,73.34,86026.00,50.80,59590.00,27.29,32010.00,21.04,24680.00,9.42,11050.00,14.09
,,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
"New Jersey",8054,496.46,3998471.00,218.94,1763319.00,121.64,979661.00,155.88,1255491.00,81.47,656140.00,38.88,313100.00,28.04,225860.00,24.52,197470.00,18.07
"New Mexico",1723,401.28,691410.00,172.76,297668.00,78.95,136028.00,149.57,257714.00,75.36,129850.00,30.09,51840.00,22.00,37910.00,14.02,24150.00,31.26
"New York",18143,609.31,11054672.00,282.91,5132773.00,111.00,2013877.00,215.40,3908022.00,93.13,1689630.00,44.37,804970.00,38.42,697100.00,15.62,283380.00,33.14
"North Carolina",7429,335.09,2489397.00,138.52,1029038.00,50.08,372020.00,146.50,1088339.00,67.72,503070.00,27.84,206850.00,22.38,166240.00,8.49,63040.00,31.39
"North Dakota",641,199.73,128026.00,88.18,56525.00,64.35,41250.00,47.19,30251.00,42.18,27040.00,21.68,13900.00,17.08,10950.00,11.01,7060.00,9.49
,,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
"Ohio",11212,375.65,4211775.00,161.39,1809547.00,79.29,888985.00,134.97,1513243.00,63.62,713340.00,26.60,298230.00,20.03,224580.00,15.62,175120.00,21.40
"Oklahoma",3314,278.31,922333.00,121.19,401634.00,44.03,145907.00,113.09,374792.00,74.92,248280.00,29.83,98870.00,21.78,72190.00,10.26,34010.00,34.82
"Oregon",3243,454.34,1473423.00,179.47,582016.00,96.07,311540.00,178.81,579867.00,56.41,182950.00,23.51,76250.00,16.65,53980.00,12.86,41720.00,20.04
"Pennsylvania",12016,370.02,4446126.00,153.04,1838949.00,72.11,866434.00,144.87,1740743.00,60.08,721920.00,25.79,309900.00,20.53,246720.00,13.41,161170.00,20.88
"Rhode Island",987,391.78,386686.00,177.17,174864.00,93.34,92124.00,121.27,119698.00,57.30,56560.00,28.54,28170.00,22.54,22250.00,12.06,11900.00,16.71
,,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
"South Carolina",3790,311.74,1181479.00,130.39,494197.00,42.20,159935.00,139.14,527347.00,65.05,246530.00,28.54,108150.00,21.55,81660.00,8.78,33270.00,27.73
"South Dakota",731,256.67,187629.00,103.37,75560.00,47.38,34634.00,105.93,77435.00,48.15,35200.00,22.65,16560.00,16.87,12330.00,9.79,7160.00,15.70
"Tennessee",5378,312.19,1678949.00,138.67,745792.00,64.32,345902.00,109.20,587255.00,60.33,324430.00,28.44,152940.00,21.79,117160.00,9.75,52430.00,22.14
"Texas",19355,361.92,7005010.00,142.65,2760918.00,58.35,1129399.00,160.92,3114693.00,72.62,1405590.00,29.03,561820.00,21.43,414690.00,10.76,208280.00,32.83
"Utah",2065,353.89,730773.00,147.87,305346.00,88.08,181884.00,117.94,243543.00,50.40,104080.00,23.22,47950.00,15.58,32180.00,10.96,22630.00,16.22
,,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
"Vermont",589,240.47,141637.00,110.57,65125.00,55.49,32685.00,74.41,43827.00,45.93,27050.00,20.93,12330.00,15.09,8890.00,10.03,5910.00,14.96
"Virginia",6733,343.22,2310901.00,145.79,981619.00,56.63,381317.00,140.79,947965.00,64.58,434790.00,25.84,173970.00,20.08,135180.00,9.49,63870.00,29.25
"Washington",5604,400.76,2245854.00,154.59,866316.00,94.80,531234.00,151.37,848304.00,54.12,303280.00,22.46,125860.00,15.52,86990.00,12.28,68820.00,19.38
"West Virginia",1816,191.56,347864.00,77.73,141163.00,46.76,84922.00,67.06,121779.00,37.57,68230.00,19.30,35050.00,15.29,27770.00,10.32,18740.00,7.95
"Wisconsin",5200,381.73,1985013.00,176.14,915904.00,70.41,366126.00,135.19,702983.00,56.99,296350.00,27.76,144360.00,21.57,112150.00,10.01,52060.00,19.22
"Wyoming",480,365.44,175409.00,164.16,78799.00,90.21,43301.00,111.06,53309.00,68.85,33050.00,33.63,16140.00,22.73,10910.00,14.42,6920.00,20.81
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Note:  Local government data are estimates subject to variability.",,,,,,,,,,,,,,,,,,
"Population figures are from the Bureau of the Census, Current Population Reports, Series P-25, No. 1045, July 1997.",,,,,,,,,,,,,,,,,,
