"Bureau of Justice Statistics",,,,,,,,,,,,,,,,,,,,,
"filename:  cjee9716.csv",,,,,,,,,,,,,,,,,,,,,
"table 16:  Justice system employment and payrolls of 49 large city governments by activity, March 1997",,,,,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 1997, NCJ 185672",,,,,,,,,,,,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,,,,,,,,,,,
"author:  Sidra Lea Gifford",,,,,,,,,,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,,,,,,,,,
"date of version:  07/10/01",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Table 16. Justice system employment and payrolls of 49 large city governments by activity, March 1997",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,"                                                    Total justice system",,,,,"                                                     Police protection",,,,,"                                                       Judicial and legal",,,,,"                                                    Corrections",,,,,
"Indianapolis, IN",3408,3269,3345,9487,2871,2182,2109,2127,6763,3200,892,840,890,1955,2236,334,320,328,769,2375,"Indianapolis, IN"
"Jacksonville, FL",3381,2515,2729,9191,3503,2575,1772,1959,6767,3637,110,106,108,334,3116,696,637,662,2089,3197,"Jacksonville, FL"
"Kansas City, MO",2068,2067,2067,6513,3150,1861,1861,1861,5961,3203,125,124,124,375,3003,82,82,82,178,2172,"Kansas City, MO"
"Long Beach, CA",1535,1395,1477,6307,4403,1431,1298,1377,5793,4344,104,97,100,514,5199,0,0,0,0,0,"Long Beach, CA"
"Los Angeles, CA",12952,12931,12944,62735,4848,12211,12208,12210,58666,4805,741,723,734,4069,5567,0,0,0,0,0,"Los Angeles, CA"
,,,,,,,,,,,,,,,,,,,,,
"Memphis, TN",2239,2239,2239,6939,3099,2144,2144,2144,6674,3113,95,95,95,266,2796,0,0,0,0,0,"Memphis, TN"
"Miami, FL",1493,1446,1471,5673,3898,1452,1405,1430,5483,3877,41,41,41,190,4632,0,0,0,0,0,"Miami, FL"
"Milwaukee, WI",2928,2676,2733,10299,3814,2827,2584,2638,9874,3788,101,92,95,425,4559,0,0,0,0,0,"Milwaukee, WI"
"Minneapolis, MN",1350,1323,1328,4783,3606,1259,1244,1247,4439,3562,91,79,81,345,4301,0,0,0,0,0,"Minneapolis, MN"
"Nashville, TN",3217,2952,3067,8429,2810,1863,1646,1744,5137,3061,820,786,801,2034,2547,534,520,522,1258,2412,"Nashville, TN"
"Newark, NJ",,,,,,,,,,5390,146,146,146,442,3030,0,0,0,0,0,"Newark, NJ"
,,,,,,,,,,,,,,,,,,,,,
"New Orleans, LA",3348,3163,3234,7232,2265,1773,1593,1661,4813,2981,414,409,412,680,1650,1161,1161,1161,1739,1498,"New Orleans, LA"
"New York, NY",68707,66199,66778,254684,3821,47973,45971,46341,176944,3823,5628,5259,5403,17842,3313,15106,14969,15034,59897,3991,"New York, NY"
"Oakland, CA",1139,1049,1059,5896,5610,1086,997,1007,5600,5606,53,52,52,296,5689,0,0,0,0,0,"Oakland, CA"
"Oklahoma City, OK",1511,1394,1419,4918,3499,1339,1235,1248,4411,3554,126,116,125,403,3360,46,43,46,104,2291,"Oklahoma City, OK"
"Omaha, NE",971,947,963,3640,3813,930,909,923,3475,3796,41,38,40,165,4234,0,0,0,0,0,"Omaha, NE"
"Philadelphia, PA",14277,13282,13633,46130,3406,8511,7519,7868,28391,3658,2821,2818,2820,8583,3045,2945,2945,2945,9156,3109,"Philadelphia, PA"
,,,,,,,,,,,,,,,,,,,,,
"Phoenix, AZ",3854,3719,3780,14957,3966,3257,3175,3219,12978,4056,597,544,561,1979,3445,0,0,0,0,0,"Phoenix, AZ"
"Pittsburgh, PA",1506,1230,1431,5035,3838,1362,1132,1305,4707,3923,85,60,74,204,3025,59,38,52,124,2585,"Pittsburgh, PA"
"Portland, OR",1405,1383,1393,6031,4333,1364,1347,1354,5823,4310,41,36,39,208,5186,0,0,0,0,0,"Portland, OR"
"St.Louis, MO",3440,3395,3416,10012,2927,2262,2262,2262,7163,3167,536,497,512,1341,2565,642,636,642,1508,2356,"St.Louis, MO"
"San Antonio, TX",2843,2564,2695,8806,3363,2620,2353,2476,8268,3444,223,211,219,538,2459,0,0,0,0,0,"San Antonio, TX"
"San Diego, CA",2956,2831,2869,12527,4387,2684,2567,2601,11359,4390,272,264,268,1169,4363,0,0,0,0,0,"San Diego, CA"
,,,,,,,,,,,,,,,,,,,,,
"San Francisco, CA",4615,4615,4615,20097,4355,2390,2390,2390,10744,4495,1020,1020,1020,4843,4748,1205,1205,1205,4511,3743,"San Francisco, CA"
"San Jose, CA",1931,1765,1814,9430,5281,1867,1701,1750,9039,5250,64,64,64,391,6111,0,0,0,0,0,"San Jose, CA"
"Seattle, WA",2190,2115,2172,9570,4448,1767,1751,1762,8063,4586,387,337,377,1387,3789,36,27,33,120,3789,"Seattle, WA"
"Toledo, OH",1042,1042,1042,3647,3500,834,834,834,3099,3716,191,191,191,488,2554,17,17,17,60,3530,"Toledo, OH"
"Tucson, AZ",1378,1339,1360,4299,3169,1094,1075,1089,3494,3223,284,264,271,804,2952,0,0,0,0,0,"Tucson, AZ"
"Tulsa, OK",1118,1010,1032,3342,3281,1033,929,949,3112,3325,85,81,83,230,2774,0,0,0,0,0,"Tulsa, OK"
"Washington, DC",9979,9795,9885,38443,3894,4425,4289,4344,18023,4162,1808,1777,1792,6284,3507,3746,3729,3749,14135,3771,"Washington, DC"
