"Bureau of Justice Statistics",,,,,,,,,
"filename:  cjee9706.csv",,,,,,,,,
"table 6:  Percent distribution of justice system payrolls by State",,,,,,,,,
"and level of government, March 1997",,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 1997, NCJ 185672",,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,
"author:  Sidra Lea Gifford",,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,
"date of version:  12/19/2000",,,,,,,,,
,,,,,,,,,
"Table 6.   Percent distribution of justice system payrolls by State",,,,,,,,,
"and level of government, March 1997",,,,,,,,,
,,,,,,,,,
"(Payroll amounts in thousands of dollars)",,,,,,,,,
,,,,,,,,,
,,"          Total justice system",,"             Police protection",,"           Judicial and Legal",,"                  Corrections",
,,,,,,,,,
,"Total",,"Percent of",,"Percent of",,"Percent of",,"Percent of"
"State and level","March","March","total March","March","total March","March","total March","March","total March"
"of government","payrolls/a","payrolls","payrolls/b","payrolls","payrolls/b","payrolls","payrolls/b","payrolls","payrolls/b"
,,,,,,,,,
"Wyoming",85926,7800,9.1,3911,50.1,1871,24.0,2018,25.9
"State",23340,3049,13.1,516,16.9,1079,35.4,1454,47.7
"Local, total",62586,4751,7.6,3395,71.5,792,16.7,563,11.9
"Counties",10588,2418,22.8,1265,52.3,603,24.9,550,22.8
"Municipalities",7780,2332,30.0,2131,91.4,189,8.1,13,0.6
,,,,,,,,,
,,,,,,,,,
"Notes: March payroll data may not sum to total because of rounding.",,,,,,,,,
"Local government data are estimates subject to variability.",,,,,,,,,
"a/ Total March payroll includes payrolls of States and all types of local governments including independent school districts,",,,,,,,,,
"which are not displayed separately.  The ""Local, total"" lines, which include these districts, will not equal the sum of the",,,,,,,,,
"""Counties"" and ""Municipalities"" lines.",,,,,,,,,
"b/ Justice system payrolls of independent school districts and special districts (primarily for special police forces) are not",,,,,,,,,
"available.",,,,,,,,,
