"Bureau of Justice Statistics",,,,,,,,,,,
"filename:  cjee9707.csv",,,,,,,,,,,
"table 7:  Police protection sworn and nonsworn employment and payrolls and percent",,,,,,,,,,,
"distribution of full-time equivalent employment by State and level of government, March 1997",,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 1997, NCJ 185672",,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,
"author:  Sidra Lea Gifford",,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,
"date of version:  11/29/2000",,,,,,,,,,,
,,,,,,,,,,,
"Table 7.   Police protection sworn and nonsworn employment and payrolls and percent",,,,,,,,,,,
"distribution of full-time equivalent employment by State and level of government, March 1997",,,,,,,,,,,
,,,,,,,,,,,
,,"                                                              Sworn",,,,,"                                                            Nonsworn",,,,
,,,,,,,,,,,
,"Total police",,,,"Percent of",,,,,"Percent of",
,"protection","                        Number of employees",,,"total police","March","                        Number of employees",,,"total police","March"
,"full-time",,,,"protection","payrolls",,,,"protection","payrolls"
"State and level","equivalent",,"Full-time","Full-time ","full-time","(thousands",,"Full-time","Full-time ","full-time","(thousands"
"of government","employment","Total","only","equivalent","equivalent","of dollars)","Total","only","equivalent","equivalent","of dollars)"
,,,,,,,,,,,
,,,,,,,,,,,
"Washington",12586,8822,8645,8699,69.1,36438,4074,3756,3887,30.9,11208
"State",1931,914,914,914,47.3,3802,1017,1017,1017,52.7,2899
"Local, total",10655,7908,7731,7785,73.1,32635,3057,2739,2870,26.9,8309
"Counties",3586,2506,2465,2482,69.2,9960,1172,1069,1104,30.8,3359
"Municipalities",7069,5402,5266,5303,75.0,22676,1885,1670,1766,25.0,4950
,,,,,,,,,,,
"West Virginia",3505,2830,2748,2777,79.2,6633,851,653,728,20.8,1077
"State",940,616,616,616,65.5,1924,329,319,324,34.5,539
"Local, total",2565,2214,2132,2161,84.2,4710,522,334,404,15.8,539
"Counties",802,699,696,698,87.0,1492,118,92,104,13.0,140
"Municipalities",1763,1515,1436,1463,83.0,3218,404,242,300,17.0,399
,,,,,,,,,,,
"Wisconsin",14436,11966,10900,11215,77.7,38604,4516,2690,3221,22.3,7259
"State",853,628,628,628,73.6,1981,237,213,225,26.4,600
"Local, total",13583,11338,10272,10587,77.9,36623,4279,2477,2996,22.1,6659
"Counties",3905,3138,2928,3018,77.3,9756,1038,813,887,22.7,2329
"Municipalities",9678,8200,7344,7569,78.2,26867,3241,1664,2109,21.8,4330
,,,,,,,,,,,
"Wyoming",1614,1099,1082,1091,67.6,2882,599,479,523,32.4,1030
"State",194,116,116,116,59.8,309,78,78,78,40.2,207
"Local, total",1420,983,966,975,68.7,2573,521,401,445,31.3,823
"Counties",583,358,357,358,61.4,861,256,199,225,38.6,403
"Municipalities",837,625,609,617,73.7,1711,265,202,220,26.3,419
,,,,,,,,,,,
,,,,,,,,,,,
"Notes: March payroll data may not add to total due to rounding.  For the same reason these data may not sum to ",,,,,,,,,,,
"equal police protection March payrolls on table 6.  Local government data are estimates subject to variability.",,,,,,,,,,,
