"Bureau of Justice Statistics",,,,,,,,,,,,,,,,,,
"filename:  cjee9705.csv",,,,,,,,,,,,,,,,,,
"table 5:  Justice system employment and percent distribution of full-time equivalent employment,",,,,,,,,,,,,,,,,,,
"by State and level of government, March 1997",,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 1997, NCJ 185672",,,,,,,,,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,,,,,,,,
"author:  Sidra Lea Gifford",,,,,,,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,,,,,,
"date of version:  12/19/2000",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Table 5.   Justice system employment and percent distribution of full-time equivalent employment,",,,,,,,,,,,,,,,,,,
"by State and level of government, March 1997",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,"                                 Total justice system",,,,"                                 Police protection",,,,"                                   Judicial and legal",,,,"                                      Corrections",,,,
,,,,,,,,,,,,,,,,,,
,,,,,"Percent of",,,,"Percent of",,,,"Percent of",,,,"Percent of",
,,"                    Number of employees",,,"total","                    Number of employees",,,"total justice","                    Number of employees",,,"total justice","                    Number of employees",,,"total justice",
,"Total full-time",,,,"full-time",,,,"full-time",,,,"full-time",,,,"full-time",
"State and level","equivalent",,"Full-time","Full-time","equivalent",,"Full-time","Full-time","equivalent",,"Full-time","Full-time","equivalent",,"Full-time","Full-time","equivalent","State and level"
"of government","employment/a","Total","only","equivalent","employment/b","Total","only","equivalent","employment/b","Total","only","equivalent","employment/b","Total","only","equivalent","employment/b","of government"
,,,,,,,,,,,,,,,,,,
"State",64709,10422,9294,9946,15.4,865,841,853,8.6,2041,1727,1905,19.2,7516,6726,7188,72.3,"State"
"Local, total",201633,22553,18393,19689,9.8,15617,12749,13583,69.0,3981,3005,3301,16.8,2955,2639,2805,14.2,"Local, total"
"Counties",44630,10244,9073,9586,21.5,4176,3741,3905,40.7,3113,2693,2876,30.0,2955,2639,2805,29.3,"Counties"
"Municipalities",38576,12309,9320,10103,26.2,11441,9008,9678,95.8,868,312,425,4.2,0,0,0,0.0,"Municipalities"
,,,,,,,,,,,,,,,,,,
"Wyoming",38446,3502,3209,3305,8.6,1698,1561,1614,48.8,797,656,692,20.9,1007,992,999,30.2,"Wyoming"
"State",11023,1289,1254,1271,11.5,194,194,194,15.3,389,356,372,29.3,706,704,705,55.5,"State"
"Local, total",27423,2213,1955,2034,7.4,1504,1367,1420,69.8,408,300,320,15.7,301,288,294,14.5,"Local, total"
"Counties",4895,1198,1084,1130,23.1,614,556,583,51.6,289,246,259,22.9,295,282,288,25.5,"Counties"
"Municipalities",3308,1015,871,904,27.3,890,811,837,92.6,119,54,61,6.7,6,6,6,0.7,"Municipalities"
,,,,,,,,,,,,,,,,,,
"Notes:  Local government data are estimates subject to variability.",,,,,,,,,,,,,,,,,,
"a/ Total full-time equivalent employment includes employment of States and all types of local governments including",,,,,,,,,,,,,,,,,,
"independent school districts and special districts, which are not displayed separately.  The ""Local, total"" lines, which",,,,,,,,,,,,,,,,,,
"include these districts, will not equal the sum of the ""Counties"" and ""Municipalities"" lines.",,,,,,,,,,,,,,,,,,
"b/ Justice system employment of independent school districts and special school districts (primarily for special police)",,,,,,,,,,,,,,,,,,
"are not available.",,,,,,,,,,,,,,,,,,
