"Bureau of Justice Statistics",,,,,,,,,,,,,,,,,,,,,
"filename:  cjee9711.csv",,,,,,,,,,,,,,,,,,,,,
"table 11:  Justice system employment and payrolls of State governments by activity, March 1997",,,,,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 1997, NCJ 185672",,,,,,,,,,,,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,,,,,,,,,,,
"author:  Sidra Lea Gifford",,,,,,,,,,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,,,,,,,,,
"date of version:  11/29/2000",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Table 11.   Justice system employment and payrolls of State governments by activity, March 1997",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,"                                                    Total justice system",,,,,"                                                    Police protection",,,,,"                                                    Judicial and Legal",,,,,"                                                          Corrections",,,,,
"Maine",2130,2070,2122,6004,2865,393,393,393,1190,3028,597,548,577,1862,3287,1140,1129,1152,2952,2604,"Maine"
"Maryland",16999,15900,16852,48099,2899,2305,2292,2300,7614,3313,3834,3326,3756,10766,2965,10860,10282,10796,29719,2786,"Maryland"
,,,,,,,,,,,,,,,,,,,,,
"Massachusetts",14877,14534,14656,48202,3292,2043,2031,2040,7287,3575,6686,6425,6502,20346,3131,6148,6078,6114,20569,3367,"Massachusetts"
"Michigan",22639,22207,22395,75358,3367,3103,2936,2993,10354,3492,2725,2678,2701,9200,3416,16811,16593,16701,55805,3337,"Michigan"
"Minnesota",6434,5962,6348,21965,3496,862,839,852,3407,4027,2028,1688,1978,7546,3944,3544,3435,3518,11012,3146,"Minnesota"
"Mississippi",5517,5499,5508,11480,2085,979,979,979,2344,2395,418,412,415,1805,4366,4120,4108,4114,7330,1783,"Mississippi"
"Missouri",15361,14500,14716,32534,2225,2323,2284,2304,6250,2725,3471,3292,3374,9194,2755,9567,8924,9038,17091,1901,"Missouri"
,,,,,,,,,,,,,,,,,,,,,
"Montana",1536,1364,1452,3790,2528,434,417,426,1064,2504,235,155,199,842,3774,867,792,827,1885,2297,"Montana"
"Nebraska",3420,3281,3337,8625,2596,657,651,655,1698,2598,765,701,724,2603,3657,1998,1929,1958,4324,2210,"Nebraska"
"Nevada",4130,4045,4095,12866,3142,633,633,633,1869,2953,452,441,448,1869,4181,3045,2971,3014,9128,3028,"Nevada"
"New Hampshire",2511,2404,2456,6887,2828,422,404,413,1358,3334,916,884,896,2569,2876,1173,1116,1147,2961,2606,"New Hampshire"
"New Jersey",24393,24219,24327,89559,3689,3553,3543,3550,16647,4696,12465,12330,12414,41531,3354,8375,8346,8363,31380,3755,"New Jersey"
,,,,,,,,,,,,,,,,,,,,,
"New Mexico",6597,6494,6559,15921,2431,567,567,567,1349,2379,2074,1991,2037,5700,2819,3956,3936,3955,8872,2243,"New Mexico"
"New York",57262,55241,56223,212239,3782,5482,5329,5405,20594,3840,17039,16199,16621,76138,4611,34741,33713,34197,115507,3374,"New York"
"North Carolina",28226,27896,28134,74340,2650,3291,3277,3288,10734,3270,5659,5438,5598,17044,3082,19276,19181,19248,46561,2421,"North Carolina"
"North Dakota",1105,1005,1046,2675,2607,226,223,225,545,2425,434,382,397,1216,3129,445,400,424,914,2210,"North Dakota"
"Ohio",21139,20959,21065,64852,3082,2442,2428,2439,8705,3577,2372,2302,2336,8240,3533,16325,16229,16290,47907,2944,"Ohio"
,,,,,,,,,,,,,,,,,,,,,
"Oklahoma",14495,14206,14358,24356,1698,1697,1666,1678,4120,2463,2168,2071,2090,5898,2822,10630,10469,10590,14338,1354,"Oklahoma"
"Oregon",7874,7065,7638,22438,2996,1536,1311,1370,4701,3468,2721,2441,2721,7617,2843,3617,3313,3547,10121,2923,"Oregon"
"Pennsylvania",22758,22230,22746,71009,3140,6473,6341,6473,21752,3402,2431,2338,2445,9628,3929,13854,13551,13828,39629,2882,"Pennsylvania"
"Rhode Island",3014,2987,2999,12219,4075,256,254,254,1181,4648,1109,1084,1096,3773,3437,1649,1649,1649,7265,4406,"Rhode Island"
"South Carolina",11227,11193,11213,24836,2215,2162,2147,2156,5380,2500,649,642,645,2260,3509,8416,8404,8412,17196,2044,"South Carolina"
,,,,,,,,,,,,,,,,,,,,,
"South Dakota",1602,1427,1531,3464,2176,268,264,266,657,2474,558,422,504,1359,2450,776,741,761,1449,1914,"South Dakota"
"Tennessee",10963,10891,10924,26417,2419,1763,1757,1760,4690,2668,1904,1838,1868,6623,3565,7296,7296,7296,15105,2070,"Tennessee"
"Texas",51406,51177,51286,112601,2196,3488,3445,3464,9698,2807,4886,4776,4836,15939,3306,43032,42956,42986,86964,2023,"Texas"
"Utah",5071,4527,4769,12898,2752,722,684,700,2056,2967,1565,1378,1469,4380,3053,2784,2465,2600,6462,2524,"Utah"
"Vermont",1962,1810,1894,5282,2830,505,443,469,1621,3571,569,506,544,1617,3028,888,861,881,2045,2331,"Vermont"
,,,,,,,,,,,,,,,,,,,,,
"Virginia",19295,18169,18584,46143,2488,2521,2371,2428,7320,3049,3375,2860,3002,9644,3216,13399,12938,13154,29179,2224,"Virginia"
"Washington",10932,10212,10662,27899,2608,1931,1931,1931,6701,3470,1734,1567,1660,6607,4121,7267,6714,7071,14590,2007,"Washington"
"West Virginia",3111,3068,3087,7134,2316,945,935,940,2462,2628,1157,1127,1141,2872,2531,1009,1006,1006,1800,1787,"West Virginia"
"Wisconsin",10422,9294,9946,30026,3031,865,841,853,2580,3044,2041,1727,1905,8747,4697,7516,6726,7188,18698,2602,"Wisconsin"
"Wyoming",1289,1254,1271,3049,2397,194,194,194,516,2660,389,356,372,1079,2916,706,704,705,1454,2062,"Wyoming"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Note: These data are based on a summation of responses from individual state agencies. Some agency data may be",,,,,,,,,,,,,,,,,,,,,
"for a prior reporting period.",,,,,,,,,,,,,,,,,,,,,
